Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,94.9,2.17,294.4
1,94.8,-0.07,294.42
2,94.6,4.18,294.41
3,94.6,-0.3,294.39
4,94.4,0.73,294.39
5,93.6,4.08,294.38
6,93.6,3.87,294.38
7,94.1,4,294.36
8,94.1,2.75,294.35
9,94.1,3.69,294.34
10,94,2.41,294.34
11,94,2.93,294.33
12,94,3.37,294.34
13,93.9,2.75,294.33
14,93.8,3.73,294.31
15,93.8,4.94,294.3
16,93.7,1.39,294.3
17,93.5,3.32,294.3
18,93.5,3.09,294.29
19,93.4,3.31,294.29
20,93.3,4.32,294.27
21,92.8,3.99,294.26
22,92.8,2.44,294.25
23,92.7,3.7,294.25
24,92.7,-0.47,294.24
25,92.7,0.64,294.24
26,92.6,0.27,294.23
27,92.6,2.38,294.24
28,92.6,3.33,294.23
29,92.5,1.21,294.22
30,92.5,3.66,294.21
31,92.4,2.72,294.21
32,92.4,1.28,294.2
33,92.4,3.72,294.19
34,92.3,3.32,294.19
35,92.3,4.7,294.18
36,92.3,3.32,294.17
37,92.2,-0.3,294.16
38,92.3,2.55,294.16
39,93.9,2.81,294.14
40,91.9,3.41,294.13
41,91.1,2.43,294.12
42,95.4,4.06,294.12
43,103.7,4.72,294.1
44,103.6,3.69,294.09
45,103.3,2.59,294.08
46,102.5,0.51,294.02
47,101.1,3.53,293.99
48,100.3,1.99,293.94
49,100.1,2.15,293.9
50,100.1,1.87,293.85
51,100.1,3.72,293.82
52,100.8,3.99,293.8
53,101.1,2.8,293.76
54,100.7,0.6,293.73
55,100.3,3.47,293.68
56,99.5,1.61,293.63
57,98.8,1.36,293.52
58,95.6,5.18,293.42
59,94,0.57,293.33
60,92.7,3.48,293.23
61,91.1,0.78,293.16
62,90.4,4.41,293.09
63,89.2,3.83,293.04
64,88.6,1.86,292.98
65,87.4,1.51,292.93
66,87,0.41,292.92
67,86.7,3.2,292.88
68,86.2,5.04,292.84
69,85,4.17,292.83
70,84.8,2.21,292.79
71,84.5,0.82,292.75
72,83.4,5.13,292.73
73,83,3.8,292.69
74,82.8,5.08,292.66
75,82.1,5.21,292.64
76,81.5,1.21,292.63
77,80.5,4.22,292.62
78,80.2,3.2,292.62
