Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,109.9,-1.69,23.41
1,110.2,-6.4,23.4
2,110.3,-4.83,23.39
3,110.2,-2.09,23.39
4,110.1,-2.24,23.39
5,110,-2.09,23.38
6,110,-3.51,23.38
7,110,-2.92,23.37
8,110,-5.53,23.37
9,110,-5.11,23.38
10,110,-2.87,23.36
11,110,-2.61,23.35
12,109.9,-6.35,23.35
13,109.8,-2.91,23.34
14,109.7,-4.64,23.34
15,109.6,-7.49,23.35
16,109.6,-1.86,23.33
17,109.6,-1.79,23.32
18,109.7,-3.79,23.33
19,109.7,-4.46,23.32
20,109.7,-1.9,23.32
21,109.7,-1.9,23.31
22,109.6,-2.62,23.31
23,109.4,-1.39,23.31
24,109.3,-4.24,23.3
25,109.4,-1.16,23.29
26,109.4,-0.97,23.29
27,109.4,-5.08,23.28
28,109.5,-1.22,23.29
29,109.4,-3.32,23.25
30,109.5,-3.3,23.21
31,109.5,-4.96,23.17
32,109.6,-2.22,23.14
33,109.6,-0.4,23.11
34,109.5,-0.28,23.09
35,109.4,-1.21,23.05
36,109.4,-0.89,23.03
37,109.4,-1.68,23.02
38,109.4,-0.21,23
39,109.5,0.44,22.99
40,109.5,-0.77,22.98
41,109.4,-3.57,22.97
42,109.4,1.04,22.96
43,109.5,-2.91,22.95
44,109.4,-0.56,22.94
45,109.4,0.86,22.94
46,109.3,-3.28,22.93
47,109.3,-2.79,22.93
48,109.2,0.22,22.92
49,109.2,-0.51,22.91
50,109.2,0.88,22.9
51,109.3,0.71,22.9
52,109.2,-2.57,22.89
53,109.2,0.62,22.89
54,109.1,-3.37,22.87
55,109.1,-0.01,22.87
56,109.1,0.6,22.88
57,109.1,0.85,22.88
58,109.2,-3.79,22.88
59,109.2,0.72,22.87
60,109.2,0.49,22.87
61,109.2,1.15,22.88
62,109.2,-3.19,22.87
63,109.2,-2.6,22.88
64,109.2,0.67,22.86
65,109.3,-3.13,22.87
66,109.3,0.94,22.87
67,109.3,-3.63,22.87
68,109.1,0.58,22.87
69,109.1,0.74,22.87
70,109.1,0.58,22.88
71,109.1,-1.19,22.89
72,109.2,-0.25,22.89
73,109.2,-1.15,22.88
74,109.3,0.23,22.88
75,109.2,0.81,22.89
76,109.2,-4.05,22.89
77,109.1,0.23,22.89
78,109.1,0.76,22.9
79,109.1,0.72,22.89
80,109.1,-3.2,22.89
81,109.1,-1.77,22.89
82,109,-0.65,22.89
83,108.7,0.54,22.9
84,108.8,0.28,22.9
85,108.9,-0.96,22.88
86,109.2,-2.26,22.89
87,109.1,-4.52,22.89
88,109.1,-3.6,22.9
89,109.1,0.04,22.9
90,109,0.42,22.9
91,108.9,0.04,22.9
92,109,-3.51,22.91
93,109,-1.6,22.91
94,109,-1.91,22.91
95,109,0.03,22.92
96,109,-2.6,22.92
97,108.9,-4.51,22.93
98,108.8,-2.01,22.93
99,108.8,-4.92,22.93
100,108.8,-3.8,22.94
101,108.9,-3.15,22.94
102,108.9,0.17,22.95
103,108.9,-2.56,22.95
104,108.9,0.19,22.96
105,108.8,-3.34,22.97
106,108.8,-2.06,22.97
107,108.7,-2.42,22.98
108,108.7,0.01,22.98
109,108.8,-4.5,22.98
110,108.8,-0.18,22.99
111,108.8,0.22,22.99
112,108.8,-0.7,22.98
113,108.8,-0.37,22.99
114,108.8,-0.26,23
115,108.9,-0.05,23.02
116,108.9,0.33,23.02
117,108.8,-0.17,23.02
118,108.8,-0.46,23.03
119,108.8,-3.84,23.03
120,108.8,-0.3,23.03
121,108.9,-3.6,23.04
122,108.9,-3.35,23.04
123,108.8,-2.87,23.06
124,108.8,0.36,23.06
125,108.9,-0.43,23.08
126,109,-0.99,23.09
127,109,-3.5,23.11
128,108.9,-3.85,23.13
129,108.9,-1.58,23.13
130,108.9,-2.01,23.14
131,108.8,-3.04,23.14
132,108.8,0.79,23.16
133,108.7,0.75,23.16
134,108.7,-3.29,23.18
135,108.7,-2.36,23.2
136,108.9,-2.38,23.21
137,108.9,1.56,23.21
138,108.9,-0.04,23.24
139,108.7,-1.08,23.25
140,108.7,1.91,23.26
