Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,111.9,2.54,26.27
1,111.9,-1.44,26.27
2,111.8,-0.22,26.26
3,111.8,1.85,26.25
4,111.7,2.55,26.25
5,111.7,2.88,26.24
6,111.9,-0.91,26.23
7,111.9,-1.11,26.21
8,112,0.28,26.22
9,112,1.7,26.22
10,112,-1.75,26.22
11,111.9,2.59,26.23
12,112,1.2,26.22
13,112,-0.57,26.22
14,112.1,2.69,26.22
15,112.1,2.85,26.2
16,112.1,2.88,26.2
17,112.1,3.14,26.2
18,112.2,0.82,26.19
19,112.2,0.8,26.17
20,112.2,2.65,26.18
21,112.1,3.59,26.18
22,112.2,2.11,26.16
23,112.2,3.8,26.17
24,112.4,3.84,26.18
25,112.4,3.94,26.17
26,112.2,3.07,26.17
27,112.2,0.53,26.17
28,112.1,2.4,26.16
29,112.7,4.72,26.16
30,112.4,0.35,26.15
31,113.3,4.63,26.16
32,113.5,4.83,26.15
33,113.9,2.71,26.16
34,113.9,5.49,26.18
35,114.2,0.96,26.21
36,113.8,1.36,26.25
37,113.3,4.94,26.37
38,111.7,3.13,26.49
39,111.5,5.2,26.61
40,111.4,4.42,26.73
41,111.3,4.53,26.86
42,111.4,2.49,27.01
43,111.4,0.62,27.15
44,111.3,5.02,27.32
45,111.3,0.18,27.48
46,111.3,0.62,27.69
47,111.3,3.54,27.91
48,111.3,0.87,28.15
49,111.4,4.91,28.4
50,111.4,4.88,28.65
51,111.2,3.91,28.93
52,111.3,5.19,29.22
53,111.2,1.67,29.49
54,111.3,6.15,29.77
55,111.2,2.56,30.06
56,111.2,3.55,30.33
57,111.2,5.68,30.61
58,111.2,2.25,30.9
59,111.4,3.81,31.19
60,111.8,2.2,31.47
61,112.1,3.31,31.74
62,111.9,2.72,32.01
63,111.7,5.64,32.29
64,111.3,2.83,32.59
65,111.3,6.01,32.86
66,111.4,5.45,33.12
67,111.3,2.19,33.42
68,111.3,2.63,33.69
69,111.2,6.69,33.99
70,110.9,4.43,34.29
71,110.9,5.91,34.58
72,110.8,4.78,34.87
73,110.8,1.15,35.13
74,110.8,5.96,35.44
75,110.5,5.27,35.75
76,110.2,2.78,36.04
77,110.5,1.03,36.31
78,111.1,4.31,36.64
79,111,2.24,36.95
80,111,3.58,37.23
81,111.1,3.08,37.53
82,110.9,4.69,37.85
83,110.9,5,38.17
84,111.1,4.65,38.49
85,111,4.74,38.82
86,111.2,4.46,39.12
87,111.3,4.28,39.42
88,111.4,5.22,39.76
89,111.8,1.03,40.08
90,111.7,3.69,40.43
91,111.7,6.95,40.77
92,111.6,8.36,41.11
93,111.4,7.17,41.38
94,110.8,11.2,41.74
95,110,11.84,42.09
96,109.7,22,42.42
97,109.2,19.43,42.81
98,108.8,25.6,43.12
99,107.9,27.38,43.47
100,107.7,34.59,43.84
101,107.5,37.78,44.22
102,107.2,40.48,44.58
103,106.8,46.41,44.9
104,106.5,44.34,45.29
105,106.4,45.87,45.66
106,106.2,45.7,45.95
107,106,43.05,46.32
108,105.9,48.63,46.7
109,104.9,53.22,47.09
110,105.3,50.58,47.48
111,105,51.09,47.87
112,104.6,54.47,48.25
113,104.1,53.28,48.64
114,104.3,55.25,49.03
115,104.2,50.65,49.42
116,104.1,55.59,49.78
117,104,49.15,50.18
118,103.8,57.11,50.56
119,103.4,56.88,50.9
120,102.8,52.82,51.32
121,102.6,56.22,51.67
122,102.6,52.4,52.08
123,102.7,63.87,52.48
124,102.6,49.6,52.84
125,102.6,55.56,53.24
126,102.6,51.12,53.65
127,102.4,47.54,54.1
128,102.3,47.45,54.51
129,102.3,45.46,54.94
130,102.1,55.01,55.35
131,102.1,51.51,55.76
132,101.9,47.01,56.19
133,101.8,48.71,56.61
134,101.8,48.15,57.04
135,101.7,47.32,57.44
136,101.5,47.48,57.87
137,101.4,46.37,58.3
138,100.9,44.36,58.76
139,100.9,47.81,59.19
140,101,50.46,59.63
141,100.9,50.2,60.06
142,100.8,44.87,60.48
143,100.7,46.12,60.89
144,100.4,42.19,61.32
145,100.5,47.37,61.75
146,100.4,42.5,62.16
147,100.6,46.36,62.59
148,100.6,51.8,63.02
149,100.6,51.69,63.47
150,100.6,45.16,63.88
151,100.4,40.47,64.32
152,100.4,46.89,64.76
153,100.4,46.75,65.16
154,100.3,46.88,65.59
155,100.3,41.94,66.01
156,100.2,41.14,66.39
157,100.1,38.32,66.82
158,100.1,47.19,67.23
159,100,42.29,67.63
160,99.9,41.51,68.05
161,99.8,40.17,68.46
162,99.9,46.88,68.83
163,99.8,45.3,69.22
164,99.8,47.8,69.62
165,99.8,44.47,70.02
166,99.7,36.99,70.41
167,99.6,43.59,70.8
168,99.5,44.9,71.21
169,99.5,42.48,71.59
170,99.5,39.24,71.99
