Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,88.7,9.5,301.88
1,88.6,7.5,301.81
2,89.1,6.9,301.77
3,87.9,6.8,301.71
4,88.2,7.0,301.7
5,88.1,6.3,301.68
6,88.3,4.3,301.66
7,88.3,2.6,301.64
8,88.1,-0.8,301.61
9,87.8,-6.7,301.6
10,87.8,-8.2,301.63
11,87.3,13.4,301.64
12,87.2,54.2,301.6
13,87.2,102.9,301.58
14,86.8,148.9,301.58
15,86.9,187.3,301.58
16,87.1,215.9,301.58
17,86.8,233.2,301.58
18,86.3,241.4,301.59
19,86.1,248.1,301.6
20,86.2,247.8,301.65
21,85.9,249.4,301.61
22,85.5,248.7,301.61
23,85.4,242.8,301.62
24,85.3,231.5,301.63
25,84.9,219.5,301.62
26,84.3,216.8,301.63
27,84.5,207.1,301.64
28,84.5,209.3,301.63
29,84.4,206.5,301.65
30,84.5,202.8,301.64
31,84.3,197.1,301.67
32,84.4,194.7,301.7
33,84.4,188.2,301.72
34,84.4,184.4,301.72
35,84.4,177.7,301.74
36,84.2,172.7,301.77
37,84.3,166.6,301.73
38,84.1,163.0,301.74
39,83.8,160.6,301.78
40,83.9,162.2,301.75
41,83.8,158.3,301.75
42,83.6,155.1,301.79
43,83.4,153.2,301.83
44,82.8,149.4,301.79
45,82.6,147.2,301.8
46,82.3,146.9,301.83
47,82.8,145.5,301.86
48,82.8,145.9,301.88
49,82.7,143.3,301.89
50,82.7,142.0,301.92
51,82.7,144.6,301.93
52,82.5,138.0,301.95
53,82.5,135.4,301.96
54,82.6,140.4,302.02
55,82.5,133.2,302
56,82.2,137.3,301.99
57,82.4,137.9,302.01
58,82.2,136.3,302.02
59,81.9,138.4,302.03
60,82,137.5,302.06
61,81.8,133.6,302.07
62,81.6,133.2,302.1
63,81.3,131.8,302.12
64,81,128.2,302.15
65,80.8,123.8,302.18
66,81,125.1,302.22
67,81.1,124.5,302.26
68,81.2,120.4,302.26
69,81.1,121.1,302.27
70,80.9,121.5,302.3
71,80.9,119.8,302.32
72,80.8,116.1,302.32
73,80.8,118.4,302.33
74,80.7,115.9,302.33
75,80.7,117.5,302.33
76,80.5,113.1,302.34
77,80.5,115.2,302.36
78,80.2,114.0,302.37
79,80,112.9,302.42
80,80,113.9,302.47
81,79.9,116.5,302.48
82,79.8,116.8,302.55
83,79.8,114.8,302.58
84,79.7,114.2,302.61
85,79.3,110.7,302.63
86,78.7,112.7,302.66
87,78.9,113.1,302.68
88,78.7,112.9,302.7
89,78.8,110.2,302.73
90,78.6,111.2,302.79
91,78.8,113.3,302.79
92,78.5,112.3,302.8
93,78.7,110.2,302.82
94,78.6,108.1,302.85
95,78.9,105.3,302.89
96,78.5,108.2,302.92
97,78.4,102.3,302.98
98,78.5,107.3,303.04
99,78.4,105.8,303.07
100,78.4,105.8,303.1
101,78.6,102.9,303.13
102,78.3,102.1,303.18
103,78.2,100.3,303.23
104,78.3,101.6,303.26
105,77.6,101.3,303.28
106,77.2,99.7,303.32
107,76.9,97.7,303.34
108,76.8,97.7,303.39
109,77,95.1,303.44
110,76.8,95.5,303.47
111,77.5,93.8,303.51
112,77.5,92.8,303.53
113,76.5,94.1,303.57
114,76.5,92.6,303.58
115,77,94.2,303.61
116,76.9,98.0,303.68
117,76.4,103.2,303.73
118,75.9,101.3,303.8
119,75.8,101.5,303.85
120,75.6,99.5,303.88
121,76,102.5,303.93
122,75.8,102.2,303.97
123,75.9,101.7,304.02
124,75.7,101.7,304.07
125,75.8,102.1,304.15
126,75.3,98.4,304.18
127,74.9,97.1,304.23
128,74.7,96.8,304.31
129,74.1,92.7,304.38
130,73.8,92.2,304.43
131,74,92.7,304.47
132,74,92.7,304.53
133,73.7,95.6,304.59
134,73.6,95.0,304.62
135,74,91.9,304.68
