Time (s),Mass (g),HRR (kW/m2),TC Top (K),TC 8.6mm (K),TC 17.2mm (K)
1312,20.906174,73.90214966,919.878,1010.519,845.578
1313,20.914997,71.01584839,903.08,1010.522,846.09
1314,20.911241,71.70593735,901.848,1010.986,846.69
1315,20.855439,72.77194083,884.587,1011.377,847.036
1316,20.81304,73.09624212,890.471,1011.692,847.522
1317,20.811655,70.37974356,890.387,1011.703,847.584
1318,20.729841,69.81544428,894.053,1011.85,848.492
1319,20.703009,71.23753895,911.097,1011.874,849.171
1320,20.68557,66.85105594,912.071,1011.965,849.682
1321,20.655819,67.33292923,909.744,1012.442,850.15
1322,20.600368,67.90419524,910.681,1012.48,850.238
1323,20.56822,67.60783728,921.215,1012.828,851.053
1324,20.573933,67.17064393,929.576,1012.918,851.362
1325,20.562546,68.64097734,921.257,1012.939,852.033
1326,20.516541,65.44637891,940.865,1013.039,852.477
1327,20.443936,65.45756823,937.245,1013.075,852.517
1328,20.467265,62.72583368,902.323,1013.529,853.054
1329,20.421892,63.60520209,903.123,1013.979,853.707
1330,20.41643,65.54624923,901.563,1014.376,854.258
1331,20.365699,62.72830059,914.105,1014.643,854.92
1332,20.324869,64.04738478,912.754,1014.687,855.057
1333,20.287248,66.83520594,909.27,1014.922,855.69
1334,20.259927,66.03233411,919.765,1015.107,856.045
1335,20.340183,64.40222025,948.71,1014.85,856.907
1336,20.397393,65.08306157,938.106,1014.615,857.658
1337,20.309394,60.86336766,937.044,1014.594,857.715
1338,20.322044,66.02882367,924.981,1014.452,858.308
1339,20.2572,63.6082097,908.62,1014.889,858.964
1340,20.250754,61.53247541,931.533,1015.421,859.727
1341,20.225906,62.30535939,933.544,1015.589,860.463
1342,20.197602,60.64954467,934.86,1015.571,860.947
1343,20.151421,59.19600806,955.912,1015.642,860.975
1344,20.087557,60.43622815,957.57,1016.132,861.3
1345,20.077575,60.1519535,943.867,1016.194,861.816
1346,20.029354,57.07038428,928.012,1016.578,862.552
1347,20.021278,59.16563696,929.068,1017.227,863.103
1348,19.981877,58.54901624,941.119,1017.199,863.202
1349,19.967115,57.12189391,967.554,1017.127,863.773
1350,19.920043,59.09930102,950.663,1017.252,864.33
1351,19.902463,57.45276928,927.124,1017.37,864.785
1352,19.883066,59.42501252,923.023,1017.57,865.201
1353,19.868852,58.30610094,924.895,1017.646,865.373
1354,19.830347,57.65262561,938.242,1018.04,866.204
1355,19.80078,55.96278762,961.121,1018.284,866.593
1356,19.778095,55.65948772,1009.257,1018.266,867.248
1357,19.728203,54.25296312,993.911,1018.106,867.779
1358,19.671076,56.99799281,998.834,1018.125,867.862
1359,19.629074,54.73773693,1004.11,1018.178,868.4
1360,19.632764,55.76050156,959.447,1018.159,869.134
1361,19.606046,55.28436498,962.981,1018.768,869.978
1362,19.584332,57.28184506,935.889,1019.502,870.184
1363,19.568904,55.70624325,940.726,1019.595,870.317
1364,19.527721,55.1976249,956.12,1019.953,870.78
1365,19.502191,54.98027047,957.759,1020.258,871.041
1366,19.485242,57.54125178,980.251,1020.187,871.611
1367,19.458375,53.60350155,961.99,1019.777,872.016
1368,19.421149,52.96948938,959.509,1019.789,872.133
1369,19.398506,52.71954503,959.077,1019.858,872.564
1370,19.379566,53.92414247,991.396,1020.018,873.01
1371,19.339222,53.13830882,976.569,1020.161,873.513
1372,19.316018,52.9573678,949.25,1020.576,873.966
1373,19.269453,52.14936451,936.223,1020.737,874.147
1374,19.286283,55.77626964,908.804,1021.361,874.891
1375,19.283752,54.56763065,953.21,1021.971,875.816
1376,19.264808,53.81627663,932.649,1022.274,876.45
1377,19.230532,53.44682678,924.135,1022.478,876.709
1378,19.225087,52.49839462,924.287,1022.507,876.761
1379,19.189664,50.86469225,926.167,1022.755,877.25
1380,19.138461,49.47549447,930.803,1022.553,877.561
1381,19.135003,53.21317154,930.108,1021.98,878.09
1382,19.102278,51.28537601,905.589,1022.28,878.736
1383,19.078802,53.12655271,892.181,1022.794,879.495
1384,19.087331,47.4732732,890.166,1022.947,879.52
1385,19.039472,48.47152295,886.593,1023.727,879.687
1386,18.91764,50.0914267,925.031,1024.213,880.103
1387,18.939415,47.11763388,905.529,1024.596,880.563
1388,18.947749,48.6999645,903.562,1024.836,881.066
1389,18.887842,47.01455695,908.471,1024.944,881.095
1390,18.875302,48.55459858,916.827,1025.456,881.339
1391,18.872839,47.61347116,861.672,1025.834,881.992
1392,18.808663,47.61762931,889.175,1026.466,882.525
1393,18.725182,46.29604218,908.217,1026.859,882.93
1394,18.740894,49.805316,902.502,1026.907,883.068
1395,18.755249,46.35433388,888.072,1027.105,883.582
1396,18.701514,47.18551874,898.607,1027.287,883.968
1397,18.679722,49.32676091,866.349,1027.325,884.445
1398,18.654997,47.93514226,888.986,1027.607,884.612
1399,18.647572,50.33901563,884.927,1027.636,884.702
1400,18.575316,48.64379661,869.375,1027.811,885.101
1401,18.589798,47.46613204,855.108,1028.235,885.707
1402,18.570207,46.60461993,847.52,1028.403,886.161
1403,18.573824,49.34946816,872.024,1028.743,886.694
1404,18.56696,46.60533391,872.225,1028.756,886.863
1405,18.546108,47.04671986,878.815,1028.775,887.623
1406,18.456575,47.20230416,901.574,1028.774,888.079
1407,18.437083,47.51320252,893.874,1029.447,888.565
1408,18.402986,46.13577451,923.286,1029.882,888.85
1409,18.387443,48.52312963,917.096,1029.916,888.897
1410,18.404121,44.61792232,879.896,1030.198,889.23
1411,18.376267,45.43567537,882.773,1030.85,889.707
1412,18.335166,45.50947589,905.647,1031.171,890.17
1413,18.327205,44.59579686,919.275,1031.418,890.48
1414,18.331429,45.35880098,912.413,1031.759,890.799
1415,18.299342,46.80513207,882.622,1031.829,890.839
1416,18.316709,46.24525315,892.281,1032.433,891.271
1417,18.269917,44.22061537,917.341,1032.586,891.816
1418,18.242135,45.89154354,916.514,1032.732,892.405
1419,18.22127,43.05066816,892.639,1032.845,892.539
1420,18.23392,46.23128948,894.101,1032.871,892.589
1421,18.213942,43.87797569,905.906,1033.043,892.913
1422,18.19956,44.45705588,937.039,1033.195,893.359
1423,18.212363,44.31419086,938.688,1032.868,893.567
1424,18.193635,44.87875255,937.489,1033.28,894.013
1425,18.125572,43.46998091,939.256,1033.424,894.082
1426,18.129365,45.77163888,946.033,1034.088,894.454
1427,18.098021,45.97831666,948.666,1034.504,894.984
1428,18.074745,44.74470992,965.467,1034.444,895.502
1429,18.079601,43.88470908,975.483,1034.515,896.173
1430,18.077866,44.19113751,970.563,1034.572,896.208
1431,18.044541,42.54501195,944.031,1035.009,896.432
1432,18.069792,46.01056886,922.749,1035.953,896.796
1433,18.066334,47.03847724,941.135,1036.257,897.057
1434,18.05716,41.82613371,939.407,1036.551,897.175
1435,18.023222,41.17927552,939.312,1036.567,897.214
1436,18.008249,41.25410659,939.831,1036.782,897.673
1437,18.000038,40.86255362,945.702,1037.11,898.069
1438,17.985328,39.50726277,940.49,1037.411,898.494
1439,17.973083,43.4737178,924.935,1037.388,898.855
1440,17.916985,41.181403,924.935,1037.388,898.855
1441,17.939444,42.96300595,937.877,1037.178,899.215
1442,17.909246,42.24966737,947.073,1036.84,899.83
1443,17.859944,42.86760847,945.153,1036.637,900.22
1444,17.871635,41.28098376,968.473,1036.691,900.37
1445,17.866573,42.84262944,963.077,1036.563,900.604
1446,17.892638,39.2778593,952.407,1035.973,900.958
1447,17.865424,40.86885767,951.184,1035.846,901.029
1448,17.812667,41.66416633,966.27,1036.916,901.451
1449,17.825018,39.95354491,953.549,1037.604,901.872
1450,17.790475,41.12356089,965.243,1037.959,902.213
1451,17.729653,42.60892382,963.963,1037.889,902.236
1452,17.717999,42.79420062,952.827,1037.226,902.51
1453,17.719103,41.29571665,957.314,1037.133,902.952
1454,17.680959,42.7021744,971.67,1037.652,903.439
1455,17.702412,39.8399398,959.458,1038.106,903.885
1456,17.721271,43.57143737,955.897,1038.286,903.975
1457,17.688582,43.64530974,942.59,1039.088,904.313
1458,17.679905,40.38050161,939.647,1039.634,904.319
1459,17.663466,40.23208308,909.71,1039.82,904.459
1460,17.673161,38.12336519,929.99,1039.848,904.802
1461,17.673864,37.89575349,937.067,1039.841,904.913
1462,17.641841,40.2836916,971.674,1039.838,905.516
1463,17.628575,39.93841266,959.273,1040.011,905.814
1464,17.620547,36.95917362,947.259,1039.903,906.246
1465,17.562053,38.4964007,929.286,1039.961,906.361
1466,17.553154,36.69029152,926.329,1040.045,906.45
1467,17.552885,39.44785779,916.926,1040.405,906.871
1468,17.472159,38.29309713,934.252,1040.276,907.013
1469,17.496661,38.20768624,927.66,1039.8,907.48
1470,17.449307,38.08622491,945.801,1039.648,907.654
1471,17.478879,38.12760301,946.903,1039.779,907.744
1472,17.518662,37.76223121,950.928,1040.387,908.21
1473,17.500137,38.42140196,945.819,1040.68,908.59
1474,17.451204,41.65818611,937.069,1041.284,908.837
1475,17.427458,38.6026648,940.617,1040.994,909.146
1476,17.443071,39.73342361,940.949,1040.886,909.189
1477,17.44583,35.20617707,940.271,1040.418,909.43
1478,17.425116,36.71531878,922.988,1040.713,909.856
1479,17.365253,35.76251617,944.53,1040.816,910.222
1480,17.368864,35.57256571,943.705,1040.131,910.476
1481,17.403064,35.04219181,918.496,1039.523,910.815
1482,17.370989,38.41016649,920.39,1039.594,910.852
1483,17.372852,38.02843404,930.81,1040.177,911.124
1484,17.312774,36.00754989,914.144,1040.613,911.211
1485,17.324763,38.06324732,908.386,1041.039,911.563
1486,17.330786,36.46817223,924.286,1040.389,911.938
1487,17.316627,36.01461842,918.566,1040.452,911.971
1488,17.314145,35.42388342,900.275,1040.829,912.167
1489,17.251992,38.83216383,945.495,1040.982,912.37
1490,17.182389,34.88546434,940.767,1040.236,912.629
1491,17.151074,37.08912689,912.483,1040.022,912.86
1492,17.202128,35.11914336,915.802,1040.114,912.882
1493,17.228083,36.08321363,936.64,1040.809,913.09
1494,17.262187,35.92701034,919.466,1041.147,913.33
1495,17.241493,36.78601768,905.231,1042.202,913.583
1496,17.19951,35.69529249,916.121,1042.866,913.904
1497,17.12978,37.11724945,915.762,1042.981,913.966
1498,17.147823,33.70352511,912.291,1043.537,914.303
1499,17.151535,34.14464127,909.475,1043.343,914.5
1500,17.110661,35.89618611,926.759,1042.543,914.791
1501,17.070601,34.7637792,916.318,1041.827,915.006
1502,17.081953,36.5006324,914.88,1041.88,915.04
1503,17.081155,40.27006528,908.776,1042.402,915.378
1504,17.056511,39.72204822,934.949,1042.562,915.671
1505,17.050787,37.38040846,932.808,1041.922,915.942
1506,17.066235,40.62497355,916.288,1042.144,916.097
1507,17.064428,37.42496142,916.88,1042.143,916.133
1508,17.076998,39.50735032,922.699,1042.12,916.524
1509,17.051276,38.14023305,922.345,1041.874,916.748
1510,17.034059,39.29163369,929.88,1041.445,916.945
1511,17.007489,38.32017916,917.002,1042.16,917.233
1512,17.015513,40.3906101,914.337,1042.169,917.469
1513,17.000335,37.06008127,898.187,1042.435,917.513
1514,16.973505,36.96140377,907.437,1043.184,917.728
1515,16.997645,37.25539092,892.068,1042.581,917.913
1516,16.983553,38.21504852,903.226,1041.951,918.26
1517,16.965388,37.97318387,892.222,1041.69,918.52
1518,16.960442,37.83708371,892.4,1041.693,918.523
1519,16.911883,34.50524574,904.282,1042.069,918.742
1520,16.877337,34.7883099,887.048,1043.321,918.91
1521,16.913045,38.30331873,898.714,1043.093,919.229
1522,16.864717,34.66760428,904.158,1043.61,919.628
1523,16.839737,39.02663597,904.525,1043.755,919.665
1524,16.86362,38.04576399,907.206,1044.473,919.952
1525,16.842735,36.26753707,907.095,1043.56,920.229
1526,16.810336,36.13867474,892.032,1043.26,920.485
1527,16.81635,37.04302527,892.67,1043.019,920.688
1528,16.800212,34.88375663,892.747,1043.022,920.692
1529,16.802806,35.6330208,897.796,1043.089,920.992
1530,16.799693,38.24472831,898.668,1042.365,921.189
1531,16.798615,34.75495947,890.948,1042.643,921.454
1532,16.784725,37.34784112,894.961,1043.084,921.62
1533,16.733452,34.45212294,895.588,1043.072,921.658
1534,16.688953,36.75850093,900.4,1043.032,921.986
1535,16.720077,35.80041504,895.874,1043.853,922.184
1536,16.70909,33.7106517,902.5,1043.272,922.468
1537,16.734253,35.50145144,915.159,1043.047,922.695
1538,16.711591,36.08663737,914.376,1043.1,922.715
1539,16.671042,34.07680949,902.322,1043.834,922.928
1540,16.670131,34.17705885,873.366,1045.482,923.237
1541,16.659847,37.30671882,874.572,1046.029,923.453
1542,16.658276,34.87729794,869.554,1045.683,923.688
1543,16.633068,38.18185418,869.237,1045.629,923.73
1544,16.593425,34.76969137,875.028,1045.273,923.959
1545,16.574096,35.25352807,905.083,1044.397,924.211
1546,16.592974,36.40111999,890.061,1042.93,924.411
1547,16.571479,35.2495037,888.031,1043.384,924.717
1548,16.548688,35.39538283,893.097,1042.524,924.948
1549,16.586236,33.74015929,892.556,1042.506,924.963
1550,16.570843,34.49302628,885.975,1042.257,925.165
1551,16.579013,33.72968512,884.247,1041.907,925.464
1552,16.583578,37.23985883,881.33,1041.859,925.674
1553,16.568127,34.16920783,883.516,1041.758,925.803
1554,16.527836,36.7739194,885.196,1041.56,925.848
1555,16.479278,35.10774846,889.153,1040.682,926.079
1556,16.494126,34.23280678,871.447,1040.66,926.308
1557,16.524056,34.31502748,864.795,1041.214,926.577
1558,16.443194,36.20229285,871.86,1041.186,926.789
1559,16.393529,34.60132276,877.281,1041.176,926.838
1560,16.450108,35.41701409,900.569,1040.966,927.132
1561,16.422489,36.94973034,888.521,1040.094,927.442
1562,16.424485,34.73814895,895.526,1039.583,927.688
1563,16.365794,36.29463046,889.608,1039.34,927.939
1564,16.369621,32.56608189,888.989,1039.318,927.969
1565,16.379957,33.34163379,879.049,1039.281,928.244
1566,16.408245,33.76361996,856.252,1039.988,928.427
1567,16.420949,32.64145846,877.669,1040.527,928.551
1568,16.350632,33.11424816,866.387,1040.778,928.867
1569,16.355165,36.05846051,865.23,1040.65,928.906
1570,16.329865,33.91393455,860.51,1039.985,929.111
1571,16.3275,34.68839478,871.558,1039.607,929.293
1572,16.315972,33.88860722,873.985,1039.519,929.376
1573,16.32022,33.98039445,875.085,1039.563,929.54
1574,16.339266,33.59071646,876.617,1039.453,929.748
1575,16.305725,37.25295251,881.964,1038.625,930.002
1576,16.264207,35.25772847,887.244,1038.575,930.266
1577,16.265282,34.25538023,894.416,1038.316,930.412
1578,16.245457,36.50217465,900.48,1038.386,930.54
1579,16.275719,34.92919766,907.246,1038.611,930.807
1580,16.216915,35.21958883,903.98,1038.859,930.986
1581,16.189117,33.57246005,902.591,1038.929,931.033
1582,16.191336,34.79263968,898.978,1038.893,931.218
1583,16.148644,33.13580543,893.18,1037.91,931.349
1584,16.155099,33.77259858,876.224,1037.53,931.602
1585,16.169765,32.40925103,871.982,1037.818,931.805
1586,16.136103,31.78425895,871.959,1037.893,931.842
1587,16.127655,34.75150974,872.924,1037.527,932.06
1588,16.126469,32.31403221,888.822,1037.034,932.212
1589,16.142213,34.7288835,890.112,1037.088,932.435
1590,16.134918,35.58046484,886.059,1037.331,932.653
1591,16.135534,34.19438755,880.732,1038.02,932.864
1592,16.096651,34.36857242,879.301,1038.226,932.913
1593,16.103676,38.09983064,881.898,1038.41,933.118
1594,16.079445,34.90647527,875.647,1038.368,933.379
1595,16.061154,36.02539899,875.482,1038.366,933.385
1596,16.024788,33.40173611,879.174,1038.664,933.639
1597,16.004141,33.69525525,880.596,1038.18,933.742
1598,15.993657,34.56869349,882.117,1038.429,933.985
1599,15.989684,34.86256762,876.415,1038.68,934.109
1600,16.003512,33.80624972,876.359,1038.579,934.128
1601,15.992245,36.92103056,875.419,1037.749,934.304
1602,15.97948,37.46220978,868.904,1038.018,934.539
1603,15.990497,33.48541326,865.32,1038.557,934.585
1604,16.019321,36.49205962,859.256,1039.318,934.852
1605,15.9729,33.74440599,860.715,1039.237,934.982
1606,15.978686,35.08525759,873,1038.504,934.991
1607,15.95126,35.6211795,865.594,1038.291,935.12
1608,15.925139,34.91736908,874.015,1037.876,935.299
1609,15.949072,34.10592791,868.567,1037.649,935.502
1610,15.880487,34.88007636,856.708,1037.773,935.623
1611,15.893225,32.76174441,856.529,1037.775,935.63
1612,15.855042,33.39489244,857.632,1037.757,935.892
1613,15.874358,35.29469119,871.913,1037.404,936.011
1614,15.847762,31.43682992,864.735,1037.399,936.055
1615,15.867216,33.24098504,865.699,1036.564,936.208
1616,15.864444,34.23442891,863.49,1036.57,936.222
1617,15.824171,33.11066198,846.079,1036.704,936.37
1618,15.821709,30.92416205,856.731,1037.357,936.62
1619,15.801306,33.21200448,865.145,1036.795,936.829
1620,15.76451,31.86236202,872.69,1036.412,937.07
