Time (s),Mass (g),HRR (kW/m2),TC Top (K),TC back 1 (K),TC back 2 (K)
0,99.37,7.085980153,305.424,293.65,293.206
1,99.615636,5.00599561,305.673,293.655,293.212
2,95.475447,4.193050152,325.88,293.636,293.187
3,90.670829,3.261668182,365.279,293.671,293.199
4,88.842229,2.699263801,410.152,293.671,293.192
5,87.884231,4.937890154,450.934,293.663,293.192
6,86.526495,3.123439811,463.556,293.664,293.196
7,85.094544,2.309722154,484.751,293.694,293.185
8,83.887754,2.995852015,512.4,293.722,293.189
9,82.842361,3.323890581,535.066,293.717,293.176
10,81.887526,2.335916202,555.305,293.723,293.169
11,81.060112,4.586700798,562.028,293.728,293.17
12,80.360265,9.691537045,573.478,293.758,293.076
13,79.821704,35.5800771,596.093,293.78,293.105
14,79.331929,40.42623043,626.35,293.811,293.201
15,78.309362,87.40956194,652.367,293.829,293.197
16,77.720492,137.2143041,660.643,293.831,293.18
17,77.364624,162.7307671,673.573,293.829,293.191
18,77.146375,179.870921,688.798,293.699,293.19
19,76.920782,189.1000247,703.719,293.842,293.207
20,76.686821,200.8806407,718.764,293.86,293.211
21,76.498737,209.1966114,724.153,293.799,293.206
22,76.120644,213.6527254,734.819,294.002,293.152
23,75.518169,211.2882001,746.795,294.158,293.136
24,74.329793,210.785726,759.265,294.246,293.096
25,72.744642,208.3380825,773.198,294.32,293.039
26,71.899062,200.0989771,777.985,294.344,293.023
27,71.535047,192.0530839,781.994,294.483,293.032
28,71.179876,180.9579623,787.001,294.646,293.047
29,70.775966,178.7864928,792.967,294.877,293.063
30,70.271609,170.6243984,800.099,295.138,293.093
31,69.823287,167.8991595,809.021,295.495,293.167
32,69.460623,161.1969389,812.305,295.634,293.199
33,69.055542,148.2636029,815.41,295.775,293.195
34,68.6207,137.848577,822.626,296.077,293.196
35,68.170624,135.2630161,839.368,296.603,293.194
36,67.790438,133.5719546,845.601,297.149,293.154
37,67.558632,128.781698,846.251,297.419,293.132
38,67.345717,123.0084896,849.66,297.644,293.123
39,67.19429,121.2502894,854.626,298.081,293.072
40,67.053822,124.2343565,858.076,298.642,293.041
41,66.916908,119.148543,862.192,299.283,293.015
42,66.769631,115.8197571,863.747,299.495,293.004
43,66.638456,118.6080374,867.201,299.888,292.975
44,66.577065,117.845676,877.247,300.743,292.986
45,66.563308,114.3475169,883.694,301.393,292.967
46,66.483912,115.3203288,884.519,302.148,292.955
47,66.375951,112.7465478,884.484,302.531,292.959
48,66.277119,108.9967831,884.858,302.896,292.94
49,66.197143,112.2079309,890.919,303.619,292.953
50,66.104104,114.9404963,897.528,304.365,292.955
51,66.036702,111.8268209,902.384,305.195,292.963
52,66.026793,108.3732224,903.831,305.505,292.972
53,65.970481,108.0630398,905.486,306.101,292.991
54,65.894637,105.0930708,909.725,306.913,292.981
55,65.807991,104.1301019,912.954,307.824,293.028
56,65.670936,105.3843123,914.633,308.704,293.014
57,65.540174,102.136131,915.153,308.97,292.991
58,65.426592,101.6691297,919.541,309.509,292.961
59,65.332702,103.0588268,923.092,310.444,293.005
60,65.265656,103.023607,927.761,311.346,293.055
61,65.177341,101.4020619,929.357,312.275,293.092
62,65.120465,102.3161537,928.658,312.623,293.11
63,65.095952,100.9968753,932.37,313.149,293.103
64,65.053205,102.6697357,936.862,314.143,293.134
65,64.951663,100.1378022,937.082,315.069,293.177
66,64.909577,98.25431189,939.28,315.996,293.18
67,64.876345,97.32410068,937.76,316.957,293.256
68,64.77171,97.63507761,936.137,317.284,293.299
69,64.624366,97.4401298,936.516,317.909,293.234
70,64.496979,95.04445294,948.236,318.868,293.252
71,64.401483,94.09847091,953.637,319.775,293.263
72,64.375923,93.55971374,950.421,320.706,293.292
73,64.359495,90.66998962,948.936,321.025,293.311
74,64.313088,91.79378346,945.297,321.624,293.282
75,64.271615,95.75799073,943.897,322.562,293.317
76,64.208886,97.95515895,944.412,323.47,293.34
77,64.135143,94.04768219,947.81,324.409,293.345
78,64.087381,93.73744822,949.78,324.741,293.35
79,64.066718,94.5987854,951.116,325.4,293.368
80,64.028559,92.94374482,955.144,326.358,293.404
81,63.981289,93.12500269,955.239,327.237,293.433
82,63.91359,91.85568967,952.612,328.208,293.457
83,63.863889,91.08711179,951.696,328.562,293.465
84,63.789259,92.85698848,951.347,329.168,293.516
85,63.721121,93.78368717,959.882,330.138,293.544
86,63.663048,92.7274357,965.503,331.256,293.545
87,63.601249,90.63599273,963.286,332.071,293.595
88,63.576107,85.7039708,961.713,332.293,293.622
89,63.546484,82.04556589,965.971,332.963,293.599
90,63.493539,86.02356811,966.831,334.062,293.613
91,63.420945,86.84727107,968.954,334.798,293.652
92,63.379344,88.7864024,973.668,335.267,293.691
93,63.362046,89.47652513,970.893,336.116,293.702
94,63.292678,86.04658798,971.081,337.146,293.738
95,63.198981,85.16588554,971.95,337.735,293.781
96,63.175168,86.64930862,976.063,338.682,293.832
97,63.184626,84.86014219,975.349,339.671,293.858
98,63.161322,83.37201163,973.74,340.025,293.864
99,63.105218,82.3464824,973.839,340.67,293.859
100,63.083028,83.58180897,969.067,341.653,293.856
101,63.078751,85.16476392,974.091,342.618,293.913
102,63.060435,82.54123719,977.334,343.824,294.001
103,63.002583,80.30333064,971.637,344.752,294.022
104,62.897295,80.97951845,969.365,344.99,294.019
105,62.82473,80.94802855,968.717,345.54,294.081
106,62.797321,81.79058124,967.537,346.458,294.142
107,62.8115,83.59430198,970.099,347.413,294.165
108,62.819788,82.53005307,971.934,348.347,294.236
109,62.762822,81.35282545,971.837,348.753,294.281
110,62.671299,83.3875924,973.925,349.259,294.278
111,62.588787,80.98046722,979.764,350.11,294.318
112,62.530879,79.84949625,979.505,351.036,294.372
113,62.482571,82.98799709,977.237,351.933,294.401
114,62.435113,82.76684307,977.199,352.236,294.409
115,62.36644,80.5424058,977.281,352.805,294.485
116,62.328914,80.40330673,974.4,353.663,294.572
117,62.224381,80.87073552,972.925,354.47,294.627
118,62.161137,79.55533426,978.431,355.319,294.699
119,62.156054,80.43419715,981.827,355.639,294.731
120,62.130755,80.03188599,980.471,356.216,294.747
121,62.080611,81.05261443,979.78,357.101,294.836
122,62.048962,78.96658019,979.23,358.091,294.918
123,62.02504,80.32764817,991.461,358.966,295.024
124,61.970572,79.84099543,998.754,359.195,295.072
125,61.905262,79.74775812,993.635,359.666,295.039
126,61.87158,80.18856009,989.39,360.444,295.12
127,61.840522,81.5342291,991.27,361.43,295.196
128,61.771784,80.79227575,990.615,362.413,295.283
129,61.70293,82.4954644,989.661,362.732,295.328
130,61.660903,82.45838117,989.344,363.262,295.376
131,61.60475,80.94912011,985.171,364.113,295.434
132,61.578489,79.84977372,983.425,364.957,295.502
133,61.560305,78.14791603,985.045,365.773,295.59
134,61.509409,76.60924175,985.722,366.053,295.622
135,61.400711,77.30998213,984.11,366.59,295.684
136,61.328265,78.06227879,981.435,367.343,295.801
137,61.294978,77.401235,979.355,368.049,295.885
138,61.278416,76.80837688,991.064,368.821,295.965
139,61.239738,78.54759029,990.408,369.609,296.044
140,61.200195,77.308389,985.059,369.925,296.072
141,61.162758,77.46226234,989.922,370.405,296.163
142,61.07173,78.30185606,990.591,371.082,296.282
143,60.961432,80.17729685,986.334,371.777,296.36
144,60.889088,78.532599,986.498,372.671,296.435
145,60.831636,79.69073131,993.688,373.231,296.468
146,60.738848,81.82819039,997.947,373.777,296.587
147,60.633694,80.41760822,1001.664,374.58,296.732
148,60.617311,78.85690156,999.623,375.387,296.812
149,60.583665,79.92199584,994.555,376.337,296.974
150,60.50801,80.73603011,992.967,376.705,297.064
151,60.466817,82.71762213,991.027,377.25,297.087
152,60.406692,79.72330974,991.404,378.073,297.172
153,60.3639,77.96500448,990.433,378.944,297.311
154,60.272485,78.07829975,987.992,379.735,297.41
155,60.172912,78.84296939,986.987,380.058,297.441
156,60.130185,77.10630004,983.699,380.599,297.591
157,60.091653,77.50619219,989.616,381.433,297.729
158,59.993102,77.8952759,994.392,382.298,297.837
159,59.868239,75.89646704,992.212,383.154,297.963
160,59.874151,75.68707932,991.225,383.441,298.005
161,59.868922,77.86074372,990.791,383.958,298.11
162,59.801938,77.38199991,990.984,384.709,298.256
163,59.740544,77.64584695,990.663,385.51,298.389
164,59.724336,77.39798641,994.281,386.27,298.509
165,59.65575,76.77381174,997.132,386.602,298.563
166,59.612958,75.77500079,1001.774,387.015,298.688
167,59.612095,76.2660814,1001.256,387.749,298.869
