Time (s),Mass (g),HRR (kW/m2),TC Top (K),TC back 1 (K),TC back 2 (K)
0,95.96,4.183563223,307.092,293.294,293.752
1,95.622567,3.184990914,307.441,293.274,293.765
2,95.267702,4.806469366,307.862,293.284,293.765
3,95.163361,3.374323722,308.127,293.293,293.763
4,95.087899,1.764134868,308.435,293.29,293.767
5,95.008059,2.194928912,322.878,293.288,293.784
6,94.988103,1.321559942,364.17,293.316,293.796
7,95.014627,-0.094139141,414.222,293.343,293.804
8,95.040056,1.338405255,452.528,293.376,293.802
9,95.03799,2.845206431,468.483,293.399,293.796
10,95.035786,0.893278641,484.996,293.406,293.814
11,95.033508,0.564241301,511.045,293.411,293.811
12,95.02229,0.934375317,532.125,293.443,293.807
13,95.006374,0.5905473,549.695,293.485,293.802
14,95.011271,-0.208866028,555.884,293.495,293.794
15,95.029315,11.51071579,564.711,293.503,293.814
16,94.951686,52.02486299,580.067,293.545,293.84
17,94.85914,125.8150308,593.7,293.579,293.822
18,94.769448,179.0936949,628.508,293.65,293.834
19,94.605686,180.4600247,647.078,293.693,293.851
20,94.425749,189.2840996,666.484,293.683,293.835
21,94.283939,214.7668563,697.587,293.768,293.859
22,94.120175,234.2154211,720.691,293.85,293.832
23,93.976693,231.5552056,746.961,293.905,293.81
24,93.84183,227.8608024,759.667,293.93,293.815
25,93.678573,214.3613886,780.045,293.981,293.858
26,93.566258,194.4300295,817.435,294.087,293.864
27,93.491515,181.0068732,842.89,294.254,293.82
28,93.385292,168.6197851,861.672,294.474,293.867
29,93.288415,166.4710458,870.577,294.576,293.923
30,93.162424,164.7181943,865.499,294.668,294.007
31,92.980501,152.273524,860.205,294.847,294.07
32,92.93277,139.8248874,856.572,295.061,294.077
33,92.914271,134.1315246,851.815,295.385,294.066
34,92.851382,132.3361585,849.659,295.749,294.094
35,92.782411,132.0996357,849.571,295.892,294.121
36,92.700048,124.7530036,850.66,296.048,294.138
37,92.663087,117.2759775,853.929,296.349,294.16
38,92.569233,119.0686516,871.357,296.953,294.11
39,92.497015,118.2988253,879.445,297.175,294.083
40,92.444783,115.6978502,885.568,297.435,294.108
41,92.361087,118.2512035,892.521,297.888,294.138
42,92.279127,114.9422492,893.347,298.478,294.188
43,92.227524,113.9444106,889.539,299.048,294.199
44,92.170078,113.6504841,900.448,299.676,294.224
45,92.099785,110.1837171,910.51,299.969,294.254
46,92.026109,108.7028664,914.96,300.34,294.265
47,91.953906,112.3314465,934.469,301.061,294.269
48,91.893648,113.1815403,952.815,301.818,294.298
49,91.817481,112.3036103,950.626,302.586,294.335
50,91.734539,110.9285871,943.721,302.942,294.343
51,91.68306,109.542229,940.696,303.381,294.374
52,91.63735,104.6431717,949.207,304.207,294.403
53,91.540377,101.5202802,969.393,305.138,294.432
54,91.478493,102.0485083,984.104,305.978,294.492
55,91.458872,99.43065594,990.436,306.362,294.525
56,91.398193,98.50188185,991.803,306.897,294.538
57,91.285202,100.5651086,989.701,307.842,294.548
58,91.205176,100.2982538,983.875,308.808,294.54
59,91.171797,102.3704499,985.264,309.753,294.569
60,91.094667,101.5066385,988.708,310.238,294.6
61,91.003563,100.732184,990.959,310.823,294.581
62,90.942891,99.67028796,992.147,311.801,294.568
63,90.910564,98.9180263,986.821,312.771,294.596
64,90.845895,99.79380022,989.706,313.804,294.607
65,90.761559,96.17371708,995.233,314.247,294.599
66,90.679266,94.05224424,993.179,314.865,294.682
67,90.615857,96.10432958,993.548,315.9,294.733
68,90.574089,94.65918038,993.694,316.981,294.742
69,90.530859,94.70940356,988.235,318.143,294.79
70,90.422995,96.59919541,985.261,318.633,294.81
71,90.340633,95.25666133,979.939,319.285,294.837
72,90.280513,92.00022387,972.933,320.415,294.881
73,90.225081,92.67704758,973.188,321.522,294.924
74,90.173505,94.71243996,983.051,322.622,294.96
75,90.106709,95.61731361,986.409,323.792,295.019
76,90.046455,97.19095637,983.413,324.322,295.058
77,89.972912,96.55686754,980.04,324.921,295.041
78,89.914516,94.34641223,978.275,326.016,295.04
79,89.841868,94.56380001,976.265,327.195,295.042
80,89.781014,93.07801111,972.616,328.419,295.065
81,89.732675,89.52209992,972.279,328.932,295.094
82,89.684627,89.30085759,970.819,329.536,295.103
83,89.608593,88.48257802,974.461,330.718,295.154
84,89.535989,87.40373381,978.179,331.869,295.187
85,89.483758,85.87661345,973.01,332.993,295.246
86,89.472374,85.28034685,968.99,333.47,295.286
87,89.44059,84.38425068,966.075,334.019,295.297
88,89.333113,83.16044714,967.78,335.176,295.342
89,89.231825,84.30829078,971.006,336.355,295.393
90,89.173263,84.951897,973.057,337.502,295.426
91,89.12447,83.20445633,975.218,337.99,295.438
92,89.083559,85.61142192,977.643,338.621,295.485
93,89.045205,85.74463248,976.243,339.799,295.597
94,88.997083,83.82645728,983.365,340.878,295.657
95,88.923699,86.51150554,999.246,341.991,295.76
96,88.836923,88.48620115,1006.826,342.57,295.856
97,88.811937,86.10902414,998.594,343.149,295.861
98,88.791332,86.25021272,986.105,344.396,295.934
99,88.734237,85.30221663,980.856,345.53,296
100,88.677796,84.92545501,981.911,346.658,296.058
101,88.5975,84.64159747,984.561,347.236,296.103
102,88.50429,86.21933532,981.808,347.817,296.157
103,88.438856,86.33861029,977.508,348.957,296.235
104,88.399054,86.46263718,981.989,350.222,296.297
105,88.312771,86.63171042,991.939,351.463,296.359
106,88.256554,87.75813817,995.325,351.937,296.382
107,88.243556,86.32844556,1002.698,352.648,296.451
108,88.185178,86.76811817,1005.001,353.745,296.563
109,88.120513,87.32564209,998.716,354.911,296.65
110,88.088308,85.31683937,996.357,356.206,296.74
111,88.05498,85.08433962,1002.282,357.386,296.811
112,87.975559,84.50607549,1005.931,357.847,296.832
113,87.913435,83.46353572,1001.441,358.548,296.917
114,87.867283,84.88052981,1003.979,359.747,296.988
115,87.815702,85.25944562,1005.935,360.883,297.054
116,87.752019,83.22697829,1005.129,362.082,297.184
117,87.672193,82.62166754,1005.742,362.596,297.248
118,87.59636,85.04413107,998.981,363.253,297.271
119,87.554466,85.52226196,994.463,364.491,297.399
120,87.531422,84.97377737,1000.902,365.665,297.534
121,87.481935,85.80446096,1007.288,366.825,297.668
122,87.443879,84.58172503,1008.974,367.403,297.752
123,87.403086,83.27029996,1015.261,368.025,297.824
124,87.337731,84.59394941,1017.913,369.232,297.957
125,87.272974,85.02158479,1010.719,370.559,298.098
126,87.202963,87.94187474,1018.62,371.888,298.241
127,87.112377,89.21896801,1026.979,372.428,298.3
128,87.045534,86.93542255,1023.081,373.219,298.419
129,87.016495,86.05039166,1019.725,374.556,298.554
130,86.973121,87.38810729,1013.467,375.915,298.682
131,86.93616,86.19023933,1007.685,377.24,298.816
132,86.899115,83.08773006,1006.921,377.845,298.864
133,86.843347,84.41155316,1007.117,378.522,298.949
134,86.782102,85.50887708,1013.37,379.705,299.115
135,86.711671,84.42343952,1018.137,380.814,299.231
136,86.658249,84.73222375,1018.763,381.898,299.394
137,86.618896,85.07160164,1019.75,382.396,299.517
138,86.545397,84.83850578,1014.696,383.049,299.584
139,86.446819,84.1458277,1010.28,384.188,299.733
140,86.390404,83.50428547,1007.476,385.341,299.886
141,86.362877,81.82250293,1002.509,386.409,300.057
142,86.303027,83.95233281,1000.412,386.816,300.135
143,86.201592,86.85361339,998.937,387.404,300.254
144,86.13752,85.61868476,997.592,388.431,300.408
145,86.140016,83.69209767,1002.838,389.399,300.578
146,86.104048,83.7975622,1011.844,390.334,300.737
147,85.971497,83.24335376,1019.755,391.379,300.927
148,85.921262,82.57517502,1022.533,391.841,301.035
