Time (s),Temperature (K),Mass (mg),Heat Flow (W/g)
0,308,7.8157,-0.0318
2.8,308.5,7.8124,-0.0328
5.6,309,7.8094,-0.0337
8.3,309.5,7.8058,-0.0347
11,310,7.8029,-0.0357
13.8,310.5,7.7991,-0.0368
16.3,311,7.7959,-0.0377
18.8,311.5,7.7925,-0.0386
21.3,312,7.7892,-0.0396
23.8,312.5,7.7859,-0.0406
26.3,313,7.7824,-0.0416
28.6,313.5,7.7788,-0.0426
30.9,314,7.7759,-0.0435
33.2,314.5,7.7721,-0.0445
35.5,315,7.769,-0.0453
37.8,315.5,7.7651,-0.0464
40.1,316,7.7618,-0.0472
42.4,316.5,7.7578,-0.0483
44.7,317,7.7545,-0.0492
47,317.5,7.7501,-0.0503
49,318,7.7462,-0.0513
51.3,318.5,7.7425,-0.0522
53.6,319,7.7379,-0.0534
55.6,319.5,7.7341,-0.0544
57.9,320,7.7301,-0.0554
60.2,320.5,7.7252,-0.0567
62.2,321,7.7211,-0.0578
64.2,321.5,7.7168,-0.0589
66.2,322,7.7123,-0.06
68.2,322.5,7.7076,-0.0612
70.2,323,7.7028,-0.0623
72.2,323.5,7.6979,-0.0635
74.2,324,7.6928,-0.0647
76.2,324.5,7.6876,-0.0659
78.2,325,7.6825,-0.0671
80.2,325.5,7.6772,-0.0683
82.2,326,7.6718,-0.0695
84.2,326.5,7.6663,-0.0708
85.9,327,7.6606,-0.072
87.7,327.5,7.6564,-0.073
89.7,328,7.6507,-0.0743
91.7,328.5,7.6449,-0.0756
93.4,329,7.639,-0.0769
95.2,329.5,7.6345,-0.0779
97.2,330,7.6284,-0.0792
99.2,330.5,7.6223,-0.0805
100.9,331,7.6161,-0.0819
102.7,331.5,7.6114,-0.0829
104.7,332,7.605,-0.0842
106.7,332.5,7.5983,-0.0856
108.4,333,7.5916,-0.0869
110.2,333.5,7.5866,-0.0879
112.2,334,7.5799,-0.0892
113.9,334.5,7.5732,-0.0905
115.6,335,7.5682,-0.0915
117.3,335.5,7.5614,-0.0928
119.1,336,7.5562,-0.0938
120.9,336.5,7.5492,-0.0951
122.6,337,7.5439,-0.0961
124.3,337.5,7.5368,-0.0973
126,338,7.5314,-0.0982
127.7,338.5,7.5242,-0.0994
129.5,339,7.5189,-0.1003
131.3,339.5,7.5117,-0.1014
133,340,7.5062,-0.1023
134.7,340.5,7.4989,-0.1034
136.2,341,7.4935,-0.1042
137.9,341.5,7.488,-0.1049
139.6,342,7.4807,-0.1059
141.1,342.5,7.4753,-0.1067
142.9,343,7.4699,-0.1074
144.7,343.5,7.4626,-0.1083
146.4,344,7.4572,-0.1089
148.1,344.5,7.4499,-0.1097
149.6,345,7.4446,-0.1103
151.1,345.5,7.4392,-0.1108
152.8,346,7.4339,-0.1114
154.5,346.5,7.4267,-0.112
156,347,7.4215,-0.1125
157.5,347.5,7.4163,-0.1129
159.3,348,7.411,-0.1133
161.1,348.5,7.404,-0.1138
162.6,349,7.3989,-0.1142
164.1,349.5,7.3938,-0.1145
165.6,350,7.3886,-0.1148
167.1,350.5,7.3836,-0.1151
168.6,351,7.3785,-0.1153
170.3,351.5,7.3736,-0.1155
172,352,7.367,-0.1157
173.5,352.5,7.3621,-0.1158
175,353,7.3573,-0.1158
176.5,353.5,7.3522,-0.1158
178,354,7.3478,-0.1159
179.5,354.5,7.3429,-0.1158
181,355,7.3386,-0.1158
182.5,355.5,7.3342,-0.1156
184,356,7.3294,-0.1154
185.5,356.5,7.3253,-0.1153
187,357,7.3206,-0.115
188.5,357.5,7.3166,-0.1148
190,358,7.3122,-0.1144
191.5,358.5,7.308,-0.1141
193,359,7.3042,-0.1138
194.5,359.5,7.3002,-0.1134
196,360,7.296,-0.1129
197.5,360.5,7.2924,-0.1125
199,361,7.2884,-0.1119
200.5,361.5,7.2847,-0.1114
202,362,7.2823,-0.1111
203.5,362.5,7.2789,-0.1106
205,363,7.2751,-0.11
206.5,363.5,7.2716,-0.1094
208,364,7.2684,-0.1088
209.5,364.5,7.2649,-0.1081
211,365,7.2629,-0.1077
212.5,365.5,7.2595,-0.107
214,366,7.2563,-0.1063
215.5,366.5,7.2532,-0.1055
217,367,7.2501,-0.1048
218.5,367.5,7.2473,-0.104
220,368,7.2446,-0.1033
221.5,368.5,7.2418,-0.1026
223,369,7.2399,-0.1021
224.5,369.5,7.2373,-0.1013
226,370,7.2345,-0.1005
227.5,370.5,7.2319,-0.0997
229,371,7.2296,-0.099
230.5,371.5,7.227,-0.0981
232,372,7.2256,-0.0976
233.5,372.5,7.2232,-0.0967
235,373,7.2211,-0.096
236.5,373.5,7.219,-0.0952
238,374,7.2168,-0.0944
239.5,374.5,7.2155,-0.0939
241,375,7.2133,-0.0929
242.5,375.5,7.2115,-0.0922
244,376,7.2094,-0.0913
245.5,376.5,7.2084,-0.0908
247,377,7.2066,-0.09
248.5,377.5,7.2048,-0.0891
250,378,7.2031,-0.0883
251.5,378.5,7.2014,-0.0873
253,379,7.2004,-0.0868
254.5,379.5,7.1989,-0.086
256,380,7.1975,-0.0852
257.5,380.5,7.1961,-0.0843
259,381,7.1952,-0.0838
260.5,381.5,7.1938,-0.0828
262,382,7.1925,-0.082
263.5,382.5,7.1917,-0.0815
265,383,7.1905,-0.0806
266.5,383.5,7.1893,-0.0797
268,384,7.1883,-0.079
269.5,384.5,7.1875,-0.0784
271,385,7.1864,-0.0776
272.5,385.5,7.1854,-0.0767
274,386,7.1848,-0.0763
275.5,386.5,7.1838,-0.0754
277,387,7.1828,-0.0746
278.5,387.5,7.1819,-0.0738
280,388,7.181,-0.0731
281.5,388.5,7.1805,-0.0726
283,389,7.1797,-0.0719
284.5,389.5,7.179,-0.0712
286,390,7.1783,-0.0705
287.5,390.5,7.1777,-0.07
289,391,7.1771,-0.0693
290.5,391.5,7.1764,-0.0687
292,392,7.1757,-0.0681
293.5,392.5,7.1753,-0.0677
295,393,7.1747,-0.0671
296.5,393.5,7.174,-0.0666
298,394,7.1734,-0.066
299.5,394.5,7.1729,-0.0655
301,395,7.1725,-0.0652
302.5,395.5,7.172,-0.0647
304,396,7.1715,-0.0642
305.5,396.5,7.1709,-0.0638
307,397,7.1706,-0.0635
308.5,397.5,7.1701,-0.0631
310,398,7.1696,-0.0627
311.5,398.5,7.1692,-0.0623
313,399,7.1689,-0.062
314.5,399.5,7.1686,-0.0618
316,400,7.1682,-0.0615
317.5,400.5,7.1676,-0.0612
319,401,7.1671,-0.061
320.5,401.5,7.1667,-0.0608
322,402,7.1664,-0.0606
323.5,402.5,7.166,-0.0604
325,403,7.1656,-0.0603
326.5,403.5,7.1652,-0.0601
328,404,7.165,-0.0601
329.5,404.5,7.1646,-0.06
331,405,7.1642,-0.06
332.5,405.5,7.1638,-0.06
334,406,7.1635,-0.0599
335.5,406.5,7.1632,-0.06
337,407,7.1628,-0.06
338.5,407.5,7.1625,-0.06
340,408,7.1622,-0.0601
341.5,408.5,7.1619,-0.0602
343,409,7.1616,-0.0602
344.5,409.5,7.1612,-0.0603
346,410,7.1609,-0.0604
347.5,410.5,7.1605,-0.0606
349,411,7.1603,-0.0607
350.5,411.5,7.1599,-0.0608
352,412,7.1596,-0.0609
353.5,412.5,7.1592,-0.0611
355,413,7.159,-0.0612
356.5,413.5,7.1586,-0.0614
358,414,7.1582,-0.0616
359.5,414.5,7.1578,-0.0618
361,415,7.1576,-0.0619
362.5,415.5,7.1571,-0.0621
364,416,7.1567,-0.0623
365.5,416.5,7.1564,-0.0625
367,417,7.1561,-0.0626
368.5,417.5,7.1557,-0.0628
370,418,7.1554,-0.0631
371.5,418.5,7.1551,-0.0635
373,419,7.1548,-0.0639
374.5,419.5,7.1546,-0.0643
376,420,7.1542,-0.0647
377.5,420.5,7.1539,-0.0651
379,421,7.1536,-0.0655
380.5,421.5,7.1532,-0.0658
382,422,7.153,-0.0661
383.5,422.5,7.1527,-0.0665
385,423,7.1524,-0.0668
386.5,423.5,7.1521,-0.0672
388,424,7.1518,-0.0674
389.5,424.5,7.1514,-0.0678
391,425,7.151,-0.0681
392.5,425.5,7.1506,-0.0685
394,426,7.1502,-0.0688
395.5,426.5,7.15,-0.0691
397,427,7.1497,-0.0694
398.5,427.5,7.1493,-0.0697
400,428,7.149,-0.07
401.5,428.5,7.1488,-0.0702
403,429,7.1484,-0.0706
404.5,429.5,7.148,-0.0709
406,430,7.1477,-0.0713
407.5,430.5,7.1474,-0.0715
409,431,7.147,-0.0719
410.5,431.5,7.1467,-0.0722
412,432,7.1463,-0.0726
413.5,432.5,7.1459,-0.0729
415,433,7.1457,-0.0731
416.5,433.5,7.1453,-0.0735
418,434,7.145,-0.0738
419.5,434.5,7.1446,-0.0741
421,435,7.1444,-0.0744
422.5,435.5,7.144,-0.0747
424,436,7.1435,-0.075
425.5,436.5,7.1431,-0.0752
427,437,7.1429,-0.0754
428.5,437.5,7.1426,-0.0757
430,438,7.1421,-0.076
431.5,438.5,7.1417,-0.0762
433,439,7.1413,-0.0764
434.5,439.5,7.1408,-0.0766
436,440,7.1404,-0.0768
437.5,440.5,7.14,-0.077
439,441,7.1396,-0.0772
440.5,441.5,7.1392,-0.0775
442,442,7.139,-0.0777
443.5,442.5,7.1386,-0.0779
445,443,7.1381,-0.0782
446.5,443.5,7.1377,-0.0786
448,444,7.1373,-0.0788
449.5,444.5,7.1368,-0.0792
451,445,7.1364,-0.0795
452.5,445.5,7.1359,-0.0798
454,446,7.1356,-0.08
455.5,446.5,7.1351,-0.0804
457,447,7.1347,-0.0808
458.5,447.5,7.1342,-0.0812
460,448,7.1339,-0.0814
461.5,448.5,7.1335,-0.0818
463,449,7.133,-0.0822
464.5,449.5,7.1326,-0.0825
466,450,7.1323,-0.0828
467.5,450.5,7.1319,-0.0831
469,451,7.1314,-0.0835
470.5,451.5,7.1308,-0.0839
472,452,7.1304,-0.0841
473.5,452.5,7.1299,-0.0845
