Time (s),Temperature (K),Mass (mg),Heat Flow (W/g)
0,308,10.2556,-0.0312
4.5,308.5,10.2513,-0.032
9,309,10.2468,-0.0329
13.5,309.5,10.2424,-0.0339
18,310,10.2375,-0.0347
22.3,310.5,10.2327,-0.0356
26.6,311,10.2281,-0.0365
30.9,311.5,10.2231,-0.0374
34.9,312,10.2185,-0.0382
38.9,312.5,10.2137,-0.039
42.9,313,10.2087,-0.0399
46.9,313.5,10.2036,-0.0408
50.7,314,10.1984,-0.0416
54.5,314.5,10.1938,-0.0424
58.5,315,10.1883,-0.0433
62.3,315.5,10.1826,-0.0442
66.1,316,10.1776,-0.0449
69.9,316.5,10.1718,-0.0458
73.4,317,10.1666,-0.0466
77.2,317.5,10.1613,-0.0474
81.2,318,10.1551,-0.0483
85,318.5,10.1487,-0.0492
88.8,319,10.143,-0.05
92.6,319.5,10.1364,-0.051
96.1,320,10.1305,-0.0519
99.9,320.5,10.1243,-0.0528
103.7,321,10.117,-0.0538
107.2,321.5,10.1106,-0.0548
110.7,322,10.1041,-0.0558
114.2,322.5,10.0975,-0.0567
117.7,323,10.0904,-0.0577
121.5,323.5,10.0832,-0.0587
125.3,324,10.0747,-0.0599
128.8,324.5,10.0671,-0.0609
132.3,325,10.0595,-0.062
135.6,325.5,10.0516,-0.063
138.8,326,10.0448,-0.0639
142.3,326.5,10.0369,-0.0649
145.8,327,10.0287,-0.066
149.3,327.5,10.0204,-0.067
152.5,328,10.0121,-0.068
155.7,328.5,10.0048,-0.0689
159.2,329,9.9963,-0.07
162.5,329.5,9.9877,-0.071
165.7,330,9.9802,-0.0718
169.2,330.5,9.9713,-0.0728
172.7,331,9.9624,-0.0737
176,331.5,9.9534,-0.0747
179.2,332,9.9457,-0.0755
182.7,332.5,9.9366,-0.0764
185.9,333,9.9272,-0.0773
189.2,333.5,9.9191,-0.078
192.7,334,9.9099,-0.0788
195.9,334.5,9.9006,-0.0796
199.1,335,9.8926,-0.0803
202.3,335.5,9.8832,-0.081
205.3,336,9.8753,-0.0817
208.6,336.5,9.8672,-0.0823
211.9,337,9.8579,-0.0829
214.9,337.5,9.8498,-0.0835
218.1,338,9.8416,-0.084
221.3,338.5,9.8322,-0.0846
224.3,339,9.824,-0.085
