Time (s),Temperature (K),Mass (mg),Heat Flow Rate (W/g)
0,308,7.8157,0.4021
2.8,308.5,7.8124,0.4151
5.6,309,7.8094,0.4263
8.3,309.5,7.8058,0.44
11,310,7.8029,0.4517
13.8,310.5,7.7991,0.4656
16.3,311,7.7959,0.4772
18.8,311.5,7.7925,0.4893
21.3,312,7.7892,0.5016
23.8,312.5,7.7859,0.5139
26.3,313,7.7824,0.5266
28.6,313.5,7.7788,0.5397
30.9,314,7.7759,0.5503
33.2,314.5,7.7721,0.5633
35.5,315,7.769,0.5738
37.8,315.5,7.7651,0.5872
40.1,316,7.7618,0.5981
42.4,316.5,7.7578,0.6119
44.7,317,7.7545,0.6233
47,317.5,7.7501,0.6376
49,318,7.7462,0.6491
51.3,318.5,7.7425,0.6611
53.6,319,7.7379,0.6762
55.6,319.5,7.7341,0.6886
57.9,320,7.7301,0.7015
60.2,320.5,7.7252,0.7179
62.2,321,7.7211,0.7315
64.2,321.5,7.7168,0.7455
66.2,322,7.7123,0.7599
68.2,322.5,7.7076,0.7745
70.2,323,7.7028,0.7891
72.2,323.5,7.6979,0.8038
74.2,324,7.6928,0.8187
76.2,324.5,7.6876,0.834
78.2,325,7.6825,0.8491
80.2,325.5,7.6772,0.8646
82.2,326,7.6718,0.8806
84.2,326.5,7.6663,0.8963
85.9,327,7.6606,0.9121
87.7,327.5,7.6564,0.9242
89.7,328,7.6507,0.9409
91.7,328.5,7.6449,0.9575
93.4,329,7.639,0.9739
95.2,329.5,7.6345,0.9865
97.2,330,7.6284,1.0032
99.2,330.5,7.6223,1.0199
100.9,331,7.6161,1.0368
102.7,331.5,7.6114,1.0493
104.7,332,7.605,1.0663
106.7,332.5,7.5983,1.0834
108.4,333,7.5916,1.1004
110.2,333.5,7.5866,1.1131
112.2,334,7.5799,1.1298
113.9,334.5,7.5732,1.1466
115.6,335,7.5682,1.159
117.3,335.5,7.5614,1.1756
119.1,336,7.5562,1.188
120.9,336.5,7.5492,1.2043
122.6,337,7.5439,1.2163
124.3,337.5,7.5368,1.2321
126,338,7.5314,1.2435
127.7,338.5,7.5242,1.2586
129.5,339,7.5189,1.2698
131.3,339.5,7.5117,1.2844
133,340,7.5062,1.2952
134.7,340.5,7.4989,1.3089
136.2,341,7.4935,1.3189
137.9,341.5,7.488,1.3284
139.6,342,7.4807,1.3411
141.1,342.5,7.4753,1.3506
142.9,343,7.4699,1.3597
144.7,343.5,7.4626,1.371
146.4,344,7.4572,1.3788
148.1,344.5,7.4499,1.389
149.6,345,7.4446,1.3964
151.1,345.5,7.4392,1.4036
152.8,346,7.4339,1.4102
154.5,346.5,7.4267,1.4184
156,347,7.4215,1.4242
157.5,347.5,7.4163,1.4298
159.3,348,7.411,1.435
161.1,348.5,7.404,1.4415
162.6,349,7.3989,1.446
164.1,349.5,7.3938,1.4503
165.6,350,7.3886,1.4542
167.1,350.5,7.3836,1.4576
168.6,351,7.3785,1.4606
170.3,351.5,7.3736,1.4631
172,352,7.367,1.4656
173.5,352.5,7.3621,1.4665
175,353,7.3573,1.4669
176.5,353.5,7.3522,1.4669
178,354,7.3478,1.4673
179.5,354.5,7.3429,1.4666
181,355,7.3386,1.4659
182.5,355.5,7.3342,1.4644
184,356,7.3294,1.4618
185.5,356.5,7.3253,1.4597
187,357,7.3206,1.4561
188.5,357.5,7.3166,1.4533
190,358,7.3122,1.4491
191.5,358.5,7.308,1.4449
193,359,7.3042,1.441
194.5,359.5,7.3002,1.436
196,360,7.296,1.4297
197.5,360.5,7.2924,1.4245
199,361,7.2884,1.4176
200.5,361.5,7.2847,1.4112
202,362,7.2823,1.4068
203.5,362.5,7.2789,1.4008
205,363,7.2751,1.3928
206.5,363.5,7.2716,1.3852
208,364,7.2684,1.3782
209.5,364.5,7.2649,1.3691
211,365,7.2629,1.3643
212.5,365.5,7.2595,1.3546
214,366,7.2563,1.3456
215.5,366.5,7.2532,1.3365
217,367,7.2501,1.327
218.5,367.5,7.2473,1.3173
220,368,7.2446,1.3086
221.5,368.5,7.2418,1.299
223,369,7.2399,1.2927
224.5,369.5,7.2373,1.2829
226,370,7.2345,1.2721
227.5,370.5,7.2319,1.2624
229,371,7.2296,1.2534
230.5,371.5,7.227,1.2421
232,372,7.2256,1.2363
233.5,372.5,7.2232,1.2248
235,373,7.2211,1.2161
236.5,373.5,7.219,1.2061
238,374,7.2168,1.1958
239.5,374.5,7.2155,1.1888
241,375,7.2133,1.177
