Time (s),Temperature (K),Mass (mg),Heat Flow (W/g)
0,308,8.3155,-0.0301
4.5,308.5,8.3106,-0.0309
9,309,8.3058,-0.0317
13.5,309.5,8.3009,-0.0326
18,310,8.2957,-0.0334
22.3,310.5,8.2904,-0.0342
26.6,311,8.2856,-0.035
30.9,311.5,8.28,-0.0358
34.9,312,8.2749,-0.0365
38.9,312.5,8.2699,-0.0373
42.9,313,8.2648,-0.0381
46.9,313.5,8.2593,-0.0389
50.7,314,8.2537,-0.0397
54.5,314.5,8.2488,-0.0404
58.5,315,8.243,-0.0412
62.3,315.5,8.2372,-0.042
66.1,316,8.2321,-0.0427
69.9,316.5,8.226,-0.0435
73.4,317,8.2205,-0.0442
77.2,317.5,8.2149,-0.0448
81.2,318,8.2084,-0.0457
85,318.5,8.2018,-0.0465
88.8,319,8.196,-0.0472
92.6,319.5,8.1894,-0.048
96.1,320,8.1834,-0.0488
99.9,320.5,8.1772,-0.0496
103.7,321,8.1698,-0.0505
107.2,321.5,8.1631,-0.0512
110.7,322,8.1562,-0.052
114.2,322.5,8.1494,-0.0528
117.7,323,8.1424,-0.0536
121.5,323.5,8.1352,-0.0543
125.3,324,8.127,-0.0552
128.8,324.5,8.1199,-0.056
132.3,325,8.1124,-0.0568
135.6,325.5,8.105,-0.0575
138.8,326,8.0986,-0.0581
142.3,326.5,8.0911,-0.0589
145.8,327,8.0833,-0.0596
149.3,327.5,8.0756,-0.0604
152.5,328,8.0679,-0.0611
155.7,328.5,8.0613,-0.0616
159.2,329,8.0535,-0.0624
162.5,329.5,8.0457,-0.063
165.7,330,8.039,-0.0636
169.2,330.5,8.031,-0.0641
172.7,331,8.0231,-0.0647
176,331.5,8.0152,-0.0652
179.2,332,8.0084,-0.0656
182.7,332.5,8.0003,-0.0661
185.9,333,7.9923,-0.0665
189.2,333.5,7.9856,-0.0668
192.7,334,7.9778,-0.0672
195.9,334.5,7.9699,-0.0676
199.1,335,7.9632,-0.0677
202.3,335.5,7.9553,-0.0679
205.3,336,7.9485,-0.0682
208.6,336.5,7.9418,-0.0684
211.9,337,7.934,-0.0685
214.9,337.5,7.9274,-0.0686
218.1,338,7.921,-0.0686
221.3,338.5,7.9135,-0.0687
224.3,339,7.907,-0.0688
227.3,339.5,7.9006,-0.0688
230.3,340,7.8943,-0.0688
233.5,340.5,7.8881,-0.0687
236.7,341,7.8808,-0.0687
239.7,341.5,7.8747,-0.0685
242.7,342,7.8688,-0.0683
245.7,342.5,7.8628,-0.0682
248.7,343,7.857,-0.068
252,343.5,7.8512,-0.0678
255.3,344,7.8446,-0.0675
258.3,344.5,7.8388,-0.0674
261.3,345,7.8333,-0.0671
264.3,345.5,7.8279,-0.0667
267.3,346,7.8225,-0.0663
270.3,346.5,7.8172,-0.066
273.3,347,7.812,-0.0658
276.3,347.5,7.8069,-0.0654
279.3,348,7.8019,-0.065
282.3,348.5,7.7969,-0.0645
285.3,349,7.7921,-0.0641
288.3,349.5,7.7874,-0.0636
291.3,350,7.7828,-0.0631
294,350.5,7.7783,-0.0627
296.7,351,7.7746,-0.0622
299.7,351.5,7.7702,-0.0616
302.7,352,7.7659,-0.0611
305.5,352.5,7.7618,-0.0605
308.3,353,7.7584,-0.06
311.3,353.5,7.7544,-0.0595
314.3,354,7.7503,-0.0589
317.3,354.5,7.7464,-0.0583
320.1,355,7.7427,-0.0577
322.9,355.5,7.7397,-0.0572
325.9,356,7.7362,-0.0565
328.9,356.5,7.7328,-0.056
331.6,357,7.7294,-0.0553
334.3,357.5,7.7267,-0.0548
337.3,358,7.7235,-0.0541
340.3,358.5,7.7204,-0.0535
343.1,359,7.7174,-0.0528
345.9,359.5,7.715,-0.0523
348.9,360,7.7123,-0.0517
351.7,360.5,7.7094,-0.051
354.5,361,7.7072,-0.0505
357.5,361.5,7.7046,-0.05
360.2,362,7.7022,-0.0495
362.9,362.5,7.7002,-0.0489
365.7,363,7.6977,-0.0483
368.5,363.5,7.6957,-0.0478
371.3,364,7.6935,-0.0472
374.1,364.5,7.6917,-0.0468
377.1,365,7.6895,-0.0462
379.8,365.5,7.6875,-0.0457
382.5,366,7.6859,-0.0451
385.5,366.5,7.684,-0.0444
388.3,367,7.6822,-0.0439
391.1,367.5,7.6807,-0.0435
394.1,368,7.679,-0.043
397.1,368.5,7.6774,-0.0425
399.9,369,7.6758,-0.0421
