Time (s),Temperature (K),Mass (mg),Heat Flow Rate(W/g)
0,308,8.6731,0.2717
8.3,308.5,8.6663,0.2793
16,309,8.66,0.2858
23.3,309.5,8.6538,0.292
30.8,310,8.648,0.298
38.5,310.5,8.6414,0.3049
46,311,8.6348,0.3114
53,311.5,8.628,0.3178
60,312,8.6223,0.3231
67.5,312.5,8.6153,0.3305
74.7,313,8.6083,0.3371
81.2,313.5,8.6016,0.3435
88,314,8.5957,0.3484
95,314.5,8.5882,0.355
102,315,8.5819,0.3608
109,315.5,8.5742,0.3674
115.5,316,8.5675,0.373
122.3,316.5,8.5606,0.3786
129.1,317,8.553,0.3849
135.9,317.5,8.546,0.3909
142.7,318,8.5382,0.397
149.5,318.5,8.5308,0.403
156.5,319,8.5227,0.4094
163.5,319.5,8.5144,0.4156
170.3,320,8.5061,0.4215
177.1,320.5,8.4981,0.4272
183.9,321,8.4895,0.4336
190.4,321.5,8.4812,0.4394
196.9,322,8.473,0.4448
203.4,322.5,8.4649,0.45
209.9,323,8.4566,0.4551
216.4,323.5,8.4482,0.4595
222.9,324,8.4397,0.4647
229.4,324.5,8.4312,0.4696
235.9,325,8.4227,0.474
242.1,325.5,8.414,0.4779
248.4,326,8.4062,0.4817
254.7,326.5,8.3975,0.4855
260.9,327,8.3895,0.4894
267.4,327.5,8.3808,0.4921
273.6,328,8.3721,0.4958
279.6,328.5,8.3642,0.4985
285.6,329,8.3562,0.5009
291.9,329.5,8.3483,0.5032
298.2,330,8.3397,0.505
304.4,330.5,8.332,0.5065
310.6,331,8.3234,0.5083
316.8,331.5,8.3156,0.5094
323,332,8.3072,0.51
329.3,332.5,8.2995,0.5111
335.6,333,8.2914,0.5111
341.8,333.5,8.284,0.5109
348,334,8.276,0.511
354,334.5,8.2687,0.5106
360,335,8.2612,0.5099
366,335.5,8.254,0.5086
372,336,8.2471,0.5073
378.2,336.5,8.2401,0.5058
384.4,337,8.2325,0.5039
390.4,337.5,8.2258,0.502
396.4,338,8.2191,0.4999
402.4,338.5,8.2125,0.4979
408.2,339,8.2056,0.4946
414,339.5,8.1997,0.4923
420,340,8.1934,0.4892
426,340.5,8.1871,0.4863
432,341,8.1811,0.4832
438,341.5,8.175,0.4794
444,342,8.169,0.4758
450,342.5,8.1632,0.4724
456,343,8.1578,0.4684
462,343.5,8.1523,0.4645
468.2,344,8.147,0.4598
474.2,344.5,8.1413,0.4553
480,345,8.1364,0.4511
486.2,345.5,8.1314,0.4471
492.4,346,8.1259,0.4418
498.4,346.5,8.1209,0.4368
504.2,347,8.1161,0.4325
510,347.5,8.1119,0.4285
516,348,8.1076,0.4235
522,348.5,8.1031,0.4186
528,349,8.0988,0.4147
534,349.5,8.0947,0.4101
540,350,8.0906,0.4058
545.8,350.5,8.0866,0.4014
551.6,351,8.083,0.3974
557.6,351.5,8.0792,0.3927
563.3,352,8.0755,0.3886
569,352.5,8.0722,0.3839
575,353,8.0688,0.3799
581,353.5,8.0654,0.3752
587,354,8.0623,0.3718
592.8,354.5,8.0591,0.3677
598.8,355,8.0564,0.3638
605,355.5,8.0533,0.3595
