Time (s),Temperature (K),Mass (mg),Heat Flow Rate(W/g)
0,308,7.5918,0.4276
2.8,308.5,7.5891,0.4432
5.6,309,7.5865,0.4564
8.3,309.5,7.5833,0.4724
11,310,7.5805,0.4858
13.8,310.5,7.5772,0.5026
16.3,311,7.5744,0.5169
18.8,311.5,7.5714,0.5314
21.3,312,7.5684,0.5462
23.8,312.5,7.5653,0.5614
26.3,313,7.562,0.5769
28.6,313.5,7.5587,0.5928
30.9,314,7.5561,0.6055
33.2,314.5,7.5527,0.6217
35.5,315,7.5498,0.6347
37.8,315.5,7.546,0.6507
40.1,316,7.5429,0.6641
42.4,316.5,7.5391,0.6811
44.7,317,7.536,0.695
47,317.5,7.5321,0.7125
49,318,7.5288,0.7271
51.3,318.5,7.5254,0.742
53.6,319,7.5211,0.7608
55.6,319.5,7.5174,0.7761
57.9,320,7.5136,0.7918
60.2,320.5,7.5088,0.8117
62.2,321,7.5047,0.8279
64.2,321.5,7.5005,0.8442
66.2,322,7.4962,0.8607
68.2,322.5,7.4916,0.8775
70.2,323,7.4869,0.8943
72.2,323.5,7.4822,0.9112
74.2,324,7.4774,0.9286
76.2,324.5,7.4725,0.9463
78.2,325,7.4674,0.9641
80.2,325.5,7.4622,0.982
82.2,326,7.457,1.0001
84.2,326.5,7.4516,1.0183
85.9,327,7.4463,1.0368
87.7,327.5,7.4422,1.051
89.7,328,7.4366,1.0703
91.7,328.5,7.4309,1.0895
93.4,329,7.4251,1.1085
95.2,329.5,7.4207,1.1231
97.2,330,7.4148,1.1428
99.2,330.5,7.4088,1.1624
100.9,331,7.4027,1.1817
102.7,331.5,7.3981,1.1965
104.7,332,7.3917,1.2164
106.7,332.5,7.3854,1.2361
108.4,333,7.3789,1.2558
110.2,333.5,7.374,1.2705
112.2,334,7.3675,1.29
113.9,334.5,7.3609,1.3097
115.6,335,7.3559,1.3244
117.3,335.5,7.3492,1.344
119.1,336,7.3441,1.3587
120.9,336.5,7.3372,1.378
122.6,337,7.332,1.3923
124.3,337.5,7.325,1.4109
126,338,7.3197,1.4246
127.7,338.5,7.3127,1.4425
129.5,339,7.3073,1.4558
131.3,339.5,7.3002,1.4734
133,340,7.2948,1.4862
134.7,340.5,7.2877,1.5025
136.2,341,7.2823,1.5146
137.9,341.5,7.2767,1.5264
139.6,342,7.2694,1.5423
141.1,342.5,7.2639,1.5539
142.9,343,7.2585,1.5651
144.7,343.5,7.2512,1.5795
146.4,344,7.2456,1.5896
148.1,344.5,7.2384,1.6028
149.6,345,7.233,1.6124
151.1,345.5,7.2277,1.6219
152.8,346,7.2224,1.6309
154.5,346.5,7.2154,1.6423
156,347,7.21,1.6502
157.5,347.5,7.2047,1.658
159.3,348,7.1994,1.6656
161.1,348.5,7.1925,1.6756
162.6,349,7.1872,1.6825
164.1,349.5,7.182,1.6889
165.6,350,7.1769,1.6949
167.1,350.5,7.1718,1.7003
168.6,351,7.1667,1.7053
170.3,351.5,7.1616,1.7097
172,352,7.155,1.7146
173.5,352.5,7.1501,1.7177
175,353,7.1452,1.72
176.5,353.5,7.1405,1.7218
178,354,7.1356,1.7229
179.5,354.5,7.1309,1.7234
181,355,7.1263,1.7233
182.5,355.5,7.1217,1.7226
184,356,7.1171,1.7215
185.5,356.5,7.1125,1.7198
187,357,7.108,1.7174
188.5,357.5,7.1036,1.7147
190,358,7.0993,1.7114
191.5,358.5,7.0951,1.708
193,359,7.0908,1.7043
194.5,359.5,7.0867,1.6997
196,360,7.0826,1.6944
197.5,360.5,7.0786,1.6885
199,361,7.0746,1.6825
200.5,361.5,7.0708,1.6761
202,362,7.0683,1.6718
203.5,362.5,7.0647,1.6646
205,363,7.061,1.657
206.5,363.5,7.0573,1.6489
208,364,7.0537,1.6404
209.5,364.5,7.0502,1.6316
211,365,7.0478,1.6256
212.5,365.5,7.0444,1.6165
214,366,7.0411,1.6074
215.5,366.5,7.0379,1.598
217,367,7.0347,1.5884
218.5,367.5,7.0315,1.5785
220,368,7.0283,1.5683
221.5,368.5,7.0253,1.5583
223,369,7.0233,1.5517
224.5,369.5,7.0205,1.5417
226,370,7.0176,1.5317
227.5,370.5,7.0148,1.5216
229,371,7.0121,1.5113
230.5,371.5,7.0094,1.5011
232,372,7.0077,1.494
233.5,372.5,7.0052,1.4834
235,373,7.0028,1.4728
236.5,373.5,7.0005,1.4621
238,374,6.9981,1.451
239.5,374.5,6.9965,1.4435
241,375,6.9943,1.4322
242.5,375.5,6.9922,1.4209
244,376,6.9902,1.4094
245.5,376.5,6.9889,1.4019
247,377,6.9869,1.3904
248.5,377.5,6.985,1.3786
250,378,6.9832,1.3668
