Time (s),Temperature (K),Mass (mg),Heat Flow (W/g)
0,308,7.0113,-0.0254
8.3,308.5,7.0043,-0.026
16,309,6.9973,-0.0265
23.3,309.5,6.9906,-0.027
30.8,310,6.9846,-0.0275
38.5,310.5,6.9774,-0.028
46,311,6.9706,-0.0285
53,311.5,6.9635,-0.0291
60,312,6.9576,-0.0295
67.5,312.5,6.9505,-0.03
74.7,313,6.9431,-0.0305
81.2,313.5,6.9365,-0.031
88,314,6.9305,-0.0314
95,314.5,6.9232,-0.0319
102,315,6.9166,-0.0323
109,315.5,6.9089,-0.0328
115.5,316,6.9022,-0.0331
122.3,316.5,6.8954,-0.0335
129.1,317,6.8879,-0.0339
135.9,317.5,6.8812,-0.0343
142.7,318,6.8739,-0.0347
149.5,318.5,6.867,-0.035
156.5,319,6.8597,-0.0354
163.5,319.5,6.852,-0.0358
170.3,320,6.8444,-0.0361
177.1,320.5,6.837,-0.0365
183.9,321,6.829,-0.0368
190.4,321.5,6.8214,-0.0372
196.9,322,6.8139,-0.0374
203.4,322.5,6.8063,-0.0376
209.9,323,6.7989,-0.0378
216.4,323.5,6.7915,-0.038
222.9,324,6.7841,-0.0382
229.4,324.5,6.7766,-0.0383
235.9,325,6.7692,-0.0384
242.1,325.5,6.762,-0.0386
248.4,326,6.7553,-0.0386
254.7,326.5,6.7481,-0.0387
260.9,327,6.7414,-0.0388
267.4,327.5,6.7343,-0.0388
273.6,328,6.7272,-0.0388
279.6,328.5,6.7208,-0.0388
285.6,329,6.7144,-0.0388
291.9,329.5,6.708,-0.0387
298.2,330,6.7011,-0.0387
304.4,330.5,6.6948,-0.0386
310.6,331,6.6881,-0.0385
316.8,331.5,6.682,-0.0384
323,332,6.6757,-0.0383
329.3,332.5,6.6699,-0.0381
335.6,333,6.6633,-0.0379
341.8,333.5,6.6577,-0.0377
348,334,6.6514,-0.0375
354,334.5,6.6461,-0.0373
360,335,6.6408,-0.0371
366,335.5,6.6353,-0.0368
372,336,6.63,-0.0365
378.2,336.5,6.6249,-0.0362
384.4,337,6.6194,-0.0359
390.4,337.5,6.6145,-0.0356
396.4,338,6.6098,-0.0353
402.4,338.5,6.6051,-0.035
408.2,339,6.6004,-0.0346
414,339.5,6.5964,-0.0343
420,340,6.5919,-0.034
426,340.5,6.5874,-0.0336
432,341,6.5832,-0.0332
438,341.5,6.5791,-0.0329
444,342,6.5751,-0.0325
450,342.5,6.5711,-0.0321
456,343,6.5673,-0.0317
462,343.5,6.5634,-0.0313
468.2,344,6.5598,-0.0309
474.2,344.5,6.5559,-0.0305
480,345,6.5527,-0.0302
486.2,345.5,6.5492,-0.0298
492.4,346,6.5457,-0.0294
498.4,346.5,6.5424,-0.029
504.2,347,6.5394,-0.0286
510,347.5,6.5366,-0.0283
516,348,6.5336,-0.0279
522,348.5,6.5307,-0.0274
528,349,6.5281,-0.0271
534,349.5,6.5252,-0.0267
540,350,6.5225,-0.0264
545.8,350.5,6.52,-0.026
551.6,351,6.5175,-0.0257
557.6,351.5,6.5152,-0.0253
563.3,352,6.5131,-0.0249
569,352.5,6.511,-0.0245
575,353,6.5089,-0.0242
581,353.5,6.5067,-0.0238
587,354,6.5048,-0.0236
592.8,354.5,6.5027,-0.0232
598.8,355,6.501,-0.0229
605,355.5,6.4991,-0.0226
610.8,356,6.4975,-0.0223
616.6,356.5,6.4959,-0.022
622.6,357,6.4943,-0.0217
628.4,357.5,6.4926,-0.0213
634.2,358,6.4914,-0.0211
640.2,358.5,6.4899,-0.0208
646.2,359,6.4884,-0.0205
652.2,359.5,6.4869,-0.0202
657.9,360,6.4857,-0.02
663.6,360.5,6.4847,-0.0197
669.6,361,6.4833,-0.0195
675.6,361.5,6.4821,-0.0193
681.4,362,6.481,-0.0191
687.2,362.5,6.4801,-0.0188
693.2,363,6.479,-0.0186
699,363.5,6.478,-0.0184
704.8,364,6.477,-0.0182
710.5,364.5,6.4761,-0.0181
716.2,365,6.4751,-0.0179
722.2,365.5,6.4742,-0.0177
728.2,366,6.4734,-0.0175
734.2,366.5,6.4725,-0.0173
740.2,367,6.4716,-0.0172
746.2,367.5,6.4708,-0.0171
752.2,368,6.4698,-0.0169
758.2,368.5,6.4692,-0.0167
764,369,6.4685,-0.0167
769.8,369.5,6.4677,-0.0166
775.8,370,6.4671,-0.0164
781.8,370.5,6.4664,-0.0163
787.8,371,6.4657,-0.0162
793.6,371.5,6.465,-0.0161
799.4,372,6.4644,-0.016
805.4,372.5,6.4635,-0.016
811.4,373,6.4629,-0.0159
817.4,373.5,6.4624,-0.0158
823.1,374,6.4618,-0.0157
828.8,374.5,6.4613,-0.0156
834.6,375,6.4608,-0.0156
840.4,375.5,6.4601,-0.0155
846.4,376,6.4597,-0.0154
852.2,376.5,6.4594,-0.0153
858,377,6.459,-0.0152
864,377.5,6.4582,-0.0152
870,378,6.4578,-0.0152
875.7,378.5,6.4573,-0.0152
881.4,379,6.4569,-0.0152
887.2,379.5,6.4564,-0.0152
893,380,6.456,-0.0152
899,380.5,6.4554,-0.0151
904.8,381,6.4549,-0.0152
910.6,381.5,6.4547,-0.0152
916.6,382,6.4542,-0.0152
922.3,382.5,6.4537,-0.0152
928,383,6.4532,-0.0152
933.8,383.5,6.4527,-0.0151
939.6,384,6.4524,-0.0151
945.4,384.5,6.4518,-0.0152
951.2,385,6.4516,-0.0151
956.9,385.5,6.4512,-0.0151
962.6,386,6.4508,-0.0152
968.4,386.5,6.4504,-0.0152
974.2,387,6.45,-0.0153
980.2,387.5,6.4495,-0.0153
986.2,388,6.4492,-0.0154
992.2,388.5,6.4488,-0.0154
998,389,6.4484,-0.0154
1003.8,389.5,6.4481,-0.0155
1009.8,390,6.4476,-0.0155
1015.8,390.5,6.4471,-0.0156
1021.5,391,6.4469,-0.0156
1027.2,391.5,6.4465,-0.0157
1033,392,6.4462,-0.0157
1038.8,392.5,6.4457,-0.0158
1044.8,393,6.4452,-0.0159
1050.8,393.5,6.445,-0.016
1056.6,394,6.4445,-0.016
1062.4,394.5,6.4441,-0.0161
1068.1,395,6.4437,-0.0161
1073.8,395.5,6.4435,-0.0162
1079.6,396,6.4432,-0.0163
1085.4,396.5,6.4429,-0.0164
1091.2,397,6.4424,-0.0164
1097,397.5,6.4421,-0.0165
1103,398,6.4417,-0.0166
1108.7,398.5,6.4413,-0.0166
1114.4,399,6.441,-0.0167
1120.2,399.5,6.4406,-0.0168
1126,400,6.4403,-0.0169
1131.8,400.5,6.44,-0.0169
1137.6,401,6.4396,-0.017
1143.6,401.5,6.4391,-0.0171
1149.3,402,6.4389,-0.017
1154.8,402.5,6.4386,-0.0171
1160.6,403,6.4381,-0.0172
1166.4,403.5,6.4377,-0.0173
1172.2,404,6.4374,-0.0174
1177.9,404.5,6.4373,-0.0174
1183.4,405,6.4368,-0.0174
1189.2,405.5,6.4365,-0.0175
1195,406,6.4362,-0.0176
1200.5,406.5,6.4359,-0.0177
1206.2,407,6.4352,-0.0177
1212,407.5,6.4348,-0.0178
1217.8,408,6.4345,-0.0179
1223.6,408.5,6.4343,-0.018
1229.1,409,6.4338,-0.018
1234.8,409.5,6.4335,-0.0181
1240.6,410,6.4331,-0.0182
1246.1,410.5,6.4329,-0.0183
1251.9,411,6.4326,-0.0184
1257.9,411.5,6.4322,-0.0185
1263.6,412,6.4318,-0.0186
1269.1,412.5,6.4314,-0.0186
1274.6,413,6.4311,-0.0187
1280.4,413.5,6.4306,-0.0188
1286.1,414,6.4301,-0.0189
1291.6,414.5,6.4298,-0.0189
1297.4,415,6.4296,-0.019
1303.2,415.5,6.4292,-0.019
1308.7,416,6.429,-0.0192
1314.2,416.5,6.4287,-0.0193
1319.7,417,6.4283,-0.0193
1325.5,417.5,6.4278,-0.0194
1331.5,418,6.4274,-0.0195
1337.2,418.5,6.4271,-0.0195
1342.9,419,6.4269,-0.0196
1348.7,419.5,6.4267,-0.0197
1354.2,420,6.4263,-0.0198
1360,420.5,6.4258,-0.0198
1365.7,421,6.4253,-0.0198
1371.4,421.5,6.4252,-0.0199
1377.2,422,6.4247,-0.02
1382.7,422.5,6.4241,-0.02
1388.2,423,6.4239,-0.0201
1393.9,423.5,6.4235,-0.0201
1399.7,424,6.4231,-0.0202
1405.5,424.5,6.4226,-0.0204
1411.3,425,6.4223,-0.0204
1416.8,425.5,6.4221,-0.0205
1422.3,426,6.4216,-0.0207
1428.1,426.5,6.4212,-0.0208
1433.9,427,6.4207,-0.0209
1439.7,427.5,6.4205,-0.021
1445.4,428,6.4198,-0.0211
1450.9,428.5,6.4195,-0.0212
1456.4,429,6.4192,-0.0213
1462.2,429.5,6.4187,-0.0214
1468.2,430,6.4182,-0.0216
1473.9,430.5,6.4178,-0.0216
1479.4,431,6.4172,-0.0217
1484.9,431.5,6.4168,-0.0218
1490.4,432,6.4164,-0.0219
1496.1,432.5,6.416,-0.022
1501.9,433,6.4154,-0.0221
1507.4,433.5,6.4149,-0.0222
1513.2,434,6.4144,-0.0223
1518.9,434.5,6.414,-0.0224
1524.4,435,6.4134,-0.0224
1530.2,435.5,6.4129,-0.0225
1536,436,6.4123,-0.0226
1541.5,436.5,6.4118,-0.0227
1547,437,6.4112,-0.0228
1552.8,437.5,6.4107,-0.0229
1558.6,438,6.4102,-0.023
1564.4,438.5,6.4096,-0.0231
1570.1,439,6.409,-0.0231
1575.6,439.5,6.4084,-0.0231
1581.4,440,6.4078,-0.0232
1587.2,440.5,6.4072,-0.0233
1592.7,441,6.4067,-0.0233
1598.4,441.5,6.406,-0.0234
1604.2,442,6.4052,-0.0234
1609.7,442.5,6.4044,-0.0235
1615.2,443,6.4039,-0.0235
1620.9,443.5,6.4033,-0.0236
1626.7,444,6.4025,-0.0236
1632.2,444.5,6.4017,-0.0236
1637.7,445,6.4009,-0.0237
1643.4,445.5,6.4003,-0.0237
1649.2,446,6.3994,-0.0238
1654.7,446.5,6.3985,-0.0239
1660.5,447,6.3978,-0.024
1666,447.5,6.397,-0.0242
1671.5,448,6.3962,-0.0241
1677.3,448.5,6.3952,-0.0242
1682.8,449,6.3944,-0.0243
1688.5,449.5,6.3934,-0.0244
1694.3,450,6.3925,-0.0245
1699.8,450.5,6.3915,-0.0246
1705.3,451,6.3906,-0.0247
1711,451.5,6.3897,-0.0248
1716.8,452,6.3885,-0.0249
1722.3,452.5,6.3875,-0.0251
1727.8,453,6.3864,-0.0252
1733.3,453.5,6.3853,-0.0253
1738.8,454,6.3843,-0.0254
1744.6,454.5,6.3833,-0.0255
1750.3,455,6.3821,-0.0255
1755.8,455.5,6.3809,-0.0257
1761.3,456,6.38,-0.0257
1767.1,456.5,6.3786,-0.0258
1772.8,457,6.3771,-0.026
1778.3,457.5,6.3762,-0.0261
1784.1,458,6.3751,-0.0261
1789.9,458.5,6.3737,-0.0262
1795.4,459,6.3723,-0.0263
1800.9,459.5,6.371,-0.0265
1806.7,460,6.3695,-0.0266
1812.5,460.5,6.368,-0.0267
1818,461,6.3666,-0.0269
1823.7,461.5,6.3653,-0.027
1829.2,462,6.3638,-0.0271
1834.7,462.5,6.3625,-0.0273
1840.4,463,6.3608,-0.0274
1845.9,463.5,6.3593,-0.0275
1851.4,464,6.3579,-0.0276
1856.9,464.5,6.3563,-0.0278
1862.6,465,6.3546,-0.0279
1868.4,465.5,6.3529,-0.0281
1873.9,466,6.3512,-0.0282
1879.4,466.5,6.3495,-0.0283
1884.9,467,6.3477,-0.0284
1890.4,467.5,6.3461,-0.0284
1895.9,468,6.3442,-0.0286
1901.6,468.5,6.3425,-0.0286
1907.4,469,6.3407,-0.0288
1912.9,469.5,6.3388,-0.0288
1918.4,470,6.337,-0.0289
1923.9,470.5,6.3349,-0.029
1929.4,471,6.333,-0.029
1934.9,471.5,6.3313,-0.0292
1940.4,472,6.329,-0.0294
1945.9,472.5,6.3272,-0.0295
1951.4,473,6.3253,-0.0295
1956.9,473.5,6.3235,-0.0296
1962.4,474,6.3213,-0.0297
1967.9,474.5,6.3194,-0.0299
1973.4,475,6.3172,-0.0299
1978.9,475.5,6.3153,-0.0301
1984.7,476,6.3132,-0.0302
1990.4,476.5,6.3109,-0.0303
1995.9,477,6.3089,-0.0303
2001.4,477.5,6.3068,-0.0304
2006.9,478,6.3045,-0.0305
2012.6,478.5,6.3026,-0.0307
2018.4,479,6.3001,-0.0307
2023.9,479.5,6.298,-0.0308
2029.4,480,6.296,-0.0309
2035.1,480.5,6.2941,-0.0309
2040.9,481,6.2916,-0.031
2046.4,481.5,6.2893,-0.0311
2052.2,482,6.2872,-0.0311
2057.9,482.5,6.2848,-0.0313
2063.4,483,6.2825,-0.0314
2068.9,483.5,6.2802,-0.0314
2074.4,484,6.2779,-0.0315
2080.1,484.5,6.2759,-0.0315
2085.9,485,6.2734,-0.0316
2091.4,485.5,6.2712,-0.0316
2097.2,486,6.269,-0.0317
2102.9,486.5,6.2665,-0.0318
2108.4,487,6.2643,-0.0318
2113.9,487.5,6.2618,-0.0318
2119.7,488,6.2594,-0.0318
2125.4,488.5,6.257,-0.0319
2130.9,489,6.2548,-0.032
2136.4,489.5,6.2526,-0.0321
2142.2,490,6.2502,-0.0322
2147.9,490.5,6.2475,-0.0322
2153.4,491,6.2451,-0.0325
2158.9,491.5,6.2427,-0.0325
2164.7,492,6.2403,-0.0328
2170.4,492.5,6.2375,-0.0329
2175.9,493,6.2351,-0.0331
2181.4,493.5,6.2325,-0.0332
2186.9,494,6.23,-0.0332
