Time,Mass,HRR,Temperature 1 Sample Front,Temperature 3 Inside,Temperature 4 Sample Back
[s],[g],[kW/m2],[K],[K],[K]
0,74.4,-0.372435655,312.402,299.447,297.658
1,74.399735,-0.047878179,312.783,299.468,297.664
2,74.312938,-0.397403065,314.066,299.551,297.662
3,74.215573,-0.019935352,318.995,299.609,297.575
4,74.361343,-0.408085028,324.803,299.695,297.473
5,74.399765,-0.272655756,331.538,299.761,297.415
6,74.45996,-0.537402005,338.197,299.848,297.358
7,74.413618,-0.23643556,345.211,299.936,297.313
8,74.31637,-0.372878774,352.026,300.088,297.283
9,74.295273,-0.202886226,358.756,300.262,297.256
10,74.216117,-0.504866136,364.938,300.514,297.225
11,74.198517,-0.050870873,370.098,300.799,297.206
12,74.362854,-0.449731208,375.931,301.202,297.181
13,74.400255,-0.510091365,381.735,301.666,297.185
14,74.435008,-0.593876051,387.627,302.182,297.165
15,74.409106,-0.501834508,392.364,302.769,297.158
16,74.315204,-0.076147783,397.232,303.453,297.148
17,74.295214,-0.399936898,400.511,304.146,297.145
18,74.295304,-0.10726389,405.011,304.928,297.168
19,74.295415,-0.387477412,410.129,305.725,297.166
20,74.3807,-0.248453795,414.601,306.602,297.177
21,74.477996,-0.459024241,419.963,307.491,297.177
22,74.482593,-0.513439582,423.707,308.423,297.2
23,74.492052,-0.516981682,426.845,309.364,297.211
24,74.332676,-0.586352319,428.777,310.339,297.221
25,74.217729,-0.412226358,431.158,311.334,297.242
26,74.198918,-0.244833187,434.949,312.339,297.254
27,74.199158,-0.384768654,438.782,313.36,297.258
28,74.274832,-0.327156615,441.209,314.404,297.313
29,74.380471,-0.615398539,442.752,315.467,297.324
30,74.392975,0.484786955,444.721,316.565,297.348
31,74.477483,0.416291858,446.857,317.611,297.388
32,74.333251,0.568641713,450.315,318.744,297.425
33,74.295773,0.437491095,452.31,319.835,297.454
34,74.295258,0.86858157,454.639,320.96,297.504
35,74.217912,0.571658723,455.269,322.042,297.531
36,74.277258,0.846478726,458.268,323.152,297.61
37,74.380368,0.349435137,460.05,324.253,297.618
38,74.314108,0.776402521,461.424,325.363,297.65
39,74.38178,1.149167401,464.643,326.497,297.718
40,74.478183,1.714675262,467.293,327.606,297.756
