Time,Temperature,Heat Flow,
[s],[K],[W/g],
0.00E+00,298.749,-1.45E-02,
6.13E+01,303.749,9.96E-02,
8.38E+01,308.749,0.16471,
1.04E+02,313.749,0.19532,
1.24E+02,318.749,0.20362,
1.44E+02,323.749,0.19408,
1.66E+02,328.749,0.17597,
1.89E+02,333.749,0.15553,
2.15E+02,338.749,0.13619,
2.43E+02,343.749,0.12,
2.72E+02,348.749,0.11114,
3.03E+02,353.749,0.10319,
3.34E+02,358.749,9.38E-02,
3.64E+02,363.749,8.85E-02,
3.95E+02,368.749,8.40E-02,
4.25E+02,373.749,8.29E-02,
4.55E+02,378.749,8.27E-02,
4.86E+02,383.749,8.45E-02,
5.16E+02,388.749,8.66E-02,
5.46E+02,393.749,9.35E-02,
5.76E+02,398.749,0.10038,
6.06E+02,403.749,0.10145,
6.35E+02,408.749,9.78E-02,
6.65E+02,413.749,9.24E-02,
6.95E+02,418.749,8.67E-02,
7.25E+02,423.749,8.17E-02,
7.55E+02,428.749,7.67E-02,
7.85E+02,433.749,7.17E-02,
8.15E+02,438.749,6.61E-02,
8.45E+02,443.749,5.98E-02,
8.75E+02,448.749,5.34E-02,
9.05E+02,453.749,4.76E-02,
9.35E+02,458.749,4.17E-02,
9.65E+02,463.749,3.53E-02,
9.95E+02,468.749,3.01E-02,
1.03E+03,473.749,2.50E-02,
1.06E+03,478.749,1.86E-02,
1.09E+03,483.749,1.31E-02,
1.12E+03,488.749,8.89E-03,
1.15E+03,493.749,2.16E-03,
1.18E+03,498.749,-1.83E-03,
1.21E+03,503.749,-8.12E-03,
1.24E+03,508.749,-1.30E-02,
1.27E+03,513.749,-1.76E-02,
1.30E+03,518.749,-1.98E-02,
1.33E+03,523.749,-2.21E-02,
1.36E+03,528.749,-2.19E-02,
1.39E+03,533.749,-1.65E-02,
1.42E+03,538.749,-7.13E-04,
1.45E+03,543.749,3.14E-02,
1.48E+03,548.749,8.08E-02,
1.51E+03,553.749,0.14654,
1.54E+03,558.749,0.19336,
1.57E+03,563.749,0.20544,
1.60E+03,568.749,0.2571,
1.63E+03,573.749,0.38702,
1.66E+03,578.749,0.61267,
1.69E+03,583.749,0.99496,
1.72E+03,588.749,1.01504,
1.75E+03,593.749,0.58347,
1.78E+03,598.749,5.85E-02,
1.81E+03,603.749,-0.21552,
1.83E+03,608.749,-0.54082,
1.87E+03,613.749,-0.80661,
1.89E+03,618.749,-0.7684,
1.93E+03,623.749,-0.61812,
1.96E+03,628.749,-0.35247,
1.99E+03,633.749,-4.31E-02,
2.02E+03,638.749,-0.15732,
2.05E+03,643.749,-0.28318,
2.08E+03,648.749,-0.38182,
2.11E+03,653.749,-0.448,
2.14E+03,658.749,-0.48577,
2.17E+03,663.749,-0.50594,
2.20E+03,668.749,-0.51485,
2.23E+03,673.749,-0.51611,
2.26E+03,678.749,-0.49788,
2.29E+03,683.749,-0.45585,
2.32E+03,688.749,-0.36979,
2.35E+03,693.749,-0.28477,
2.38E+03,698.749,-0.2105,
2.41E+03,703.749,-0.15455,
2.44E+03,708.749,-0.13049,
2.47E+03,713.749,-0.12134,
2.50E+03,718.749,-0.11396,
2.53E+03,723.749,-0.1108,
2.56E+03,728.749,-0.10963,
2.59E+03,733.749,-0.10453,
2.62E+03,738.749,-0.10384,
2.65E+03,743.749,-0.1021,
2.68E+03,748.749,-0.10551,
2.71E+03,753.749,-0.10469,
2.74E+03,758.749,-0.1023,
2.77E+03,763.749,-0.10119,
2.80E+03,768.749,-9.81E-02,
2.83E+03,773.749,-9.83E-02,
2.86E+03,778.749,-9.71E-02,
2.89E+03,783.749,-9.07E-02,
2.92E+03,788.749,-8.98E-02,
2.95E+03,793.749,-8.66E-02,
2.98E+03,798.749,-9.00E-02,
3.01E+03,803.749,-9.02E-02,
3.04E+03,808.749,-9.06E-02,
3.07E+03,813.749,-8.94E-02,
3.10E+03,818.749,-9.15E-02,
3.13E+03,823.749,-8.85E-02,
3.16E+03,828.749,-8.43E-02,
3.19E+03,833.749,-8.94E-02,
3.22E+03,838.749,-9.20E-02,
3.25E+03,843.749,-9.27E-02,
3.28E+03,848.749,-8.98E-02,
3.31E+03,853.749,-8.97E-02,
3.34E+03,858.749,-9.10E-02,
3.37E+03,863.749,-9.07E-02,
3.40E+03,868.749,-9.05E-02,
3.43E+03,873.749,-8.75E-02,
3.46E+03,878.749,-8.85E-02,
3.49E+03,883.749,-8.60E-02,
3.52E+03,888.749,-9.13E-02,
3.55E+03,893.749,-9.17E-02,
3.58E+03,898.749,-9.37E-02,
3.61E+03,903.749,-9.94E-02,
3.64E+03,908.749,-9.52E-02,
3.67E+03,913.749,-9.62E-02,
,,,
