Time,Back Surface Temperature
[s],[K]
1,302.461
2,302.5
3,302.529
4,302.558
5,302.585
6,302.6
7,302.639
8,302.675
9,302.717
10,302.744
11,302.789
12,302.818
13,302.875
14,302.949
15,303.026
16,303.166
17,303.49
18,303.777
19,304.033
20,304.252
21,304.479
22,304.736
23,304.957
24,305.215
25,305.485
26,305.793
27,306.035
28,306.32
29,306.609
30,306.902
31,307.202
32,307.526
33,307.871
34,308.209
35,308.567
36,308.94
37,309.287
38,309.66
39,310.02
40,310.412
41,310.79
42,311.194
43,311.548
44,311.964
45,312.379
46,312.8
47,313.199
48,313.674
49,314.096
50,314.545
51,315.014
52,315.497
53,315.931
54,316.421
55,316.88
56,317.371
57,317.891
58,318.382
59,318.873
60,319.414
61,319.925
62,320.486
63,321.066
64,321.664
65,322.247
66,322.839
67,323.48
68,324.116
69,324.774
70,325.419
71,326.151
72,326.871
73,327.654
74,328.386
75,329.174
76,330.102
77,331.062
78,332.058
79,333.306
80,334.753
81,336.114
82,338.044
83,341.613
84,345.19
85,350.098
86,354.592
87,358.935
88,362.07
89,364.65
90,365.829
91,366.786
92,367.484
93,368.191
94,368.565
95,367.958
96,367.288
97,364.471
98,362.666
99,360.671
100,357.461
101,353.902
102,350.133
103,347.173
104,344.7
105,342.572
106,341.02
107,339.838
108,338.981
109,338.307
110,337.748
111,337.313
112,337.018
113,336.778
114,336.633
115,336.517
116,336.423
117,336.391
118,336.369
119,336.356
120,336.374
121,336.425
122,336.523
123,336.628
124,336.78
125,336.888
126,336.947
127,337.082
128,337.228
129,337.343
130,337.512
131,337.733
132,337.964
133,338.155
134,338.405
135,338.629
136,338.847
137,339.118
138,339.428
139,339.651
140,339.959
141,340.196
142,340.436
143,340.761
144,341.057
145,341.316
146,341.622
147,341.945
148,342.249
149,342.564
150,342.855
151,343.168
152,343.515
153,343.831
154,344.153
155,344.472
156,344.84
157,345.112
158,345.467
159,345.791
160,346.125
161,346.439
162,346.771
163,347.08
164,347.405
165,347.72
166,348.001
167,348.331
168,348.638
169,348.912
170,349.152
171,349.443
172,349.709
173,349.979
174,350.279
175,350.619
176,351.003
177,351.562
178,352.096
179,352.58
180,353.238
181,354.404
182,355.719
183,357.204
184,358.43
185,359.497
186,360.618
187,361.861
188,362.972
189,364.258
190,365.624
191,367.006
192,368.732
193,370.936
194,373.259
195,375.691
196,379.254
197,384.22
198,389.267
199,393.814
200,398.756
201,404.792
202,411.449
203,420.466
204,437.37
205,442.685
206,448.42
207,458.268
208,462.874
209,459.193
210,456.115
211,454.977
212,455.231
213,458.086
214,464.042
215,473.023
216,489.117
217,500.897
218,511.611
219,520.81
220,528.667
221,533.948
222,537.993
223,541.768
224,545.277
225,548.086
226,547.966
227,549.913
228,555.768
229,561.417
230,559.258
231,557.081
232,554.088
233,552.229
234,551.093
235,550.402
236,552.472
237,553.268
238,554.298
239,555.901
240,556.682
241,557.822
242,558.283
243,559.542
244,561.12
245,561.377
246,562.611
247,563.668
248,565.167
249,567.871
250,568.679
251,570.009
252,570.958
253,571.735
254,571.831
255,574.958
256,575.963
257,578.55
258,579.212
259,580.496
260,582.816
261,583.1
262,583.401
263,585.483
264,586.944
265,587.942
266,589.93
267,592.223
268,588.576
269,587.972
270,586.236
271,586.305
272,589.036
273,591.159
274,590.701
275,592.396
276,594.357
277,594.906
278,596.46
279,595.332
280,594.96
281,597.085
282,599.708
283,601.683
284,601.844
285,604.105
286,607.786
287,609.01
288,608.303
289,609.349
290,613.396
291,612.626
292,613.527
293,614.493
294,613.835
295,616.999
296,618.067
297,626.124
298,625.599
299,622.311
300,623.169
301,622.093
302,623.411
303,625.268
304,624.812
305,628.915
306,629.489
307,628.258
308,630.474
309,630.264
310,634.302
311,634.672
312,632.687
313,633.371
314,633.613
315,636.216
316,634.559
317,635.568
318,635.789
319,638.426
320,638.887
321,639.523
322,640.203
323,640.515
324,642.07
325,642.545
326,643.681
327,644.245
328,644.241
329,646.25
330,648.552
331,646.716
332,648.153
333,647.054
334,647.49
335,652.984
336,649.839
337,651.548
338,651.515
339,652.476
340,652.194
341,653.053
342,655.161
343,655.052
344,655.176
345,655.378
346,657.145
347,658.385
348,658.185
349,654.118
