Time,Mass,HRR,T_1,T_3,T_4
[s],[g],[kW/m2],[K],[K],[K]
0,70.5,-0.395694458,340.483,305.535,304.682
1,70.588503,-0.235628679,348.083,305.668,304.684
2,70.514338,-0.42920989,366.451,305.774,304.722
3,70.418943,-0.066608009,385.934,305.943,304.741
4,70.485156,-0.29240319,405.348,306.113,304.759
5,70.418113,-0.099497008,424.297,306.343,304.798
6,70.315886,-0.272110251,440.761,306.595,304.81
7,70.389854,-0.01487996,457.089,306.994,304.816
8,70.486897,-0.363542693,475.875,307.483,304.866
9,70.501189,-0.224915617,492.107,308.107,304.883
10,70.593255,-0.363991634,503.947,308.883,304.897
11,70.606316,-0.127601407,518.341,309.827,304.922
12,70.515358,-0.239912835,532.512,310.889,304.964
13,70.500442,0.093526097,545.327,312.103,304.976
14,70.41783,-0.271062091,556.902,313.447,305.026
15,70.404933,0.085572212,566.308,314.875,305.053
16,70.486991,-0.280113275,578.843,316.397,305.07
17,70.500536,-0.287240156,590.201,318.042,305.107
18,70.590988,-0.272576605,617.296,319.717,305.143
19,70.606114,1.867982497,662.86,321.535,305.199
20,70.605928,41.15007629,700.77,323.206,305.253
21,70.263836,60.45228689,715.853,325.268,305.311
22,70.117371,125.2684429,723.063,327.178,305.375
23,69.505271,191.5057613,725.517,329.113,305.428
24,69.744199,259.673638,725.266,331.093,305.513
25,69.627271,329.819356,723.86,333.132,305.583
26,69.589649,382.8467239,722.626,335.19,305.646
27,69.424346,416.2546996,721.252,337.272,305.735
28,69.316359,459.3686312,720.404,339.359,305.858
29,68.95241,497.9543221,719.847,341.472,305.948
30,68.815237,531.896557,719.374,343.611,306.07
31,68.538845,545.1230148,718.827,345.752,306.168
32,67.891528,561.829995,718.333,347.886,306.33
33,67.614816,544.6147166,717.837,350.022,306.441
34,67.230176,586.406528,717.963,352.171,306.584
35,66.928798,589.4671463,717.887,354.307,306.769
36,66.972823,593.4616279,717.278,356.414,306.925
37,66.900252,631.947188,717.14,358.539,307.083
38,66.712687,676.2993441,717.065,360.64,307.277
39,66.683038,638.2351928,716.984,362.737,307.439
40,66.341236,657.3697914,716.951,364.86,307.643
41,65.510816,660.4997251,716.371,366.951,307.863
42,65.024236,663.392498,716.55,369.057,308.06
43,64.98088,663.4818664,716.551,371.164,308.257
44,64.812154,675.1063678,716.729,373.278,308.531
45,64.529552,677.6130045,717.089,375.42,308.8
46,64.393269,657.3694381,717.177,377.629,309.118
47,64.20762,670.2318552,717.276,379.929,309.455
48,64.097853,672.8314546,717.48,382.287,309.742
49,63.296923,689.1703961,717.928,384.719,310.105
50,63.043678,681.8324416,717.948,387.151,310.423
51,62.899835,661.7263177,718.358,389.542,310.802
52,62.796128,688.3791494,718.457,391.912,311.076
53,62.351646,695.6391277,718.13,394.226,311.292
54,61.843599,675.5648133,717.967,396.468,311.461
55,61.691654,737.7657244,718.099,398.653,311.703
56,61.677165,681.4814327,718.169,400.834,311.931
57,61.504306,718.3176139,718.314,403.008,312.239
58,61.208467,691.9728511,718.433,405.153,312.508
59,61.18006,684.0382677,718.495,407.22,312.81
60,60.921903,693.9598467,718.451,409.282,313.138
61,59.946196,702.1288125,718.673,411.339,313.435
62,59.776413,673.7433061,718.686,413.414,313.791
63,59.267913,681.2853762,718.503,415.527,314.099
64,58.827128,730.3649339,718.218,417.6,314.48
65,58.595474,710.2561836,718.163,419.659,314.851
66,58.643161,695.4031071,718.114,421.712,315.232
67,58.580353,685.5505003,718.224,423.78,315.624
68,58.398878,673.6327776,718.038,425.858,315.991
69,58.199533,727.5984278,717.807,427.907,316.345
70,58.078875,710.4649403,717.719,429.891,316.756
71,56.694044,688.8527996,717.622,431.941,317.141
72,56.46965,700.1626391,717.609,433.954,317.52
73,56.469735,697.576821,717.279,435.896,317.914
74,56.194106,717.1864669,717.024,437.89,318.308
75,56.072234,717.002351,716.618,439.87,318.715
76,55.88982,691.9392002,716.209,441.889,319.16
77,55.779507,694.8589996,716.005,443.912,319.539
78,55.594213,710.275939,715.869,445.929,319.969
79,55.303684,722.958941,715.81,447.983,320.403
80,55.09263,714.67147,715.493,450.066,320.896
81,54.889376,780.3509027,715.355,452.165,321.412
82,53.952081,727.198096,715.223,454.283,321.942
83,53.411731,763.5320106,714.874,456.393,322.57
84,53.267064,727.1710395,715.449,458.521,323.334
85,52.908971,737.1828055,715.972,460.654,324.143
86,52.761953,703.6195086,716.199,462.79,325.114
87,52.660606,680.316381,717.13,464.979,326.238
88,52.559576,685.9569672,718.059,467.176,327.67
89,51.938821,738.1558577,718.532,469.406,329.258
90,51.915757,683.4388957,718.246,471.679,330.934
91,51.85379,718.6471245,717.932,474.012,332.368
92,51.327331,757.1644888,718.011,476.377,333.45
93,50.469713,721.3042927,717.578,478.734,334.174
94,50.515528,675.0534976,717.387,481.117,334.667
95,50.020028,686.6173751,716.748,483.512,334.965
96,49.250567,718.4651554,716.326,485.947,334.806
97,49.398773,724.642273,715.695,488.437,333.787
98,49.499807,702.8572705,714.804,491.087,332.507
99,49.361793,777.6001486,713.452,493.75,331.438
100,49.167439,759.8188869,712.355,496.366,330.402
101,49.051454,745.6553139,711.276,498.979,329.478
102,48.782968,710.2479112,710.238,501.51,328.639
103,48.147206,747.4618678,709.078,504.027,327.892
104,47.255702,725.9147085,708.198,506.522,327.27
105,46.545396,727.5637939,707.845,509.115,326.755
106,46.649064,749.2044928,707.32,511.68,326.351
107,46.473484,737.7577292,706.447,514.364,326.021
108,46.438416,727.0188606,706.578,523.483,325.806
109,46.349367,757.7858347,706.636,519.879,325.663
110,45.910128,751.3940759,706.791,523.704,325.561
111,45.239847,727.4715339,706.692,526.509,325.518
112,44.972107,705.1601569,706.137,529.3,325.54
113,44.678773,776.566853,705.732,531.563,325.597
114,44.606959,782.1573517,705.563,534.618,325.699
115,44.460429,727.7988292,706.047,537.632,325.812
116,43.931265,728.3470006,705.98,540.831,325.968
117,43.484826,728.0442493,705.567,544.141,326.136
118,43.350657,736.9646928,705.635,549.707,326.342
119,43.166386,829.9395969,705.336,551.667,326.559
120,43.048952,783.4593162,705.707,558.009,326.793
121,42.259279,781.9237613,705.845,558.374,327.057
122,42.170905,788.9947776,705.747,563.566,327.338
123,41.884945,766.352037,705.85,565.976,327.579
124,41.14325,762.9208076,705.791,569.759,327.858
125,41.118425,774.043496,705.591,574.395,328.166
126,40.790308,793.3606577,705.819,578.423,328.479
127,40.130871,790.5010161,705.872,582.83,328.786
128,40.03105,834.9386877,705.666,584.855,329.095
129,39.853779,814.4958232,705.567,588.649,329.431
130,39.717028,771.2715783,705.742,592.19,329.761
131,39.464418,772.7668524,705.396,595.785,330.101
132,39.343889,793.5500975,705.183,599.675,330.421
133,39.153323,764.5566557,705.396,604.023,330.783
134,37.47713,841.8261912,705.356,607.595,331.144
135,37.123839,880.2869947,705.637,612.082,331.525
136,37.369234,800.4517773,705.716,616.806,331.885
137,36.815294,800.058359,705.637,621.991,332.241
138,36.426058,778.4590418,705.411,627.702,332.598
139,36.2269,788.5663076,705.813,633.835,332.977
140,36.119948,792.1036624,706.166,640.114,333.343
141,36.016959,806.5320573,706.284,647.46,333.688
142,35.752163,829.5168168,705.846,656.235,334.062
143,35.616544,902.7524738,705.234,665.782,334.451
144,35.518095,828.7643517,704.848,675.521,334.798
145,33.799259,925.7564308,705.076,686.071,335.182
146,32.972046,864.0707262,704.627,695.98,335.56
147,33.327849,876.8878527,704.607,703.157,335.926
148,33.136895,842.4649606,704.48,708.784,336.303
149,32.656288,899.1155559,703.909,714.032,336.684
150,32.166657,889.9519542,704.166,719.896,337.05
151,32.009908,917.7881394,703.977,725.318,337.419
152,31.828807,896.8051392,704.003,728.504,337.783
153,31.708769,892.6009683,704.023,731.404,338.127
154,31.49963,952.4243443,704.951,733.749,338.53
155,31.149071,898.7765718,704.355,733.993,338.9
156,30.926982,939.6468322,704.501,734.02,339.296
157,30.557944,949.4120584,703.889,739.935,339.643
158,28.949751,880.6334715,703.55,742.156,340.012
159,28.607138,894.860561,703.312,744.666,340.37
160,28.421046,940.3675773,703.219,747.421,340.719
161,28.136982,1021.008032,704.139,749.576,341.079
162,27.735196,1034.197611,704.106,752.418,341.441
163,27.084891,931.5208753,703.982,753.437,341.814
164,27.159972,946.5688232,703.672,754.506,342.152
165,27.016429,975.4997245,702.976,757.391,342.481
166,26.651054,927.2458542,702.37,759.419,342.853
167,26.075394,994.3802164,702.026,760.525,343.23
168,25.396335,942.2866528,702.271,758.416,343.542
169,25.027895,956.5323801,703.317,761.912,343.859
170,24.806175,1014.980563,703.674,763.083,344.234
171,23.399864,1068.673612,703.227,765.062,344.548
172,23.34986,1071.144387,702.915,766.86,344.904
173,23.11926,1035.691222,702.017,768.024,345.304
174,22.910036,1073.601586,701.671,768.711,345.856
175,22.706577,1095.38321,701.049,769.815,346.673
176,22.246507,1016.742822,700.219,771.784,347.587
177,22.004344,1061.595983,700.289,771.921,348.584
178,21.886645,1034.663186,700.865,771.94,349.588
179,20.409691,1022.331878,701.041,772.671,350.709
180,20.424618,970.5666167,701.859,774.499,352.012
181,19.779385,1058.386136,702.746,774.588,353.325
182,19.242402,1033.669336,702.825,773.239,354.722
183,19.164397,997.0120742,703.735,774.251,357.323
184,18.741421,990.4157051,704.72,773.272,359.805
185,17.891948,1178.781764,704.482,771.663,361.866
186,17.848025,1217.847625,704.513,769.971,363.12
187,17.694467,1055.842844,704.525,769.39,363.913
188,17.578253,1126.309241,704.586,769.578,364.233
189,16.888588,1134.587319,703.068,770.481,363.172
190,16.597722,1135.802403,702.993,770.953,362.599
191,16.220413,1096.506286,702.571,771.099,362.371
192,15.215175,1058.166115,702.236,770.08,362.463
193,14.806808,922.1232603,701.235,769.644,362.574
194,14.243068,1167.721612,699.352,770.914,362.759
195,13.731287,1101.107362,697.595,770.369,363.005
196,13.572574,1076.720577,698.123,769.237,363.319
197,13.126443,1039.104698,697.702,769.239,363.624
198,12.549714,1071.331351,697.435,769.621,364.297
199,12.282725,1131.402849,699.439,769.905,364.701
200,11.564282,1072.927375,701.499,770.849,369.149
201,11.032399,1049.074605,702.354,771.741,374.313
202,10.776704,1011.029663,704.886,772.415,378.196
203,10.576815,1005.96491,706.536,774.554,381.237
204,9.934716,1009.648227,707.385,779.118,383.86
205,9.592391,1083.00041,709.237,780.261,386.331
206,9.290323,1054.745096,709.477,783.727,388.531
207,8.743038,917.8965231,708.728,786.112,390.566
208,8.562701,927.2429296,709.994,788.992,392.407
209,8.204605,884.8710283,710.143,791.7,394.2
210,7.044847,965.6610761,709.674,792.348,395.903
211,7.446081,915.3861983,708.912,793.724,397.508
212,7.198521,848.1899218,708.36,793.871,399.081
213,6.889467,824.6793756,707.695,794.869,400.513
214,6.843055,727.452175,707.662,795.64,401.948
215,6.671126,690.3468163,707.432,795.496,403.368
216,6.292735,699.7628831,707.486,794.329,404.686
217,5.979734,655.2170817,707.289,795.754,406.065
218,5.937792,638.3709465,707.567,797.15,407.499
219,5.766764,614.673281,708.454,797.735,409.018
220,4.962205,555.8311267,710.418,796.895,409.601
221,4.915962,534.5754269,712.256,796.939,410.358
222,4.931167,515.4812682,714.576,796.35,410.89
223,4.676279,515.2739632,717.253,794.992,411.299
224,4.634714,496.7310828,718.423,793.874,411.541
225,4.634856,485.7559056,719.184,793.099,412.452
226,4.464146,477.2139915,719.72,789.622,413.598
227,4.346395,469.0988865,720.493,786.521,415.095
228,4.242318,456.9484687,722.538,786.108,416.889
229,3.629351,470.0021249,725.363,785.033,419.306
230,3.270879,454.4581269,728.373,785.989,421.933
231,3.138812,439.5163153,730.565,785.833,424.538
232,2.95342,416.9762156,731.758,788.267,427.428
233,2.92424,388.4887084,735.533,791.024,430.197
234,2.841054,381.4296717,740.725,790.842,432.316
235,2.828056,363.4691597,746.108,792.892,432.933
236,2.739056,354.2418231,750.988,795.481,434.349
237,2.724627,369.0123046,756.217,798.376,437.197
238,2.641856,335.2768753,762.989,802.571,440.504
239,2.277894,328.127867,770.144,807.058,445.177
240,1.534631,311.7469696,787.777,813.39,452.165
241,1.764944,286.9821861,807.212,831.55,461.652
242,1.562385,279.8036076,822.508,867.339,473.111
243,1.520752,263.6014124,832.912,912.558,487.686
244,1.607711,246.857932,840.539,941.383,512.625
245,1.622539,236.1451176,848.719,954.609,520.772
246,1.622751,216.189283,859.344,953.107,526.373
247,1.622807,216.3592559,871.469,953.206,531.945
248,1.448918,201.0881464,881.376,954.216,536.181
249,1.3328,187.1754395,894.528,961.636,542.347
250,1.237695,173.2513875,915.629,961.603,548.104
251,1.134257,161.7012018,944.783,966.465,556.855
252,0.947361,159.54872,977.878,971.426,572.83
253,0.919689,150.4464446,1006.397,978.525,586.956
254,1.09502,141.3000727,1020.509,978.313,599.933
255,1.037884,132.1636422,1053.033,980.514,608.784
256,1.024283,114.7227589,1074.41,987.547,614.996
257,1.024426,116.0526099,1076.742,989.576,619.061
258,0.934651,110.8459249,1068.796,991.561,622.102
259,0.747493,101.1199085,1052.963,995.451,623.562
260,0.719029,94.66151326,1020.648,1071.797,622.331
261,0.629698,94.07862661,971.873,1141.792,619.484
262,0.616075,82.52484355,929.489,1188.397,616.123
263,0.615873,76.28530924,900.686,1135.111,612.855
264,0.702277,74.78237212,876.362,993.171,609.269
265,0.719895,70.63555817,859.454,883.155,605.614
266,0.807219,65.31023564,852.148,916.869,603.37
