Time,Mass,HRR,Back Surface Temperature 1,Back Surface Temperature 3,Back Surface Temperature 4
[s],[g],[kW/m2],[K],[K],[K]
0,71.3,-0.787433642,338.453,305.852,303.711
1,71.299634,-0.791660192,361.891,305.966,303.705
2,71.211959,-0.662396932,385.574,306.043,303.693
3,71.28213,-0.954034257,407.378,306.135,303.67
4,71.300698,-0.954843793,427.041,306.27,303.668
5,71.211375,-1.057846056,445.145,306.428,303.653
6,71.195011,-0.943874186,464.663,306.663,303.628
7,71.109335,-0.893532167,482.465,306.956,303.638
8,71.010702,-0.67327396,496.068,307.4,303.63
9,71.160645,-0.922798816,508.828,307.899,303.638
10,71.109532,-0.659609192,523.455,308.535,303.636
11,71.177945,-0.885298086,537.936,309.306,303.645
12,71.19529,-1.006268569,550.937,310.204,303.649
13,71.195398,-0.996411917,561.049,311.178,303.672
14,71.108843,-1.000424487,578.399,312.307,303.663
15,71.091256,-1.044970819,596.207,313.533,303.659
16,71.011677,-1.030153145,632.358,314.799,303.692
17,71.075343,-0.581909393,672.843,316.22,303.736
18,71.092143,0.686942308,709.279,317.694,303.744
19,71.091171,14.34699567,724.965,319.232,303.784
20,71.09126,49.54578397,726.991,320.808,303.84
21,71.091771,150.3112947,726.468,322.471,303.888
22,70.931766,185.225278,725.345,324.153,303.934
23,70.648826,285.4768728,724.348,325.901,304
24,70.345083,345.1294164,723.996,327.697,304.086
25,70.207081,350.3990937,723.599,329.505,304.171
26,70.10858,388.7123174,722.457,331.374,304.258
27,69.927895,433.8671752,720.776,333.234,304.341
28,69.894792,425.1871664,719.352,335.175,304.46
29,69.571363,487.2800847,718.57,337.088,304.581
30,69.409695,495.9264931,716.958,339.014,304.695
31,68.72593,561.0117332,715.875,340.952,304.812
32,68.416657,561.0600763,715.135,342.896,304.945
33,68.300846,565.7978709,714.817,344.853,305.099
34,68.033297,584.9964874,714.217,346.772,305.267
35,67.899875,646.5443523,713.55,348.708,305.442
36,67.795799,649.0591806,713.188,350.641,305.627
37,67.453492,643.5685398,713.304,352.552,305.854
38,67.378631,646.587761,712.808,354.457,306.074
39,67.122361,638.3759309,712.716,356.338,306.286
40,66.091907,642.7820611,712.89,358.233,306.528
41,65.789186,625.6397761,712.58,360.099,306.788
42,65.606996,647.3508298,712.765,361.934,306.989
43,65.57402,690.3830539,713.116,363.751,307.222
44,65.486426,697.4831799,713.287,365.546,307.497
45,65.384979,659.5803032,713.144,367.293,307.824
46,65.285535,661.9706082,713.476,369.053,308.152
47,65.189668,677.3452221,713.383,370.913,308.415
48,64.175195,672.3009969,713.658,372.799,308.657
49,63.212287,673.5476872,713.68,374.68,308.748
50,63.157621,679.7314263,713.597,376.594,308.978
51,63.087174,725.6160283,714.083,378.512,309.155
52,63.156596,689.9406943,714.759,380.422,309.441
53,63.007056,685.6582669,714.141,382.355,309.772
54,62.888954,726.1688935,714.053,384.275,310.158
55,62.87116,720.8988029,714.347,386.237,310.697
56,62.540092,666.8943871,714.463,388.162,310.956
57,61.970383,726.3991389,714.533,390.088,311.207
58,61.203957,731.7067224,715.047,391.964,311.443
59,60.982712,737.3066829,716.132,393.848,311.723
60,60.715583,707.2896308,716.672,395.712,311.978
61,60.249367,697.226546,717.522,397.568,312.258
62,60.248918,712.0753448,718.069,399.444,312.648
63,60.096728,728.3870629,718.531,401.315,313.072
64,60.062015,717.9443498,718.421,403.13,313.474
65,59.730072,692.7183207,718.043,404.968,313.914
66,59.164641,692.7181475,718.315,406.732,314.357
67,58.808489,680.2570115,718.608,408.51,314.821
68,58.259863,710.288201,719.078,410.278,315.259
69,58.074372,744.4938013,719.604,412.034,315.718
70,58.05379,731.7904694,720.061,413.774,316.179
71,57.389598,765.9192892,720.685,415.557,316.657
72,57.33562,704.4470015,721.32,417.321,317.11
73,57.272031,742.4195724,721.922,419.104,317.585
74,57.004864,747.459902,722.522,420.923,318.124
75,56.952618,698.1232016,723.055,422.774,318.676
76,56.78774,687.5957137,723.532,424.632,319.249
77,56.170581,713.1708965,723.888,426.489,319.992
78,55.630229,727.2392691,723.967,428.359,320.73
79,54.88443,701.4831512,724.272,430.262,321.496
80,54.748651,667.3653269,724.733,432.192,322.395
81,54.490358,749.454511,725.728,434.138,323.374
82,54.363466,753.1370032,727.254,436.092,324.54
83,54.346973,741.0727427,727.639,438.051,325.843
84,54.098219,744.4453434,728.171,440.087,327.989
85,53.545478,743.7104591,727.815,442.144,329.558
86,53.434151,731.5065389,727.21,444.205,330.773
87,53.273647,705.1545509,726.764,446.31,331.833
88,52.902605,767.0304038,725.859,448.446,332.495
89,52.33278,707.5288308,724.688,450.61,333.117
90,52.06386,722.4303503,723.541,452.859,332.903
91,51.777666,695.8742862,722.113,455.137,332.803
