Time,Temperature,Heat Flow,
[s],[K],[W/g],
0,299.132,-5.75E-03,
61.5,304.132,-1.44E-02,
84.2,309.132,-1.38E-02,
105,314.132,-1.51E-02,
125,319.132,-4.17E-02,
146,324.132,-6.43E-02,
168,329.132,-9.06E-02,
191,334.132,-0.11001,
217,339.132,-0.12863,
245,344.132,-0.12951,
275,349.132,-0.13248,
305,354.132,-0.13818,
336,359.132,-0.14279,
367,364.132,-0.15624,
397,369.132,-0.16362,
427,374.132,-0.17083,
458,379.132,-0.17748,
488,384.132,-0.18343,
518,389.132,-0.18601,
548,394.132,-0.18512,
578,399.132,-0.17506,
608,404.132,-0.174,
638,409.132,-0.18156,
668,414.132,-0.19096,
697,419.132,-0.19464,
727,424.132,-0.20536,
757,429.132,-0.20685,
787,434.132,-0.21422,
817,439.132,-0.22734,
847,444.132,-0.23243,
878,449.132,-0.23771,
908,454.132,-0.24672,
937,459.132,-0.25212,
967,464.132,-0.2608,
997,469.132,-0.2646,
1030,474.132,-0.26973,
1060,479.132,-0.27628,
1090,484.132,-0.28569,
1120,489.132,-0.29357,
1150,494.132,-0.29261,
1180,499.132,-0.29637,
1210,504.132,-0.29471,
1240,509.132,-0.30493,
1270,514.132,-0.30987,
1300,519.132,-0.31286,
1330,524.132,-0.31209,
1360,529.132,-0.30895,
1390,534.132,-0.29583,
1420,539.132,-0.27483,
1450,544.132,-0.22846,
1480,549.132,-0.14703,
1510,554.132,-3.84E-03,
1540,559.132,0.22543,
1570,564.132,0.46593,
1600,569.132,0.53957,
1630,574.132,0.62369,
1660,579.132,0.75862,
1690,584.132,0.73803,
1720,589.132,0.54649,
1750,594.132,0.42262,
1780,599.132,0.41594,
1810,604.132,0.47392,
1840,609.132,0.50271,
1870,614.132,0.51325,
1900,619.132,0.49391,
1930,624.132,0.42781,
1960,629.132,0.29213,
1990,634.132,0.13245,
2020,639.132,-7.04E-02,
2050,644.132,-0.28144,
2080,649.132,-0.4336,
2110,654.132,-0.533,
2140,659.132,-0.59816,
2170,664.132,-0.65473,
2200,669.132,-0.71764,
2230,674.132,-0.74611,
2260,679.132,-0.74873,
2290,684.132,-0.75893,
2320,689.132,-0.66763,
2350,694.132,-0.56688,
2380,699.132,-0.49069,
2410,704.132,-0.44684,
2440,709.132,-0.40831,
2470,714.132,-0.39326,
2500,719.132,-0.39162,
2530,724.132,-0.3913,
2560,729.132,-0.39033,
2590,734.132,-0.39042,
2620,739.132,-0.38741,
2650,744.132,-0.38634,
2680,749.132,-0.38461,
2710,754.132,-0.40086,
2740,759.132,-0.41183,
2770,764.132,-0.41818,
2800,769.132,-0.42728,
2830,774.132,-0.43414,
2860,779.132,-0.44221,
2890,784.132,-0.43866,
2920,789.132,-0.44257,
2950,794.132,-0.44652,
2980,799.132,-0.44824,
3010,804.132,-0.46085,
3040,809.132,-0.45577,
3070,814.132,-0.45622,
3100,819.132,-0.45828,
3130,824.132,-0.45625,
3160,829.132,-0.46322,
3190,834.132,-0.46566,
3220,839.132,-0.45532,
3250,844.132,-0.45366,
3280,849.132,-0.45011,
3310,854.132,-0.44801,
3340,859.132,-0.43365,
3370,864.132,-0.44381,
3400,869.132,-0.43995,
3430,874.132,-0.43707,
3460,879.132,-0.4325,
3490,884.132,-0.42824,
3520,889.132,-0.42266,
3550,894.132,-0.42248,
3580,899.132,-0.42729,
3610,904.132,-0.42451,
3640,909.132,-0.42037,
3670,914.132,-0.42026,
,,,
