Time (s),Temperature (K),Mass (mg),Heat Flow Rate (W/g)
0,315.968,5.9,0.048
77.736,316.968,5.891,0.092
99.031,317.968,5.888,0.117
115.278,318.968,5.886,0.136
129.061,319.968,5.885,0.152
141.258,320.968,5.884,0.166
152.549,321.968,5.882,0.178
163.04,322.968,5.881,0.189
172.972,323.968,5.88,0.2
182.363,324.968,5.878,0.211
191.348,325.968,5.877,0.22
200.019,326.968,5.876,0.229
208.336,327.968,5.874,0.239
216.401,328.968,5.873,0.248
224.202,329.968,5.873,0.257
231.751,330.968,5.872,0.266
239.102,331.968,5.871,0.276
246.265,332.968,5.869,0.285
253.232,333.968,5.868,0.293
260.047,334.968,5.866,0.302
266.702,335.968,5.865,0.311
273.246,336.968,5.864,0.321
279.65,337.968,5.863,0.329
285.925,338.968,5.861,0.339
292.096,339.968,5.86,0.348
298.189,340.968,5.858,0.355
304.18,341.968,5.857,0.362
310.088,342.968,5.855,0.371
315.901,343.968,5.854,0.378
321.645,344.968,5.853,0.385
327.326,345.968,5.852,0.392
332.949,346.968,5.851,0.397
338.495,347.968,5.849,0.405
344.003,348.968,5.848,0.411
349.435,349.968,5.846,0.416
354.809,350.968,5.844,0.421
360.151,351.968,5.842,0.426
365.435,352.968,5.841,0.432
370.685,353.968,5.84,0.436
375.9,354.968,5.838,0.439
381.068,355.968,5.837,0.441
386.198,356.968,5.836,0.443
391.3,357.968,5.835,0.444
396.364,358.968,5.834,0.446
401.407,359.968,5.832,0.446
406.416,360.968,5.831,0.447
411.397,361.968,5.829,0.446
416.352,362.968,5.828,0.446
421.28,363.968,5.827,0.445
426.193,364.968,5.826,0.444
431.087,365.968,5.825,0.442
435.961,366.968,5.823,0.44
440.831,367.968,5.822,0.437
445.674,368.968,5.821,0.435
450.506,369.968,5.82,0.432
455.306,370.968,5.819,0.428
460.097,371.968,5.818,0.423
464.884,372.968,5.817,0.419
469.646,373.968,5.817,0.415
474.419,374.968,5.816,0.411
479.19,375.968,5.814,0.407
483.956,376.968,5.814,0.402
488.708,377.968,5.813,0.398
493.451,378.968,5.813,0.394
498.188,379.968,5.812,0.39
502.918,380.968,5.812,0.385
507.652,381.968,5.812,0.381
512.386,382.968,5.811,0.376
517.122,383.968,5.811,0.372
521.852,384.968,5.81,0.368
526.572,385.968,5.81,0.365
531.29,386.968,5.81,0.363
536,387.968,5.81,0.361
540.722,388.968,5.809,0.359
545.451,389.968,5.809,0.356
550.189,390.968,5.809,0.353
554.921,391.968,5.808,0.351
559.65,392.968,5.808,0.35
564.376,393.968,5.808,0.348
569.101,394.968,5.808,0.345
573.822,395.968,5.808,0.344
578.54,396.968,5.808,0.344
583.267,397.968,5.808,0.344
587.993,398.968,5.808,0.344
592.724,399.968,5.808,0.343
597.455,400.968,5.807,0.342
602.201,401.968,5.807,0.341
606.938,402.968,5.807,0.339
611.683,403.968,5.807,0.338
616.444,404.968,5.807,0.338
621.202,405.968,5.807,0.338
625.954,406.968,5.807,0.337
630.716,407.968,5.807,0.336
635.492,408.968,5.806,0.336
640.272,409.968,5.806,0.338
645.049,410.968,5.806,0.338
649.835,411.968,5.806,0.337
654.644,412.968,5.806,0.337
659.455,413.968,5.805,0.337
664.272,414.968,5.805,0.337
669.087,415.968,5.805,0.336
673.916,416.968,5.804,0.336
678.759,417.968,5.805,0.337
683.608,418.968,5.805,0.337
688.465,419.968,5.805,0.337
693.328,420.968,5.805,0.337
