Time (s),Temperature (K),Mass (mg),Heat Flow Rate (W/g)
0,313.055,3.6,0.028
66.03,314.055,3.601,0.06
88.136,315.055,3.599,0.086
104.593,316.055,3.599,0.105
118.429,317.055,3.599,0.122
130.614,318.055,3.599,0.137
141.842,319.055,3.598,0.151
152.197,320.055,3.597,0.163
162.058,321.055,3.597,0.174
171.391,322.055,3.598,0.186
180.298,323.055,3.598,0.197
188.867,324.055,3.599,0.208
197.119,325.055,3.598,0.219
205.081,326.055,3.597,0.228
212.845,327.055,3.595,0.237
220.377,328.055,3.594,0.247
227.695,329.055,3.593,0.255
234.828,330.055,3.593,0.266
241.794,331.055,3.593,0.275
248.611,332.055,3.593,0.283
255.252,333.055,3.592,0.291
261.745,334.055,3.591,0.299
268.108,335.055,3.591,0.308
274.358,336.055,3.59,0.318
280.524,337.055,3.59,0.326
286.581,338.055,3.59,0.335
292.549,339.055,3.589,0.342
298.409,340.055,3.589,0.348
304.18,341.055,3.589,0.356
309.892,342.055,3.588,0.363
315.545,343.055,3.587,0.369
321.141,344.055,3.586,0.373
326.667,345.055,3.586,0.379
332.138,346.055,3.586,0.385
337.553,347.055,3.586,0.388
342.91,348.055,3.585,0.393
348.238,349.055,3.584,0.398
353.513,350.055,3.584,0.402
358.732,351.055,3.583,0.406
363.911,352.055,3.582,0.41
369.071,353.055,3.581,0.413
374.194,354.055,3.581,0.414
379.28,355.055,3.581,0.415
384.332,356.055,3.58,0.415
389.369,357.055,3.579,0.417
394.367,358.055,3.579,0.416
399.32,359.055,3.579,0.415
404.251,360.055,3.578,0.415
409.169,361.055,3.578,0.414
414.067,362.055,3.578,0.413
418.947,363.055,3.578,0.411
423.79,364.055,3.578,0.411
428.617,365.055,3.577,0.409
433.399,366.055,3.576,0.408
438.196,367.055,3.576,0.407
442.981,368.055,3.575,0.402
447.748,369.055,3.575,0.398
452.504,370.055,3.575,0.396
457.242,371.055,3.574,0.395
461.978,372.055,3.574,0.392
466.7,373.055,3.574,0.388
471.413,374.055,3.574,0.385
476.124,375.055,3.574,0.383
480.839,376.055,3.574,0.381
485.552,377.055,3.574,0.38
490.24,378.055,3.574,0.378
494.922,379.055,3.574,0.374
499.615,380.055,3.574,0.372
504.302,381.055,3.574,0.37
508.991,382.055,3.574,0.368
513.687,383.055,3.573,0.367
518.377,384.055,3.573,0.367
523.07,385.055,3.573,0.367
527.755,386.055,3.573,0.366
532.439,387.055,3.573,0.366
537.124,388.055,3.573,0.366
541.819,389.055,3.574,0.366
546.502,390.055,3.574,0.366
551.2,391.055,3.574,0.366
555.889,392.055,3.574,0.365
560.595,393.055,3.574,0.364
565.294,394.055,3.575,0.364
570.001,395.055,3.575,0.364
574.699,396.055,3.575,0.365
579.396,397.055,3.575,0.367
584.097,398.055,3.575,0.368
588.794,399.055,3.575,0.369
593.492,400.055,3.575,0.369
598.201,401.055,3.575,0.37
602.92,402.055,3.574,0.372
607.643,403.055,3.574,0.375
612.371,404.055,3.574,0.376
617.099,405.055,3.574,0.377
621.836,406.055,3.574,0.377
626.57,407.055,3.575,0.378
631.309,408.055,3.575,0.379
636.06,409.055,3.576,0.379
640.811,410.055,3.576,0.379
645.57,411.055,3.575,0.381
650.333,412.055,3.575,0.382
655.11,413.055,3.575,0.383
659.905,414.055,3.574,0.385
664.711,415.055,3.574,0.386
669.527,416.055,3.574,0.386
674.338,417.055,3.574,0.388
679.159,418.055,3.574,0.389
683.991,419.055,3.575,0.389
688.837,420.055,3.575,0.389
693.698,421.055,3.575,0.391
698.561,422.055,3.575,0.393
703.437,423.055,3.575,0.394
708.332,424.055,3.574,0.396
713.245,425.055,3.574,0.397
718.159,426.055,3.574,0.398
723.087,427.055,3.574,0.398
728.028,428.055,3.574,0.397
732.988,429.055,3.574,0.398
737.977,430.055,3.573,0.399
742.961,431.055,3.573,0.401
747.949,432.055,3.574,0.402
752.959,433.055,3.574,0.403
757.996,434.055,3.575,0.403
763.039,435.055,3.574,0.407
768.098,436.055,3.574,0.41
773.177,437.055,3.574,0.412
778.256,438.055,3.574,0.414
783.361,439.055,3.574,0.416
788.485,440.055,3.574,0.418
793.624,441.055,3.574,0.419
798.784,442.055,3.574,0.419
803.939,443.055,3.573,0.421
809.115,444.055,3.572,0.422
814.308,445.055,3.571,0.424
819.522,446.055,3.571,0.426
824.743,447.055,3.571,0.428
829.982,448.055,3.571,0.429
835.232,449.055,3.571,0.429
840.505,450.055,3.571,0.43
845.789,451.055,3.571,0.433
851.081,452.055,3.571,0.435
856.391,453.055,3.57,0.437
861.706,454.055,3.569,0.437
867.03,455.055,3.569,0.437
872.372,456.055,3.569,0.438
877.73,457.055,3.569,0.441
883.106,458.055,3.568,0.444
888.491,459.055,3.568,0.446
893.885,460.055,3.568,0.447
899.285,461.055,3.567,0.45
904.708,462.055,3.566,0.453
910.146,463.055,3.565,0.456
