Time (s),Temperature (K),Mass (mg),Heat Flow Rate (W/g)
0.0000,298.5000,1.9260,0.0076
23.4652,299.0000,1.9256,0.0117
40.6270,299.5000,1.9250,0.0155
54.8198,300.0000,1.9250,0.0183
67.3269,300.5000,1.9240,0.0218
78.6908,301.0000,1.9242,0.0254
89.1569,301.5000,1.9230,0.0289
98.9861,302.0000,1.9245,0.0322
108.3145,302.5000,1.9239,0.0361
117.1534,303.0000,1.9238,0.0394
125.7256,303.5000,1.9231,0.0436
133.9634,304.0000,1.9240,0.0472
141.9670,304.5000,1.9243,0.0506
149.7670,305.0000,1.9241,0.0543
157.2913,305.5000,1.9248,0.0572
164.7501,306.0000,1.9230,0.0602
172.0444,306.5000,1.9250,0.0642
179.1588,307.0000,1.9234,0.0669
186.1745,307.5000,1.9234,0.0704
193.0951,308.0000,1.9220,0.0737
199.9110,308.5000,1.9220,0.0772
206.7020,309.0000,1.9220,0.0810
213.3813,309.5000,1.9220,0.0834
219.9836,310.0000,1.9220,0.0870
226.5025,310.5000,1.9190,0.0906
232.9365,311.0000,1.9200,0.0933
239.4055,311.5000,1.9181,0.0964
245.7535,312.0000,1.9170,0.0988
252.0933,312.5000,1.9190,0.1027
258.3895,313.0000,1.9180,0.1050
264.6145,313.5000,1.9160,0.1078
270.8503,314.0000,1.9150,0.1107
276.9895,314.5000,1.9150,0.1134
283.1303,315.0000,1.9143,0.1160
289.2599,315.5000,1.9126,0.1185
295.3569,316.0000,1.9110,0.1202
301.4270,316.5000,1.9120,0.1219
307.4887,317.0000,1.9110,0.1243
313.5116,317.5000,1.9091,0.1264
319.5369,318.0000,1.9110,0.1277
325.5462,318.5000,1.9090,0.1289
331.5025,319.0000,1.9100,0.1305
337.4770,319.5000,1.9110,0.1314
343.4290,320.0000,1.9100,0.1320
349.3876,320.5000,1.9110,0.1330
355.2933,321.0000,1.9090,0.1329
361.1939,321.5000,1.9080,0.1329
367.1308,322.0000,1.9060,0.1327
373.0385,322.5000,1.9080,0.1325
378.9305,323.0000,1.9060,0.1318
384.8077,323.5000,1.9060,0.1318
390.7005,324.0000,1.9050,0.1306
396.5769,324.5000,1.9060,0.1292
402.4500,325.0000,1.9040,0.1284
408.2656,325.5000,1.9050,0.1262
414.1270,326.0000,1.9030,0.1242
420.0009,326.5000,1.9030,0.1228
425.8329,327.0000,1.9030,0.1209
431.7000,327.5000,1.9030,0.1186
437.5300,328.0000,1.9020,0.1170
443.3650,328.5000,1.9015,0.1145
449.2064,329.0000,1.9018,0.1122
455.0534,329.5000,1.9020,0.1098
460.8887,330.0000,1.9010,0.1073
466.7423,330.5000,1.9010,0.1051
472.5711,331.0000,1.9010,0.1028
478.4157,331.5000,1.9010,0.1001
484.2198,332.0000,1.8999,0.0977
490.0810,332.5000,1.8990,0.0954
495.9222,333.0000,1.8990,0.0927
501.7240,333.5000,1.9010,0.0909
507.5600,334.0000,1.8990,0.0887
513.3850,334.5000,1.8990,0.0862
519.2534,335.0000,1.8970,0.0834
525.0969,335.5000,1.8970,0.0817
530.8606,336.0000,1.8970,0.0794
536.7659,336.5000,1.8970,0.0767
542.5977,337.0000,1.8960,0.0748
548.4489,337.5000,1.8957,0.0729
554.2616,338.0000,1.8950,0.0705
560.0770,338.5000,1.8940,0.0684
565.9210,339.0000,1.8930,0.0669
571.7586,339.5000,1.8950,0.0646
577.6128,340.0000,1.8940,0.0630
583.4403,340.5000,1.8930,0.0612
589.2547,341.0000,1.8920,0.0589
595.0851,341.5000,1.8930,0.0575
600.9462,342.0000,1.8910,0.0556
606.7593,342.5000,1.8910,0.0539
612.6198,343.0000,1.8910,0.0520
618.4330,343.5000,1.8910,0.0501
624.2535,344.0000,1.8920,0.0477
630.0923,344.5000,1.8930,0.0459
635.9260,345.0000,1.8930,0.0436
641.7562,345.5000,1.8930,0.0413
647.5864,346.0000,1.8930,0.0394
653.4346,346.5000,1.8910,0.0384
659.2809,347.0000,1.8910,0.0365
665.1005,347.5000,1.8900,0.0346
670.9385,348.0000,1.8900,0.0334
676.8000,348.5000,1.8890,0.0314
682.6182,349.0000,1.8900,0.0302
688.4535,349.5000,1.8900,0.0280
694.2887,350.0000,1.8890,0.0272
700.1123,350.5000,1.8880,0.0257
705.9692,351.0000,1.8880,0.0246
711.7946,351.5000,1.8880,0.0235
717.6462,352.0000,1.8890,0.0222
723.4570,352.5000,1.8880,0.0219
729.2349,353.0000,1.8890,0.0205
735.1005,353.5000,1.8880,0.0195
740.9423,354.0000,1.8880,0.0188
746.7881,354.5000,1.8870,0.0178
752.5962,355.0000,1.8860,0.0169
758.4505,355.5000,1.8860,0.0164
764.2940,356.0000,1.8850,0.0158
770.1000,356.5000,1.8850,0.0151
775.9570,357.0000,1.8850,0.0148
781.7770,357.5000,1.8850,0.0141
787.6214,358.0000,1.8850,0.0130
793.4650,358.5000,1.8870,0.0127
799.2808,359.0000,1.8850,0.0124
805.1240,359.5000,1.8850,0.0117
810.9547,360.0000,1.8850,0.0108
816.7616,360.5000,1.8830,0.0105
822.6369,361.0000,1.8850,0.0098
828.4616,361.5000,1.8850,0.0091
834.3005,362.0000,1.8850,0.0085
840.1358,362.5000,1.8850,0.0082
846.0020,363.0000,1.8860,0.0074
851.8090,363.5000,1.8850,0.0073
857.6334,364.0000,1.8860,0.0064
863.4970,364.5000,1.8867,0.0064
869.3289,365.0000,1.8870,0.0056
875.1609,365.5000,1.8880,0.0055
881.0035,366.0000,1.8890,0.0049
886.8130,366.5000,1.8870,0.0041
892.6484,367.0000,1.8850,0.0042
898.5116,367.5000,1.8840,0.0038
904.3154,368.0000,1.8840,0.0037
910.1529,368.5000,1.8835,0.0036
915.9946,369.0000,1.8840,0.0032
921.8535,369.5000,1.8840,0.0029
927.6770,370.0000,1.8837,0.0026
933.5050,370.5000,1.8830,0.0023
939.3153,371.0000,1.8840,0.0024
945.1790,371.5000,1.8840,0.0020
951.0130,372.0000,1.8830,0.0022
956.8468,372.5000,1.8836,0.0017
962.6887,373.0000,1.8830,0.0018
968.4992,373.5000,1.8830,0.0012
974.3548,374.0000,1.8830,0.0022
980.1828,374.5000,1.8830,0.0019
986.0290,375.0000,1.8850,0.0013
991.8652,375.5000,1.8830,0.0019
997.6846,376.0000,1.8830,0.0018
