Time (s),Mass (g),TC back 1 (K)
0,11.948,300.3
1,11.954,300.2
2,11.956,300.1
3,11.955,300.2
4,11.952,300.2
5,11.946,300.2
6,11.937,300.1
7,11.926,300.1
8,11.913,300.0
9,11.898,300.0
10,11.880,300.0
11,11.861,300.0
12,11.840,300.0
13,11.817,300.1
14,11.793,300.1
15,11.767,300.2
16,11.740,300.3
17,11.712,300.4
18,11.683,300.6
19,11.653,300.9
20,11.623,301.0
21,11.591,301.3
22,11.559,301.4
23,11.527,301.8
24,11.494,302.2
25,11.461,302.7
26,11.427,303.2
27,11.394,303.7
28,11.360,304.3
29,11.326,305.0
30,11.292,305.7
31,11.258,306.4
32,11.224,307.1
33,11.190,308.0
34,11.156,308.8
35,11.123,309.7
36,11.090,310.6
37,11.057,311.6
38,11.025,312.7
39,10.993,313.7
40,10.962,314.7
41,10.931,315.8
42,10.901,316.9
43,10.872,318.0
44,10.843,319.0
45,10.815,320.1
46,10.788,321.2
47,10.761,322.2
48,10.734,323.3
49,10.709,324.5
50,10.683,325.8
51,10.658,327.1
52,10.633,328.3
53,10.608,329.7
54,10.584,331.1
55,10.560,332.3
56,10.536,333.6
57,10.512,334.8
58,10.489,336.1
59,10.465,337.5
60,10.441,338.7
61,10.418,340.0
62,10.394,341.3
63,10.370,342.6
64,10.346,343.8
65,10.322,345.1
66,10.298,346.5
67,10.273,347.9
68,10.249,349.0
69,10.225,350.4
70,10.200,351.7
71,10.176,353.0
72,10.152,354.4
73,10.128,355.7
74,10.103,357.0
75,10.079,358.3
76,10.055,359.6
77,10.032,360.8
78,10.008,362.1
79,9.985,363.3
80,9.961,364.6
81,9.938,365.8
82,9.916,367.0
83,9.893,368.4
84,9.871,369.7
85,9.849,371.0
86,9.827,372.2
87,9.806,373.4
88,9.785,374.7
89,9.764,375.9
90,9.743,377.2
91,9.723,378.4
92,9.702,379.6
93,9.682,380.9
94,9.662,382.1
95,9.642,383.3
96,9.622,384.5
97,9.602,385.7
98,9.582,386.8
99,9.562,387.9
100,9.542,389.1
101,9.522,390.3
102,9.503,391.5
103,9.483,392.7
104,9.463,393.9
105,9.443,395.0
106,9.422,396.1
107,9.402,397.2
108,9.382,398.5
109,9.361,399.6
110,9.341,400.6
111,9.320,401.8
112,9.300,403.0
113,9.279,404.2
114,9.259,405.1
115,9.238,406.3
116,9.217,407.4
117,9.197,408.5
118,9.176,409.6
119,9.156,410.4
120,9.135,411.4
121,9.115,412.5
122,9.095,413.6
123,9.074,414.7
124,9.054,415.7
125,9.034,416.7
126,9.014,417.7
127,8.994,418.7
128,8.974,419.7
129,8.955,420.7
130,8.935,421.6
131,8.916,422.6
132,8.896,423.5
133,8.877,424.4
134,8.858,425.3
135,8.839,426.1
136,8.820,427.0
137,8.801,427.8
138,8.782,428.6
139,8.764,429.5
140,8.745,430.2
141,8.726,431.0
142,8.708,431.8
143,8.690,432.7
144,8.672,433.6
145,8.653,434.4
146,8.635,435.3
147,8.617,436.1
148,8.599,437.0
149,8.582,437.8
150,8.564,438.7
151,8.546,439.5
152,8.528,440.4
153,8.511,441.3
154,8.493,441.9
155,8.476,442.7
156,8.458,443.6
157,8.440,444.2
158,8.422,445.0
159,8.405,446.0
160,8.387,446.8
161,8.369,447.5
162,8.351,448.2
163,8.333,448.8
164,8.315,449.5
165,8.297,450.2
166,8.278,451.4
167,8.260,451.8
168,8.241,452.4
169,8.222,453.3
170,8.204,454.2
171,8.185,455.0
172,8.166,455.8
173,8.146,456.5
174,8.127,457.5
175,8.108,458.1
176,8.089,458.5
177,8.069,459.3
