Time (s),Mass (g),TC back 1 (K)
0,12.182,298.1
1,12.180,298.0
2,12.178,298.0
3,12.176,298.1
4,12.174,298.2
5,12.172,298.1
6,12.170,298.0
7,12.167,298.0
8,12.164,298.1
9,12.161,297.9
10,12.158,297.8
11,12.155,297.8
12,12.152,298.0
13,12.148,298.0
14,12.144,298.1
15,12.140,298.1
16,12.136,298.1
17,12.132,298.1
18,12.127,298.3
19,12.122,298.3
20,12.117,298.4
21,12.112,298.5
22,12.107,298.6
23,12.101,298.9
24,12.096,299.2
25,12.090,299.4
26,12.083,299.9
27,12.077,300.1
28,12.070,300.5
29,12.064,300.8
30,12.056,301.2
31,12.049,301.7
32,12.042,302.2
33,12.034,302.7
34,12.026,303.1
35,12.017,303.6
36,12.009,304.3
37,12.000,305.0
38,11.991,305.4
39,11.982,305.9
40,11.972,306.6
41,11.963,307.4
42,11.953,308.2
43,11.943,308.9
44,11.932,309.6
45,11.922,310.4
46,11.911,311.1
47,11.900,312.0
48,11.889,312.8
49,11.878,313.7
50,11.867,314.6
51,11.855,315.5
52,11.843,316.3
53,11.832,317.2
54,11.820,318.1
55,11.807,319.0
56,11.795,319.8
57,11.783,320.7
58,11.770,321.7
59,11.758,322.7
60,11.745,323.5
61,11.732,324.5
62,11.719,325.5
63,11.706,326.4
64,11.693,327.4
65,11.680,328.4
66,11.667,329.4
67,11.654,330.4
68,11.640,331.4
69,11.627,332.5
70,11.614,333.5
71,11.600,334.3
72,11.587,335.3
73,11.573,336.5
74,11.560,337.5
75,11.546,338.5
76,11.533,339.5
77,11.519,340.6
78,11.506,341.5
79,11.492,342.6
80,11.478,343.6
81,11.465,344.6
82,11.451,345.6
83,11.438,346.6
84,11.424,347.6
85,11.411,348.6
86,11.397,349.5
87,11.384,350.5
88,11.370,351.5
89,11.357,352.6
90,11.344,353.6
91,11.330,354.6
92,11.317,355.6
93,11.304,356.6
94,11.290,357.6
95,11.277,358.5
96,11.264,359.5
97,11.251,360.4
98,11.238,361.4
99,11.225,362.4
100,11.212,363.3
101,11.200,364.2
102,11.187,365.2
103,11.174,366.2
104,11.162,367.1
105,11.149,368.1
106,11.137,369.0
107,11.125,370.0
108,11.112,370.9
109,11.100,371.8
110,11.088,372.7
111,11.076,373.7
112,11.065,374.6
113,11.053,375.5
114,11.041,376.5
115,11.030,377.5
116,11.018,378.4
117,11.007,379.2
118,10.995,380.1
119,10.984,380.9
120,10.973,381.8
121,10.962,382.8
122,10.951,383.6
123,10.939,384.4
124,10.928,385.3
125,10.917,386.0
126,10.906,386.8
127,10.896,387.7
128,10.885,388.6
129,10.874,389.4
130,10.863,390.2
131,10.852,391.0
132,10.841,391.8
133,10.831,392.6
134,10.820,393.4
135,10.809,394.2
136,10.799,395.0
137,10.788,395.8
138,10.777,396.6
139,10.766,397.4
140,10.756,398.1
141,10.745,398.8
142,10.734,399.5
143,10.723,400.3
144,10.713,401.0
145,10.702,401.8
146,10.691,402.5
147,10.680,403.2
148,10.669,404.0
149,10.659,404.8
150,10.648,405.4
151,10.637,406.1
152,10.626,406.8
153,10.615,407.5
154,10.604,408.1
155,10.593,408.7
156,10.583,409.5
157,10.572,410.2
158,10.561,410.9
159,10.550,411.5
160,10.539,412.1
161,10.528,412.7
162,10.518,413.3
163,10.507,413.9
164,10.496,414.6
165,10.485,415.2
166,10.475,415.8
167,10.464,416.3
168,10.453,416.9
169,10.443,417.5
170,10.432,418.2
171,10.422,418.8
172,10.411,419.5
173,10.401,420.1
174,10.390,420.8
175,10.380,421.4
176,10.370,421.8
177,10.359,422.4
178,10.349,423.0
179,10.339,423.5
180,10.329,424.1
181,10.319,424.7
182,10.309,425.2
183,10.299,425.8
184,10.289,426.2
185,10.279,426.8
186,10.269,427.1
187,10.259,427.6
188,10.250,428.1
189,10.240,428.5
190,10.230,429.0
191,10.221,429.6
192,10.211,430.0
193,10.201,430.5
194,10.192,430.9
195,10.182,431.4
196,10.173,431.9
197,10.163,432.3
198,10.153,432.8
199,10.144,433.2
200,10.134,433.7
201,10.125,434.3
202,10.115,434.7
203,10.106,435.1
204,10.096,435.6
205,10.086,436.0
206,10.077,436.5
207,10.067,437.0
208,10.057,437.5
209,10.048,437.8
210,10.038,438.4
211,10.028,438.7
212,10.018,439.2
213,10.008,439.6
214,9.999,440.0
215,9.989,440.5
216,9.979,440.9
217,9.969,441.4
218,9.958,441.9
219,9.948,442.3
220,9.938,442.6
221,9.928,443.0
222,9.918,443.4
223,9.907,443.9
224,9.897,444.3
225,9.887,444.7
226,9.876,445.0
227,9.866,445.4
228,9.856,445.9
229,9.845,446.3
230,9.835,446.6
231,9.824,447.1
232,9.814,447.4
233,9.803,447.8
234,9.793,448.2
235,9.782,448.5
236,9.772,448.9
237,9.761,449.3
238,9.751,449.6
239,9.741,450.0
240,9.730,450.4
241,9.720,450.7
242,9.709,451.1
243,9.699,451.6
244,9.689,451.9
245,9.678,452.2
246,9.668,452.6
247,9.658,453.1
248,9.648,453.5
249,9.637,453.9
250,9.627,454.2
251,9.617,454.6
252,9.607,454.9
253,9.597,455.3
254,9.587,455.7
255,9.577,456.0
256,9.567,456.4
257,9.558,456.7
258,9.548,457.0
259,9.538,457.3
260,9.528,457.7
261,9.519,458.1
262,9.509,458.4
263,9.500,458.7
264,9.490,459.0
265,9.481,459.4
266,9.471,459.7
267,9.462,460.0
268,9.452,460.3
269,9.443,460.7
270,9.434,461.0
271,9.424,461.3
272,9.415,461.7
273,9.406,461.9
274,9.397,462.2
275,9.387,462.6
276,9.378,462.8
277,9.369,463.2
278,9.360,463.5
279,9.351,463.8
280,9.342,464.0
281,9.333,464.4
282,9.324,464.5
283,9.315,464.9
284,9.306,465.2
285,9.297,465.5
286,9.288,465.8
287,9.279,466.2
288,9.270,466.5
289,9.261,466.8
290,9.252,467.0
291,9.243,467.3
292,9.234,467.6
293,9.225,467.9
294,9.216,468.2
295,9.208,468.5
296,9.199,468.8
297,9.190,469.1
298,9.181,469.3
299,9.172,469.6
300,9.164,469.9
301,9.155,470.2
302,9.146,470.4
303,9.137,470.7
304,9.129,471.2
305,9.120,471.3
306,9.111,471.5
307,9.103,471.8
308,9.094,472.1
309,9.085,472.5
310,9.077,472.8
311,9.068,473.0
312,9.059,473.2
313,9.051,473.5
314,9.042,473.8
315,9.034,474.1
316,9.025,474.3
317,9.017,474.6
318,9.008,474.9
319,9.000,475.2
320,8.991,475.4
321,8.983,475.6
322,8.974,475.8
323,8.966,476.2
324,8.957,476.3
325,8.949,476.7
326,8.940,476.8
327,8.932,477.1
328,8.923,477.4
329,8.915,477.7
330,8.907,477.9
331,8.898,478.1
332,8.890,478.3
333,8.882,478.5
334,8.873,478.8
335,8.865,479.1
336,8.857,479.4
337,8.849,479.6
338,8.840,479.9
339,8.832,480.2
340,8.824,480.5
341,8.816,480.7
342,8.808,480.9
343,8.800,481.1
344,8.792,481.5
345,8.784,481.6
346,8.776,481.7
347,8.768,481.9
348,8.760,482.1
349,8.752,482.4
350,8.744,482.7
351,8.737,482.9
352,8.729,483.0
353,8.721,483.1
354,8.713,483.4
355,8.706,483.6
356,8.698,483.9
357,8.691,484.2
358,8.683,484.3
359,8.676,484.5
360,8.668,484.8
361,8.661,484.9
362,8.653,485.1
363,8.646,485.4
364,8.639,485.5
365,8.631,485.7
366,8.624,485.9
367,8.617,486.1
368,8.610,486.3
369,8.603,486.6
370,8.596,486.9
371,8.589,487.0
372,8.582,487.1
373,8.574,487.2
374,8.567,487.5
375,8.561,487.7
376,8.554,487.8
377,8.547,488.0
378,8.540,488.2
379,8.533,488.4
380,8.526,488.5
381,8.519,488.7
382,8.512,488.9
383,8.505,489.0
384,8.498,489.3
385,8.491,489.5
386,8.484,489.6
387,8.478,489.8
388,8.471,490.1
389,8.464,490.2
390,8.457,490.4
391,8.450,490.5
392,8.443,490.6
393,8.436,490.9
394,8.429,491.1
395,8.422,491.3
396,8.415,491.4
397,8.409,491.6
398,8.402,491.8
399,8.395,492.0
400,8.388,492.1
401,8.381,492.3
402,8.374,492.4
403,8.367,492.7
404,8.360,493.2
405,8.353,493.3
406,8.345,493.3
407,8.338,493.6
408,8.331,493.8
409,8.324,493.9
410,8.317,494.0
411,8.310,494.1
412,8.303,494.3
413,8.296,494.6
414,8.289,494.7
415,8.282,494.9
416,8.275,495.1
417,8.268,495.3
418,8.261,495.5
419,8.254,495.8
420,8.247,496.0
421,8.241,496.1
422,8.234,496.2
423,8.227,496.2
424,8.220,496.4
425,8.213,496.6
426,8.206,496.9
427,8.199,497.0
428,8.193,497.1
429,8.186,497.4
430,8.179,497.5
431,8.172,497.6
432,8.166,497.8
433,8.159,498.0
434,8.152,498.1
435,8.146,498.3
436,8.139,498.4
437,8.132,498.5
438,8.126,498.7
439,8.119,498.8
440,8.113,499.1
441,8.106,499.2
442,8.100,499.3
443,8.093,499.4
444,8.087,499.5
445,8.080,499.7
446,8.074,499.9
447,8.067,499.9
448,8.061,500.1
449,8.055,500.2
450,8.048,500.2
451,8.042,500.4
452,8.036,500.5
453,8.029,500.7
454,8.023,500.9
455,8.017,501.2
456,8.010,501.2
457,8.004,501.3
458,7.998,501.5
459,7.991,501.6
460,7.985,501.7
461,7.979,501.9
462,7.972,502.1
463,7.966,502.1
464,7.960,502.3
465,7.953,502.5
466,7.947,502.5
467,7.941,502.7
468,7.935,502.7
469,7.928,502.8
470,7.922,503.0
471,7.916,503.0
472,7.909,503.1
473,7.903,503.2
474,7.897,503.3
475,7.891,503.5
476,7.884,503.7
477,7.878,503.8
478,7.872,503.8
479,7.866,503.9
480,7.859,504.1
481,7.853,504.3
482,7.847,504.5
483,7.841,504.5
484,7.835,504.7
485,7.829,504.8
486,7.822,504.8
487,7.816,504.8
488,7.810,505.1
489,7.804,505.3
490,7.798,505.3
491,7.792,505.5
492,7.786,505.6
493,7.781,505.7
494,7.775,505.9
495,7.769,506.0
496,7.763,506.0
497,7.757,506.0
498,7.752,506.3
499,7.746,506.4
500,7.740,506.6
501,7.735,506.7
502,7.729,506.7
503,7.724,506.7
504,7.718,506.8
505,7.713,506.9
506,7.708,507.2
507,7.702,507.3
508,7.697,507.5
509,7.692,507.5
510,7.687,507.6
511,7.681,507.9
512,7.676,507.9
513,7.671,508.0
514,7.666,508.0
515,7.661,508.1
516,7.656,508.4
517,7.651,508.4
518,7.647,508.6
519,7.642,508.6
520,7.637,508.7
521,7.632,508.8
522,7.627,508.9
523,7.622,509.0
524,7.618,509.1
525,7.613,509.2
526,7.608,509.3
527,7.604,509.5
528,7.599,509.4
529,7.594,509.5
530,7.590,509.7
531,7.585,509.8
532,7.580,509.9
533,7.576,510.0
534,7.571,510.1
535,7.566,510.1
536,7.562,510.3
537,7.557,510.3
538,7.553,510.5
539,7.548,510.6
540,7.544,510.7
541,7.539,510.9
542,7.534,511.0
543,7.530,510.9
544,7.525,511.2
545,7.521,511.2
546,7.516,511.4
547,7.511,511.5
548,7.507,511.6
549,7.502,511.7
550,7.498,511.7
551,7.493,511.7
552,7.489,511.7
553,7.484,511.9
554,7.479,511.9
555,7.475,512.1
556,7.470,512.3
557,7.466,512.4
558,7.461,512.3
559,7.456,512.5
560,7.452,512.7
561,7.447,512.6
562,7.443,512.6
563,7.438,512.8
564,7.433,512.9
565,7.429,512.8
566,7.424,512.9
567,7.420,513.1
568,7.415,513.0
569,7.410,513.1
570,7.406,513.3
571,7.401,513.4
572,7.396,513.4
573,7.392,513.6
574,7.387,513.7
575,7.383,513.7
576,7.378,513.8
577,7.373,513.9
578,7.369,514.2
579,7.364,514.2
580,7.359,514.2
581,7.355,514.4
582,7.350,514.3
583,7.345,514.4
584,7.341,514.6
585,7.336,514.6
586,7.332,514.6
587,7.327,514.7
588,7.322,514.8
589,7.318,515.0
590,7.313,515.1
591,7.309,515.1
592,7.304,515.0
593,7.299,515.1
594,7.295,515.2
595,7.290,515.4
596,7.286,515.4
597,7.281,515.6
598,7.277,515.6
599,7.272,515.5
600,7.268,515.6
601,7.263,515.7
602,7.259,515.8
603,7.254,515.8
604,7.250,516.0
605,7.246,516.1
606,7.241,516.1
607,7.237,516.1
608,7.233,516.2
609,7.228,516.2
610,7.224,516.3
611,7.220,516.4
612,7.216,516.5
613,7.211,516.5
614,7.207,516.6
615,7.203,516.6
616,7.199,516.7
617,7.195,516.9
618,7.191,516.9
619,7.187,516.8
620,7.183,516.9
621,7.179,517.0
622,7.175,517.1
623,7.171,517.1
624,7.167,517.1
625,7.163,517.3
626,7.159,517.3
627,7.155,517.4
628,7.151,517.5
629,7.148,517.6
