Time (s),Temperature (K),Mass (mg),Heat Flow Rate (W/g)
0.0000,303.0000,1.8865,0.0211
48.6751,303.5000,1.8870,0.0228
78.6068,304.0000,1.8853,0.0242
102.4096,304.5000,1.8843,0.0270
123.3536,305.0000,1.8830,0.0277
142.2250,305.5000,1.8850,0.0294
159.6750,306.0000,1.8844,0.0316
176.2650,306.5000,1.8860,0.0333
192.0450,307.0000,1.8850,0.0347
207.2882,307.5000,1.8841,0.0369
221.9393,308.0000,1.8830,0.0383
236.3393,308.5000,1.8831,0.0399
250.3000,309.0000,1.8830,0.0416
264.1107,309.5000,1.8840,0.0438
277.5690,310.0000,1.8832,0.0455
290.8410,310.5000,1.8840,0.0479
304.0859,311.0000,1.8820,0.0496
317.0712,311.5000,1.8801,0.0505
329.8822,312.0000,1.8820,0.0526
342.6965,312.5000,1.8800,0.0539
355.4000,313.0000,1.8780,0.0548
367.9500,313.5000,1.8791,0.0566
380.4614,314.0000,1.8780,0.0577
392.9250,314.5000,1.8780,0.0585
405.3293,315.0000,1.8770,0.0600
417.7207,315.5000,1.8773,0.0608
430.0250,316.0000,1.8770,0.0617
442.2500,316.5000,1.8750,0.0620
454.5033,317.0000,1.8740,0.0629
466.7481,317.5000,1.8750,0.0642
478.9500,318.0000,1.8760,0.0645
491.0750,318.5000,1.8740,0.0653
503.3130,319.0000,1.8730,0.0657
515.4250,319.5000,1.8720,0.0666
527.6010,320.0000,1.8730,0.0663
539.7361,320.5000,1.8727,0.0661
551.8598,321.0000,1.8710,0.0666
564.0685,321.5000,1.8720,0.0661
576.0946,322.0000,1.8710,0.0663
588.2465,322.5000,1.8700,0.0661
600.3293,323.0000,1.8700,0.0659
612.4179,323.5000,1.8700,0.0657
624.5250,324.0000,1.8720,0.0658
636.6946,324.5000,1.8700,0.0644
648.7000,325.0000,1.8680,0.0643
660.7805,325.5000,1.8680,0.0637
672.8251,326.0000,1.8660,0.0630
684.9866,326.5000,1.8665,0.0632
697.0096,327.0000,1.8660,0.0627
709.1380,327.5000,1.8650,0.0618
721.2355,328.0000,1.8650,0.0607
733.3290,328.5000,1.8650,0.0602
745.4250,329.0000,1.8640,0.0589
757.4796,329.5000,1.8630,0.0585
769.5341,330.0000,1.8630,0.0578
781.6170,330.5000,1.8640,0.0569
793.7000,331.0000,1.8640,0.0566
805.8250,331.5000,1.8637,0.0555
817.8810,332.0000,1.8620,0.0542
829.9327,332.5000,1.8630,0.0538
842.0250,333.0000,1.8640,0.0534
854.1210,333.5000,1.8640,0.0528
866.1806,334.0000,1.8610,0.0521
878.2694,334.5000,1.8610,0.0524
890.3380,335.0000,1.8620,0.0509
902.4000,335.5000,1.8610,0.0503
914.5250,336.0000,1.8590,0.0497
926.5179,336.5000,1.8600,0.0487
938.5821,337.0000,1.8581,0.0479
950.6695,337.5000,1.8580,0.0472
962.7450,338.0000,1.8590,0.0465
974.7865,338.5000,1.8600,0.0456
986.8559,339.0000,1.8618,0.0449
998.9850,339.5000,1.8600,0.0449
1011.0500,340.0000,1.8600,0.0446
1023.1251,340.5000,1.8600,0.0441
1035.2001,341.0000,1.8590,0.0435
1047.2523,341.5000,1.8590,0.0442
1059.3805,342.0000,1.8590,0.0436
1071.4170,342.5000,1.8590,0.0432
1083.4751,343.0000,1.8610,0.0425
1095.5712,343.5000,1.8620,0.0430
1107.5850,344.0000,1.8600,0.0422
1119.5893,344.5000,1.8590,0.0428
1131.6330,345.0000,1.8580,0.0429
1143.6570,345.5000,1.8600,0.0430
1155.6886,346.0000,1.8590,0.0430
1167.7096,346.5000,1.8600,0.0430
1179.6865,347.0000,1.8590,0.0435
1191.7291,347.5000,1.8570,0.0434
1203.6865,348.0000,1.8570,0.0434
1215.7291,348.5000,1.8570,0.0433
1227.7328,349.0000,1.8550,0.0433
1239.6865,349.5000,1.8560,0.0433
1251.6330,350.0000,1.8570,0.0428
1263.6500,350.5000,1.8560,0.0432
1275.6424,351.0000,1.8570,0.0428
1287.6000,351.5000,1.8570,0.0426
1299.5561,352.0000,1.8580,0.0432
1311.5500,352.5000,1.8560,0.0433
1323.5131,353.0000,1.8550,0.0439
1335.4751,353.5000,1.8550,0.0436
1347.3750,354.0000,1.8560,0.0438
1359.3930,354.5000,1.8560,0.0439
1371.3107,355.0000,1.8570,0.0444
1383.3250,355.5000,1.8570,0.0447
1395.2712,356.0000,1.8560,0.0450
1407.2250,356.5000,1.8560,0.0457
1419.2020,357.0000,1.8570,0.0462
1431.1531,357.5000,1.8550,0.0465
1443.0999,358.0000,1.8550,0.0469
1455.0173,358.5000,1.8550,0.0471
1466.9610,359.0000,1.8550,0.0473
1478.9850,359.5000,1.8550,0.0481
1490.9131,360.0000,1.8540,0.0486
1502.9020,360.5000,1.8540,0.0489
1514.8250,361.0000,1.8530,0.0498
1526.8096,361.5000,1.8540,0.0500
1538.7450,362.0000,1.8520,0.0512
1550.7173,362.5000,1.8520,0.0520
1562.7139,363.0000,1.8520,0.0520
1574.6473,363.5000,1.8540,0.0523
1586.6511,364.0000,1.8540,0.0530
1598.6490,364.5000,1.8540,0.0542
1610.6490,365.0000,1.8523,0.0539
1622.6028,365.5000,1.8540,0.0546
1634.5468,366.0000,1.8540,0.0555
1646.5729,366.5000,1.8540,0.0553
1658.5423,367.0000,1.8540,0.0561
1670.5501,367.5000,1.8540,0.0574
1682.5558,368.0000,1.8530,0.0574
1694.4916,368.5000,1.8540,0.0578
1706.5501,369.0000,1.8540,0.0581
1718.4810,369.5000,1.8530,0.0588
1730.4570,370.0000,1.8540,0.0605
1742.4330,370.5000,1.8520,0.0606
1754.3523,371.0000,1.8530,0.0609
1766.3361,371.5000,1.8530,0.0621
1778.2789,372.0000,1.8520,0.0627
1790.2410,372.5000,1.8510,0.0631
1802.2891,373.0000,1.8512,0.0647
1814.1886,373.5000,1.8520,0.0650
1826.1865,374.0000,1.8520,0.0658
1838.1750,374.5000,1.8520,0.0663
1850.1210,375.0000,1.8520,0.0670
1862.0750,375.5000,1.8520,0.0676
1874.0020,376.0000,1.8540,0.0696
1885.9729,376.5000,1.8530,0.0692
1897.9771,377.0000,1.8510,0.0703
1909.8750,377.5000,1.8480,0.0706
1921.9160,378.0000,1.8490,0.0714
1933.7750,378.5000,1.8510,0.0724
1945.7850,379.0000,1.8510,0.0733
1957.6559,379.5000,1.8510,0.0739
1969.6027,380.0000,1.8530,0.0745
1981.5535,380.5000,1.8530,0.0756
1993.4750,381.0000,1.8530,0.0761
2005.4465,381.5000,1.8510,0.0768
2017.3251,382.0000,1.8510,0.0771
2029.2341,382.5000,1.8530,0.0778
2041.1251,383.0000,1.8526,0.0789
2053.0500,383.5000,1.8510,0.0796
2064.8251,384.0000,1.8530,0.0807
2076.8250,384.5000,1.8530,0.0814
2088.6634,385.0000,1.8530,0.0828
2100.5020,385.5000,1.8530,0.0832
2112.4250,386.0000,1.8510,0.0841
2124.1608,386.5000,1.8528,0.0845
2136.0865,387.0000,1.8530,0.0855
2147.9001,387.5000,1.8530,0.0867
2159.7500,388.0000,1.8530,0.0879
2171.5584,388.5000,1.8540,0.0881
2183.4250,389.0000,1.8550,0.0887
2195.2327,389.5000,1.8540,0.0894
2207.0036,390.0000,1.8540,0.0908
2218.8801,390.5000,1.8550,0.0917
2230.6598,391.0000,1.8550,0.0926
2242.4750,391.5000,1.8530,0.0932
2254.2810,392.0000,1.8540,0.0941
2266.0789,392.5000,1.8540,0.0946
2277.8500,393.0000,1.8550,0.0952
2289.6330,393.5000,1.8530,0.0966
2301.4527,394.0000,1.8540,0.0977
2313.2473,394.5000,1.8540,0.0988
2325.0090,395.0000,1.8550,0.0996
2336.8096,395.5000,1.8540,0.1001
2348.5789,396.0000,1.8540,0.1023
2360.3942,396.5000,1.8540,0.1030
2372.1865,397.0000,1.8560,0.1036
2383.9806,397.5000,1.8579,0.1050
2395.7850,398.0000,1.8580,0.1067
2407.5404,398.5000,1.8580,0.1069
2419.3679,399.0000,1.8580,0.1081
2431.1481,399.5000,1.8564,0.1094
2442.9930,400.0000,1.8550,0.1096
2454.7178,400.5000,1.8550,0.1111
2466.5750,401.0000,1.8544,0.1122
2478.3751,401.5000,1.8540,0.1128
2490.1608,402.0000,1.8540,0.1144
2501.9807,402.5000,1.8530,0.1151
2513.8326,403.0000,1.8520,0.1165
2525.5849,403.5000,1.8520,0.1184
2537.4250,404.0000,1.8530,0.1191
2549.3020,404.5000,1.8530,0.1201
2561.0970,405.0000,1.8530,0.1223
2572.9769,405.5000,1.8530,0.1229
2584.7895,406.0000,1.8530,0.1247
2596.6787,406.5000,1.8530,0.1251
2608.4710,407.0000,1.8530,0.1267
2620.2750,407.5000,1.8510,0.1281
2632.0917,408.0000,1.8510,0.1292
2643.9636,408.5000,1.8507,0.1303
2655.7769,409.0000,1.8490,0.1319
2667.6330,409.5000,1.8490,0.1331
2679.4787,410.0000,1.8490,0.1342
2691.2500,410.5000,1.8490,0.1361
2703.1749,411.0000,1.8490,0.1366
2715.0175,411.5000,1.8490,0.1388
2726.9020,412.0000,1.8510,0.1400
2738.7636,412.5000,1.8490,0.1411
2750.6036,413.0000,1.8490,0.1428
2762.4865,413.5000,1.8470,0.1441
2774.3611,414.0000,1.8470,0.1455
2786.2158,414.5000,1.8470,0.1476
2798.1211,415.0000,1.8470,0.1491
2809.9559,415.5000,1.8470,0.1507
2821.8107,416.0000,1.8470,0.1515
2833.6499,416.5000,1.8470,0.1527
2845.5636,417.0000,1.8470,0.1546
2857.4011,417.5000,1.8470,0.1560
2869.2636,418.0000,1.8490,0.1576
2881.1712,418.5000,1.8500,0.1589
2893.0251,419.0000,1.8480,0.1611
2904.8970,419.5000,1.8480,0.1625
2916.7749,420.0000,1.8470,0.1642
2928.6091,420.5000,1.8470,0.1653
2940.4559,421.0000,1.8480,0.1669
2952.3500,421.5000,1.8480,0.1692
2964.2011,422.0000,1.8480,0.1699
2976.0175,422.5000,1.8480,0.1706
2987.7906,423.0000,1.8473,0.1728
2999.6001,423.5000,1.8480,0.1742
3011.4091,424.0000,1.8480,0.1760
3023.2326,424.5000,1.8480,0.1774
3035.0728,425.0000,1.8470,0.1790
3046.9326,425.5000,1.8460,0.1802
3058.7807,426.0000,1.8460,0.1818
3070.6410,426.5000,1.8460,0.1837
3082.5211,427.0000,1.8460,0.1857
3094.3769,427.5000,1.8460,0.1873
3106.3749,428.0000,1.8460,0.1894
3118.1903,428.5000,1.8460,0.1908
3130.0787,429.0000,1.8456,0.1927
3141.9321,429.5000,1.8440,0.1941
3153.7584,430.0000,1.8440,0.1959
3165.7051,430.5000,1.8440,0.1978
3177.5370,431.0000,1.8450,0.1991
3189.4251,431.5000,1.8450,0.2005
3201.2490,432.0000,1.8450,0.2022
3213.1769,432.5000,1.8440,0.2036
3224.9903,433.0000,1.8432,0.2060
3236.8650,433.5000,1.8430,0.2077
3248.6942,434.0000,1.8430,0.2093
3260.5727,434.5000,1.8426,0.2106
3272.3361,435.0000,1.8420,0.2116
3284.2890,435.5000,1.8420,0.2140
3296.1000,436.0000,1.8420,0.2157
3307.9584,436.5000,1.8430,0.2176
3319.8250,437.0000,1.8430,0.2192
3331.6917,437.5000,1.8430,0.2214
3343.5109,438.0000,1.8430,0.2229
3355.3361,438.5000,1.8430,0.2250
3367.1807,439.0000,1.8430,0.2273
3379.0787,439.5000,1.8420,0.2289
3390.8942,440.0000,1.8420,0.2306
3402.7051,440.5000,1.8420,0.2328
3414.5481,441.0000,1.8420,0.2346
3426.3252,441.5000,1.8400,0.2362
3438.1559,442.0000,1.8400,0.2382
3449.9370,442.5000,1.8400,0.2395
3461.7636,443.0000,1.8400,0.2418
3473.5326,443.5000,1.8400,0.2426
3485.3370,444.0000,1.8400,0.2450
3497.1211,444.5000,1.8400,0.2464
3508.9051,445.0000,1.8410,0.2487
3520.7119,445.5000,1.8410,0.2507
3532.4970,446.0000,1.8410,0.2529
3544.3290,446.5000,1.8390,0.2546
3556.0890,447.0000,1.8390,0.2568
3567.8970,447.5000,1.8390,0.2581
3579.6107,448.0000,1.8390,0.2602
3591.4251,448.5000,1.8390,0.2621
3603.2249,449.0000,1.8370,0.2641
3615.0091,449.5000,1.8370,0.2664
3626.8171,450.0000,1.8370,0.2683
3638.5787,450.5000,1.8370,0.2711
3650.4571,451.0000,1.8370,0.2723
3662.2250,451.5000,1.8370,0.2745
3674.0249,452.0000,1.8370,0.2759
3685.8091,452.5000,1.8350,0.2785
3697.6326,453.0000,1.8350,0.2807
3709.4693,453.5000,1.8330,0.2830
3721.2685,454.0000,1.8330,0.2841
3733.0251,454.5000,1.8330,0.2866
3744.8490,455.0000,1.8330,0.2877
3756.6323,455.5000,1.8340,0.2905
3768.4410,456.0000,1.8350,0.2923
3780.2020,456.5000,1.8350,0.2951
3792.0636,457.0000,1.8350,0.2971
3803.9139,457.5000,1.8350,0.2992
3815.7361,458.0000,1.8350,0.3015
3827.5749,458.5000,1.8350,0.3038
3839.4107,459.0000,1.8310,0.3055
3851.3249,459.5000,1.8310,0.3080
3863.1175,460.0000,1.8310,0.3100
3874.9584,460.5000,1.8310,0.3125
3886.8175,461.0000,1.8310,0.3151
3898.6250,461.5000,1.8310,0.3161
3910.5361,462.0000,1.8310,0.3182
3922.3326,462.5000,1.8310,0.3213
3934.2250,463.0000,1.8310,0.3233
3946.1020,463.5000,1.8310,0.3247
3957.9492,464.0000,1.8310,0.3275
3969.8249,464.5000,1.8280,0.3296
3981.6695,465.0000,1.8270,0.3320
3993.6250,465.5000,1.8270,0.3339
4005.4410,466.0000,1.8260,0.3364
4017.2728,466.5000,1.8260,0.3385
4029.1805,467.0000,1.8260,0.3403
4041.0810,467.5000,1.8240,0.3428
4052.9249,468.0000,1.8240,0.3445
4064.8178,468.5000,1.8220,0.3466
4076.6970,469.0000,1.8210,0.3494
4088.5559,469.5000,1.8200,0.3509
4100.4091,470.0000,1.8200,0.3531
4112.2650,470.5000,1.8200,0.3545
4124.1252,471.0000,1.8200,0.3569
4135.9820,471.5000,1.8190,0.3594
4147.8888,472.0000,1.8190,0.3615
