Time (s),Temperature (K),Mass (mg),Heat Flow Rate (W/g)
0.0000,299.0000,1.8950,0.0215
41.1001,299.5000,1.8929,0.0206
69.3335,300.0000,1.8940,0.0215
92.6001,300.5000,1.8933,0.0219
113.2126,301.0000,1.8927,0.0224
131.9401,301.5000,1.8930,0.0238
149.4707,302.0000,1.8952,0.0247
166.0201,302.5000,1.8967,0.0262
181.8287,303.0000,1.8950,0.0267
197.0668,303.5000,1.8958,0.0271
211.9001,304.0000,1.8930,0.0287
226.2287,304.5000,1.8930,0.0296
240.3392,305.0000,1.8956,0.0305
254.1601,305.5000,1.8960,0.0320
267.7441,306.0000,1.8960,0.0329
281.1841,306.5000,1.8960,0.0351
294.4175,307.0000,1.8950,0.0362
307.5001,307.5000,1.8940,0.0369
320.5201,308.0000,1.8940,0.0382
333.3819,308.5000,1.8940,0.0390
346.1078,309.0000,1.8940,0.0402
358.8481,309.5000,1.8950,0.0411
371.5001,310.0000,1.8940,0.0421
384.0481,310.5000,1.8960,0.0434
396.5309,311.0000,1.8950,0.0440
408.9779,311.5000,1.8950,0.0455
421.3429,312.0000,1.8950,0.0460
433.6890,312.5000,1.8940,0.0476
446.1131,313.0000,1.8950,0.0489
458.4002,313.5000,1.8940,0.0498
470.6539,314.0000,1.8930,0.0504
482.9041,314.5000,1.8940,0.0513
495.1566,315.0000,1.8920,0.0522
507.4561,315.5000,1.8940,0.0526
519.6890,316.0000,1.8920,0.0531
531.8641,316.5000,1.8940,0.0541
544.0958,317.0000,1.8920,0.0542
556.2251,317.5000,1.8936,0.0540
568.4070,318.0000,1.8920,0.0551
580.5546,318.5000,1.8930,0.0550
592.7112,319.0000,1.8915,0.0548
604.9251,319.5000,1.8910,0.0556
617.1121,320.0000,1.8900,0.0557
629.2751,320.5000,1.8910,0.0554
641.4251,321.0000,1.8930,0.0552
653.6251,321.5000,1.8910,0.0547
665.7251,322.0000,1.8910,0.0551
677.8760,322.5000,1.8890,0.0546
690.0251,323.0000,1.8890,0.0545
702.2251,323.5000,1.8880,0.0538
714.3251,324.0000,1.8860,0.0533
726.5281,324.5000,1.8870,0.0523
738.6002,325.0000,1.8880,0.0522
750.7617,325.5000,1.8870,0.0515
762.8456,326.0000,1.8870,0.0505
774.9392,326.5000,1.8880,0.0500
787.1740,327.0000,1.8890,0.0501
799.1761,327.5000,1.8880,0.0493
811.3681,328.0000,1.8870,0.0486
823.4728,328.5000,1.8870,0.0487
835.5751,329.0000,1.8870,0.0481
847.6081,329.5000,1.8890,0.0474
859.7521,330.0000,1.8880,0.0464
871.8784,330.5000,1.8870,0.0457
883.9251,331.0000,1.8860,0.0444
896.0183,331.5000,1.8857,0.0438
908.1501,332.0000,1.8860,0.0433
920.1858,332.5000,1.8880,0.0426
932.3001,333.0000,1.8860,0.0418
944.3761,333.5000,1.8860,0.0404
956.4751,334.0000,1.8880,0.0404
968.5681,334.5000,1.8880,0.0401
980.6501,335.0000,1.8860,0.0396
992.6610,335.5000,1.8860,0.0390
1004.7232,336.0000,1.8880,0.0387
1016.8251,336.5000,1.8890,0.0383
1028.9078,337.0000,1.8890,0.0379
1040.9573,337.5000,1.8900,0.0377
1053.0446,338.0000,1.8900,0.0368
1065.0924,338.5000,1.8880,0.0363
1077.1681,339.0000,1.8890,0.0370
1089.2286,339.5000,1.8890,0.0367
1101.3557,340.0000,1.8870,0.0359
1113.3924,340.5000,1.8850,0.0363
1125.4001,341.0000,1.8867,0.0361
1137.4911,341.5000,1.8840,0.0363
1149.5762,342.0000,1.8830,0.0364
1161.6232,342.5000,1.8840,0.0358
1173.6463,343.0000,1.8860,0.0352
1185.7556,343.5000,1.8847,0.0352
1197.7778,344.0000,1.8859,0.0355
1209.8145,344.5000,1.8850,0.0351
1221.9002,345.0000,1.8840,0.0351
1234.0001,345.5000,1.8840,0.0351
1245.9924,346.0000,1.8840,0.0347
1258.0616,346.5000,1.8822,0.0353
1270.1002,347.0000,1.8830,0.0355
1282.1540,347.5000,1.8830,0.0358
1294.1502,348.0000,1.8830,0.0361
1306.1113,348.5000,1.8850,0.0358
1318.1787,349.0000,1.8830,0.0356
1330.1522,349.5000,1.8850,0.0364
1342.1282,350.0000,1.8830,0.0363
1354.1741,350.5000,1.8830,0.0366
1366.1079,351.0000,1.8850,0.0368
1378.1042,351.5000,1.8870,0.0371
1390.0958,352.0000,1.8850,0.0372
1402.0435,352.5000,1.8867,0.0379
1414.0175,353.0000,1.8880,0.0383
1426.0251,353.5000,1.8880,0.0390
1437.9924,354.0000,1.8870,0.0395
1449.9361,354.5000,1.8870,0.0392
1461.8642,355.0000,1.8870,0.0404
1473.8349,355.5000,1.8850,0.0409
1485.8402,356.0000,1.8860,0.0406
1497.7430,356.5000,1.8850,0.0412
1509.6784,357.0000,1.8860,0.0420
1521.6547,357.5000,1.8860,0.0419
1533.6001,358.0000,1.8870,0.0426
1545.5502,358.5000,1.8870,0.0422
1557.5480,359.0000,1.8850,0.0437
1569.4445,359.5000,1.8850,0.0436
1581.3914,360.0000,1.8860,0.0446
1593.3557,360.5000,1.8870,0.0453
1605.2642,361.0000,1.8870,0.0455
1617.2573,361.5000,1.8870,0.0455
1629.2752,362.0000,1.8890,0.0462
1641.2145,362.5000,1.8890,0.0466
1653.1616,363.0000,1.8880,0.0474
1665.1778,363.5000,1.8880,0.0477
1677.1305,364.0000,1.8890,0.0483
1689.1251,364.5000,1.8880,0.0494
1701.0693,365.0000,1.8880,0.0490
1713.0463,365.5000,1.8880,0.0500
1725.0481,366.0000,1.8890,0.0507
1737.0668,366.5000,1.8880,0.0512
1748.9779,367.0000,1.8880,0.0517
1760.9359,367.5000,1.8880,0.0525
1772.9522,368.0000,1.8880,0.0530
1784.9335,368.5000,1.8880,0.0538
1796.9480,369.0000,1.8880,0.0543
1808.9042,369.5000,1.8910,0.0555
1820.9042,370.0000,1.8910,0.0557
1832.8800,370.5000,1.8910,0.0568
1844.8847,371.0000,1.8890,0.0569
1856.9002,371.5000,1.8890,0.0583
1868.8501,372.0000,1.8900,0.0583
1880.8001,372.5000,1.8910,0.0591
1892.7779,373.0000,1.8900,0.0596
1904.7751,373.5000,1.8900,0.0603
1916.7002,374.0000,1.8890,0.0610
1928.7002,374.5000,1.8900,0.0617
1940.6502,375.0000,1.8904,0.0619
1952.5778,375.5000,1.8910,0.0619
1964.4693,376.0000,1.8918,0.0625
1976.4274,376.5000,1.8910,0.0634
1988.4001,377.0000,1.8910,0.0642
2000.3002,377.5000,1.8910,0.0651
2012.2501,378.0000,1.8900,0.0661
2024.1924,378.5000,1.8910,0.0672
