Time (s),Mass (g),TC back 1 (K)
0,11.482,301.6
1,11.489,301.4
2,11.487,301.3
3,11.475,301.4
4,11.454,301.3
5,11.426,301.3
6,11.392,301.3
7,11.351,301.2
8,11.306,301.2
9,11.256,301.2
10,11.203,301.2
11,11.147,301.2
12,11.090,301.3
13,11.032,301.3
14,10.974,301.4
15,10.918,301.6
16,10.863,301.8
17,10.809,302.0
18,10.757,302.4
19,10.707,302.7
20,10.658,303.1
21,10.611,303.5
22,10.564,304.0
23,10.519,304.6
24,10.476,305.2
25,10.433,306.0
26,10.391,306.6
27,10.350,307.4
28,10.310,308.3
29,10.271,309.2
30,10.232,310.0
31,10.194,311.0
32,10.157,312.1
33,10.120,313.1
34,10.084,314.2
35,10.049,315.3
36,10.013,316.5
37,9.978,317.7
38,9.944,318.9
39,9.910,320.1
40,9.876,321.3
41,9.843,322.6
42,9.810,323.9
43,9.777,325.2
44,9.745,326.4
45,9.712,327.8
46,9.680,329.2
47,9.648,330.6
48,9.616,332.1
49,9.585,333.6
50,9.553,335.0
51,9.522,336.5
52,9.491,338.4
53,9.460,340.2
54,9.429,341.6
55,9.399,343.2
56,9.369,344.6
57,9.339,346.1
58,9.310,347.7
59,9.281,349.2
60,9.252,350.8
61,9.223,352.4
62,9.194,353.9
63,9.166,355.4
64,9.138,357.0
65,9.110,358.5
66,9.083,360.1
67,9.055,361.6
68,9.028,363.0
69,9.000,364.5
70,8.973,366.1
71,8.945,367.6
72,8.918,369.2
73,8.891,370.7
74,8.863,372.3
75,8.836,373.8
76,8.808,375.3
77,8.780,376.7
78,8.752,378.2
79,8.725,379.6
80,8.697,381.1
81,8.669,382.7
82,8.641,384.2
83,8.613,385.4
84,8.586,386.9
85,8.558,388.4
86,8.531,389.8
87,8.504,391.2
88,8.477,392.6
89,8.450,394.1
90,8.424,395.6
91,8.397,397.0
92,8.371,398.4
93,8.346,399.8
94,8.320,401.2
95,8.295,402.8
96,8.269,404.1
97,8.244,405.6
98,8.220,407.0
99,8.195,408.4
100,8.170,409.7
101,8.146,411.0
102,8.122,412.3
103,8.098,413.6
104,8.073,414.9
105,8.050,416.3
106,8.026,417.5
107,8.002,418.9
108,7.978,420.1
109,7.955,421.3
110,7.931,422.6
111,7.908,423.8
112,7.884,425.0
113,7.861,426.1
114,7.838,427.2
115,7.815,428.3
116,7.792,429.5
117,7.769,430.6
118,7.746,431.5
119,7.723,432.7
120,7.700,433.9
121,7.677,435.0
122,7.655,436.1
123,7.632,437.2
124,7.609,438.3
125,7.586,439.5
126,7.563,440.7
127,7.540,441.8
128,7.517,442.9
129,7.494,443.9
130,7.471,445.0
131,7.448,446.1
132,7.424,447.2
133,7.400,448.2
134,7.376,449.3
135,7.352,450.4
136,7.327,451.5
137,7.303,452.5
138,7.278,453.8
139,7.253,454.9
140,7.228,456.0
141,7.204,457.1
142,7.179,458.1
143,7.154,459.1
144,7.129,460.2
145,7.105,461.2
146,7.080,462.3
147,7.056,463.2
148,7.032,464.3
149,7.009,465.3
150,6.986,466.3
151,6.963,467.4
152,6.940,468.2
153,6.918,469.2
154,6.895,470.2
155,6.873,471.3
156,6.851,472.3
157,6.829,473.4
158,6.808,474.3
159,6.786,475.3
160,6.764,476.4
161,6.742,477.3
162,6.721,478.1
163,6.699,479.1
164,6.677,480.1
165,6.655,481.1
166,6.632,482.0
167,6.610,483.0
168,6.587,483.9
169,6.565,484.8
170,6.542,485.5
171,6.520,486.4
172,6.497,487.4
173,6.474,488.3
174,6.452,489.2
175,6.429,490.0
176,6.407,490.8
177,6.384,491.8
178,6.362,492.9
179,6.340,493.8
180,6.317,494.7
181,6.295,495.5
182,6.273,496.5
183,6.252,497.5
184,6.230,498.3
185,6.208,499.3
186,6.187,500.2
187,6.165,501.0
188,6.144,501.8
189,6.122,502.6
190,6.101,503.6
191,6.080,504.5
192,6.059,505.3
193,6.038,506.1
194,6.017,506.9
195,5.996,507.9
196,5.975,508.6
197,5.954,509.3
198,5.933,510.0
199,5.912,510.8
200,5.891,512.0
201,5.869,512.5
202,5.848,513.3
203,5.826,513.9
204,5.805,514.7
205,5.782,515.6
206,5.760,516.3
207,5.737,517.0
208,5.714,518.1
209,5.691,519.0
210,5.667,519.7
211,5.643,520.3
212,5.619,521.0
213,5.595,521.9
214,5.571,522.5
215,5.546,523.2
216,5.522,523.9
217,5.497,524.8
218,5.473,525.7
219,5.449,526.6
220,5.425,527.7
221,5.402,528.2
222,5.378,528.8
223,5.356,529.5
224,5.334,530.0
225,5.312,530.3
226,5.291,531.5
227,5.270,532.4
228,5.249,533.1
229,5.229,534.0
230,5.210,534.6
231,5.190,535.3
232,5.171,535.6
233,5.152,536.4
234,5.134,537.5
235,5.116,538.3
236,5.097,538.7
237,5.079,539.1
238,5.062,539.9
239,5.044,540.3
240,5.026,540.7
241,5.008,541.6
242,4.991,542.4
243,4.973,542.9
244,4.956,544.0
245,4.938,544.5
246,4.920,545.2
247,4.903,545.8
248,4.885,546.6
249,4.867,547.3
250,4.850,548.1
251,4.832,548.7
252,4.814,549.4
253,4.796,550.3
254,4.777,550.7
255,4.759,551.0
256,4.741,551.5
257,4.722,552.4
258,4.703,553.3
259,4.685,553.9
260,4.666,554.5
261,4.648,554.9
262,4.629,555.5
263,4.611,555.9
264,4.592,556.5
265,4.574,556.8
266,4.556,557.7
267,4.538,558.6
268,4.521,558.7
269,4.503,559.1
270,4.486,560.0
271,4.469,560.2
272,4.452,560.6
273,4.435,561.1
274,4.418,561.9
275,4.402,562.3
276,4.385,563.1
277,4.369,563.6
278,4.352,564.2
279,4.336,564.7
280,4.319,565.3
281,4.303,564.9
282,4.286,565.8
283,4.269,566.3
284,4.252,567.3
285,4.235,567.6
286,4.218,567.9
287,4.201,568.2
288,4.184,568.4
289,4.167,569.5
290,4.150,569.9
291,4.133,570.5
292,4.117,571.3
293,4.100,571.2
294,4.084,571.6
295,4.068,572.3
296,4.052,573.1
297,4.037,572.5
298,4.022,573.6
299,4.008,573.8
300,3.994,573.9
301,3.980,574.4
302,3.967,575.0
303,3.954,575.2
304,3.941,575.9
305,3.928,576.3
306,3.916,577.4
307,3.904,578.3
308,3.891,578.8
309,3.879,578.4
310,3.867,578.6
311,3.855,578.8
312,3.842,579.1
313,3.830,580.0
314,3.817,581.0
315,3.805,582.0
316,3.792,581.9
317,3.779,581.7
318,3.766,582.3
319,3.753,583.0
320,3.741,583.0
321,3.728,582.8
322,3.715,583.5
323,3.702,584.0
324,3.690,584.5
325,3.677,584.8
326,3.665,585.0
327,3.653,585.1
328,3.641,586.2
329,3.630,586.5
330,3.618,587.6
331,3.607,588.0
332,3.596,587.6
333,3.585,587.2
334,3.574,588.3
335,3.563,588.3
336,3.553,589.1
337,3.542,589.6
338,3.531,589.8
339,3.521,589.6
340,3.510,590.4
341,3.499,591.3
342,3.489,591.6
343,3.478,591.4
344,3.467,590.5
345,3.456,591.9
346,3.445,592.2
347,3.435,593.7
348,3.424,594.0
349,3.413,594.4
350,3.402,594.0
351,3.392,593.7
352,3.382,593.3
353,3.372,594.6
354,3.362,595.3
355,3.352,595.4
356,3.343,596.0
357,3.334,596.4
358,3.325,597.7
359,3.317,597.8
360,3.309,597.7
361,3.302,598.5
362,3.295,598.9
363,3.288,598.1
364,3.281,599.3
365,3.274,599.8
366,3.268,600.0
367,3.262,600.3
368,3.256,600.5
369,3.250,601.7
370,3.244,601.6
371,3.238,601.6
372,3.232,602.4
373,3.226,602.5
374,3.221,602.8
375,3.215,603.2
376,3.209,604.0
377,3.203,604.1
378,3.197,603.7
379,3.190,604.6
380,3.184,604.9
381,3.178,605.3
382,3.171,605.1
383,3.164,605.1
384,3.157,605.5
385,3.150,606.0
386,3.143,606.5
387,3.136,607.1
388,3.128,607.6
389,3.120,607.8
390,3.112,607.4
391,3.104,608.4
392,3.095,609.0
393,3.087,608.4
394,3.079,608.6
395,3.071,609.4
396,3.063,609.8
397,3.056,609.9
398,3.048,609.9
399,3.041,610.4
400,3.035,610.4
401,3.029,611.0
402,3.023,611.1
403,3.018,611.7
404,3.014,611.9
405,3.010,612.1
406,3.006,612.1
407,3.003,612.6
408,2.999,612.7
409,2.996,613.0
410,2.993,613.5
411,2.991,614.0
412,2.988,613.9
413,2.985,614.1
414,2.981,614.8
415,2.978,615.0
416,2.974,615.3
417,2.970,615.3
418,2.965,615.3
419,2.960,615.4
420,2.955,615.3
421,2.949,615.8
422,2.943,616.6
423,2.937,617.1
424,2.931,616.9
425,2.925,617.1
426,2.920,617.6
427,2.914,618.0
428,2.909,617.9
429,2.904,618.0
430,2.899,618.2
431,2.895,618.2
432,2.892,618.8
433,2.889,618.9
434,2.887,619.1
435,2.886,619.5
436,2.885,619.9
437,2.884,620.3
438,2.883,620.2
439,2.883,620.4
440,2.882,620.8
441,2.882,621.1
442,2.881,621.3
443,2.881,621.4
444,2.880,621.7
445,2.878,622.1
446,2.877,622.3
447,2.874,622.4
448,2.872,622.5
449,2.868,623.0
450,2.864,622.8
451,2.860,622.8
452,2.856,623.3
453,2.851,623.5
454,2.847,623.4
455,2.842,623.9
456,2.838,623.9
457,2.833,624.0
458,2.829,624.1
459,2.825,624.1
460,2.822,624.1
461,2.819,623.9
462,2.816,624.4
463,2.814,624.3
464,2.813,624.8
465,2.812,624.9
466,2.812,624.6
467,2.811,625.5
468,2.811,625.5
469,2.811,625.3
470,2.811,625.4
471,2.810,625.6
472,2.810,625.7
473,2.809,626.1
474,2.808,625.7
475,2.807,625.9
476,2.805,626.5
477,2.802,626.5
478,2.799,626.2
479,2.795,626.4
480,2.791,626.8
481,2.786,627.0
482,2.781,627.2
483,2.776,627.0
484,2.771,627.1
485,2.766,627.5
486,2.762,627.6
487,2.757,627.8
488,2.753,628.2
489,2.750,627.8
490,2.747,627.6
491,2.745,628.0
492,2.744,628.3
493,2.743,628.4
494,2.743,628.3
495,2.744,628.4
496,2.746,628.5
497,2.747,628.6
498,2.749,628.5
499,2.752,629.0
500,2.754,628.9
501,2.756,628.7
502,2.758,628.8
503,2.760,629.0
504,2.761,629.1
505,2.762,629.4
506,2.762,629.5
507,2.762,629.4
508,2.761,629.6
509,2.759,629.5
510,2.757,629.5
511,2.755,629.6
512,2.751,629.8
513,2.748,629.9
514,2.745,630.0
515,2.741,630.1
516,2.737,630.1
517,2.734,630.0
518,2.730,630.1
519,2.727,630.2
520,2.724,630.3
521,2.721,630.3
522,2.719,630.2
523,2.718,630.3
524,2.716,630.5
525,2.715,630.4
526,2.715,630.5
527,2.715,630.7
528,2.715,630.5
529,2.715,630.6
530,2.715,630.8
531,2.716,630.8
532,2.717,630.9
533,2.717,631.0
534,2.718,630.9
535,2.719,631.0
536,2.720,630.9
537,2.721,631.0
538,2.722,631.0
539,2.722,631.3
540,2.723,631.1
541,2.723,631.1
542,2.724,631.4
543,2.724,631.5
544,2.724,631.5
545,2.724,631.5
546,2.724,631.6
547,2.723,631.7
548,2.723,631.6
549,2.722,631.7
550,2.721,631.6
551,2.720,631.7
552,2.718,631.8
553,2.717,631.8
554,2.715,631.8
555,2.713,631.8
556,2.711,631.7
557,2.709,631.9
558,2.707,631.7
559,2.705,631.7
560,2.702,631.8
561,2.700,631.8
562,2.698,631.9
563,2.695,632.0
564,2.693,632.1
565,2.691,632.2
566,2.689,632.2
567,2.687,632.3
568,2.686,632.1
569,2.684,632.6
570,2.683,632.2
571,2.681,632.3
572,2.680,632.3
573,2.679,632.1
574,2.679,632.2
575,2.678,632.3
576,2.678,632.5
577,2.677,632.3
578,2.677,632.3
579,2.678,632.1
580,2.678,632.2
581,2.679,632.3
582,2.680,632.3
583,2.681,632.4
584,2.682,632.6
585,2.683,632.5
586,2.684,632.6
587,2.685,632.6
588,2.686,632.7
589,2.687,632.8
590,2.687,632.7
591,2.687,632.7
592,2.687,632.9
