Time (s),Mass (g),TC back 1 (K)
0,12.093,300.7
1,12.105,300.6
2,12.113,300.6
3,12.118,300.7
4,12.120,300.6
5,12.118,300.5
6,12.113,300.6
7,12.106,300.6
8,12.096,300.6
9,12.083,300.6
10,12.068,300.6
11,12.050,300.6
12,12.031,300.6
13,12.010,300.6
14,11.987,300.7
15,11.962,300.7
16,11.936,300.8
17,11.909,300.9
18,11.880,300.9
19,11.851,301.1
20,11.821,301.5
21,11.790,301.9
22,11.759,302.2
23,11.727,302.5
24,11.695,303.0
25,11.662,303.4
26,11.630,304.0
27,11.597,304.5
28,11.563,305.1
29,11.530,305.6
30,11.496,306.3
31,11.462,307.0
32,11.428,307.8
33,11.394,308.7
34,11.360,309.5
35,11.327,310.4
36,11.293,311.3
37,11.259,312.2
38,11.225,313.2
39,11.192,314.2
40,11.159,315.3
41,11.126,316.4
42,11.093,317.5
43,11.061,318.6
44,11.029,319.8
45,10.997,321.0
46,10.966,322.2
47,10.935,323.6
48,10.904,324.9
49,10.874,326.2
50,10.844,327.5
51,10.814,328.8
52,10.785,330.1
53,10.755,331.6
54,10.726,332.9
55,10.697,334.4
56,10.669,335.8
57,10.641,337.0
58,10.612,338.4
59,10.585,339.8
60,10.557,341.3
61,10.530,342.7
62,10.502,344.1
63,10.475,345.4
64,10.449,346.8
65,10.422,348.3
66,10.395,349.7
67,10.369,351.1
68,10.343,352.6
69,10.317,353.9
70,10.291,355.4
71,10.265,356.7
72,10.240,358.2
73,10.214,359.6
74,10.188,361.0
75,10.163,362.5
76,10.138,363.9
77,10.112,365.3
78,10.087,366.7
79,10.062,368.2
80,10.037,369.7
81,10.012,371.1
82,9.986,372.5
83,9.961,373.9
84,9.936,375.2
85,9.911,376.6
86,9.886,377.9
87,9.861,379.3
88,9.835,380.7
89,9.810,382.1
90,9.785,383.4
91,9.760,384.7
92,9.735,386.0
93,9.710,387.3
94,9.685,388.5
95,9.660,389.8
96,9.635,391.1
97,9.610,392.3
98,9.585,393.5
99,9.561,394.7
100,9.536,395.9
101,9.511,397.1
102,9.487,398.3
103,9.463,399.4
104,9.438,400.6
105,9.414,401.7
106,9.390,403.0
107,9.367,404.1
108,9.343,405.2
109,9.319,406.3
110,9.296,407.3
111,9.272,408.3
112,9.249,409.4
113,9.226,410.3
114,9.203,411.3
115,9.180,412.3
116,9.157,413.2
117,9.135,414.2
118,9.112,415.1
119,9.090,416.1
120,9.067,417.1
121,9.045,417.9
122,9.023,418.9
123,9.001,419.8
124,8.979,420.7
125,8.957,421.6
126,8.935,422.5
127,8.913,423.4
128,8.892,424.3
129,8.870,425.2
130,8.849,426.1
131,8.827,426.9
132,8.806,427.7
133,8.785,428.5
134,8.764,429.3
135,8.742,430.1
136,8.721,430.8
137,8.700,431.7
138,8.679,432.6
139,8.658,433.5
140,8.637,434.3
141,8.617,435.3
142,8.596,436.3
143,8.575,437.1
144,8.554,438.2
145,8.533,439.0
146,8.512,439.8
147,8.491,440.8
148,8.470,441.7
149,8.450,442.9
150,8.429,443.5
151,8.408,444.4
152,8.387,445.3
153,8.366,446.2
154,8.345,447.0
155,8.324,447.8
156,8.304,448.7
157,8.283,449.5
158,8.262,450.3
159,8.241,451.3
160,8.221,452.2
161,8.200,453.1
162,8.179,454.0
163,8.159,454.9
164,8.138,455.7
165,8.118,456.6
166,8.097,457.5
167,8.077,458.5
168,8.056,459.1
169,8.036,460.0
170,8.016,460.8
171,7.995,461.7
172,7.975,462.5
173,7.955,463.2
174,7.935,464.2
175,7.915,465.0
176,7.895,465.7
177,7.875,466.5
178,7.855,467.4
179,7.835,468.0
180,7.815,468.9
181,7.796,469.9
182,7.776,470.5
183,7.756,471.3
184,7.736,472.1
185,7.717,472.9
186,7.697,473.9
187,7.678,474.9
188,7.658,475.5
189,7.639,476.2
190,7.619,477.1
191,7.600,477.8
192,7.580,478.6
193,7.561,479.4
194,7.541,480.2
195,7.522,481.1
196,7.503,481.8
197,7.483,482.5
198,7.464,483.2
199,7.445,484.1
200,7.425,484.6
201,7.406,485.5
202,7.387,486.3
203,7.367,486.9
204,7.348,487.7
205,7.328,488.4
206,7.309,489.2
207,7.289,489.7
208,7.270,490.3
209,7.250,490.9
210,7.230,492.0
211,7.211,492.4
212,7.191,493.3
213,7.171,493.9
214,7.152,494.7
215,7.132,495.7
216,7.112,496.6
217,7.093,497.6
218,7.073,497.9
219,7.053,498.3
220,7.034,499.2
221,7.015,500.0
222,6.995,500.8
223,6.976,501.2
224,6.957,502.1
225,6.938,502.7
226,6.919,503.6
227,6.901,504.1
228,6.883,505.1
229,6.864,505.2
230,6.846,505.9
231,6.829,506.9
232,6.811,506.9
233,6.794,507.6
234,6.776,508.8
235,6.759,509.1
236,6.742,509.8
237,6.725,510.5
238,6.709,511.3
239,6.692,512.0
240,6.676,512.6
241,6.659,513.5
242,6.643,514.0
243,6.626,515.0
244,6.610,515.0
245,6.593,515.6
246,6.577,516.4
247,6.560,517.0
248,6.544,517.6
249,6.527,517.9
250,6.510,518.6
251,6.494,519.1
252,6.477,519.9
253,6.460,520.3
254,6.443,520.8
255,6.425,521.4
256,6.408,522.3
257,6.391,522.6
258,6.374,523.0
259,6.356,523.7
260,6.339,524.2
261,6.322,524.7
262,6.305,525.5
263,6.287,526.2
264,6.270,526.6
265,6.253,526.7
266,6.236,527.7
267,6.219,527.9
268,6.203,528.4
269,6.186,529.0
270,6.170,529.6
271,6.154,530.2
272,6.137,530.9
273,6.122,531.4
274,6.106,531.9
275,6.090,532.3
276,6.075,532.7
277,6.060,533.2
278,6.045,533.8
279,6.030,534.3
280,6.015,534.8
281,6.000,535.2
282,5.985,535.7
283,5.971,536.1
284,5.956,536.5
285,5.941,537.0
286,5.927,537.4
287,5.912,537.9
288,5.897,538.3
289,5.883,538.8
290,5.868,539.1
291,5.853,539.4
292,5.838,539.8
293,5.823,540.2
294,5.808,540.7
295,5.793,541.2
296,5.778,541.8
297,5.763,542.2
298,5.747,542.7
299,5.732,543.1
300,5.716,543.6
301,5.701,544.1
302,5.685,544.6
303,5.670,544.9
304,5.654,545.3
305,5.639,545.7
306,5.623,546.2
307,5.608,546.6
308,5.593,546.9
309,5.577,547.3
310,5.562,547.9
311,5.547,548.4
312,5.531,548.7
313,5.516,549.1
314,5.501,549.5
315,5.486,549.9
316,5.472,550.5
317,5.457,551.1
318,5.442,551.3
319,5.428,551.6
320,5.413,552.0
321,5.399,552.4
322,5.385,552.7
323,5.370,552.9
