Time (s),Mass (g),TC back 1 (K)
0,11.422,297.8
1,11.424,297.8
2,11.426,297.9
3,11.428,297.9
4,11.428,297.8
5,11.428,297.9
6,11.428,297.9
7,11.427,297.8
8,11.425,297.6
9,11.423,297.6
10,11.420,297.7
11,11.417,297.7
12,11.413,297.8
13,11.408,297.8
14,11.404,297.7
15,11.398,297.8
16,11.392,297.9
17,11.386,298.0
18,11.380,298.2
19,11.373,298.3
20,11.365,298.3
21,11.358,298.3
22,11.350,298.5
23,11.341,298.7
24,11.333,299.0
25,11.324,299.2
26,11.315,299.8
27,11.305,300.1
28,11.296,300.5
29,11.286,300.8
30,11.276,301.2
31,11.266,301.7
32,11.255,302.2
33,11.245,302.7
34,11.234,303.3
35,11.223,303.9
36,11.213,304.5
37,11.202,305.3
38,11.191,305.9
39,11.180,306.6
40,11.169,307.3
41,11.158,308.1
42,11.146,308.8
43,11.135,309.6
44,11.124,310.3
45,11.113,311.2
46,11.101,312.1
47,11.090,313.0
48,11.078,313.7
49,11.066,314.5
50,11.055,315.5
51,11.043,316.3
52,11.031,317.3
53,11.019,318.2
54,11.008,319.1
55,10.996,320.0
56,10.984,320.9
57,10.972,321.9
58,10.960,322.9
59,10.948,323.8
60,10.935,324.7
61,10.923,325.7
62,10.911,326.8
63,10.899,327.7
64,10.886,328.7
65,10.874,329.8
66,10.862,330.8
67,10.849,331.8
68,10.837,332.8
69,10.824,333.8
70,10.812,334.9
71,10.799,335.9
72,10.786,337.0
73,10.774,337.9
74,10.761,338.9
75,10.748,339.9
76,10.736,340.9
77,10.723,341.9
78,10.710,343.0
79,10.697,344.0
80,10.684,344.9
81,10.672,345.9
82,10.659,347.0
83,10.646,347.9
84,10.633,349.0
85,10.620,350.0
86,10.608,351.0
87,10.595,352.0
88,10.582,353.0
89,10.569,354.0
90,10.556,355.0
91,10.544,355.9
92,10.531,356.8
93,10.518,357.9
94,10.506,358.8
95,10.493,359.8
96,10.481,360.8
97,10.468,361.8
98,10.456,362.7
99,10.443,363.6
100,10.431,364.6
101,10.419,365.5
102,10.406,366.5
103,10.394,367.4
104,10.382,368.4
105,10.370,369.3
106,10.358,370.3
107,10.346,371.2
108,10.334,372.1
109,10.322,373.0
110,10.311,374.0
111,10.299,374.9
112,10.288,375.7
113,10.276,376.6
114,10.265,377.4
115,10.253,378.2
116,10.242,379.1
117,10.231,380.0
118,10.220,380.8
119,10.208,381.7
120,10.197,382.6
121,10.186,383.4
122,10.175,384.2
123,10.165,385.0
124,10.154,385.9
125,10.143,386.7
126,10.132,387.5
127,10.121,388.3
128,10.111,389.4
129,10.100,390.2
130,10.089,391.0
131,10.079,391.8
132,10.068,392.6
133,10.058,393.3
134,10.047,394.1
135,10.037,394.8
136,10.026,395.5
137,10.016,396.3
138,10.005,397.1
139,9.995,397.9
140,9.984,398.6
141,9.974,399.4
142,9.963,400.1
143,9.953,400.9
144,9.943,401.6
145,9.932,402.3
146,9.922,403.0
147,9.911,403.7
148,9.901,404.4
149,9.891,405.0
150,9.880,405.7
151,9.870,406.4
152,9.859,407.0
153,9.849,407.8
154,9.839,408.5
155,9.828,409.2
156,9.818,409.8
157,9.807,410.5
158,9.797,411.2
159,9.787,411.8
160,9.776,412.3
161,9.766,413.1
162,9.756,413.6
163,9.745,414.3
164,9.735,414.9
165,9.725,415.5
166,9.714,416.1
167,9.704,416.7
168,9.694,417.1
169,9.683,417.8
170,9.673,418.4
171,9.663,418.9
172,9.652,419.4
173,9.642,420.1
174,9.632,420.7
175,9.621,421.2
176,9.611,421.8
177,9.601,422.4
178,9.591,422.9
179,9.580,423.3
180,9.570,424.0
181,9.560,424.4
182,9.550,425.0
183,9.540,425.5
184,9.529,426.0
185,9.519,426.3
186,9.509,426.8
187,9.499,427.4
188,9.489,427.9
189,9.478,428.3
190,9.468,428.8
191,9.458,429.2
192,9.448,429.7
193,9.438,430.2
194,9.428,430.6
195,9.418,431.2
196,9.408,431.6
197,9.398,432.1
198,9.387,432.5
199,9.377,432.9
200,9.367,433.4
201,9.357,433.9
202,9.347,434.3
203,9.337,434.8
204,9.327,435.3
205,9.317,435.6
206,9.307,436.1
207,9.297,436.7
208,9.287,437.1
209,9.277,437.4
210,9.267,437.9
211,9.257,438.5
212,9.247,438.9
213,9.238,439.2
214,9.228,439.7
215,9.218,440.1
216,9.208,440.5
217,9.198,440.9
218,9.188,441.4
219,9.178,441.8
220,9.168,442.2
221,9.158,442.6
222,9.149,443.1
