Time (s),Mass (g),TC back 1 (K)
0,11.102,300.4
1,11.110,300.5
2,11.112,300.4
3,11.110,300.3
4,11.104,300.3
5,11.094,300.3
6,11.081,300.2
7,11.064,300.2
8,11.044,300.2
9,11.022,300.1
10,10.996,300.1
11,10.969,300.2
12,10.939,300.2
13,10.908,300.2
14,10.875,300.2
15,10.841,300.4
16,10.806,300.5
17,10.770,300.5
18,10.734,300.7
19,10.698,300.9
20,10.661,301.1
21,10.625,301.5
22,10.590,301.9
23,10.555,302.3
24,10.520,302.6
25,10.486,303.1
26,10.453,303.6
27,10.420,304.1
28,10.387,304.8
29,10.355,305.5
30,10.324,306.2
31,10.293,306.9
32,10.262,307.8
33,10.232,308.5
34,10.202,309.4
35,10.173,310.4
36,10.144,311.3
37,10.115,312.2
38,10.087,313.2
39,10.059,314.2
40,10.031,315.2
41,10.004,316.3
42,9.977,317.4
43,9.951,NaN
44,9.924,NaN
45,9.898,NaN
46,9.873,NaN
47,9.847,NaN
48,9.822,NaN
49,9.797,NaN
50,9.773,NaN
51,9.749,NaN
52,9.725,NaN
53,9.701,NaN
54,9.677,NaN
55,9.654,NaN
56,9.631,NaN
57,9.608,NaN
58,9.585,NaN
59,9.563,NaN
60,9.541,NaN
61,9.519,NaN
62,9.497,NaN
63,9.475,NaN
64,9.454,NaN
65,9.433,NaN
66,9.412,NaN
67,9.391,NaN
68,9.370,NaN
69,9.350,NaN
70,9.329,NaN
71,9.309,NaN
72,9.289,NaN
73,9.269,NaN
74,9.249,NaN
75,9.229,NaN
76,9.209,NaN
77,9.189,NaN
78,9.169,NaN
79,9.150,NaN
80,9.130,NaN
81,9.110,NaN
82,9.091,NaN
83,9.071,NaN
84,9.052,NaN
85,9.032,NaN
86,9.012,NaN
87,8.993,NaN
88,8.973,NaN
89,8.954,NaN
90,8.934,NaN
91,8.915,NaN
92,8.895,NaN
93,8.876,NaN
94,8.856,NaN
95,8.837,NaN
96,8.818,NaN
97,8.798,NaN
98,8.779,NaN
99,8.760,NaN
100,8.741,NaN
101,8.722,NaN
102,8.703,NaN
103,8.684,NaN
104,8.665,NaN
105,8.647,NaN
106,8.628,NaN
107,8.610,NaN
108,8.591,NaN
109,8.573,NaN
110,8.555,NaN
111,8.537,NaN
112,8.518,NaN
113,8.500,NaN
114,8.482,NaN
115,8.464,NaN
116,8.446,NaN
117,8.428,NaN
118,8.410,NaN
119,8.392,NaN
120,8.374,NaN
121,8.356,NaN
122,8.338,NaN
123,8.319,NaN
124,8.301,NaN
125,8.283,NaN
126,8.265,NaN
127,8.246,NaN
128,8.228,NaN
129,8.209,NaN
130,8.191,NaN
