Time (s),Mass (g),TC back 1 (K)
0,11.259,301.2
1,11.261,301.1
2,11.254,301.0
3,11.239,300.8
4,11.217,300.8
5,11.189,300.9
6,11.155,300.8
7,11.116,300.8
8,11.073,300.8
9,11.026,300.8
10,10.976,300.8
11,10.925,300.8
12,10.871,300.8
13,10.817,300.8
14,10.763,300.9
15,10.709,301.0
16,10.657,301.1
17,10.606,301.3
18,10.557,301.5
19,10.508,301.8
20,10.460,302.1
21,10.414,302.5
22,10.368,302.9
23,10.324,303.4
24,10.280,304.0
25,10.237,304.4
26,10.195,305.1
27,10.153,305.8
28,10.112,306.6
29,10.072,307.5
30,10.032,308.4
31,9.993,309.1
32,9.954,310.0
33,9.915,311.1
34,9.877,312.0
35,9.839,313.1
36,9.802,314.2
37,9.765,315.2
38,9.728,316.3
39,9.691,317.6
40,9.655,318.7
41,9.619,320.0
42,9.583,321.0
43,9.548,322.4
44,9.513,323.7
45,9.478,325.0
46,9.443,326.4
47,9.408,327.8
48,9.374,329.2
49,9.339,330.5
50,9.306,331.9
51,9.272,333.3
52,9.239,334.7
53,9.206,336.2
54,9.173,337.6
55,9.141,339.1
56,9.109,340.6
57,9.077,342.1
58,9.046,343.6
59,9.015,345.1
60,8.985,346.6
61,8.956,348.2
62,8.926,349.7
63,8.898,351.2
64,8.869,352.7
65,8.841,354.2
66,8.813,355.7
67,8.785,357.3
68,8.758,358.8
69,8.731,360.2
70,8.703,361.7
71,8.676,363.2
72,8.649,364.8
73,8.622,366.2
74,8.595,367.7
75,8.568,369.2
76,8.541,370.8
77,8.513,372.3
78,8.486,373.7
79,8.459,375.2
80,8.431,376.7
81,8.404,378.3
82,8.376,379.8
83,8.349,381.2
84,8.321,382.7
85,8.293,384.1
86,8.266,385.5
87,8.238,387.0
88,8.211,388.4
89,8.183,389.8
90,8.156,391.2
91,8.128,392.7
92,8.101,394.1
93,8.073,395.6
94,8.046,397.0
95,8.019,398.4
96,7.992,399.7
97,7.964,401.1
98,7.938,402.5
99,7.911,403.9
100,7.884,405.3
101,7.857,406.6
102,7.831,408.0
103,7.805,409.2
104,7.779,410.6
105,7.753,411.8
106,7.727,413.0
107,7.701,414.2
108,7.676,415.5
109,7.650,416.8
110,7.625,417.9
111,7.599,419.1
112,7.574,420.1
113,7.549,421.4
114,7.524,422.3
115,7.499,423.6
116,7.473,424.7
117,7.448,425.6
118,7.423,426.7
119,7.397,427.8
120,7.372,428.9
121,7.346,429.8
122,7.321,430.9
123,7.295,432.0
124,7.269,432.9
125,7.244,434.1
126,7.218,435.4
127,7.192,436.5
128,7.167,437.5
129,7.141,438.5
130,7.116,440.0
131,7.091,441.4
132,7.066,442.2
133,7.041,443.5
134,7.017,444.7
135,6.993,446.0
136,6.969,446.8
137,6.945,448.2
138,6.921,449.2
139,6.898,450.4
140,6.874,451.8
141,6.850,452.7
142,6.827,453.8
143,6.803,455.2
144,6.780,455.9
145,6.756,457.7
146,6.732,458.4
147,6.707,459.4
148,6.683,460.9
149,6.658,462.2
150,6.633,463.0
151,6.607,464.4
152,6.581,465.6
153,6.555,466.6
154,6.529,467.7
155,6.503,469.0
156,6.477,470.3
157,6.451,471.2
158,6.424,472.4
159,6.398,473.0
160,6.373,474.5
161,6.347,475.7
162,6.322,476.7
163,6.297,478.1
164,6.272,479.3
165,6.248,480.0
166,6.224,481.2
167,6.201,482.6
168,6.178,483.3
169,6.155,484.4
170,6.132,485.4
171,6.110,486.2
172,6.087,487.3
173,6.065,488.4
174,6.043,489.4
175,6.021,490.7
176,5.998,491.7
177,5.976,492.3
178,5.953,493.6
179,5.930,494.7
180,5.907,495.7
181,5.883,497.0
182,5.860,497.8
183,5.836,498.9
184,5.812,500.0
185,5.788,500.7
186,5.764,501.3
187,5.740,502.3
188,5.715,503.7
189,5.691,504.6
190,5.667,505.2
191,5.642,506.8
192,5.618,507.8
193,5.594,509.2
194,5.570,510.0
195,5.546,510.8
196,5.522,511.4
197,5.498,512.5
198,5.474,513.6
199,5.450,514.4
200,5.427,515.4
201,5.403,516.5
202,5.380,517.4
203,5.356,518.6
204,5.333,519.1
205,5.309,520.3
206,5.286,521.0
207,5.262,522.0
208,5.238,522.7
209,5.215,523.3
210,5.191,524.5
211,5.167,525.3
212,5.143,526.3
213,5.120,527.3
214,5.096,528.1
215,5.072,528.8
216,5.048,529.5
217,5.025,530.6
218,5.001,531.0
219,4.977,532.5
220,4.954,533.2
221,4.931,533.7
222,4.907,534.2
223,4.884,534.8
224,4.862,536.2
225,4.839,536.7
226,4.816,537.6
227,4.794,538.1
228,4.772,539.0
229,4.750,539.8
230,4.728,540.3
231,4.706,541.1
232,4.685,541.8
233,4.663,542.8
234,4.642,543.2
235,4.621,543.9
236,4.600,544.8
237,4.579,546.4
238,4.558,547.1
239,4.537,547.3
240,4.517,547.9
241,4.496,549.1
242,4.476,550.2
243,4.455,550.6
244,4.435,551.3
245,4.414,552.5
246,4.394,552.3
247,4.374,553.7
248,4.354,554.2
249,4.334,554.8
250,4.313,556.3
251,4.293,557.2
252,4.273,558.3
253,4.253,559.3
254,4.233,559.4
255,4.213,559.3
256,4.192,559.7
257,4.172,560.2
258,4.152,560.8
259,4.132,561.7
260,4.112,562.3
261,4.092,563.9
262,4.072,563.9
263,4.052,565.8
264,4.032,565.2
265,4.012,565.9
266,3.992,566.6
267,3.972,567.2
268,3.953,567.6
269,3.933,568.6
270,3.914,569.0
271,3.895,569.0
272,3.876,569.1
273,3.857,570.4
274,3.838,571.1
275,3.819,571.2
276,3.801,571.7
277,3.782,572.4
278,3.764,571.5
279,3.746,573.5
280,3.728,574.6
281,3.711,574.5
282,3.693,574.6
283,3.676,574.8
284,3.659,574.6
285,3.642,576.9
286,3.625,577.9
287,3.609,578.7
288,3.593,579.2
289,3.577,579.1
290,3.561,578.0
291,3.545,579.6
292,3.529,579.6
293,3.514,582.0
294,3.499,581.8
295,3.483,582.3
296,3.468,582.5
297,3.453,583.8
298,3.439,583.8
299,3.424,584.2
300,3.409,585.1
301,3.395,584.8
302,3.380,585.7
303,3.366,586.8
304,3.352,586.5
305,3.338,587.3
306,3.324,588.5
307,3.310,589.4
308,3.296,588.5
309,3.282,589.6
310,3.268,588.8
311,3.254,589.7
312,3.240,590.3
313,3.226,590.7
314,3.212,591.4
315,3.198,592.5
316,3.184,591.7
317,3.170,593.6
318,3.157,593.9
319,3.143,594.9
320,3.130,595.5
321,3.117,596.5
322,3.104,596.9
323,3.091,597.4
324,3.078,597.0
325,3.066,596.9
326,3.054,597.7
327,3.042,598.2
328,3.031,598.5
329,3.020,599.1
330,3.010,599.2
331,2.999,599.7
332,2.989,601.3
333,2.980,602.9
334,2.970,602.3
335,2.961,602.1
336,2.952,603.2
337,2.943,603.7
338,2.934,603.6
339,2.926,604.4
340,2.917,604.8
341,2.908,605.7
342,2.900,607.0
343,2.891,607.1
344,2.882,608.2
345,2.873,607.2
346,2.865,606.7
347,2.856,608.0
348,2.847,609.2
349,2.838,609.1
350,2.830,609.2
351,2.822,610.1
352,2.813,609.8
353,2.805,610.8
354,2.797,611.2
355,2.790,612.5
356,2.782,612.8
357,2.775,612.9
358,2.769,611.8
359,2.762,613.0
360,2.756,613.2
361,2.750,614.0
362,2.745,615.1
363,2.739,615.2
364,2.734,615.7
365,2.729,615.9
366,2.724,617.2
367,2.719,617.1
368,2.714,616.6
369,2.710,617.0
370,2.705,618.0
371,2.700,618.3
372,2.695,618.2
373,2.690,618.6
374,2.685,619.6
375,2.680,619.6
376,2.675,619.5
377,2.669,620.1
378,2.664,621.6
379,2.659,620.4
380,2.654,619.8
381,2.648,621.2
382,2.643,621.5
383,2.638,622.5
384,2.633,622.3
385,2.628,623.2
386,2.623,623.3
387,2.619,624.0
388,2.614,624.2
389,2.610,624.3
390,2.606,624.5
391,2.602,625.1
392,2.599,625.1
393,2.595,625.3
394,2.592,625.5
395,2.589,625.1
396,2.586,626.1
397,2.583,626.4
398,2.580,626.6
399,2.578,626.4
400,2.575,627.0
401,2.573,627.3
402,2.570,627.4
403,2.568,627.6
404,2.566,628.0
405,2.564,627.7
406,2.562,627.5
407,2.560,628.2
408,2.558,627.7
409,2.556,628.5
410,2.554,628.7
411,2.552,628.2
412,2.551,628.7
413,2.549,629.3
414,2.547,629.4
415,2.544,629.8
416,2.542,629.3
417,2.540,630.0
418,2.538,630.0
419,2.535,630.0
420,2.533,630.3
421,2.531,630.1
422,2.528,630.6
423,2.526,631.1
424,2.523,630.8
425,2.521,631.3
426,2.518,631.3
427,2.516,631.1
428,2.514,631.3
429,2.512,631.6
430,2.510,631.9
431,2.508,632.3
432,2.506,632.2
433,2.505,632.3
434,2.504,632.2
435,2.503,632.5
436,2.502,631.8
437,2.501,632.3
438,2.501,632.3
439,2.500,632.3
440,2.499,632.0
441,2.499,632.2
442,2.498,632.2
443,2.497,631.8
444,2.497,632.1
445,2.496,632.1
446,2.494,632.0
447,2.493,632.3
448,2.492,632.2
449,2.490,632.8
450,2.488,632.9
451,2.486,633.0
452,2.484,632.8
453,2.481,633.3
454,2.479,633.2
455,2.477,633.0
456,2.474,633.4
457,2.472,633.4
458,2.470,632.9
459,2.468,632.8
460,2.466,632.7
461,2.464,633.9
462,2.462,633.9
463,2.461,634.1
464,2.460,633.8
465,2.459,634.1
466,2.458,634.1
467,2.457,634.6
468,2.457,634.6
469,2.456,634.4
470,2.456,635.0
471,2.456,634.9
472,2.456,635.2
473,2.455,635.3
474,2.455,635.3
475,2.455,635.7
476,2.455,635.7
477,2.454,635.6
478,2.454,635.4
479,2.453,635.7
480,2.452,635.6
481,2.451,635.7
482,2.451,635.9
483,2.450,636.1
484,2.449,636.0
485,2.448,636.1
486,2.446,636.1
487,2.445,636.2
488,2.444,636.2
489,2.443,636.4
490,2.442,636.5
491,2.441,636.7
492,2.439,636.9
493,2.438,636.9
494,2.437,636.7
495,2.436,636.6
496,2.435,636.9
497,2.434,637.0
498,2.433,637.3
499,2.432,637.2
500,2.431,637.1
501,2.430,637.4
502,2.428,637.8
503,2.427,637.7
504,2.426,637.8
505,2.425,637.8
506,2.424,637.9
507,2.423,638.1
508,2.422,638.0
509,2.421,638.1
510,2.420,638.2
511,2.419,638.4
512,2.418,638.7
513,2.417,638.3
514,2.416,638.2
515,2.415,638.4
516,2.414,638.3
517,2.412,638.3
518,2.411,638.2
519,2.410,638.5
520,2.409,638.5
521,2.408,638.6
522,2.407,638.7
523,2.406,638.8
524,2.405,638.9
525,2.404,638.9
526,2.403,639.1
527,2.402,639.2
528,2.400,639.2
529,2.399,639.3
530,2.398,639.4
531,2.397,639.5
532,2.396,639.7
533,2.395,639.7
534,2.394,639.8
535,2.393,640.0
536,2.392,639.7
537,2.392,639.8
538,2.391,640.1
539,2.390,640.1
540,2.389,640.2
541,2.388,640.4
542,2.387,640.7
543,2.387,640.3
544,2.386,640.4
545,2.385,640.5
546,2.384,640.7
547,2.383,640.7
548,2.383,641.0
549,2.382,641.0
550,2.381,641.0
551,2.380,641.1
552,2.379,641.4
553,2.378,640.8
554,2.377,641.0
555,2.376,641.3
556,2.375,641.3
557,2.374,641.3
558,2.373,641.3
559,2.372,641.2
560,2.371,641.2
561,2.370,641.2
562,2.369,641.4
563,2.368,641.5
564,2.367,641.5
565,2.365,641.7
566,2.364,641.9
567,2.363,641.8
568,2.362,641.8
569,2.361,641.9
570,2.360,641.9
571,2.359,641.9
572,2.358,642.0
573,2.357,642.2
574,2.356,642.3
575,2.356,642.4
576,2.355,642.4
577,2.354,642.5
578,2.354,642.6
579,2.353,642.6
580,2.353,642.6
581,2.352,642.7
582,2.352,642.6
583,2.352,642.9
584,2.352,642.8
585,2.352,643.0
586,2.353,643.0
587,2.353,642.9
588,2.353,643.3
589,2.354,643.4
590,2.354,643.3
591,2.355,643.5
592,2.355,643.7
593,2.356,643.7
594,2.356,643.7
595,2.357,643.8
596,2.358,644.0
