Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,110.44,-0.6,301.674
1,110.44,-0.6,301.839
2,110.38,-0.6,294.042
3,110.37,0,294.705
4,110.38,0.2,304.873
5,110.32,1.1,293.776
6,110.34,0.9,288.757
7,110.3,1.8,304.746
8,110.32,2.5,294.574
9,110.32,3,298.234
10,110.3,3.7,311.345
11,110.28,3.9,297.759
12,110.26,3.9,291.99
13,110.24,4.3,291.707
14,110.23,4.3,299.279
15,110.23,4.7,302.257
16,110.16,5.4,295.035
17,110.16,5.9,297.962
18,110.07,5.9,298.04
19,110.02,7.4,294.871
20,109.93,11.1,292.189
21,109.84,17.7,297.396
22,109.71,21,300.171
23,109.62,37.1,300.055
24,109.53,49.4,296.42
25,109.43,63.1,300.393
26,109.34,73,301.792
27,109.21,83.9,295.836
28,109.12,89.1,302.227
29,109.05,101.5,298.371
30,108.97,104.9,301.595
31,108.86,117.1,294.41
32,108.77,117.2,291.621
33,108.7,123.4,300.557
34,108.61,127.4,296.262
35,108.49,130.4,295.949
36,108.43,133.1,296.111
37,108.34,134.8,298.937
38,108.23,134.7,299.914
39,108.13,135.5,298.079
40,108.08,136,303.065
41,107.98,137,298.995
42,107.9,133.2,301.431
43,107.83,134.2,302.318
44,107.759,131,298.534
45,107.699,131,295.407
46,107.619,130.1,303.018
47,107.539,128,297.414
48,107.449,124.2,300.412
49,107.389,125.2,300.87
50,107.329,123.5,298.628
51,107.239,120.4,299.038
52,107.179,119.1,296.646
53,107.099,116.6,300.723
54,107.039,116.4,301.675
55,106.959,113.5,301.7
56,106.879,112.5,302.329
57,106.859,112.2,298.549
58,106.789,109.3,301.829
59,106.729,111.4,301.664
60,106.659,107.8,301.31
61,106.649,108.1,301.348
62,106.559,108.3,295.268
63,106.509,106.5,297.112
64,106.419,105.3,300.324
65,106.379,104.4,299.408
66,106.299,104.7,302.193
67,106.229,103.1,300.504
68,106.159,101.3,300.393
69,106.109,101.2,295.036
70,106.039,101.4,298.731
71,105.969,101.6,299.779
72,105.919,101.2,298.825
73,105.879,101.4,301.725
74,105.859,100.2,303.146
75,105.819,98.5,302.494
76,105.699,97.4,304.245
77,105.659,97.3,299.347
78,105.579,96,298.514
79,105.529,96.7,304.018
80,105.469,97,297.807
81,105.399,96,300.881
82,105.399,94.8,296.685
83,105.339,93.3,298.949
84,105.259,93,305.07
85,105.199,92.8,300.68
86,105.179,92.6,293.917
87,105.119,91.1,298.178
88,105.069,89.2,301.852
89,104.999,89.1,306.84
90,104.959,89.5,304.328
91,104.909,87.7,297.414
92,104.859,87.1,302.013
93,104.809,86.8,300.431
94,104.759,86.8,302.102
95,104.729,87.3,301.284
96,104.669,86.6,302.385
97,104.639,86.5,302.797
98,104.599,84.3,299.981
99,104.529,84.6,301.695
100,104.479,85.4,302.069
101,104.429,84.4,300.682
102,104.379,84.3,295.691
103,104.329,82.4,303.287
104,104.289,82.8,303.586
105,104.239,83.1,304.817
106,104.219,82.6,304.333
107,104.129,82.4,306.386
108,104.079,81.9,304.313
109,104.019,80.4,303.976
110,103.999,80.7,305.321
111,103.929,80.1,306.001
112,103.909,79.5,304.214
113,103.829,80,302.934
114,103.809,80.1,305.761
115,103.749,79.4,306.352
116,103.689,79,307.14
117,103.629,79.2,295.127
118,103.589,79.2,298.645
119,103.529,79.2,301.778
120,103.479,79.4,301.801
121,103.439,78.9,303.801
122,103.389,79.1,302.368
123,103.339,79.3,304.082
124,103.299,78.1,309.14
125,103.229,78.2,309.11
126,103.209,78.8,304.786
127,103.149,79.5,306.53
128,103.089,81,306.168
129,103.039,80.5,301.16
130,102.989,79.2,307.377
131,102.939,78.3,308.171
132,102.889,77.3,297.037
133,102.819,76.5,303.959
134,102.769,77.5,303
135,102.759,77.6,305.469
136,102.719,76.8,308.429
137,102.629,76.8,308.847
138,102.589,77.4,302.476
139,102.579,77.7,306.391
140,102.499,76.8,304.029
141,102.458,76.9,306.333
142,102.418,75.9,302.66
143,102.398,77.4,303.323
144,102.348,75.9,308.48
145,102.268,76,295.677
146,102.238,75.6,303.068
147,102.188,75.2,302.428
148,102.148,73.8,304.986
149,102.118,74.6,305.69
150,102.068,74.7,301.884
151,102.008,75.4,304.849
152,101.948,74.5,308.629
153,101.908,75.2,304.992
154,101.858,73.9,305.282
155,101.808,73.5,303.586
156,101.778,74,303.518
157,101.758,73,302.826
158,101.708,73.3,302.008
159,101.678,73.5,307.145
160,101.618,73.9,303.055
161,101.578,73.3,312.381
162,101.538,72.8,304.712
163,101.518,73.1,302.045
164,101.488,73.5,301.013
165,101.408,72.2,307.986
166,101.378,71.2,312.765
167,101.328,71.6,308.612
168,101.268,71.7,302.702
169,101.228,71.9,308.024
170,101.188,71.4,305.075
171,101.138,70.9,311.373
172,101.088,70.4,304.453
173,101.028,70.9,311.156
174,100.968,71,306.025
175,100.958,70.2,306.542
176,100.948,70.5,304.822
177,100.888,70.9,307.937
178,100.858,68.9,305.167
179,100.818,69.7,303.537
180,100.788,71.2,303.205
181,100.728,71,307.772
182,100.688,71.3,308.984
183,100.618,71.8,297.697
184,100.548,71.2,307.81
185,100.518,71.3,306.453
186,100.468,70.7,314.984
187,100.448,69.7,306.96
188,100.358,71.9,302.496
189,100.358,70.4,299.547
190,100.298,70.4,310.056
191,100.278,69.2,310.995
192,100.238,70.1,312.351
193,100.198,70.1,306.718
194,100.158,70.2,309.078
195,100.098,69.1,307.763
196,100.058,69.1,307.409
197,100.008,69.4,308.913
198,99.958,67.9,312.135
199,99.958,67.7,306.83
200,99.868,67.9,313.526
201,99.858,68.3,310.546
202,99.828,69.3,313.313
203,99.778,70.2,305.856
204,99.748,68.9,308.028
205,99.708,71.2,312.153
206,99.658,68.6,315.26
207,99.578,69.3,313.745
208,99.548,69.7,308.557
209,99.518,68.3,310.469
210,99.468,69,307.771
211,99.438,68.8,309.634
212,99.398,69.7,317.015
213,99.338,69.1,313.904
214,99.298,69.7,310.029
215,99.238,69.8,310.25
216,99.188,69.4,312.599
217,99.138,69.4,313.737
218,99.058,68.5,306.838
219,99.008,68.9,308.183
220,98.988,69.4,312.241
221,98.968,68.4,309.628
222,98.918,68.8,310.116
223,98.888,68.2,313.034
224,98.838,68.6,313.708
225,98.828,68.4,312.008
226,98.748,68.9,314.293
227,98.738,68.9,316.075
228,98.708,69.2,312.886
229,98.668,68.8,315.349
230,98.608,68.6,317
231,98.588,68.6,313.366
232,98.568,69.2,310.696
233,98.488,69.1,311.092
234,98.488,69.3,313.543
235,98.428,69.6,312.036
236,98.378,69.2,313.041
237,98.338,69.1,321.628
238,98.318,70,319
239,98.238,71.3,309.434
240,98.208,69.6,307.519
241,98.178,70.5,311.691
242,98.088,69,319.304
243,98.068,68.7,314.316
244,98.058,67.4,319.368
245,97.978,68.2,312.963
246,97.958,68.4,316.245
247,97.898,68.9,315.053
248,97.868,67.7,317.171
249,97.838,68.1,313.488
250,97.768,68.5,317.284
251,97.748,68.2,310.6
252,97.718,67.7,319.371
253,97.668,67.8,318.789
254,97.648,66.5,318.815
255,97.618,66.7,319.463
256,97.558,67.3,315.78
257,97.538,67.1,320.953
258,97.498,67.6,322.122
259,97.438,66.7,318.135
260,97.408,66.7,321.751
261,97.388,66.7,318.381
262,97.338,67.7,314.74
263,97.278,67.6,317.381
264,97.257,67.4,314.952
265,97.197,67.9,319.033
266,97.188,68.2,318.306
267,97.107,68,319.227
268,97.047,67.6,317.593
269,97.037,67.6,313.858
270,96.997,66.9,317.102
271,96.937,68.1,324.224
272,96.887,67.8,327.451
273,96.857,66.3,321.1
274,96.807,66.9,320.234
275,96.737,67.5,321.516
276,96.677,66.7,321.23
277,96.657,64.7,325.003
278,96.627,68,322.879
279,96.587,67.2,322.649
280,96.507,67,324.477
281,96.477,67.1,322.28
282,96.437,65.8,327.52
283,96.407,65.5,324.087
284,96.337,65.6,316.562
285,96.317,64.9,319.502
286,96.277,65.3,319.585
287,96.197,64.9,324.171
288,96.187,64,319.289
289,96.157,65,321.865
290,96.147,65.8,318.483
291,96.107,64.4,324.671
292,96.067,65.4,325.522
293,96.037,63.9,324.539
294,96.007,65.2,325.275
295,95.927,65.3,325.416
296,95.907,64.6,324.977
297,95.887,64.8,317.115
298,95.807,66.5,320.536
299,95.777,64.6,326.282
300,95.737,65.2,330.049
301,95.697,64.5,327.014
302,95.637,64.9,327.755
303,95.617,64.1,328.324
304,95.557,65.1,319.362
305,95.527,64.9,322.4
306,95.487,65.6,322.531
307,95.447,65.9,327.106
308,95.407,66.3,323.384
309,95.387,66.2,331.047
310,95.317,65.8,328.175
311,95.277,65.9,332.28
312,95.227,65.5,325.445
313,95.207,64.3,326.304
314,95.157,65.3,325.324
315,95.107,66,330.272
316,95.057,65.1,328.54
317,95.017,65.8,331.942
318,94.987,64,325.592
319,94.927,64.5,334.276
320,94.897,65.1,326.099
321,94.867,66.2,327.354
322,94.827,65.9,330.628
323,94.777,66.2,333.395
324,94.717,65.9,334.95
325,94.707,65.8,322.753
326,94.677,65.1,333.545
327,94.617,65.4,326.111
328,94.597,66.3,328.707
329,94.557,65.5,327.26
330,94.517,65.5,328.198
331,94.467,66.9,327.315
332,94.417,66.6,333.189
333,94.377,65.7,330.344
334,94.357,65.9,334.456
335,94.327,65.8,330.123
336,94.257,66.5,330.297
337,94.217,66.2,326.232
338,94.187,66.2,337.124
339,94.137,66.6,333.174
340,94.117,67.2,333.532
341,94.027,66.9,335.687
342,93.997,68.4,332.928
343,93.977,67.8,330.204
344,93.927,67.5,334.62
345,93.887,66.7,335.162
346,93.877,66.6,331.581
347,93.797,66.8,329.21
348,93.757,66.5,331.172
349,93.707,67.1,336.542
350,93.687,68.5,333.164
351,93.647,68.6,336.891
352,93.597,67.2,332.105
353,93.567,68.4,335.383
354,93.517,69,336.525
355,93.487,66.9,334.916
356,93.447,66.9,337.22
357,93.377,67.1,331.612
358,93.367,68.1,337.996
359,93.347,68.7,333.041
360,93.287,68.2,330.576
361,93.247,68.8,338.739
362,93.187,68.9,337.595
363,93.157,67.7,337.708
364,93.107,69.1,334.985
365,93.087,67.1,333.847
366,93.037,66.7,334.485
367,92.997,68.4,340.114
368,92.957,68.1,339.439
369,92.917,68.7,341.117
370,92.877,69,337.57
371,92.847,69.5,336.257
372,92.827,68.7,332.759
373,92.747,67.2,334.067
374,92.717,68.9,335.886
375,92.677,67.2,337.504
376,92.617,67.2,335.593
377,92.587,67.9,340.956
378,92.537,67.8,333.395
379,92.517,67.3,336.406
380,92.477,67.1,338.255
381,92.427,67,338.138
382,92.407,67.2,335.577
383,92.377,67.5,342.188
384,92.307,67.9,344.758
385,92.287,68,345.88
386,92.227,68.3,339.64
387,92.177,68,339.211
388,92.127,67.7,336.341
389,92.097,68.3,336.935
390,92.087,67.9,334.843
391,92.027,67.6,344.419
392,91.947,67.3,344.037
393,91.936,67,337.543
394,91.896,67.7,340.887
395,91.846,66,340.49
396,91.796,66.1,341.819
397,91.766,66.5,336.296
398,91.716,67.6,336.954
399,91.696,66.9,340.133
400,91.656,68.2,343.389
401,91.606,68.7,343.583
402,91.566,68.6,340.613
403,91.536,67.3,338.607
404,91.496,67.7,344.456
405,91.456,67.8,336.715
406,91.416,68.4,343.115
407,91.406,68.1,345.67
408,91.346,68.5,339.842
409,91.286,67.9,343.564
410,91.276,67.3,340.505
411,91.206,66.6,342.982
412,91.166,66.8,343.243
413,91.136,66.2,341.856
414,91.096,66.5,341.062
415,91.046,67.3,343.653
416,90.996,67.7,341.951
417,90.966,68.1,342.513
418,90.936,67.4,339.534
419,90.906,67.6,346.415
