Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,112.48,-0.3,293.885
1,112.46,0.2,294.238
2,112.46,0,299.114
3,112.44,0.5,302.279
4,112.43,0.4,298.768
5,112.35,1.2,305.576
6,112.4,1,297.081
7,112.36,1,291.76
8,112.3,1,293.52
9,112.26,1.6,297.169
10,112.2,1.7,295.27
11,112.08,1.5,281.3522
12,111.97,1.4,299.537
13,111.9,3.2,291.85
14,111.69,10.3,295.21
15,111.57,20.3,296.657
16,111.42,39.2,291.231
17,111.3,61.4,292.471
18,111.14,87.2,296.505
19,110.99,107.1,303.008
20,110.84,128.3,300.091
21,110.72,148.4,298.426
22,110.62,156.6,304.365
23,110.48,171.1,289.114
24,110.35,179.6,298.564
25,110.21,179.7,294.393
26,110.08,183.9,286.944
27,109.93,187.6,296.693
28,109.83,189.2,304.999
29,109.719,193.3,295.181
30,109.599,194.5,294.841
31,109.479,196.4,305.735
32,109.369,194.5,296.673
33,109.219,198.3,293.986
34,109.079,199.5,294.89
35,108.979,200.2,293.327
36,108.819,205.2,302.455
37,108.739,198.6,301.059
38,108.609,201.2,299.786
39,108.469,203.9,299.983
40,108.349,200.6,300.228
41,108.239,201.6,297.514
42,108.119,200.3,302.902
43,107.999,202.2,297.338
44,107.889,194.4,301.619
45,107.769,199.2,301.142
46,107.659,198.8,300.759
47,107.519,200.5,299.621
48,107.379,200.9,296.815
49,107.289,194.1,294.496
50,107.179,200.3,294.222
51,107.089,194.5,297.018
52,106.949,198.1,298.7
53,106.839,193.2,300.134
54,106.749,192,297.321
55,106.639,190.7,298.848
56,106.509,188.5,296.369
57,106.389,186.5,305.15
58,106.279,188.6,299.664
59,106.189,187,295.222
60,106.079,184.3,304.453
61,105.969,183.8,302.859
62,105.889,184.2,300.233
63,105.779,181.6,296.197
64,105.679,182.3,290.209
65,105.569,179.7,298.93
66,105.459,179.8,301.283
67,105.379,180.3,300.439
68,105.259,181.8,299.134
69,105.169,176.5,295.901
70,105.039,177.9,310.449
71,104.949,174.5,301.829
72,104.839,177.4,295.696
73,104.729,175.3,299.571
74,104.619,173.5,306.151
75,104.529,179,303.831
76,104.418,175.5,311.056
77,104.328,175,305.877
78,104.198,173.3,300.482
79,104.138,171.5,296.983
80,104.028,169.6,305.173
81,103.888,170.7,292.017
82,103.808,171.6,302.239
83,103.718,168.3,297.092
84,103.608,165.7,297.933
85,103.518,167.6,299.461
86,103.418,166.4,304.398
87,103.308,167.4,299.601
88,103.238,166.4,301.949
89,103.128,166.7,293.421
90,103.058,165.3,305.754
91,102.928,165,294.86
92,102.828,163.4,304.722
93,102.758,159.5,300.803
94,102.658,165,302.294
95,102.568,160.4,298.155
96,102.448,163.7,305.924
97,102.328,163.9,299.722
98,102.248,161.5,305.557
99,102.168,161.9,298.979
100,102.078,157.9,304.651
101,101.988,160.8,300.556
102,101.908,159.8,305.094
103,101.808,158,297.761
104,101.698,160,303.036
105,101.598,157.7,305.418
106,101.528,154.9,304.71
107,101.438,154.9,308.004
108,101.308,151.7,303.751
109,101.248,151.1,308.251
110,101.148,151.2,303.857
111,101.068,149,307.522
112,100.988,148.9,301.179
113,100.878,149.6,304.876
114,100.778,150.2,308.669
115,100.698,151.1,299.274
116,100.598,148.1,302.459
117,100.518,150.9,303.882
118,100.398,147.5,304.607
119,100.328,147.6,300.173
120,100.268,146.5,297.786
121,100.138,147.7,302.625
122,100.038,149.7,300.121
123,99.968,146.5,310.476
124,99.868,147.9,301.501
125,99.768,147.7,298.49
126,99.678,148.6,304.742
127,99.578,147.1,303.159
128,99.508,146.2,307.582
129,99.388,145.3,304.822
130,99.298,143.9,301.596
131,99.197,145.7,310.392
132,99.107,147.6,301.085
133,99.007,146.8,308.948
134,98.927,145,314.207
135,98.817,145.7,302.186
136,98.717,145.7,306.013
137,98.667,146.6,306.526
138,98.567,146.5,308.49
139,98.467,144.3,311.115
140,98.387,143.9,308.353
141,98.317,144.7,300.544
142,98.227,146.2,308.929
143,98.117,145.1,312.333
144,98.017,146.6,307.639
145,97.947,143.1,311.758
146,97.877,144.7,308.236
147,97.757,142.8,304.834
148,97.667,141,308.693
149,97.587,142.6,312.025
150,97.497,141.3,313.958
151,97.407,140.1,313.132
152,97.317,141.9,306.432
153,97.237,140.9,306.814
154,97.177,140.4,306.258
155,97.077,139.1,307.95
156,96.987,139.4,307.843
157,96.887,139.9,306.212
158,96.797,137.8,312.817
159,96.747,136.9,314.359
160,96.627,136.7,310.591
161,96.577,134.9,314.544
162,96.487,135.9,320
163,96.387,135.2,306.055
164,96.317,134.9,317.315
165,96.217,134.5,311.79
166,96.157,132.9,313.254
167,96.067,134.6,311.144
168,95.997,134.7,325.332
169,95.867,134.8,308.172
170,95.817,134.1,307.51
171,95.737,132.7,305.752
172,95.627,133,318.778
173,95.577,133.9,314.969
174,95.477,130.8,308.153
175,95.397,130.8,319.285
176,95.327,131.4,317.916
177,95.217,131.5,315.972
178,95.117,128.4,315.596
179,95.047,128.6,313.809
180,94.977,128.3,310.506
181,94.927,129.7,320.022
182,94.827,127.4,311.874
183,94.747,127.7,307.725
184,94.647,126.4,321.173
185,94.567,127.6,319.085
186,94.517,129.7,313.938
187,94.417,127.2,314.716
188,94.357,127.6,314.321
189,94.257,127.4,321.463
190,94.157,125.4,322.837
191,94.087,125.9,302.371
192,94.007,127.4,313.643
193,93.957,125.9,317.961
194,93.856,125.8,318.205
195,93.756,123.9,317.769
196,93.716,125.4,317.591
197,93.596,125.8,320.222
198,93.516,125.5,323.13
199,93.476,126,318.542
200,93.346,126.3,315.1
201,93.286,124,313.439
202,93.196,124.5,322.432
203,93.106,125.3,320.118
204,93.026,124.1,319.282
205,92.976,123.1,319.79
206,92.876,124.4,317.473
207,92.826,121.4,326.967
208,92.676,122.3,323.229
209,92.656,121.9,324.343
210,92.566,121.7,320.18
211,92.506,118.1,319.804
212,92.446,119.6,315.412
213,92.316,121.4,313.583
214,92.246,120.2,314.323
215,92.186,118,318.904
216,92.106,120.5,322.717
217,92.006,119.5,324.392
218,91.946,119.8,322.618
219,91.856,120.5,320.485
220,91.786,119.9,315.241
221,91.726,120.8,315.3
222,91.656,117.9,327.442
223,91.576,116.7,320.264
224,91.466,120.1,329.494
225,91.396,118.4,322.448
226,91.336,118,318.251
227,91.246,119.4,312.452
