Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,115.44,3.9,291.538
1,115.41,3.5,295.539
2,115.4,3.7,295.756
3,115.41,3.5,295.546
4,115.38,3.6,300.292
5,115.34,3.5,301.145
6,115.31,3.2,289.813
7,115.21,3.3,293.999
8,115.16,4,295.379
9,115.02,4,296.342
10,114.95,7.5,299.798
11,114.86,14.4,300.333
12,114.71,26.1,290.832
13,114.56,38.7,293.014
14,114.44,55,305.986
15,114.32,68.7,293.351
16,114.18,88,294.471
17,114.08,101.6,293.758
18,113.92,110.4,294.912
19,113.81,123.4,299.259
20,113.73,136.2,300.916
21,113.58,143.6,303.094
22,113.44,148,294.934
23,113.31,154.3,296.783
24,113.16,160.9,297.719
25,113.07,161,297.616
26,112.96,166.8,299.74
27,112.85,165.6,293.168
28,112.749,167.1,303.203
29,112.649,168.7,302.631
30,112.509,168.2,305.221
31,112.399,166.7,298.822
32,112.339,164.9,290.07
33,112.219,165.3,304.631
34,112.109,164.3,294.04
35,111.999,161.8,302.854
36,111.919,159.5,298.228
37,111.809,158.2,298.686
38,111.719,159.1,295.298
39,111.599,158.1,287.68
40,111.499,155.9,300.68
41,111.399,153.3,293.105
42,111.289,150.5,297.75
43,111.209,151.2,299.609
44,111.109,152.2,300.477
45,111.039,151.4,303.116
46,110.939,149.9,297.469
47,110.819,149.2,296.619
48,110.749,148,294.743
49,110.679,146.2,293.759
50,110.559,143.5,294.764
51,110.509,143.7,299.058
52,110.389,141.6,300.333
53,110.309,140.3,299.399
54,110.199,140.1,301.662
55,110.099,139.6,298.95
56,110.019,137.9,296.144
57,109.939,135.9,289.612
58,109.849,135.6,296.745
59,109.789,133.5,294.418
60,109.669,132.6,299.473
61,109.559,131.6,298.902
62,109.459,131.5,305.349
63,109.399,130.6,299.025
64,109.309,129.1,300.712
65,109.209,129.2,297.174
66,109.149,127.5,295.227
67,109.069,127.6,301.004
68,108.989,124.1,299.812
69,108.909,128,301.47
70,108.789,124.6,304.008
71,108.779,125.4,297.169
72,108.689,124.8,294.565
73,108.589,125.5,300.198
74,108.489,125.2,302.792
75,108.439,122.4,305.172
76,108.309,122.3,302.517
77,108.289,121.7,303.087
78,108.199,122.1,301.486
79,108.129,120.5,302.283
80,108.069,118.9,307.604
81,108.009,119,305.15
