Time,Temperature,HRR,HRR error
[s],[K],[W/g],[W/g]
0,349.619,2.22E-16,4.44E-16
0.5,349.737,-0.043779293,0.086307596
1,349.876,-0.029057493,0.157111739
1.5,350.002,-0.028080423,0.217308953
2,350.138,-0.028604446,0.238159518
2.5,350.304,-0.008383738,0.253002012
3.001,350.409,-0.038659705,0.208745422
3.501,350.584,-0.006935816,0.171443247
4,350.737,0.061785839,0.102022859
4.5,350.913,0.092509965,0.142606837
5.001,351.072,0.118238175,0.213768947
5.501,351.233,0.146458882,0.177386545
6,351.419,0.157928449,0.15678555
6.501,351.575,0.173659604,0.249295738
7.001,351.773,0.237133493,0.141754827
7.5,351.944,0.213105148,0.200521687
8.001,352.13,0.24533127,0.160805112
8.501,352.323,0.292552214,0.199341834
9.001,352.488,0.292777196,0.199005588
9.502,352.711,0.347758588,0.176758399
10.001,352.906,0.304980006,0.215997812
10.501,353.116,0.350700713,0.279252405
11.001,353.293,0.317171657,0.267318913
11.5,353.515,0.263394168,0.262439258
12.001,353.724,0.306623472,0.275143538
12.502,353.943,0.269346649,0.279312454
13.001,354.195,0.325815123,0.292967697
13.501,354.379,0.291041956,0.279280719
14.001,354.627,0.346021115,0.327499359
14.501,354.831,0.361995003,0.290452276
15.002,355.077,0.394971125,0.301924004
15.501,355.303,0.380689836,0.269211927
16,355.537,0.426656221,0.259623316
16.501,355.811,0.433882343,0.23717391
17.001,356.021,0.408611502,0.27522785
17.5,356.306,0.456083157,0.278946851
18,356.53,0.38205999,0.264058662
18.501,356.818,0.452287205,0.274080059
19.001,357.06,0.486761094,0.3249915
19.501,357.292,0.471482038,0.260854587
20.002,357.577,0.519707067,0.284336362
20.501,357.828,0.549428722,0.371178852
21,358.125,0.570901471,0.308232402
21.501,358.368,0.603874411,0.315189542
22.001,358.647,0.588600151,0.283262527
22.501,358.931,0.619326984,0.305643757
23.001,359.218,0.65904584,0.292302956
23.5,359.505,0.687264551,0.319351676
24,359.777,0.674991621,0.275714573
24.501,360.083,0.700467743,0.235208765
25.001,360.361,0.73043845,0.288393041
25.5,360.658,0.717662194,0.222317545
26,360.954,0.671639264,0.217631933
26.5,361.252,0.686113152,0.176518436
27.001,361.586,0.727586093,0.167937288
27.502,361.86,0.731815396,0.143753505
28.001,362.203,0.726037052,0.164634864
28.501,362.48,0.747008614,0.165346706
29.001,362.826,0.759732503,0.199872136
29.5,363.134,0.745204158,0.191171403
30,363.433,0.800178047,0.167319292
30.5,363.78,0.831404024,0.221286304
31,364.075,0.822377913,0.23741153
31.5,364.446,0.858846768,0.300871052
32.001,364.738,0.896572891,0.334457439
32.501,365.088,0.930051812,0.392382551
33,365.423,0.932773467,0.362605317
33.5,365.753,0.930244412,0.377563913
34.001,366.115,0.941721389,0.278254062
34.501,366.424,0.965445278,0.251908847
35.001,366.83,0.961916222,0.22636354
35.502,367.135,0.896647614,0.194329945
36.001,367.509,0.89911927,0.21269122
36.501,367.867,0.865837888,0.194714533
37.001,368.229,0.839064958,0.225137095
37.5,368.588,0.823041646,0.214647354
38,368.926,0.819015535,0.214902177
38.501,369.329,0.881491657,0.208247586
