Time,Temperature,Mass fraction,Error
[s],[K],[g/g],[g/g]
0,313,0.9998,0.001198471
21.6744,314.002,0.9999,0.001390148
37.9164,315.004,0.9996,0.001293813
51.3912,316.006,0.9999,0.001228167
63.1614,317.008,0.9998,0.001365585
73.7172,318.01,1,0.001075098
83.3904,319.012,0.9999,0.001118732
92.3964,320.014,0.9997,0.001407205
100.8498,321.016,1,0.001380561
108.8532,322.018,0.9997,0.001427751
116.4846,323.02,0.9998,0.001265987
123.8058,324.022,0.9998,0.001312633
130.8396,325.024,0.9998,0.001322176
137.6448,326.026,1,0.001355609
144.2358,327.028,1.0001,0.001265841
150.6288,328.03,0.9996,0.001273481
156.8634,329.032,0.9995,0.00131636
162.9516,330.034,0.9996,0.001349689
168.8988,331.036,0.9997,0.001546361
174.7272,332.038,0.9998,0.00133008
180.4452,333.04,0.9995,0.001186004
186.063,334.042,0.9996,0.001109781
191.5914,335.044,0.9998,0.001103124
197.0322,336.046,0.9998,0.001079258
202.3938,337.048,0.9996,0.001053358
207.6774,338.05,0.9996,0.001250753
212.8932,339.052,0.9997,0.001389616
218.049,340.054,0.9997,0.001162757
223.1484,341.056,0.9998,0.00151285
228.1902,342.058,0.9996,0.001104284
233.1828,343.06,0.9997,0.001217349
238.1298,344.062,1.0001,0.001458404
243.0366,345.064,1.0001,0.001294516
247.9008,346.066,0.9998,0.001015832
252.729,347.068,1,0.001183509
257.5236,348.07,0.9997,0.001477851
262.2858,349.072,0.9996,0.001147352
267.0144,350.074,0.9998,0.001106219
271.7142,351.076,0.9998,0.001093361
276.3894,352.078,0.9998,0.000975676
281.0394,353.08,0.9999,0.001228348
285.6636,354.082,0.9998,0.001390486
290.2644,355.084,0.9996,0.00104906
294.8508,356.086,0.9998,0.001184689
299.4228,357.088,1.0001,0.001074589
303.981,358.09,0.9996,0.00127582
308.523,359.092,0.9996,0.001374766
313.0482,360.094,0.9997,0.001464851
317.5584,361.096,1.0001,0.001284437
322.0596,362.098,0.9998,0.001173248
326.5482,363.1,1,0.001326996
331.0302,364.102,1,0.001174278
335.5002,365.104,0.9995,0.001193706
339.9654,366.106,0.9998,0.001118071
344.4222,367.108,0.9998,0.001052528
348.876,368.11,0.9999,0.00125068
353.3262,369.112,0.9999,0.001300991
357.7776,370.114,0.9999,0.001319751
362.2224,371.116,1,0.001342246
366.669,372.118,0.9999,0.001514447
371.1114,373.12,0.9998,0.001363547
375.5538,374.122,0.9999,0.001239441
379.9956,375.124,0.9996,0.001407048
384.438,376.126,0.9997,0.00128228
