time (s),Temperature (K),Mass (mg)
453.6,472,4.860
455,472.5,4.858
456.4,473,4.857
457.8,473.5,4.855
459.2,474,4.854
460.6,474.5,4.853
462,475,4.851
463.4,475.5,4.850
464.8,476,4.849
466.2,476.5,4.847
467.6,477,4.846
469,477.5,4.845
470.4,478,4.843
471.8,478.5,4.842
473.2,479,4.841
474.6,479.5,4.840
476,480,4.839
477.4,480.5,4.838
478.8,481,4.837
480.2,481.5,4.836
481.6,482,4.835
483,482.5,4.834
484.4,483,4.833
485.8,483.5,4.831
487.2,484,4.830
488.6,484.5,4.829
490,485,4.828
491.4,485.5,4.827
492.8,486,4.826
494.2,486.5,4.826
495.6,487,4.825
497,487.5,4.823
498.4,488,4.822
499.8,488.5,4.821
501.2,489,4.820
502.6,489.5,4.819
503.9,490,4.817
505.3,490.5,4.816
506.7,491,4.815
508.1,491.5,4.813
509.5,492,4.812
510.9,492.5,4.810
512.3,493,4.809
513.7,493.5,4.808
515.1,494,4.807
516.5,494.5,4.806
517.9,495,4.805
519.3,495.5,4.804
520.7,496,4.803
522.1,496.5,4.802
523.5,497,4.800
524.9,497.5,4.799
526.3,498,4.798
527.7,498.5,4.797
529.1,499,4.796
530.5,499.5,4.795
531.9,500,4.795
533.3,500.5,4.793
534.7,501,4.792
536.1,501.5,4.791
537.5,502,4.791
538.9,502.5,4.790
540.3,503,4.789
541.7,503.5,4.788
543.1,504,4.787
544.5,504.5,4.787
545.9,505,4.786
547.3,505.5,4.785
548.7,506,4.785
550,506.5,4.784
551.4,507,4.784
552.8,507.5,4.783
554.2,508,4.783
555.6,508.5,4.782
557,509,4.782
558.4,509.5,4.781
559.8,510,4.781
561.2,510.5,4.781
562.6,511,4.780
564,511.5,4.780
565.4,512,4.780
566.8,512.5,4.780
568.2,513,4.779
569.6,513.5,4.779
570.9,514,4.779
572.3,514.5,4.778
573.7,515,4.778
575.1,515.5,4.778
576.5,516,4.777
577.9,516.5,4.777
579.3,517,4.776
580.7,517.5,4.776
582.1,518,4.776
583.5,518.5,4.775
584.9,519,4.775
586.3,519.5,4.775
587.7,520,4.775
589.1,520.5,4.775
590.5,521,4.775
591.8,521.5,4.775
593.2,522,4.774
594.6,522.5,4.774
596,523,4.774
597.4,523.5,4.774
598.8,524,4.773
600.2,524.5,4.773
601.6,525,4.773
603,525.5,4.773
604.4,526,4.773
605.8,526.5,4.772
607.2,527,4.772
608.6,527.5,4.772
610,528,4.772
611.4,528.5,4.771
612.8,529,4.771
614.2,529.5,4.771
615.6,530,4.770
617,530.5,4.770
618.3,531,4.769
619.7,531.5,4.769
621.1,532,4.768
622.5,532.5,4.768
623.9,533,4.767
625.3,533.5,4.767
626.7,534,4.767
628.1,534.5,4.766
629.5,535,4.766
630.9,535.5,4.766
632.3,536,4.765
633.7,536.5,4.765
635.1,537,4.764
636.5,537.5,4.764
637.9,538,4.764
639.3,538.5,4.764
640.7,539,4.763
642.1,539.5,4.762
643.5,540,4.762
644.9,540.5,4.761
646.3,541,4.761
647.7,541.5,4.761
649.1,542,4.760
650.4,542.5,4.760
651.8,543,4.759
653.2,543.5,4.759
654.6,544,4.758
656,544.5,4.758
657.4,545,4.757
658.8,545.5,4.757
660.2,546,4.757
661.6,546.5,4.756
663,547,4.756
664.4,547.5,4.755
665.8,548,4.754
667.2,548.5,4.754
668.6,549,4.753
670,549.5,4.752
671.4,550,4.751
672.8,550.5,4.750
674.2,551,4.749
675.6,551.5,4.748
677,552,4.747
678.4,552.5,4.746
679.8,553,4.745
681.2,553.5,4.744
682.6,554,4.744
684,554.5,4.743
685.4,555,4.742
686.8,555.5,4.741
688.2,556,4.740
689.6,556.5,4.739
691,557,4.738
692.4,557.5,4.737
693.8,558,4.736
695.2,558.5,4.734
696.6,559,4.733
698,559.5,4.732
699.4,560,4.731
700.8,560.5,4.729
702.2,561,4.728
703.6,561.5,4.727
705,562,4.726
706.4,562.5,4.725
707.8,563,4.723
709.2,563.5,4.722
710.6,564,4.720
712,564.5,4.719
713.4,565,4.717
714.8,565.5,4.716
716.2,566,4.714
717.6,566.5,4.712
719,567,4.710
720.4,567.5,4.709
721.8,568,4.707
723.2,568.5,4.706
724.6,569,4.704
726,569.5,4.702
727.4,570,4.701
728.8,570.5,4.699
730.2,571,4.697
731.6,571.5,4.696
733,572,4.694
734.4,572.5,4.692
735.8,573,4.689
737.2,573.5,4.687
738.6,574,4.685
740,574.5,4.683
741.4,575,4.680
742.8,575.5,4.678
744.2,576,4.676
745.6,576.5,4.673
747,577,4.671
748.4,577.5,4.669
749.8,578,4.666
751.2,578.5,4.664
752.6,579,4.661
754,579.5,4.659
755.4,580,4.656
756.8,580.5,4.654
758.2,581,4.651
759.6,581.5,4.648
761.1,582,4.646
762.5,582.5,4.643
763.9,583,4.640
765.3,583.5,4.637
766.7,584,4.635
768.1,584.5,4.632
769.5,585,4.629
770.9,585.5,4.626
772.3,586,4.623
773.7,586.5,4.620
775.1,587,4.617
776.5,587.5,4.615
777.9,588,4.612
779.3,588.5,4.608
780.7,589,4.605
782.1,589.5,4.602
783.5,590,4.598
785,590.5,4.594
786.4,591,4.591
787.8,591.5,4.587
789.2,592,4.583
790.6,592.5,4.579
792,593,4.575
793.4,593.5,4.571
794.8,594,4.567
796.2,594.5,4.563
797.6,595,4.559
799,595.5,4.556
800.4,596,4.552
801.8,596.5,4.548
803.2,597,4.544
804.6,597.5,4.540
806.1,598,4.535
807.5,598.5,4.530
808.9,599,4.526
810.3,599.5,4.521
811.7,600,4.515
813.1,600.5,4.510
814.5,601,4.505
815.9,601.5,4.499
817.3,602,4.493
818.8,602.5,4.487
820.2,603,4.481
821.6,603.5,4.475
823,604,4.469
824.4,604.5,4.462
825.8,605,4.455
827.2,605.5,4.448
828.6,606,4.440
830.1,606.5,4.433
831.5,607,4.425
832.9,607.5,4.417
834.3,608,4.408
835.7,608.5,4.400
837.1,609,4.391
838.6,609.5,4.382
840,610,4.372
841.4,610.5,4.363
842.8,611,4.353
844.2,611.5,4.343
845.6,612,4.333
847,612.5,4.322
848.5,613,4.311
849.9,613.5,4.300
851.3,614,4.288
852.7,614.5,4.276
854.1,615,4.263
855.6,615.5,4.250
857,616,4.237
858.4,616.5,4.223
859.8,617,4.209
861.2,617.5,4.195
862.7,618,4.181
864.1,618.5,4.166
865.5,619,4.150
866.9,619.5,4.134
868.4,620,4.117
869.8,620.5,4.100
871.2,621,4.083
872.6,621.5,4.065
874.1,622,4.047
875.5,622.5,4.027
876.9,623,4.008
878.3,623.5,3.987
879.8,624,3.966
881.2,624.5,3.945
882.6,625,3.923
884,625.5,3.901
885.5,626,3.878
886.9,626.5,3.854
888.4,627,3.830
889.8,627.5,3.805
891.3,628,3.780
892.7,628.5,3.754
894.1,629,3.728
895.6,629.5,3.701
897,630,3.674
898.4,630.5,3.646
899.9,631,3.618
901.3,631.5,3.589
902.7,632,3.560
904.1,632.5,3.529
905.6,633,3.498
907,633.5,3.467
908.5,634,3.434
909.9,634.5,3.402
911.4,635,3.368
912.8,635.5,3.334
914.3,636,3.299
915.7,636.5,3.264
917.1,637,3.228
918.6,637.5,3.192
920,638,3.155
921.5,638.5,3.117
922.9,639,3.079
924.4,639.5,3.041
925.8,640,3.002
927.2,640.5,2.963
928.7,641,2.924
930.1,641.5,2.883
931.6,642,2.843
933,642.5,2.802
934.5,643,2.760
935.9,643.5,2.719
937.4,644,2.676
938.8,644.5,2.634
940.2,645,2.592
941.7,645.5,2.549
943.1,646,2.507
944.5,646.5,2.463
946,647,2.421
947.4,647.5,2.378
948.9,648,2.335
950.3,648.5,2.292
951.7,649,2.248
953.2,649.5,2.205
954.6,650,2.162
956,650.5,2.118
957.5,651,2.075
958.9,651.5,2.031
