time (s),Mass (g),HRR (kW/m2)
0,154.469,-0.552
1,154.419,0.142
2,154.473,-0.501
3,154.563,-0.541
4,154.466,-0.315
5,154.500,-0.420
6,154.610,0.110
7,154.710,0.271
8,154.656,0.684
9,154.684,0.980
10,154.599,1.603
11,154.603,1.700
12,154.854,1.049
13,154.881,0.868
14,154.680,0.665
15,154.642,0.834
16,154.733,0.677
17,154.711,0.840
18,154.924,0.510
19,154.892,1.110
20,154.769,-0.732
21,154.855,-2.355
22,154.888,-0.951
23,154.724,-1.700
24,154.672,-0.543
25,154.708,-1.042
26,154.665,-1.347
27,154.740,-1.435
28,154.698,-1.247
29,154.820,-1.169
30,154.952,-0.334
31,155.008,-0.317
32,154.921,-0.065
33,154.712,-0.252
34,154.826,-0.350
35,154.911,0.914
36,154.780,1.104
37,154.714,-2.058
38,154.638,-0.005
39,154.930,-0.883
40,154.683,-0.005
41,154.672,-0.905
42,154.602,-1.900
43,154.768,-0.932
44,154.948,0.636
45,155.008,1.032
46,154.955,2.304
47,154.806,1.964
48,154.878,-2.640
49,154.796,-1.177
50,154.861,-2.248
51,154.820,-0.069
52,154.903,-0.874
53,154.680,-0.510
54,154.670,-0.235
55,154.789,-0.537
56,154.589,-2.182
57,154.871,-1.147
58,154.762,-1.789
59,154.678,-0.781
60,154.674,-0.789
61,154.828,0.441
62,154.718,1.256
63,154.902,-1.963
64,154.804,-0.719
65,154.802,-1.206
66,154.744,-1.363
67,154.893,1.614
68,154.869,-1.432
69,154.762,-0.809
70,154.827,-0.983
71,154.673,-1.048
72,154.795,-0.677
73,154.887,-0.976
74,154.706,-0.810
75,154.776,-0.670
76,154.732,-1.214
77,154.626,-1.028
78,154.630,0.449
79,154.801,-0.635
80,154.694,-1.078
81,154.766,-1.141
82,154.662,-0.621
83,154.871,-0.998
84,155.006,-0.874
85,154.772,-1.941
86,154.625,-1.417
87,154.617,-0.781
88,154.789,-2.065
89,154.798,-2.264
90,154.672,0.125
91,154.833,-1.592
92,154.736,-3.148
