Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,154.469,-0.552,297.55
1,154.419,0.142,297.41
2,154.473,-0.501,297.38
3,154.563,-0.541,297.42
4,154.466,-0.315,297.49
5,154.5,-0.42,297.49
6,154.61,0.11,297.48
7,154.71,0.271,297.42
8,154.656,0.684,297.41
9,154.684,0.98,297.41
10,154.599,1.603,297.51
11,154.603,1.7,297.49
12,154.854,1.049,297.46
13,154.881,0.868,297.51
14,154.68,0.665,297.55
15,154.642,0.834,297.57
16,154.733,0.677,297.67
17,154.711,0.84,297.78
18,154.924,0.51,297.84
19,154.892,1.11,298.04
20,154.769,-0.732,298.2
21,154.855,-2.355,298.35
22,154.888,-0.951,298.49
23,154.724,-1.7,298.78
24,154.672,-0.543,299
25,154.708,-1.042,299.25
26,154.665,-1.347,299.52
27,154.74,-1.435,299.8
28,154.698,-1.247,300.24
29,154.82,-1.169,300.51
30,154.952,-0.334,300.94
31,155.008,-0.317,301.37
32,154.921,-0.065,301.8
33,154.712,-0.252,302.26
34,154.826,-0.35,302.73
35,154.911,0.914,303.25
36,154.78,1.104,303.83
37,154.714,-2.058,304.37
38,154.638,-0.005,304.97
39,154.93,-0.883,305.53
40,154.683,-0.005,305.94
41,154.672,-0.905,306.55
42,154.602,-1.9,307.17
43,154.768,-0.932,307.85
44,154.948,0.636,308.5
45,155.008,1.032,309.13
46,154.955,2.304,309.78
47,154.806,1.964,310.49
48,154.878,-2.64,311.25
49,154.796,-1.177,311.94
50,154.861,-2.248,312.6
51,154.82,-0.069,313.33
52,154.903,-0.874,314.12
53,154.68,-0.51,314.85
54,154.67,-0.235,315.46
55,154.789,-0.537,316.02
56,154.589,-2.182,316.78
57,154.871,-1.147,317.52
58,154.762,-1.789,318.25
59,154.678,-0.781,319.08
60,154.674,-0.789,319.98
61,154.828,0.441,320.75
62,154.718,1.256,321.59
63,154.902,-1.963,322.35
64,154.804,-0.719,323.15
65,154.802,-1.206,324.05
66,154.744,-1.363,324.95
67,154.893,1.614,325.78
68,154.869,-1.432,326.61
69,154.762,-0.809,327.4
70,154.827,-0.983,328.24
71,154.673,-1.048,329.05
