time (s),Temperature (K),Heat Flow Rate (mW/mg)
0,325,0.092
5.5,325.5,0.107
10.6,326,0.118
15.4,326.5,0.130
20,327,0.137
24.3,327.5,0.146
28.5,328,0.155
32.5,328.5,0.163
36.4,329,0.170
40.3,329.5,0.176
44,330,0.181
47.7,330.5,0.187
51.3,331,0.191
54.9,331.5,0.195
58.4,332,0.200
61.9,332.5,0.203
65.4,333,0.206
68.8,333.5,0.209
72.2,334,0.212
75.6,334.5,0.214
78.9,335,0.217
82.3,335.5,0.219
85.7,336,0.222
89,336.5,0.224
92.4,337,0.226
95.6,337.5,0.227
98.9,338,0.229
102.3,338.5,0.231
105.5,339,0.233
108.8,339.5,0.234
112,340,0.235
115.3,340.5,0.237
118.5,341,0.238
121.8,341.5,0.239
125,342,0.241
128.2,342.5,0.242
131.4,343,0.244
134.6,343.5,0.245
137.8,344,0.247
141,344.5,0.248
144.2,345,0.250
147.4,345.5,0.251
150.5,346,0.253
153.7,346.5,0.254
156.9,347,0.256
160,347.5,0.257
163.2,348,0.259
166.4,348.5,0.260
169.5,349,0.261
172.6,349.5,0.262
175.7,350,0.264
178.8,350.5,0.265
182,351,0.266
185.1,351.5,0.267
188.1,352,0.267
191.3,352.5,0.268
194.4,353,0.268
197.5,353.5,0.269
200.6,354,0.269
203.7,354.5,0.269
206.7,355,0.269
209.8,355.5,0.269
212.9,356,0.268
215.9,356.5,0.268
219,357,0.268
222.1,357.5,0.268
225.1,358,0.268
228.2,358.5,0.268
231.2,359,0.268
234.3,359.5,0.268
237.3,360,0.267
240.3,360.5,0.267
243.4,361,0.268
246.4,361.5,0.268
249.4,362,0.268
252.4,362.5,0.269
255.4,363,0.269
258.4,363.5,0.270
261.4,364,0.270
264.4,364.5,0.271
267.4,365,0.272
270.4,365.5,0.274
273.4,366,0.274
276.4,366.5,0.275
279.4,367,0.276
282.3,367.5,0.277
285.3,368,0.278
288.3,368.5,0.278
291.3,369,0.279
294.3,369.5,0.280
297.3,370,0.280
300.3,370.5,0.281
303.2,371,0.282
306.2,371.5,0.283
309.1,372,0.284
312.1,372.5,0.285
315.1,373,0.286
318,373.5,0.287
321,374,0.288
324,374.5,0.289
326.9,375,0.289
329.9,375.5,0.290
332.8,376,0.292
335.8,376.5,0.293
338.7,377,0.294
341.6,377.5,0.295
344.6,378,0.296
347.5,378.5,0.297
350.5,379,0.298
353.4,379.5,0.300
356.3,380,0.301
359.3,380.5,0.303
362.2,381,0.304
365.1,381.5,0.306
368.1,382,0.307
371,382.5,0.308
374,383,0.310
376.9,383.5,0.311
379.8,384,0.312
382.7,384.5,0.314
385.7,385,0.315
388.6,385.5,0.316
391.5,386,0.317
394.5,386.5,0.319
397.4,387,0.320
400.3,387.5,0.321
403.3,388,0.323
406.2,388.5,0.325
409.1,389,0.326
412,389.5,0.328
415,390,0.330
417.9,390.5,0.332
420.9,391,0.334
423.8,391.5,0.337
426.7,392,0.339
429.6,392.5,0.341
432.6,393,0.343
435.5,393.5,0.346
438.4,394,0.348
441.4,394.5,0.351
444.3,395,0.353
447.2,395.5,0.355
