time (s),Mass (g),T_back (K)
0,69.100,297.55
1,69.248,297.41
2,69.105,297.38
3,69.082,297.42
4,69.128,297.49
5,69.136,297.49
6,69.188,297.48
7,69.044,297.42
8,69.173,297.41
9,69.294,297.41
10,69.200,297.51
11,69.231,297.49
12,69.196,297.46
13,69.054,297.51
14,69.175,297.55
15,69.151,297.57
16,69.123,297.67
17,69.198,297.78
18,69.192,297.84
19,68.934,298.04
20,69.116,298.20
21,69.239,298.35
22,69.045,298.49
23,69.132,298.78
24,69.218,299.00
25,69.172,299.25
26,69.159,299.52
27,68.992,299.80
28,69.064,300.24
29,69.143,300.51
30,68.955,300.94
31,69.126,301.37
32,69.087,301.80
33,69.061,302.26
34,69.167,302.73
35,69.018,303.25
36,69.132,303.83
37,69.140,304.37
38,68.989,304.97
39,69.117,305.53
40,69.150,305.94
41,69.165,306.55
42,69.001,307.17
43,69.046,307.85
44,69.056,308.50
45,68.951,309.13
46,69.075,309.78
47,68.963,310.49
48,68.965,311.25
49,69.068,311.94
50,69.018,312.60
51,69.168,313.33
52,69.008,314.12
53,69.011,314.85
54,69.021,315.46
55,69.005,316.02
56,69.027,316.78
57,68.966,317.52
58,69.071,318.25
59,68.961,319.08
60,68.876,319.98
61,69.077,320.75
62,68.870,321.59
63,69.032,322.35
64,69.135,323.15
65,68.767,324.05
66,68.915,324.95
67,68.965,325.78
68,68.776,326.61
69,68.955,327.40
70,68.922,328.24
71,68.809,329.05
72,68.864,329.88
73,68.899,330.76
74,69.031,331.56
75,68.961,332.39
76,68.901,333.30
77,68.994,334.15
78,68.990,335.00
79,68.979,335.65
80,68.866,336.54
81,68.853,337.42
82,69.074,338.30
83,68.819,339.12
84,68.833,339.96
85,69.062,340.74
86,68.924,341.56
87,68.953,342.42
88,69.048,343.33
89,68.938,344.18
90,68.874,344.99
91,68.784,345.84
92,68.819,346.69
93,68.831,347.45
94,68.989,348.29
95,69.051,349.21
96,68.868,350.02
97,68.810,350.83
98,68.925,351.64
99,68.798,352.44
100,68.870,353.26
101,69.016,354.11
102,68.782,354.99
103,68.853,355.70
104,68.859,356.38
105,68.739,357.27
106,68.918,358.08
107,69.054,358.90
108,68.881,359.75
109,68.883,360.56
110,68.812,361.37
111,68.879,362.13
112,68.765,362.96
113,68.925,363.75
114,68.808,364.53
115,68.714,365.30
116,68.847,366.11
117,68.833,366.87
118,68.967,367.61
119,68.798,368.39
120,68.744,369.11
121,68.800,369.85
122,68.760,370.65
123,68.676,371.42
124,68.663,372.09
125,68.735,372.84
126,68.594,373.56
127,68.650,374.27
128,68.719,374.96
129,68.644,375.61
130,68.682,376.33
131,68.616,376.98
132,68.592,377.68
133,68.678,378.31
134,68.546,378.96
135,68.656,379.54
136,68.532,380.08
137,68.609,380.46
138,68.441,381.23
139,68.492,381.80
140,68.543,382.38
141,68.501,382.89
142,68.536,383.45
143,68.365,383.97
144,68.511,384.51
145,68.342,385.06
146,68.452,385.55
147,68.436,386.08
148,68.282,386.69
149,68.463,387.28
150,68.406,387.85
151,68.198,388.47
152,68.155,389.03
153,68.274,389.63
154,68.243,390.16
155,68.187,390.74
156,68.222,391.26
157,68.325,391.86
158,68.065,392.45
159,68.103,393.04
160,68.121,393.67
161,68.130,394.26
162,68.237,394.84
163,67.997,395.44
164,68.068,395.98
165,68.233,396.60
166,68.066,397.23
167,67.952,397.85
168,67.943,398.47
169,67.870,399.07
170,67.780,399.68
171,67.918,400.22
172,67.881,400.76
173,67.724,401.33
174,67.811,401.81
175,67.818,402.38
176,67.665,402.89
177,67.650,403.39
178,67.726,403.96
179,67.626,404.46
180,67.603,404.95
181,67.598,405.43
182,67.445,406.01
183,67.601,406.50
184,67.441,406.91
185,67.253,407.41
186,67.411,407.99
187,67.363,408.46
188,67.325,408.99
189,67.240,409.50
190,67.303,410.03
191,67.293,410.55
192,67.206,411.07
193,67.228,411.61
194,67.134,412.15
195,67.102,412.67
196,67.156,413.14
197,67.057,413.64
198,66.865,414.15
199,67.065,414.69
200,66.872,415.16
201,66.869,415.69
202,66.760,416.14
203,66.840,416.65
204,66.775,417.15
205,66.718,417.65
206,66.753,418.16
207,66.571,418.66
208,66.644,419.13
209,66.692,419.46
210,66.439,420.00
211,66.545,420.50
212,66.475,421.02
213,66.253,421.49
214,66.520,421.98
215,66.446,422.47
216,66.278,422.89
217,66.299,423.34
218,66.122,423.77
219,66.007,424.25
220,65.978,424.70
221,66.124,425.15
222,65.988,425.57
223,65.928,426.08
224,65.976,426.48
225,65.882,426.92
226,65.842,427.35
227,65.789,427.78
228,65.760,428.22
229,65.625,428.64
230,65.659,429.03
231,65.547,429.50
232,65.685,429.94
233,65.411,430.39
234,65.365,430.76
235,65.322,431.22
236,65.305,431.64
237,65.227,432.03
238,65.262,432.49
239,65.137,432.90
240,65.103,433.34
241,64.953,433.73
242,65.043,434.12
243,65.035,434.55
244,64.909,434.97
245,64.847,435.33
246,64.714,435.72
247,64.820,436.14
248,64.664,436.54
249,64.733,436.90
250,64.450,437.22
251,64.525,437.58
252,64.314,437.97
253,64.420,438.35
254,64.383,438.73
255,64.475,439.07
256,64.313,439.43
257,64.227,439.72
258,64.147,440.16
259,64.027,440.51
260,64.112,440.82
261,63.813,441.12
262,63.946,441.35
263,63.861,441.66
264,63.826,442.04
265,63.600,442.33
