time (s),Mass (g),T_back K(),T_front (K)
1,170.134,297.55,299.76
2,169.966,297.41,318.95
3,169.886,297.38,334.38
4,169.887,297.42,346.60
5,169.998,297.49,356.52
6,170.274,297.49,365.29
7,170.404,297.48,373.25
8,170.344,297.42,380.49
9,170.308,297.41,387.32
10,170.296,297.41,393.73
11,170.295,297.51,399.72
12,170.317,297.49,405.17
13,170.343,297.46,409.87
14,170.389,297.51,414.67
15,170.395,297.55,419.23
16,170.403,297.57,423.65
17,170.427,297.67,428.22
18,170.449,297.78,432.04
19,170.416,297.84,435.68
20,170.398,298.04,439.87
21,170.390,298.20,444.16
22,170.389,298.35,448.22
23,170.400,298.49,452.00
24,170.367,298.78,455.20
25,170.387,299.00,458.50
26,170.351,299.25,462.20
27,170.356,299.52,465.43
28,170.357,299.80,468.29
29,170.356,300.24,471.30
30,170.322,300.51,474.45
31,170.286,300.94,477.70
32,170.318,301.37,480.63
33,170.318,301.80,483.37
34,170.285,302.26,485.64
35,170.289,302.73,488.32
36,170.266,303.25,490.84
37,170.273,303.83,493.41
38,170.250,304.37,496.00
39,170.249,304.97,498.67
40,170.235,305.53,500.98
41,170.209,305.94,503.07
42,170.229,306.55,505.32
43,170.222,307.17,507.92
44,170.209,307.85,510.35
45,170.208,308.50,512.44
46,170.186,309.13,514.77
47,170.200,309.78,516.95
48,170.169,310.49,518.87
49,170.173,311.25,520.86
50,170.180,311.94,522.83
51,170.157,312.60,524.95
52,170.173,313.33,526.88
53,170.193,314.12,528.66
54,170.147,314.85,530.11
55,170.155,315.46,531.76
56,170.157,316.02,534.19
57,170.148,316.78,536.36
58,170.126,317.52,538.54
59,170.142,318.25,540.15
60,170.118,319.08,541.75
61,170.121,319.98,542.92
62,170.111,320.75,545.21
63,170.105,321.59,547.29
64,170.110,322.35,548.92
65,170.116,323.15,550.69
66,170.140,324.05,552.07
67,170.114,324.95,553.46
68,170.091,325.78,555.23
69,170.094,326.61,556.55
70,170.102,327.40,557.97
71,170.093,328.24,559.76
72,170.122,329.05,561.57
73,170.101,329.88,563.04
74,170.098,330.76,564.45
75,170.104,331.56,566.21
76,170.104,332.39,567.37
77,170.093,333.30,568.71
78,170.083,334.15,570.35
79,170.087,335.00,572.01
80,170.094,335.65,573.54
81,170.065,336.54,575.28
82,170.071,337.42,577.04
83,170.045,338.30,578.70
84,170.074,339.12,580.31
85,170.082,339.96,581.85
86,170.104,340.74,582.94
87,170.056,341.56,583.93
88,170.073,342.42,585.55
89,170.065,343.33,587.54
90,170.048,344.18,588.72
91,170.042,344.99,589.68
92,170.047,345.84,590.39
93,170.038,346.69,592.19
94,170.018,347.45,593.50
95,170.031,348.29,594.90
96,170.045,349.21,596.21
97,169.989,350.02,597.18
98,169.998,350.83,598.48
99,169.999,351.64,599.88
100,169.990,352.44,600.24
101,169.984,353.26,601.32
102,169.990,354.11,603.13
103,170.006,354.99,604.23
104,169.956,355.70,605.33
105,169.956,356.38,605.84
106,169.955,357.27,607.31
107,169.933,358.08,608.64
108,169.933,358.90,609.45
109,169.927,359.75,610.17
110,169.904,360.56,611.22
111,169.913,361.37,612.72
112,169.907,362.13,613.41
113,169.877,362.96,614.89
114,169.881,363.75,616.98
115,169.891,364.53,618.18
116,169.882,365.30,619.19
117,169.875,366.11,620.41
118,169.849,366.87,622.04
119,169.828,367.61,623.12
120,169.838,368.39,624.28
121,169.831,369.11,625.26
122,169.831,369.85,626.68
123,169.816,370.65,627.77
124,169.783,371.42,628.92
