Time (s),Mass (g)
1,170.134
2,169.966
3,169.886
4,169.887
5,169.998
6,170.274
7,170.404
8,170.344
9,170.308
10,170.296
11,170.295
12,170.317
13,170.343
14,170.389
15,170.395
16,170.403
17,170.427
18,170.449
19,170.416
20,170.398
21,170.39
22,170.389
23,170.4
24,170.367
25,170.387
26,170.351
27,170.356
28,170.357
29,170.356
30,170.322
31,170.286
32,170.318
33,170.318
34,170.285
35,170.289
36,170.266
37,170.273
38,170.25
39,170.249
40,170.235
41,170.209
42,170.229
43,170.222
44,170.209
45,170.208
46,170.186
47,170.2
48,170.169
49,170.173
50,170.18
51,170.157
52,170.173
53,170.193
54,170.147
55,170.155
56,170.157
57,170.148
58,170.126
59,170.142
60,170.118
61,170.121
62,170.111
63,170.105
64,170.11
65,170.116
66,170.14
67,170.114
68,170.091
69,170.094
70,170.102
71,170.093
72,170.122
73,170.101
74,170.098
75,170.104
76,170.104
77,170.093
78,170.083
79,170.087
80,170.094
81,170.065
82,170.071
83,170.045
84,170.074
85,170.082
86,170.104
87,170.056
88,170.073
89,170.065
90,170.048
91,170.042
92,170.047
93,170.038
94,170.018
95,170.031
96,170.045
97,169.989
98,169.998
99,169.999
100,169.99
101,169.984
102,169.99
103,170.006
104,169.956
105,169.956
106,169.955
107,169.933
108,169.933
109,169.927
110,169.904
111,169.913
112,169.907
113,169.877
114,169.881
115,169.891
116,169.882
117,169.875
118,169.849
119,169.828
120,169.838
121,169.831
122,169.831
123,169.816
124,169.783
125,169.828
126,169.772
127,169.779
128,169.756
129,169.748
130,169.729
131,169.733
132,169.692
133,169.69
134,169.679
135,169.708
136,169.674
137,169.686
138,169.678
139,169.73
140,169.691
141,169.695
142,169.66
143,169.624
144,169.643
145,169.636
146,169.651
147,169.636
148,169.634
149,169.598
150,169.575
151,169.566
152,169.567
153,169.541
154,169.521
155,169.526
156,169.518
157,169.469
158,169.493
159,169.467
160,169.419
161,169.413
162,169.371
163,169.361
164,169.309
165,169.305
166,169.263
167,169.246
168,169.22
169,169.198
170,169.152
171,169.125
172,169.081
173,169.054
174,169.014
175,168.991
176,168.96
177,168.914
178,168.89
179,168.878
180,168.837
181,168.805
182,168.76
183,168.734
184,168.682
185,168.628
186,168.616
187,168.562
188,168.556
189,168.515
190,168.459
191,168.406
192,168.377
193,168.348
194,168.288
195,168.248
196,168.21
197,168.165
198,168.117
199,168.089
200,168.059
201,167.994
202,167.946
203,167.886
204,167.861
205,167.797
206,167.753
207,167.699
208,167.67
209,167.611
210,167.576
211,167.516
212,167.481
213,167.417
214,167.386
215,167.327
216,167.279
217,167.238
218,167.194
219,167.141
220,167.106
221,167.034
222,167.011
223,166.953
224,166.889
225,166.842
226,166.801
227,166.762
228,166.681
229,166.692
230,166.625
231,166.587
232,166.506
233,166.469
234,166.39
235,166.339
236,166.284
237,166.223
238,166.181
239,166.148
240,166.103
241,166.048
242,166.009
243,165.962
244,165.905
245,165.85
246,165.805
247,165.739
248,165.695
249,165.62
250,165.58
251,165.525
252,165.415
253,165.405
254,165.372
255,165.327
256,165.295
257,165.244
258,165.172
259,165.134
260,165.083
261,165.07
262,165.026
263,164.997
264,164.914
265,164.868
266,164.79
267,164.737
268,164.682
269,164.635
270,164.565
271,164.493
272,164.468
273,164.399
274,164.375
275,164.295
276,164.241
277,164.158
278,164.145
279,164.062
280,163.99
281,163.932
282,163.856
283,163.816
284,163.734
285,163.663
286,163.607
287,163.533
288,163.494
289,163.421
290,163.35
291,163.31
292,163.252
293,163.152
294,163.083
295,163.024
296,162.944
297,162.852
298,162.794
299,162.722
300,162.636
301,162.636
302,162.567
303,162.512
304,162.431
305,162.372
306,162.337
307,162.299
308,162.246
309,162.163
310,162.066
311,162.026
312,161.932
313,161.896
314,161.808
315,161.742
316,161.686
317,161.615
318,161.513
319,161.465
320,161.402
321,161.331
322,161.257
323,161.178
324,161.115
325,161.037
326,160.966
327,160.907
328,160.832
329,160.762
330,160.695
331,160.618
332,160.555
333,160.489
334,160.409
335,160.311
336,160.234
337,160.153
338,160.098
339,159.974
340,159.9
341,159.833
342,159.756
343,159.682
344,159.609
345,159.527
346,159.434
347,159.346
348,159.279
349,159.207
350,159.142
351,159.055
352,158.977
353,158.894
354,158.843
355,158.728
356,158.661
357,158.592
358,158.524
359,158.429
360,158.35
361,158.277
362,158.176
363,158.109
364,158.04
365,157.921
366,157.861
367,157.755
368,157.681
369,157.617
370,157.538
371,157.46
372,157.377
373,157.32
374,157.212
375,157.119
376,157.065
377,156.993
378,156.901
379,156.843
380,156.769
381,156.693
382,156.628
383,156.541
384,156.466
385,156.41
386,156.312
387,156.213
388,156.133
389,156.027
390,155.955
391,155.872
392,155.792
393,155.71
394,155.618
395,155.56
396,155.46
397,155.36
398,155.299
399,155.171
400,155.12
401,155.015
402,154.955
403,154.837
404,154.747
405,154.677
406,154.596
407,154.492
408,154.446
409,154.313
410,154.261
411,154.178
412,154.097
413,153.991
414,153.899
415,153.822
416,153.725
417,153.647
418,153.572
419,153.469
420,153.414
421,153.28
422,153.229
423,153.138
424,153.075
425,152.98
426,152.931
427,152.847
428,152.745
429,152.656
430,152.564
431,152.48
432,152.374
433,152.32
434,152.216
435,152.133
436,152.042
437,151.954
438,151.876
439,151.788
440,151.689
441,151.58
442,151.465
443,151.395
444,151.27
445,151.197
446,151.088
447,150.989
448,150.902
449,150.826
450,150.717
451,150.602
452,150.516
453,150.457
454,150.34
455,150.234
456,150.154
457,150.05
458,149.952
459,149.846
460,149.754
461,149.68
462,149.574
463,149.503
464,149.349
465,149.27
466,149.208
467,149.08
468,149
469,148.902
470,148.816
471,148.709
472,148.593
473,148.505
474,148.406
475,148.336
476,148.227
477,148.127
478,148.05
479,147.973
480,147.814
481,147.742
482,147.657
483,147.555
484,147.434
485,147.318
486,147.197
487,147.178
488,147.075
489,146.937
490,146.805
491,146.753
492,146.644
493,146.516
494,146.431
495,146.348
496,146.197
497,146.053
498,146.017
499,145.934
500,145.784
501,145.66
502,145.568
503,145.45
504,145.366
505,145.294
506,145.197
507,145.049
508,144.919
509,144.868
510,144.797
511,144.635
512,144.551
513,144.439
514,144.302
515,144.196
516,144.158
517,144.028
518,143.879
519,143.749
520,143.671
521,143.564
522,143.443
523,143.351
524,143.255
525,143.096
526,142.982
527,142.923
528,142.825
529,142.685
530,142.545
531,142.426
532,142.307
533,142.204
534,142.142
535,142.028
536,141.878
537,141.723
538,141.637
539,141.553
540,141.43
541,141.28
542,141.206
543,141.028
544,140.915
545,140.871
546,140.735
547,140.585
548,140.454
549,140.385
550,140.302
551,140.134
552,140.042
553,139.941
554,139.76
555,139.633
556,139.583
557,139.44
558,139.314
559,139.149
560,139.061
561,138.923
562,138.785
563,138.738
564,138.617
565,138.422
566,138.317
567,138.227
568,138.141
569,137.991
570,137.895
571,137.766
572,137.594
573,137.48
574,137.418
575,137.293
576,137.138
577,136.999
578,136.898
579,136.824
580,136.661
581,136.56
582,136.431
583,136.253
