Time (s),Mass (g),T Top (K),T Back (K)
0,21.45,302.0549,293
1.3333,21.449969,534.8454,293
2.6667,21.449272,609.1091,293
4,21.445698,656.9173,293.0003
5.3333,21.434467,692.2579,293.007
6.6667,21.404164,720.0223,293.0521
8,21.335077,740.7065,293.2039
9.3333,21.21801,754.6646,293.5514
10.6667,21.069305,765.633,294.1789
12,20.908038,775.6328,295.1496
13.3333,20.743321,784.8702,296.5012
14.6667,20.578226,793.3208,298.2474
16,20.413931,801.0271,300.3836
17.3333,20.251063,808.0706,302.8922
18.6667,20.089944,814.52,305.7483
20,19.930687,820.4389,308.9236
21.3333,19.77335,825.8946,312.3904
22.6667,19.617878,830.9294,316.1246
24,19.464227,835.5952,320.1216
25.3333,19.312325,839.9313,324.3929
26.6667,19.162072,843.9701,328.9049
28,19.013394,847.7449,333.6292
29.3333,18.866201,851.2831,338.5409
30.6667,18.720397,854.6059,343.6175
32,18.575886,857.7342,348.8386
33.3333,18.432594,860.6886,354.1854
34.6667,18.290424,863.4838,359.6407
36,18.149278,866.1328,365.1886
37.3333,18.009076,868.6493,370.8144
38.6667,17.869734,871.045,376.5044
40,17.731161,873.3297,382.2457
41.3333,17.593273,875.5122,388.0259
42.6667,17.455983,877.6,393.8332
44,17.319207,879.6005,399.6558
45.3333,17.182865,881.5203,405.4818
46.6667,17.046886,883.3661,411.2981
48,16.911179,885.1422,417.0899
49.3333,16.775669,886.8532,422.8362
50.6667,16.64028,888.5037,428.4734
52,16.504942,890.0976,433.9511
53.3333,16.369579,891.6383,439.3069
54.6667,16.234124,893.1292,444.5606
56,16.09851,894.5734,449.7252
57.3333,15.962668,895.9732,454.8102
58.6667,15.826537,897.3311,459.8234
60,15.690056,898.649,464.7708
61.3333,15.553169,899.9292,469.6579
62.6667,15.415824,901.1736,474.489
64,15.277968,902.3838,479.2681
65.3333,15.13955,903.5614,483.9988
66.6667,15.000516,904.7077,488.6841
68,14.860817,905.8242,493.327
69.3333,14.7204,906.912,497.93
70.6667,14.57921,907.972,502.4955
72,14.437196,909.0053,507.0258
73.3333,14.294304,910.0131,511.523
74.6667,14.150481,910.9964,515.9891
76,14.005667,911.9556,520.426
77.3333,13.8598,912.8916,524.8353
78.6667,13.712826,913.8053,529.2189
80,13.564677,914.697,533.5784
81.3333,13.415291,915.5673,537.9153
82.6667,13.264606,916.417,542.2311
84,13.112555,917.2466,546.5272
85.3333,12.959066,918.0562,550.805
86.6667,12.804067,918.8462,555.0657
88,12.647487,919.617,559.3105
89.3333,12.489248,920.3687,563.5404
90.6667,12.329272,921.1015,567.7564
92,12.167481,921.8157,571.9592
93.3333,12.003781,922.5109,576.1494
94.6667,11.838084,923.1872,580.3276
96,11.670295,923.8443,584.4939
97.3333,11.500314,924.4822,588.6483
98.6667,11.328036,925.1006,592.7906
100,11.153347,925.6991,596.9201
101.3333,10.97613,926.2777,601.036
102.6667,10.796271,926.8363,605.137
104,10.613653,927.3752,609.2214
105.3333,10.428161,927.895,613.2874
106.6667,10.23969,928.3966,617.3322
108,10.048159,928.8822,621.353
109.3333,9.853514,929.3541,625.3461
110.6667,9.655736,929.8167,629.3072
112,9.454863,930.2747,633.2313
113.3333,9.251006,930.7351,637.1122
114.6667,9.044346,931.2058,640.9431
116,8.835161,931.6957,644.7165
117.3333,8.62384,932.2157,648.4243
118.6667,8.410863,932.7756,652.0596
120,8.196823,933.3868,655.6184
121.3333,7.982399,934.059,659.1024
122.6667,7.768331,934.8,662.5228
124,7.555399,935.6157,665.9041
125.3333,7.34438,936.5088,669.2877
126.6667,7.136004,937.4792,672.7336
128,6.930933,938.5251,676.3211
129.3333,6.729744,939.6431,680.1481
130.6667,6.532954,940.8323,684.3313
132,6.341101,942.0956,689.0105
133.3333,6.154878,943.4448,694.3628
