Time (s),Mass (g),T Top (K),T Back (K)
0,64.35,297.7582,293
8.3333,64.349997,400.0895,293
16.6667,64.34996,436.4962,293
25,64.349786,460.5283,293
33.3333,64.349311,478.1673,293.0001
41.6667,64.348322,491.9196,293.0009
50,64.346591,503.065,293.0058
58.3333,64.343886,512.3473,293.0228
66.6667,64.339992,520.2382,293.0653
75,64.334716,527.0549,293.1499
83.3333,64.327901,533.021,293.2943
91.6667,64.31942,538.2992,293.5151
100,64.309182,543.0114,293.826
108.3333,64.297124,547.2511,294.2379
116.6667,64.283213,551.0912,294.7578
125,64.267436,554.5898,295.3899
133.3333,64.249792,557.7936,296.1354
141.6667,64.230294,560.7406,296.9933
150,64.208955,563.4622,297.9608
158.3333,64.185792,565.9848,299.0338
166.6667,64.160823,568.3303,300.2072
175,64.134069,570.5176,301.4754
183.3333,64.105553,572.5628,302.8322
191.6667,64.075302,574.4798,304.2714
200,64.043348,576.2807,305.7868
208.3333,64.009728,577.9761,307.3723
216.6667,63.974481,579.5755,309.0222
225,63.937655,581.087,310.7308
233.3333,63.899299,582.5181,312.4932
241.6667,63.859467,583.8753,314.3048
250,63.818215,585.1644,316.1619
258.3333,63.775603,586.3912,318.0623
266.6667,63.73169,587.5601,320.0109
275,63.686536,588.6752,322.0054
283.3333,63.640204,589.7403,324.0392
291.6667,63.592754,590.7589,326.1076
300,63.544246,591.734,328.206
308.3333,63.494739,592.6684,330.3307
316.6667,63.444292,593.5648,332.4779
325,63.392958,594.4255,334.6445
333.3333,63.34079,595.2528,336.8273
341.6667,63.287838,596.0485,339.0235
350,63.23415,596.8146,341.2306
358.3333,63.179774,597.5527,343.446
366.6667,63.124744,598.2644,345.6677
375,63.069101,598.9513,347.8935
383.3333,63.012874,599.6147,350.1216
391.6667,62.956093,600.2558,352.3501
400,62.898783,600.8758,354.5776
408.3333,62.840964,601.4759,356.8025
416.6667,62.782656,602.0572,359.0234
425,62.723872,602.6206,361.2392
433.3333,62.664626,603.1669,363.4486
441.6667,62.604922,603.6972,365.6505
450,62.544772,604.2122,367.8441
458.3333,62.484174,604.7126,370.0284
466.6667,62.423132,605.1992,372.2025
475,62.361644,605.6727,374.3658
483.3333,62.299705,606.1337,376.5176
491.6667,62.237314,606.5828,378.6571
500,62.174459,607.0205,380.7838
508.3333,62.111137,607.4474,382.8973
516.6667,62.047335,607.864,384.9969
525,61.983043,608.2708,387.0823
533.3333,61.918251,608.6681,389.1531
541.6667,61.852943,609.0564,391.2088
550,61.787112,609.4362,393.2492
558.3333,61.720738,609.8076,395.2738
566.6667,61.653811,610.1712,397.2825
575,61.586315,610.5271,399.275
583.3333,61.518232,610.8758,401.2509
591.6667,61.449553,611.2175,403.21
600,61.380257,611.5525,405.1522
608.3333,61.310331,611.881,407.0772
616.6667,61.239759,612.2033,408.9846
625,61.168524,612.5196,410.8745
633.3333,61.096615,612.8301,412.7463
641.6667,61.024018,613.135,414.6
650,60.950714,613.4345,416.4351
658.3333,60.876684,613.7288,418.2513
666.6667,60.801915,614.0181,420.0482
675,60.7264,614.3025,421.825
683.3333,60.650113,614.5822,423.5808
