Time (s),Mass (g),T Top (K),T Back (K)
0,21.45,297.767,293
2,21.449997,454.0925,293
4,21.449927,508.8077,293.0002
6,21.449553,544.7851,293.0122
8,21.448446,571.5218,293.1198
10,21.446035,592.6528,293.4965
12,21.44166,610.0076,294.3204
14,21.434564,624.6493,295.7079
16,21.423823,637.2516,297.7039
18,21.408258,648.2636,300.2983
20,21.386406,657.9864,303.4481
22,21.356653,666.6153,307.0937
24,21.317526,674.244,311.1717
26,21.268024,680.9032,315.6241
28,21.207851,686.6116,320.4219
30,21.137449,691.4311,325.5642
32,21.057851,695.4886,330.986
34,20.97042,698.9521,336.632
36,20.876608,701.9888,342.4543
38,20.777774,704.7362,348.4115
40,20.675102,707.2936,354.4672
42,20.569589,709.7274,360.5895
44,20.461984,712.0759,366.751
46,20.352853,714.3596,372.9278
48,20.242604,716.5878,379.0995
50,20.131514,718.7632,385.2482
52,20.01976,720.8854,391.3589
54,19.907445,722.9532,397.418
56,19.794626,724.9675,403.4135
58,19.681315,726.9257,409.3339
60,19.567495,728.827,415.1671
62,19.453135,730.6747,420.898
64,19.338197,732.4699,426.4922
66,19.222638,734.2143,431.8728
68,19.106416,735.91,437.0736
70,18.989485,737.559,442.1222
72,18.871798,739.1631,447.0362
74,18.75331,740.7239,451.829
76,18.633974,742.2427,456.511
78,18.513751,743.7218,461.091
80,18.392597,745.1625,465.5764
82,18.270471,746.5657,469.9735
84,18.147335,747.9328,474.2879
86,18.023152,749.265,478.5247
88,17.897884,750.5636,482.6883
90,17.771495,751.8297,486.7826
92,17.643951,753.0645,490.8114
94,17.515216,754.269,494.778
96,17.385253,755.4445,498.6854
98,17.254028,756.5919,502.5366
100,17.121504,757.7121,506.3341
102,16.987646,758.8063,510.0803
104,16.852419,759.8752,513.7777
106,16.715788,760.92,517.4283
108,16.577718,761.9413,521.0342
110,16.438172,762.9399,524.5972
112,16.297116,763.9165,528.1192
114,16.154517,764.872,531.6017
116,16.010339,765.8068,535.0464
118,15.86455,766.7218,538.4547
120,15.717118,767.6175,541.8281
122,15.568009,768.4945,545.1676
124,15.417191,769.3534,548.4746
126,15.264634,770.1945,551.7501
128,15.110306,771.0186,554.9949
130,14.954175,771.8258,558.21
132,14.79621,772.6167,561.3961
134,14.636379,773.3916,564.5537
136,14.47465,774.151,567.6834
138,14.310991,774.8951,570.7855
140,14.145366,775.6242,573.8602
142,13.977743,776.3387,576.9076
144,13.808085,777.0389,579.9276
146,13.636357,777.7251,582.9202
148,13.462526,778.3978,585.8849
150,13.286557,779.0574,588.8215
152,13.108422,779.7045,591.7293
154,12.928095,780.3397,594.6078
156,12.745558,780.9638,597.4563
158,12.560804,781.5779,600.274
160,12.373839,782.183,603.06
162,12.184686,782.7808,605.8133
164,11.993385,783.3726,608.5331
166,11.800004,783.9604,611.218
168,11.604633,784.5462,613.8671
170,11.407399,785.1321,616.4789
172,11.208456,785.7206,619.0522
174,11.007999,786.3142,621.5855
176,10.806247,786.9154,624.0772
178,10.603457,787.5265,626.5258
180,10.399911,788.1498,628.9299
182,10.195922,788.7871,631.2882
184,9.991812,789.4402,633.6
186,9.787917,790.1101,635.8655
188,9.584573,790.7974,638.0859
190,9.382112,791.5023,640.2642
192,9.180842,792.2244,642.4051
194,8.981054,792.9628,644.5159
196,8.783006,793.7166,646.6063
198,8.586923,794.4842,648.6887
200,8.392993,795.2647,650.7779
202,8.201367,796.0569,652.8912
204,8.012167,796.8602,655.048
206,7.825491,797.675,657.2691
208,7.641415,798.5022,659.5772
210,7.460017,799.3439,661.9965
212,7.281403,800.2036,664.5529
214,7.105673,801.0859,667.276
216,6.932981,801.9971,670.1985
218,6.76358,802.946,673.3597
220,6.597851,803.9438,676.8083
222,6.436355,805.005,680.6076
224,6.279921,806.1486,684.8434
226,6.129584,807.3967,689.6286
228,5.986867,808.78,695.1221
230,5.854036,810.34,701.5539
232,5.734275,812.1307,709.2508
234,5.631953,814.2207,718.6429
236,5.552272,816.6846,730.1339
238,5.498539,819.5642,743.5319
240,5.466308,822.7971,757.3308
242,5.442201,826.1999,769.5713
244,5.417962,829.5962,780.5236
246,5.392371,832.8616,790.5441
248,5.365334,835.9377,799.7922
250,5.336974,838.8079,808.3478
252,5.307486,841.4731,816.2551
254,5.277103,843.9397,823.541
256,5.246081,846.2152,830.2244
258,5.214684,848.3063,836.3205
260,5.183176,850.2189,841.8435
262,5.151812,851.9579,846.8083
264,5.120831,853.5279,851.2315
266,5.090447,854.9336,855.1326
268,5.060849,856.1799,858.5337
270,5.032195,857.2725,861.4602
272,5.00461,858.2178,863.9402
274,4.978187,859.0233,866.0044
276,4.952989,859.6972,867.6852
278,4.929052,860.2486,869.0165
280,4.906387,860.6871,870.0326
282,4.884984,861.0227,870.7677
284,4.864816,861.2658,871.2551
286,4.845844,861.4267,871.527
288,4.828017,861.5152,871.6137
290,4.811278,861.5411,871.5435
292,4.795568,861.5135,871.3424
294,4.780822,861.4409,871.0339
296,4.766977,861.3312,870.6393
298,4.753972,861.1913,870.1772
300,4.741745,861.0276,869.664
302,4.730238,860.8457,869.114
304,4.719397,860.6505,868.5392
306,4.709169,860.4462,867.9501
308,4.699508,860.2365,867.3553
310,4.690368,860.0239,866.7619
312,4.68171,859.8116,866.1756
314,4.673495,859.6013,865.601
316,4.665687,859.3949,865.0419
318,4.658255,859.1938,864.501
