Time (s),Mass (g),T Top (K),T Back (K)
0,64.4,307.3,293.0
1,64.3,363.2,293.0
2,64.3,419.2,293.0
3,64.3,475.1,293.0
4,64.3,505.9,293.0
5,64.3,524.2,293.0
6,64.3,542.5,293.0
7,64.3,558.4,293.0
8,64.3,569.9,293.0
9,64.3,581.3,293.0
10,64.3,592.8,293.0
11,64.3,601.0,293.0
12,64.3,609.2,293.0
13,64.3,617.4,293.0
14,64.3,624.3,293.0
15,64.3,630.6,293.0
16,64.3,636.9,293.0
17,64.3,642.8,293.0
18,64.3,647.9,293.0
19,64.3,653.0,293.0
20,64.3,658.0,293.0
21,64.3,662.2,293.0
22,64.3,666.4,293.0
23,64.2,670.5,293.0
24,64.2,674.2,293.0
25,64.2,677.5,293.0
26,64.2,680.9,293.0
27,64.1,684.0,293.0
28,64.1,686.6,293.0
29,64.1,689.2,293.0
30,64.0,691.8,293.0
31,64.0,693.7,293.0
32,64.0,695.7,293.0
33,63.9,697.6,293.0
34,63.9,699.2,293.0
35,63.8,700.8,293.0
36,63.8,702.3,293.0
37,63.7,703.7,293.0
38,63.7,705.0,293.0
39,63.7,706.3,293.0
40,63.6,707.6,293.0
41,63.6,708.7,293.0
42,63.5,709.9,293.0
43,63.4,711.1,293.0
44,63.4,712.2,293.0
45,63.3,713.3,293.0
46,63.3,714.4,293.0
47,63.2,715.5,293.0
48,63.2,716.6,293.0
49,63.1,717.6,293.0
50,63.1,718.7,293.0
51,63.0,719.7,293.0
52,63.0,720.7,293.0
53,62.9,721.7,293.0
54,62.9,722.6,293.0
55,62.8,723.6,293.0
56,62.8,724.5,293.0
57,62.7,725.4,293.0
58,62.7,726.3,293.1
59,62.6,727.2,293.1
60,62.6,728.1,293.1
61,62.5,729.0,293.1
62,62.5,729.8,293.1
63,62.4,730.6,293.1
64,62.3,731.4,293.1
65,62.3,732.2,293.1
66,62.2,733.0,293.1
67,62.2,733.8,293.2
68,62.1,734.5,293.2
69,62.1,735.3,293.2
70,62.0,736.0,293.2
71,62.0,736.7,293.2
72,61.9,737.4,293.3
73,61.9,738.1,293.3
74,61.8,738.8,293.3
75,61.8,739.4,293.3
76,61.7,740.1,293.4
77,61.7,740.7,293.4
78,61.6,741.3,293.4
79,61.6,742.0,293.5
80,61.5,742.6,293.5
81,61.5,743.2,293.6
82,61.4,743.8,293.6
83,61.4,744.3,293.7
84,61.3,744.9,293.7
85,61.3,745.5,293.7
86,61.2,746.0,293.8
87,61.2,746.6,293.9
88,61.1,747.1,293.9
89,61.1,747.6,294.0
90,61.0,748.2,294.0
91,61.0,748.7,294.1
92,60.9,749.2,294.2
93,60.9,749.7,294.2
94,60.8,750.2,294.3
95,60.8,750.6,294.4
96,60.7,751.1,294.5
97,60.7,751.6,294.5
98,60.6,752.1,294.6
99,60.6,752.5,294.7
100,60.5,753.0,294.8
101,60.5,753.4,294.9
102,60.4,753.8,295.0
103,60.4,754.3,295.1
104,60.3,754.7,295.2
105,60.3,755.1,295.3
106,60.2,755.5,295.4
107,60.2,755.9,295.5
108,60.1,756.3,295.6
109,60.1,756.8,295.7
110,60.0,757.2,295.8
111,60.0,757.5,296.0
112,59.9,757.9,296.1
113,59.9,758.3,296.2
114,59.8,758.7,296.3
115,59.8,759.0,296.5
116,59.7,759.4,296.6
117,59.7,759.8,296.7
118,59.6,760.1,296.9
119,59.6,760.5,297.0
120,59.5,760.8,297.2
121,59.5,761.2,297.3
122,59.4,761.5,297.5
123,59.4,761.9,297.6
124,59.3,762.2,297.8
125,59.3,762.5,297.9
126,59.2,762.8,298.1
127,59.2,763.2,298.3
128,59.2,763.5,298.4
129,59.1,763.8,298.6
130,59.1,764.1,298.8
131,59.0,764.4,298.9
132,59.0,764.7,299.1
133,58.9,765.0,299.3
134,58.9,765.3,299.5
135,58.8,765.6,299.7
136,58.8,765.9,299.9
137,58.7,766.2,300.1
138,58.7,766.5,300.3
139,58.6,766.8,300.5
140,58.6,767.0,300.7
141,58.5,767.3,300.9
142,58.5,767.6,301.1
143,58.5,767.9,301.3
144,58.4,768.1,301.5
145,58.4,768.4,301.7
146,58.3,768.7,301.9
147,58.3,768.9,302.1
148,58.2,769.2,302.4
149,58.2,769.4,302.6
150,58.1,769.7,302.8
151,58.1,769.9,303.0
152,58.0,770.2,303.3
153,58.0,770.4,303.5
154,57.9,770.7,303.8
155,57.9,770.9,304.0
156,57.9,771.2,304.2
157,57.8,771.4,304.5
158,57.8,771.6,304.7
159,57.7,771.9,305.0
160,57.7,772.1,305.2
161,57.6,772.3,305.5
162,57.6,772.5,305.7
163,57.5,772.8,306.0
164,57.5,773.0,306.3
165,57.5,773.2,306.5
166,57.4,773.4,306.8
167,57.4,773.6,307.1
168,57.3,773.9,307.3
169,57.3,774.1,307.6
170,57.2,774.3,307.9
171,57.2,774.5,308.1
172,57.1,774.7,308.4
173,57.1,774.9,308.7
174,57.0,775.1,309.0
175,57.0,775.3,309.3
176,57.0,775.5,309.6
177,56.9,775.7,309.8
178,56.9,775.9,310.1
179,56.8,776.1,310.4
180,56.8,776.3,310.7
181,56.7,776.5,311.0
182,56.7,776.7,311.3
183,56.7,776.9,311.6
184,56.6,777.1,311.9
185,56.6,777.2,312.2
186,56.5,777.4,312.5
187,56.5,777.6,312.8
188,56.4,777.8,313.2
189,56.4,778.0,313.5
190,56.3,778.2,313.8
191,56.3,778.3,314.1
192,56.3,778.5,314.4
193,56.2,778.7,314.7
