Time (s),Mass (g),T Top (K),T Back (K)
0,21.45,294.589,293
3.3333,21.45,363.6183,293
6.6667,21.449999,389.9573,293.0111
10,21.449995,408.9034,293.1862
13.3333,21.449984,423.9593,293.8352
16.6667,21.449959,436.4732,295.1599
20,21.449914,447.1137,297.197
23.3333,21.449838,456.3371,299.8872
26.6667,21.44972,464.4562,303.134
30,21.449547,471.694,306.836
33.3333,21.449305,478.2148,310.9011
36.6667,21.448981,484.1439,315.2531
40,21.448558,489.5787,319.8475
43.3333,21.448019,494.5962,324.6793
46.6667,21.447348,499.2582,329.6867
50,21.446524,503.6149,334.8183
53.3333,21.44553,507.7076,340.0331
56.6667,21.444343,511.5701,345.2979
60,21.442943,515.2308,350.5857
63.3333,21.441304,518.7131,355.8743
66.6667,21.439403,522.0365,361.1455
70,21.437214,525.2174,366.3845
73.3333,21.434707,528.2695,371.5793
76.6667,21.431856,531.2045,376.7197
80,21.428631,534.032,381.7977
83.3333,21.425001,536.7606,386.8066
86.6667,21.420936,539.3972,391.7406
90,21.416405,541.9481,396.5951
93.3333,21.411378,544.4187,401.3659
96.6667,21.405822,546.8135,406.0493
100,21.399706,549.1366,410.6417
103.3333,21.392998,551.3915,415.139
106.6667,21.385666,553.5816,419.5364
110,21.377678,555.7095,423.8253
113.3333,21.369,557.7778,427.9711
116.6667,21.359601,559.7888,431.959
120,21.349447,561.7445,435.8136
123.3333,21.338506,563.6466,439.5489
126.6667,21.326746,565.4967,443.1752
130,21.314136,567.2964,446.7004
133.3333,21.300643,569.0469,450.1314
136.6667,21.286237,570.7497,453.4739
140,21.270888,572.4062,456.7327
143.3333,21.254565,574.0176,459.9124
146.6667,21.237239,575.5854,463.0169
150,21.218879,577.1111,466.0497
153.3333,21.199457,578.5959,469.014
156.6667,21.178945,580.0412,471.9128
160,21.157314,581.4483,474.7488
163.3333,21.134537,582.8184,477.5245
166.6667,21.110587,584.1529,480.2422
170,21.085438,585.4529,482.9041
173.3333,21.059067,586.7195,485.5122
176.6667,21.031448,587.9538,488.0684
180,21.002559,589.1569,490.5744
183.3333,20.97238,590.3298,493.032
