Time (s),Mass (g),T Top (K),T Back (K)
0,64.4,297.8,293.0
1,64.3,310.0,293.0
2,64.3,322.3,293.0
3,64.3,334.6,293.0
4,64.3,346.9,293.0
5,64.3,359.2,293.0
6,64.3,371.4,293.0
7,64.3,383.7,293.0
8,64.3,396.0,293.0
9,64.3,403.0,293.0
10,64.3,407.4,293.0
11,64.3,411.7,293.0
12,64.3,416.1,293.0
13,64.3,420.5,293.0
14,64.3,424.8,293.0
15,64.3,429.2,293.0
16,64.3,433.6,293.0
17,64.3,437.5,293.0
18,64.3,440.3,293.0
19,64.3,443.2,293.0
20,64.3,446.1,293.0
21,64.3,449.0,293.0
22,64.3,451.9,293.0
23,64.3,454.8,293.0
24,64.3,457.6,293.0
25,64.3,460.5,293.0
26,64.3,462.6,293.0
27,64.3,464.8,293.0
28,64.3,466.9,293.0
29,64.3,469.0,293.0
30,64.3,471.1,293.0
31,64.3,473.2,293.0
32,64.3,475.3,293.0
33,64.3,477.5,293.0
34,64.3,479.3,293.0
35,64.3,480.9,293.0
36,64.3,482.6,293.0
37,64.3,484.2,293.0
38,64.3,485.9,293.0
39,64.3,487.5,293.0
40,64.3,489.2,293.0
41,64.3,490.8,293.0
42,64.3,492.4,293.0
43,64.3,493.7,293.0
44,64.3,495.0,293.0
45,64.3,496.4,293.0
46,64.3,497.7,293.0
47,64.3,499.1,293.0
48,64.3,500.4,293.0
49,64.3,501.7,293.0
50,64.3,503.1,293.0
51,64.3,504.2,293.0
52,64.3,505.3,293.0
53,64.3,506.4,293.0
54,64.3,507.5,293.0
55,64.3,508.6,293.0
56,64.3,509.7,293.0
57,64.3,510.9,293.0
58,64.3,512.0,293.0
59,64.3,513.0,293.0
60,64.3,513.9,293.0
61,64.3,514.9,293.0
62,64.3,515.8,293.0
63,64.3,516.8,293.0
64,64.3,517.7,293.1
65,64.3,518.7,293.1
66,64.3,519.6,293.1
67,64.3,520.5,293.1
68,64.3,521.3,293.1
69,64.3,522.1,293.1
70,64.3,523.0,293.1
71,64.3,523.8,293.1
72,64.3,524.6,293.1
73,64.3,525.4,293.1
74,64.3,526.2,293.1
75,64.3,527.1,293.1
76,64.3,527.8,293.2
77,64.3,528.5,293.2
78,64.3,529.2,293.2
79,64.3,529.9,293.2
80,64.3,530.6,293.2
81,64.3,531.4,293.3
82,64.3,532.1,293.3
83,64.3,532.8,293.3
84,64.3,533.4,293.3
85,64.3,534.1,293.3
86,64.3,534.7,293.4
87,64.3,535.3,293.4
88,64.3,536.0,293.4
89,64.3,536.6,293.4
90,64.3,537.2,293.5
91,64.3,537.9,293.5
92,64.3,538.5,293.5
93,64.3,539.1,293.6
94,64.3,539.6,293.6
95,64.3,540.2,293.6
96,64.3,540.7,293.7
97,64.3,541.3,293.7
98,64.3,541.9,293.8
99,64.3,542.4,293.8
100,64.3,543.0,293.8
101,64.3,543.5,293.9
102,64.3,544.0,293.9
103,64.3,544.5,294.0
104,64.3,545.0,294.0
105,64.3,545.6,294.1
106,64.3,546.1,294.1
107,64.3,546.6,294.2
108,64.3,547.1,294.2
109,64.3,547.6,294.3
110,64.3,548.0,294.3
111,64.3,548.5,294.4
112,64.3,548.9,294.5
113,64.3,549.4,294.5
114,64.3,549.9,294.6
115,64.3,550.3,294.7
116,64.3,550.8,294.7
117,64.3,551.2,294.8
118,64.3,551.7,294.9
119,64.3,552.1,294.9
120,64.3,552.5,295.0
121,64.3,552.9,295.1
122,64.3,553.3,295.2
123,64.3,553.8,295.2
124,64.3,554.2,295.3
125,64.3,554.6,295.4
126,64.3,555.0,295.5
127,64.3,555.4,295.6
128,64.3,555.7,295.7
129,64.3,556.1,295.7
130,64.3,556.5,295.8
131,64.3,556.9,295.9
132,64.3,557.3,296.0
133,64.3,557.7,296.1
134,64.2,558.0,296.2
135,64.2,558.4,296.3
136,64.2,558.7,296.4
137,64.2,559.1,296.5
138,64.2,559.4,296.6
139,64.2,559.8,296.7
140,64.2,560.2,296.8
141,64.2,560.5,296.9
142,64.2,560.8,297.0
143,64.2,561.2,297.1
144,64.2,561.5,297.3
145,64.2,561.8,297.4
146,64.2,562.2,297.5
147,64.2,562.5,297.6
148,64.2,562.8,297.7
149,64.2,563.1,297.8
150,64.2,563.5,298.0
151,64.2,563.8,298.1
152,64.2,564.1,298.2
153,64.2,564.4,298.3
154,64.2,564.7,298.5
155,64.2,565.0,298.6
156,64.2,565.3,298.7
157,64.2,565.6,298.9
158,64.2,565.9,299.0
159,64.2,566.2,299.1
160,64.2,566.5,299.3
161,64.2,566.7,299.4
162,64.2,567.0,299.6
163,64.2,567.3,299.7
164,64.2,567.6,299.8
165,64.2,567.9,300.0
166,64.2,568.1,300.1
167,64.2,568.4,300.3
168,64.2,568.7,300.4
169,64.2,568.9,300.6
170,64.2,569.2,300.7
171,64.1,569.5,300.9
172,64.1,569.7,301.0
173,64.1,570.0,301.2
174,64.1,570.3,301.3
175,64.1,570.5,301.5
176,64.1,570.8,301.6
177,64.1,571.0,301.8
178,64.1,571.3,302.0
179,64.1,571.5,302.1
180,64.1,571.7,302.3
181,64.1,572.0,302.5
182,64.1,572.2,302.6
183,64.1,572.5,302.8
184,64.1,572.7,302.9
185,64.1,572.9,303.1
186,64.1,573.2,303.3
187,64.1,573.4,303.5
188,64.1,573.6,303.6
189,64.1,573.9,303.8
190,64.1,574.1,304.0
191,64.1,574.3,304.2
192,64.1,574.6,304.3
193,64.1,574.8,304.5
194,64.1,575.0,304.7
195,64.1,575.2,304.9
196,64.1,575.4,305.1
197,64.1,575.6,305.2
198,64.1,575.8,305.4
199,64.0,576.1,305.6
200,64.0,576.3,305.8
201,64.0,576.5,306.0
202,64.0,576.7,306.2
203,64.0,576.9,306.4
204,64.0,577.1,306.5
205,64.0,577.3,306.7
206,64.0,577.5,306.9
207,64.0,577.7,307.1
208,64.0,577.9,307.3
209,64.0,578.1,307.5
210,64.0,578.3,307.7
211,64.0,578.5,307.9
212,64.0,578.7,308.1
213,64.0,578.9,308.3
214,64.0,579.1,308.5
215,64.0,579.3,308.7
216,64.0,579.4,308.9
217,64.0,579.6,309.1
218,64.0,579.8,309.3
219,64.0,580.0,309.5
220,64.0,580.2,309.7
221,64.0,580.4,309.9
222,64.0,580.5,310.1
223,63.9,580.7,310.3
224,63.9,580.9,310.5
225,63.9,581.1,310.7
226,63.9,581.3,310.9
227,63.9,581.4,311.2
228,63.9,581.6,311.4
229,63.9,581.8,311.6
230,63.9,581.9,311.8
231,63.9,582.1,312.0
232,63.9,582.3,312.2
233,63.9,582.5,312.4
234,63.9,582.6,312.6
235,63.9,582.8,312.9
236,63.9,583.0,313.1
237,63.9,583.1,313.3
238,63.9,583.3,313.5
239,63.9,583.4,313.7
240,63.9,583.6,313.9
241,63.9,583.8,314.2
242,63.9,583.9,314.4
243,63.9,584.1,314.6
