Time,Mass (g),T Back (K),T Top (K)
0,64.8,293.0,293.0
1,64.8,293.0,408.7
2,64.8,293.0,534.0
3,64.8,293.0,619.3
4,64.8,293.0,685.0
5,64.8,293.0,729.1
6,64.7,293.0,748.8
7,64.5,293.0,756.1
8,64.4,293.0,762.8
9,64.2,293.0,771.0
10,64.1,293.0,780.4
11,63.9,293.0,789.9
12,63.8,293.0,799.1
13,63.6,293.0,807.7
14,63.5,293.0,815.9
15,63.3,293.0,823.4
16,63.2,293.0,830.5
17,63.1,293.0,837.2
18,62.9,293.0,843.4
19,62.8,293.0,849.2
20,62.7,293.0,854.7
21,62.5,293.0,859.9
22,62.4,293.0,864.8
23,62.3,293.0,869.5
24,62.1,293.0,873.8
25,62.0,293.0,878.0
26,61.9,293.0,881.9
27,61.7,293.0,885.7
28,61.6,293.0,889.2
29,61.5,293.0,892.6
30,61.4,293.0,895.8
31,61.2,293.0,898.9
32,61.1,293.0,901.8
33,61.0,293.0,904.5
34,60.9,293.0,907.1
35,60.8,293.0,909.6
36,60.7,293.0,912.0
37,60.5,293.0,914.2
38,60.4,293.0,916.3
39,60.3,293.0,918.4
40,60.2,293.0,920.3
41,60.1,293.0,922.1
42,60.0,293.0,923.9
43,59.9,293.0,925.6
44,59.8,293.0,927.2
45,59.7,293.0,928.7
46,59.6,293.0,930.1
47,59.4,293.0,931.5
48,59.3,293.0,932.8
49,59.2,293.0,934.1
50,59.1,293.0,935.3
51,59.0,293.0,936.5
52,58.9,293.0,937.6
53,58.8,293.0,938.7
54,58.7,293.0,939.7
55,58.6,293.0,940.7
56,58.5,293.0,941.6
57,58.4,293.0,942.6
58,58.4,293.0,943.4
59,58.3,293.0,944.3
60,58.2,293.0,945.1
61,58.1,293.0,945.9
62,58.0,293.0,946.7
63,57.9,293.0,947.4
64,57.8,293.0,948.1
65,57.7,293.0,948.8
66,57.6,293.0,949.5
67,57.5,293.0,950.1
68,57.4,293.0,950.7
69,57.3,293.1,951.4
70,57.3,293.1,951.9
71,57.2,293.1,952.5
72,57.1,293.1,953.1
73,57.0,293.1,953.6
74,56.9,293.1,954.1
75,56.8,293.1,954.7
76,56.8,293.1,955.2
77,56.7,293.1,955.7
78,56.6,293.1,956.1
79,56.5,293.2,956.6
80,56.4,293.2,957.1
81,56.3,293.2,957.5
82,56.3,293.2,957.9
83,56.2,293.2,958.4
84,56.1,293.3,958.8
85,56.0,293.3,959.2
86,55.9,293.3,959.6
87,55.9,293.3,960.0
88,55.8,293.4,960.3
89,55.7,293.4,960.7
90,55.6,293.4,961.1
91,55.6,293.5,961.4
92,55.5,293.5,961.8
93,55.4,293.5,962.1
94,55.3,293.6,962.5
95,55.2,293.6,962.8
96,55.2,293.7,963.1
97,55.1,293.7,963.4
98,55.0,293.8,963.8
99,54.9,293.8,964.1
100,54.9,293.9,964.4
101,54.8,293.9,964.7
102,54.7,294.0,965.0
103,54.7,294.0,965.3
104,54.6,294.1,965.5
105,54.5,294.2,965.8
106,54.4,294.2,966.1
107,54.4,294.3,966.4
108,54.3,294.4,966.6
109,54.2,294.5,966.9
110,54.2,294.5,967.1
111,54.1,294.6,967.4
112,54.0,294.7,967.6
113,53.9,294.8,967.9
114,53.9,294.9,968.1
115,53.8,295.0,968.4
116,53.7,295.1,968.6
117,53.7,295.2,968.8
118,53.6,295.3,969.1
119,53.5,295.4,969.3
120,53.5,295.5,969.5
121,53.4,295.6,969.7
122,53.3,295.7,969.9
123,53.3,295.9,970.2
124,53.2,296.0,970.4
125,53.1,296.1,970.6
126,53.1,296.2,970.8
127,53.0,296.4,971.0
128,52.9,296.5,971.2
129,52.9,296.7,971.4
130,52.8,296.8,971.6
131,52.7,297.0,971.8
132,52.7,297.1,971.9
133,52.6,297.3,972.1
134,52.5,297.4,972.3
135,52.5,297.6,972.5
136,52.4,297.8,972.7
137,52.4,297.9,972.9
138,52.3,298.1,973.0
139,52.2,298.3,973.2
140,52.2,298.5,973.4
141,52.1,298.6,973.6
142,52.0,298.8,973.7
143,52.0,299.0,973.9
144,51.9,299.2,974.0
145,51.9,299.4,974.2
146,51.8,299.6,974.4
147,51.7,299.8,974.5
148,51.7,300.1,974.7
149,51.6,300.3,974.8
150,51.5,300.5,975.0
151,51.5,300.7,975.1
152,51.4,300.9,975.3
153,51.4,301.2,975.4
