Time (s),Mass (g),T Top (K),T Back (K)
0,21.4,294.6,293.0
1,21.4,315.3,293.0
2,21.4,336.0,293.0
3,21.4,356.7,293.0
4,21.4,368.9,293.0
5,21.4,376.8,293.0
6,21.4,384.7,293.0
7,21.4,391.9,293.0
8,21.4,397.5,293.1
9,21.4,403.2,293.1
10,21.4,408.9,293.2
11,21.4,413.4,293.4
12,21.4,417.9,293.6
13,21.4,422.5,293.8
14,21.4,426.5,294.1
15,21.4,430.2,294.5
16,21.4,434.0,294.9
17,21.4,437.5,295.4
18,21.4,440.7,296.0
19,21.4,443.9,296.6
20,21.4,447.1,297.2
21,21.4,449.9,298.0
22,21.4,452.6,298.8
23,21.4,455.4,299.6
24,21.4,458.0,300.5
25,21.4,460.4,301.5
26,21.4,462.8,302.5
27,21.4,465.2,303.5
28,21.4,467.4,304.6
29,21.4,469.5,305.7
30,21.4,471.7,306.8
31,21.4,473.7,308.1
32,21.4,475.6,309.3
33,21.4,477.6,310.5
34,21.4,479.4,311.8
35,21.4,481.2,313.1
36,21.4,483.0,314.4
37,21.4,484.7,315.7
38,21.4,486.3,317.1
39,21.4,487.9,318.5
40,21.4,489.6,319.8
41,21.4,491.1,321.3
42,21.4,492.6,322.7
43,21.4,494.1,324.2
44,21.4,495.5,325.7
45,21.4,496.9,327.2
46,21.4,498.3,328.7
47,21.4,499.7,330.2
48,21.4,501.0,331.7
49,21.4,502.3,333.3
50,21.4,503.6,334.8
51,21.4,504.8,336.4
52,21.4,506.1,337.9
53,21.4,507.3,339.5
54,21.4,508.5,341.1
55,21.4,509.6,342.7
56,21.4,510.8,344.2
57,21.4,511.9,345.8
58,21.4,513.0,347.4
59,21.4,514.1,349.0
60,21.4,515.2,350.6
61,21.4,516.3,352.2
62,21.4,517.3,353.8
63,21.4,518.4,355.3
64,21.4,519.4,356.9
65,21.4,520.4,358.5
66,21.4,521.4,360.1
67,21.4,522.4,361.7
68,21.4,523.3,363.2
69,21.4,524.3,364.8
70,21.4,525.2,366.4
71,21.4,526.1,367.9
72,21.4,527.0,369.5
73,21.4,528.0,371.1
74,21.4,528.9,372.6
75,21.4,529.7,374.1
76,21.4,530.6,375.7
77,21.4,531.5,377.2
78,21.4,532.3,378.8
79,21.4,533.2,380.3
80,21.4,534.0,381.8
81,21.4,534.9,383.3
82,21.4,535.7,384.8
83,21.4,536.5,386.3
84,21.4,537.3,387.8
85,21.4,538.1,389.3
86,21.4,538.9,390.8
87,21.4,539.7,392.2
88,21.4,540.4,393.7
89,21.4,541.2,395.1
90,21.4,541.9,396.6
91,21.4,542.7,398.0
92,21.4,543.4,399.5
93,21.4,544.2,400.9
94,21.4,544.9,402.3
95,21.4,545.6,403.7
96,21.4,546.3,405.1
97,21.4,547.0,406.5
98,21.4,547.7,407.9
99,21.4,548.4,409.3
100,21.4,549.1,410.6
101,21.4,549.8,412.0
102,21.4,550.5,413.3
103,21.4,551.2,414.7
104,21.4,551.8,416.0
105,21.4,552.5,417.3
106,21.4,553.1,418.7
107,21.4,553.8,420.0
108,21.4,554.4,421.3
109,21.4,555.1,422.5
110,21.4,555.7,423.8
111,21.4,556.3,425.1
112,21.4,557.0,426.3
