Time (s),Mass (g),T Top (K),T Back (K)
0,64.4,320.1,293.0
1,64.3,433.0,293.0
2,64.3,545.9,293.0
3,64.3,618.8,293.0
4,64.3,651.6,293.0
5,64.3,684.5,293.0
6,64.3,704.4,293.0
7,64.3,724.4,293.0
8,64.2,739.6,293.0
9,64.1,750.1,293.0
10,64.1,760.5,293.0
11,63.9,768.2,293.0
12,63.8,775.8,293.0
13,63.7,782.9,293.0
14,63.6,789.5,293.0
15,63.5,796.0,293.0
16,63.4,801.5,293.0
17,63.2,807.1,293.0
18,63.1,812.1,293.0
19,63.0,816.8,293.0
20,62.9,821.5,293.0
21,62.8,825.5,293.0
22,62.7,829.5,293.0
23,62.6,833.2,293.0
24,62.4,836.6,293.0
25,62.3,840.0,293.0
26,62.2,843.0,293.0
27,62.1,846.0,293.0
28,62.0,848.8,293.0
29,61.9,851.4,293.0
30,61.8,854.1,293.0
31,61.7,856.4,293.0
32,61.6,858.7,293.0
33,61.5,860.9,293.0
34,61.4,863.0,293.0
35,61.3,865.1,293.0
36,61.2,867.0,293.0
37,61.1,868.8,293.0
38,61.0,870.6,293.0
39,60.9,872.3,293.0
40,60.8,874.0,293.0
41,60.7,875.6,293.0
42,60.6,877.1,293.0
43,60.5,878.6,293.0
44,60.4,880.0,293.0
45,60.3,881.5,293.0
46,60.2,882.8,293.0
47,60.1,884.1,293.0
48,60.0,885.3,293.0
49,59.9,886.6,293.0
50,59.8,887.8,293.0
51,59.7,888.9,293.0
52,59.6,890.0,293.0
53,59.5,891.1,293.0
54,59.4,892.2,293.0
55,59.3,893.2,293.1
56,59.2,894.2,293.1
57,59.1,895.2,293.1
58,59.1,896.1,293.1
59,59.0,897.0,293.1
60,58.9,898.0,293.1
61,58.8,898.8,293.1
62,58.7,899.7,293.1
63,58.6,900.5,293.2
64,58.5,901.3,293.2
65,58.4,902.2,293.2
66,58.3,902.9,293.2
67,58.2,903.7,293.2
68,58.1,904.5,293.3
69,58.1,905.2,293.3
70,58.0,905.9,293.3
71,57.9,906.6,293.4
72,57.8,907.3,293.4
73,57.7,908.0,293.4
74,57.6,908.6,293.5
75,57.5,909.3,293.5
76,57.4,909.9,293.6
77,57.4,910.6,293.6
78,57.3,911.2,293.6
79,57.2,911.8,293.7
80,57.1,912.4,293.8
