Time,Mass (g),T Back (K),T Top (K)
0.0,64.8,293.0,293.0
1.0,64.8,293.0,315.240089
2.0,64.8,293.0,337.958306
3.01,64.8,293.0,352.611488
4.01,64.8,293.0,364.269406
5.01,64.799999352,293.0,374.13402
6.01,64.799998704,293.0,382.80752
7.01,64.79999805599999,293.0,390.59104
8.01,64.79999676,293.0,397.67431999999997
9.01,64.799994816,293.0,404.18663000000004
10.01,64.799991576,293.0,410.22102
11.01,64.799987688,293.0,415.84695
12.01,64.799982504,293.0,421.11824
13.01,64.799974728,293.0,426.08346
14.01,64.799965656,293.0,430.78711
15.01,64.799953344,293.0,435.25061
16.01,64.79993843999999,293.0,439.49544000000003
17.01,64.799920296,293.0,443.54083
18.0,64.79989826399999,293.0,447.38464
19.0,64.799871048,293.0,451.06135
20.0,64.799839296,293.0,454.60114
21.0,64.79980171199999,293.0,457.99652000000003
22.0,64.799757648,293.0,461.25789
23.0,64.799707104,293.0,464.39939000000004
24.0,64.799648136,293.0,467.43122
25.0,64.799581392,293.0,470.35981000000004
26.0,64.799505576,293.0,473.19088999999997
27.0,64.799419392,293.0,475.92967999999996
28.0,64.79932284,293.0,478.58152
29.0,64.799215272,293.0,481.14974
30.0,64.799095392,293.0,483.63946999999996
31.0,64.798961904,293.000001,486.05345
32.0,64.798814808,293.000001,488.39623
33.0,64.798652808,293.000001,490.67064
34.0,64.798475904,293.000002,492.87932
35.0,64.798282152,293.000003,495.02542
36.0,64.798070904,293.000004,497.11163999999997
37.0,64.79784216,293.000007,499.14053
38.0,64.79759397599999,293.00001,501.11422
39.0,64.797326352,293.000015,503.03526999999997
40.0,64.797037992,293.000022,504.90504
41.0,64.796728248,293.000031,506.72586
42.0,64.796396472,293.000044,508.49984
43.0,64.796041368,293.000062,510.22877
44.01,64.795660992,293.000086,511.92233
45.01,64.795255344,293.000117,513.57305
46.01,64.79482636799999,293.000158,515.1759099999999
47.01,64.794371472,293.00021,516.73884
48.01,64.79388936,293.000276,518.26463
49.01,64.793380032,293.000359,519.75365
50.01,64.792842192,293.00046199999997,521.20795
51.01,64.79227584,293.000589,522.62763
52.01,64.79167968,293.000744,524.01509
53.01,64.791053712,293.000933,525.36569
54.01,64.79039664,293.00116,526.68193
55.01,64.789708464,293.001431,527.96466
56.01,64.788987888,293.001753,529.2149099999999
57.01,64.78823556,293.002133,530.43415
58.01,64.787450184,293.00257799999997,531.6240399999999
59.01,64.786631112,293.003097,532.7853299999999
60.01,64.785778992,293.0037,533.9191000000001
61.01,64.78489187999999,293.004394,535.0265099999999
62.01,64.783970424,293.005192,536.1085
63.01,64.78301397599999,293.006103,537.1659500000001
64.01,64.782021888,293.00714,538.19973
65.01,64.78099415999999,293.008314,539.21066
66.01,64.779930792,293.009639,540.19952
67.01,64.778830488,293.011129,541.1670799999999
68.01,64.777693896,293.012796,542.11403
69.01,64.77652036799999,293.014657,543.04103
70.01,64.775309904,293.016727,543.94866
71.01,64.77406185599999,293.019021,544.83762
72.01,64.772776224,293.021556,545.70852
73.0,64.77146013599999,293.024334,546.5576599999999
74.0,64.770106464,293.027386,547.38987
75.0,64.76870808,293.030746,548.21007
76.0,64.767271464,293.034418,549.0139300000001
77.0,64.765796616,293.038422,549.80201
78.0,64.76428418399999,293.042776,550.57511
79.0,64.762732872,293.0475,551.33375
80.0,64.761143328,293.052614,552.07819
81.0,64.759515552,293.05814,552.80827
82.0,64.757849544,293.064097,553.5247899999999
83.0,64.75614465599999,293.070507,554.22855
84.0,64.754401536,293.07739,554.9196400000001
85.0,64.752620184,293.084768,555.59734
86.0,64.750799952,293.092663,556.2634800000001
87.0,64.748942136,293.101096,556.91824
88.0,64.74704608799999,293.110089,557.56032
89.0,64.74511116,293.119664,558.19177
90.0,64.743138648,293.129843,558.8126
91.0,64.74112855199999,293.140648,559.42158
92.0,64.739079576,293.1521,560.0211300000001
93.0,64.736993664,293.164222,560.60979
94.0,64.73486952,293.177035,561.1882800000001
95.0,64.73270844,293.190562,561.75801
96.0,64.730509776,293.204823,562.3167100000001
97.0,64.728273528,293.219841,562.8674
98.0,64.726000344,293.235636,563.4077
99.0,64.723690224,293.25223,563.9399900000001
100.0,64.721343816,293.26964399999997,564.4630199999999
101.0,64.71896047199999,293.287899,564.97747
102.0,64.716540192,293.307014,565.4838500000001
103.0,64.714084272,293.327012,565.98129
104.0,64.711592064,293.34791,566.47165
105.0,64.709064216,293.36973,566.95291
106.0,64.70650008,293.39249,567.42769
107.0,64.703900952,293.41621,567.89368
108.0,64.701266832,293.440908,568.35315
109.0,64.698597072,293.466604,568.80472
110.0,64.695892968,293.493314,569.2492500000001
111.0,64.69315452,293.521057,569.6869899999999
112.0,64.69038108,293.54985,570.11698
113.0,64.687573296,293.579711,570.54175
114.0,64.684732464,293.610655,570.95762
115.0,64.681857288,293.642699,571.3695299999999
116.0,64.678949064,293.675859,571.77256
117.0,64.676007144,293.71015,572.17115
118.0,64.673032176,293.745588,572.56285
119.0,64.670024808,293.782186,572.94741
120.0,64.66698504,293.819959,573.3283
121.0,64.663912872,293.858921,573.70063
122.0,64.660808952,293.899084,574.0698199999999
123.0,64.657672632,293.940463,574.4326699999999
124.0,64.654505208,293.983069,574.7884
125.0,64.65130668,294.026914,575.14198
