Time,Mass (g),T Back (K),T Top (K)
0,64.8,293.0,293.0
1,64.8,293.0,315.2
2,64.8,293.0,338.0
3,64.8,293.0,352.6
4,64.8,293.0,364.3
5,64.8,293.0,374.1
6,64.8,293.0,382.8
7,64.8,293.0,390.6
8,64.8,293.0,397.7
9,64.8,293.0,404.2
10,64.8,293.0,410.2
11,64.8,293.0,415.8
12,64.8,293.0,421.1
13,64.8,293.0,426.1
14,64.8,293.0,430.8
15,64.8,293.0,435.3
16,64.8,293.0,439.5
17,64.8,293.0,443.5
18,64.8,293.0,447.4
19,64.8,293.0,451.1
20,64.8,293.0,454.6
21,64.8,293.0,458.0
22,64.8,293.0,461.3
23,64.8,293.0,464.4
24,64.8,293.0,467.4
25,64.8,293.0,470.4
26,64.8,293.0,473.2
27,64.8,293.0,475.9
28,64.8,293.0,478.6
29,64.8,293.0,481.1
30,64.8,293.0,483.6
31,64.8,293.0,486.1
32,64.8,293.0,488.4
33,64.8,293.0,490.7
34,64.8,293.0,492.9
35,64.8,293.0,495.0
36,64.8,293.0,497.1
37,64.8,293.0,499.1
38,64.8,293.0,501.1
39,64.8,293.0,503.0
40,64.8,293.0,504.9
41,64.8,293.0,506.7
42,64.8,293.0,508.5
43,64.8,293.0,510.2
44,64.8,293.0,511.9
45,64.8,293.0,513.6
46,64.8,293.0,515.2
47,64.8,293.0,516.7
48,64.8,293.0,518.3
49,64.8,293.0,519.8
50,64.8,293.0,521.2
51,64.8,293.0,522.6
52,64.8,293.0,524.0
53,64.8,293.0,525.4
54,64.8,293.0,526.7
55,64.8,293.0,528.0
56,64.8,293.0,529.2
57,64.8,293.0,530.4
58,64.8,293.0,531.6
59,64.8,293.0,532.8
60,64.8,293.0,533.9
61,64.8,293.0,535.0
62,64.8,293.0,536.1
63,64.8,293.0,537.2
64,64.8,293.0,538.2
65,64.8,293.0,539.2
66,64.8,293.0,540.2
67,64.8,293.0,541.2
68,64.8,293.0,542.1
69,64.8,293.0,543.0
70,64.8,293.0,543.9
71,64.8,293.0,544.8
72,64.8,293.0,545.7
73,64.8,293.0,546.6
74,64.8,293.0,547.4
75,64.8,293.0,548.2
76,64.8,293.0,549.0
77,64.8,293.0,549.8
78,64.8,293.0,550.6
79,64.8,293.0,551.3
80,64.8,293.1,552.1
81,64.8,293.1,552.8
82,64.8,293.1,553.5
83,64.8,293.1,554.2
84,64.8,293.1,554.9
85,64.8,293.1,555.6
86,64.8,293.1,556.3
87,64.7,293.1,556.9
88,64.7,293.1,557.6
89,64.7,293.1,558.2
90,64.7,293.1,558.8
91,64.7,293.1,559.4
92,64.7,293.2,560.0
93,64.7,293.2,560.6
94,64.7,293.2,561.2
95,64.7,293.2,561.8
96,64.7,293.2,562.3
97,64.7,293.2,562.9
98,64.7,293.2,563.4
99,64.7,293.3,563.9
100,64.7,293.3,564.5
101,64.7,293.3,565.0
102,64.7,293.3,565.5
103,64.7,293.3,566.0
104,64.7,293.3,566.5
105,64.7,293.4,567.0
106,64.7,293.4,567.4
107,64.7,293.4,567.9
108,64.7,293.4,568.4
109,64.7,293.5,568.8
110,64.7,293.5,569.2
111,64.7,293.5,569.7
112,64.7,293.5,570.1
113,64.7,293.6,570.5
114,64.7,293.6,571.0
115,64.7,293.6,571.4
116,64.7,293.7,571.8
117,64.7,293.7,572.2
118,64.7,293.7,572.6
119,64.7,293.8,572.9
120,64.7,293.8,573.3
121,64.7,293.9,573.7
122,64.7,293.9,574.1
123,64.7,293.9,574.4
124,64.7,294.0,574.8
125,64.7,294.0,575.1
126,64.6,294.1,575.5
127,64.6,294.1,575.8
128,64.6,294.2,576.2
129,64.6,294.2,576.5
130,64.6,294.3,576.8
131,64.6,294.3,577.1
