Time (s),Mass (g),T Top (K),T Back (K)
0,64.35,307.2725,293
3.3333,64.34997,493.7448,293
6.6667,64.349316,554.6336,293
10,64.346146,592.7504,293
13.3333,64.337604,620.0933,293
16.6667,64.319998,641.1375,293
20,64.288066,658.0422,293
23.3333,64.235128,671.9147,293
26.6667,64.155597,683.1411,293
30,64.048078,691.7838,293
33.3333,63.915963,698.239,293.0001
36.6667,63.765358,703.2721,293.0005
40,63.602554,707.5511,293.0014
43.3333,63.432655,711.4565,293.0034
46.6667,63.259015,715.1449,293.0073
50,63.08372,718.6591,293.0143
53.3333,62.907826,721.9956,293.0258
56.6667,62.731973,725.1483,293.0435
60,62.556502,728.1216,293.0694
63.3333,62.381479,730.9059,293.1056
66.6667,62.207102,733.5301,293.1544
70,62.033405,735.9911,293.218
73.3333,61.860506,738.3164,293.2987
76.6667,61.688439,740.505,293.3987
80,61.517246,742.5772,293.5201
83.3333,61.346984,744.5376,293.6647
86.6667,61.177617,746.3945,293.8343
90,61.009238,748.1629,294.0304
93.3333,60.841762,749.8393,294.2545
96.6667,60.675273,751.4421,294.5077
100,60.509694,752.9651,294.7908
103.3333,60.34507,754.4246,295.1048
106.6667,60.18136,755.8161,295.4502
110,60.018557,757.1507,295.8273
113.3333,59.856669,758.4292,296.2365
116.6667,59.695633,759.6541,296.678
120,59.535502,760.8348,297.1516
123.3333,59.376193,761.9662,297.6573
126.6667,59.217726,763.0581,298.1949
130,59.060079,764.1076,298.764
133.3333,58.903207,765.1198,299.3644
136.6667,58.747158,766.0979,299.9954
140,58.59183,767.0394,300.6566
143.3333,58.4373,767.9534,301.3475
146.6667,58.283478,768.8339,302.0674
150,58.130385,769.688,302.8158
153.3333,57.978013,770.5145,303.592
156.6667,57.826296,771.3138,304.3953
160,57.675318,772.0924,305.225
163.3333,57.524963,772.8447,306.0805
166.6667,57.375292,773.5771,306.9611
170,57.226253,774.2876,307.8661
173.3333,57.07784,774.9772,308.7949
176.6667,56.930072,775.6502,309.7467
180,56.782905,776.3032,310.7211
183.3333,56.63633,776.9394,311.7173
186.6667,56.490368,777.5595,312.7349
190,56.34495,778.1618,313.7732
193.3333,56.200144,778.7517,314.832
196.6667,56.055877,779.325,315.9108
200,55.912155,779.8847,317.0095
203.3333,55.769004,780.432,318.1282
206.6667,55.626347,780.9645,319.2699
210,55.484252,781.4868,320.4343
213.3333,55.342656,781.996,321.62
216.6667,55.201552,782.4933,322.8261
220,55.060982,782.9815,324.0517
223.3333,54.920871,783.4574,325.2961
226.6667,54.781254,783.9238,326.5586
230,54.642111,784.3806,327.8386
233.3333,54.503422,784.8272,329.1353
236.6667,54.365204,785.2657,330.4482
240,54.227427,785.6951,331.7766
243.3333,54.090074,786.115,333.12
246.6667,53.953177,786.5285,334.4778
250,53.816696,786.9331,335.8495
253.3333,53.68061,787.3295,337.2346
256.6667,53.544965,787.7202,338.6324
260,53.40969,788.1023,340.0426
263.3333,53.27481,788.4781,341.4646
266.6667,53.140328,788.8476,342.898
270,53.006186,789.2094,344.3423
273.3333,52.872443,789.5664,345.797
276.6667,52.739042,789.9167,347.2617
280,52.605972,790.2605,348.736
283.3333,52.473275,790.6,350.2195
286.6667,52.340885,790.9331,351.7118
290,52.208815,791.2606,353.2124
293.3333,52.077083,791.584,354.721
296.6667,51.945636,791.9015,356.2372
300,51.814486,792.2141,357.7607
303.3333,51.683637,792.5227,359.291
306.6667,51.553057,792.826,360.828
310,51.422748,793.1249,362.3711
313.3333,51.292711,793.42,363.9201
316.6667,51.162916,793.7102,365.4746
320,51.033366,793.9965,367.0344
323.3333,50.904066,794.2793,368.5991
326.6667,50.774976,794.5574,370.1684
330,50.646106,794.832,371.7421
333.3333,50.517465,795.1035,373.3198
336.6667,50.388999,795.3705,374.9013
340,50.260742,795.6346,376.4862
343.3333,50.132672,795.8954,378.0743
346.6667,50.00475,796.1521,379.6654
350,49.877025,796.4064,381.2592
353.3333,49.749446,796.6574,382.8553
356.6667,49.622,796.9048,384.4536
360,49.494715,797.1497,386.0538
363.3333,49.36755,797.3916,387.6556
366.6667,49.240498,797.6303,389.2589
370,49.113573,797.8666,390.8633
373.3333,48.986746,798.1001,392.4685
376.6667,48.860007,798.3306,394.0745
380,48.733364,798.5588,395.6808
383.3333,48.606797,798.7846,397.2873
386.6667,48.480286,799.0074,398.8938
390,48.353846,799.2281,400.4998
393.3333,48.227458,799.4466,402.1053
396.6667,48.101097,799.6622,403.71
400,47.974779,799.8758,405.3136
403.3333,47.848492,800.0875,406.9157
406.6667,47.7222,800.2963,408.5163
410,47.59593,800.503,410.1148
413.3333,47.469664,800.7082,411.7111
416.6667,47.343365,800.9107,413.3049
420,47.217064,801.1116,414.8956
423.3333,47.090737,801.3103,416.4831
426.6667,46.964351,801.5068,418.0667
430,46.837942,801.7019,419.646
433.3333,46.711475,801.8951,421.2204
436.6667,46.584929,802.086,422.789
440,46.458328,802.2752,424.3505
443.3333,46.331643,802.463,425.9004
446.6667,46.204863,802.6488,427.4343
450,46.077987,802.8328,428.9547
453.3333,45.951011,803.0151,430.4631
456.6667,45.823917,803.1958,431.9605
460,45.696696,803.3748,433.4476
463.3333,45.569355,803.5526,434.9249
466.6667,45.441867,803.7282,436.393
470,45.314228,803.9023,437.8524
473.3333,45.186449,804.0754,439.3033
476.6667,45.058496,804.2466,440.7461
480,44.930363,804.4161,442.1812
483.3333,44.802076,804.5845,443.6088
486.6667,44.673589,804.7514,445.0291
490,44.544894,804.9166,446.4425
493.3333,44.416028,805.0809,447.8491
496.6667,44.286936,805.2433,449.2492
500,44.157619,805.4043,450.6429
503.3333,44.028106,805.5645,452.0304
506.6667,43.898344,805.723,453.4118
510,43.768342,805.8799,454.7875
513.3333,43.638119,806.036,456.1574
516.6667,43.507629,806.1907,457.5218
520,43.37688,806.344,458.8808
523.3333,43.245882,806.4961,460.2345
526.6667,43.11461,806.647,461.5831
530,42.983054,806.7965,462.9266
533.3333,42.851228,806.945,464.2653
536.6667,42.719114,807.0925,465.5992
540,42.586695,807.2382,466.9284
543.3333,42.453986,807.3831,468.253
546.6667,42.320977,807.527,469.5731
550,42.187641,807.6696,470.8889
553.3333,42.053999,807.8109,472.2005
556.6667,41.920041,807.9514,473.5078
560,41.785738,808.0905,474.8111
563.3333,41.651112,808.2288,476.1104
566.6667,41.516153,808.3659,477.4058
570,41.380833,808.5017,478.6973
573.3333,41.245177,808.6367,479.9851
576.6667,41.109168,808.7708,481.2693
580,40.972787,808.9037,482.5499
583.3333,40.836051,809.0354,483.8269
586.6667,40.698947,809.1664,485.1006
590,40.561464,809.2963,486.3709
593.3333,40.423601,809.4252,487.6379
596.6667,40.285362,809.5531,488.9017
600,40.146731,809.6801,490.1623
603.3333,40.007702,809.806,491.4199
606.6667,39.86829,809.9313,492.6744
610,39.728468,810.0554,493.926
613.3333,39.588237,810.1785,495.1747
616.6667,39.447617,810.301,496.4206
620,39.306571,810.4225,497.6637
623.3333,39.165103,810.5431,498.9041
626.6667,39.023239,810.6628,500.1419
630,38.880936,810.7817,501.377
633.3333,38.738207,810.8997,502.6096
636.6667,38.595066,811.0171,503.8397
640,38.45148,811.1334,505.0674
643.3333,38.307464,811.2489,506.2926
646.6667,38.163022,811.3638,507.5155
650,38.018135,811.4779,508.7361
653.3333,37.872804,811.5911,509.9544
656.6667,37.727045,811.7036,511.1705
660,37.580839,811.8154,512.3844
663.3333,37.434179,811.9263,513.5962
666.6667,37.28709,812.0368,514.8059
670,37.139547,812.1462,516.0134
673.3333,36.991546,812.255,517.2189
676.6667,36.843119,812.3633,518.4224
680,36.69423,812.4708,519.6239
683.3333,36.544886,812.5775,520.8234
686.6667,36.395113,812.6837,522.0209
690,36.244873,812.7892,523.2164
693.3333,36.094187,812.894,524.4101
696.6667,35.94306,812.9983,525.6018
700,35.791476,813.1018,526.7916
703.3333,35.63944,813.2046,527.9794
706.6667,35.486966,813.307,529.1654
710,35.334038,813.4088,530.3494
713.3333,35.180658,813.5097,531.5315
716.6667,35.026842,813.6103,532.7116
720,34.87257,813.7101,533.8898
723.3333,34.717844,813.8094,535.066
726.6667,34.56269,813.9081,536.2402
730,34.407074,814.0061,537.4124
733.3333,34.251016,814.1036,538.5826
736.6667,34.094518,814.2006,539.7506
740,33.93756,814.2969,540.9165
743.3333,33.780165,814.3926,542.0803
746.6667,33.622322,814.4877,543.2419
750,33.464023,814.5823,544.4012
753.3333,33.305279,814.6763,545.5582
756.6667,33.146086,814.7697,546.7129
760,32.986433,814.8624,547.8651
763.3333,32.82633,814.9546,549.0149
766.6667,32.665775,815.0464,550.1622
770,32.504744,815.1373,551.3068
773.3333,32.343272,815.2278,552.4488
776.6667,32.181325,815.3176,553.5881
780,32.018901,815.4069,554.7246
783.3333,31.856023,815.4958,555.8582
786.6667,31.692659,815.5838,556.9889
790,31.528814,815.6714,558.1167
793.3333,31.364494,815.7585,559.2413
796.6667,31.199683,815.8452,560.3629
800,31.034377,815.9311,561.4812
803.3333,30.868588,816.0167,562.5963
806.6667,30.702289,816.1018,563.7081
810,30.535491,816.1865,564.8166
813.3333,30.368194,816.2708,565.9216
816.6667,30.200376,816.3546,567.0232
820,30.032063,816.4383,568.1212
823.3333,29.863229,816.5216,569.2158
826.6667,29.693878,816.6047,570.3067
830,29.524027,816.6877,571.394
833.3333,29.353658,816.7705,572.4777
836.6667,29.182771,816.8533,573.5577
840,29.011391,816.9362,574.634
843.3333,28.839496,817.0191,575.7066
846.6667,28.66711,817.1023,576.7756
850,28.494236,817.1858,577.8408
853.3333,28.320869,817.2696,578.9023
856.6667,28.147046,817.354,579.9602
860,27.972759,817.4389,581.0144
863.3333,27.798021,817.5244,582.0649
866.6667,27.622866,817.6109,583.1117
870,27.447292,817.6982,584.155
873.3333,27.271328,817.7866,585.1946
876.6667,27.095001,817.8761,586.2306
880,26.918313,817.9668,587.263
883.3333,26.74132,818.059,588.2918
886.6667,26.564025,818.1525,589.3171
890,26.386462,818.2477,590.3388
893.3333,26.208671,818.3447,591.357
896.6667,26.030664,818.4433,592.3716
900,25.852497,818.544,593.3827
903.3333,25.674187,818.6465,594.3902
906.6667,25.495769,818.7512,595.3942
910,25.317291,818.858,596.3946
913.3333,25.138772,818.967,597.3913
916.6667,24.960265,819.0782,598.3843
920,24.781795,819.1918,599.3735
923.3333,24.603394,819.3077,600.359
926.6667,24.425114,819.4259,601.3407
930,24.246966,819.5464,602.3185
933.3333,24.069007,819.6694,603.2924
936.6667,23.891249,819.7946,604.2625
940,23.71373,819.9221,605.2287
943.3333,23.536482,820.0518,606.1911
946.6667,23.35952,820.1836,607.1497
950,23.182882,820.3176,608.1045
953.3333,23.006576,820.4536,609.0559
956.6667,22.830645,820.5916,610.0037
960,22.655086,820.7313,610.9484
963.3333,22.479917,820.8727,611.8902
966.6667,22.305123,821.0155,612.8296
970,22.13073,821.1597,613.7668
973.3333,21.956732,821.3051,614.7024
976.6667,21.783138,821.4517,615.6369
980,21.609945,821.5993,616.571
983.3333,21.437156,821.7477,617.5053
986.6667,21.26477,821.8969,618.4407
990,21.092779,822.0468,619.3781
993.3333,20.921182,822.1973,620.3184
996.6667,20.749973,822.3482,621.2627
1000,20.579148,822.4996,622.2122
1003.3333,20.408703,822.6515,623.1681
1006.6667,20.238626,822.8036,624.1319
1010,20.068922,822.9562,625.1048
1013.3333,19.899575,823.109,626.0884
1016.6667,19.730599,823.2624,627.0843
1020,19.561973,823.416,628.0943
1023.3333,19.393719,823.5703,629.1201
1026.6667,19.225822,823.7251,630.1635
1030,19.058299,823.8807,631.2267
1033.3333,18.891153,824.0372,632.3115
1036.6667,18.724394,824.1946,633.4204
1040,18.558049,824.3534,634.5556
1043.3333,18.392125,824.5137,635.7198
1046.6667,18.22666,824.6758,636.9155
1050,18.06168,824.84,638.1458
1053.3333,17.897215,825.0066,639.4139
1056.6667,17.733328,825.1761,640.7232
1060,17.570063,825.3488,642.0778
1063.3333,17.407488,825.5254,643.482
1066.6667,17.24571,825.7065,644.9411
1070,17.084747,825.8921,646.4596
1073.3333,16.924679,826.083,648.0436
1076.6667,16.765629,826.28,649.6999
1080,16.607738,826.4841,651.4367
1083.3333,16.451161,826.6962,653.2635
1086.6667,16.296087,826.9174,655.1912
1090,16.142736,827.1491,657.2331
1093.3333,15.991371,827.3926,659.4044
1096.6667,15.842294,827.6496,661.724
1100,15.695868,827.9222,664.2142
1103.3333,15.552527,828.2124,666.9025
