Time,Mass (g),T Back (K),T Top (K)
0,64.8,293.0,293.0
1,64.8,293.0,354.1
2,64.8,293.0,418.0
3,64.8,293.0,459.8
4,64.8,293.0,493.2
5,64.8,293.0,522.0
6,64.8,293.0,547.1
7,64.8,293.0,568.7
8,64.8,293.0,587.7
9,64.8,293.0,604.6
10,64.8,293.0,619.9
11,64.8,293.0,633.6
12,64.8,293.0,645.8
13,64.8,293.0,656.5
14,64.8,293.0,665.7
15,64.7,293.0,673.4
16,64.7,293.0,679.6
17,64.7,293.0,684.3
18,64.7,293.0,687.8
19,64.6,293.0,690.4
20,64.6,293.0,692.5
21,64.5,293.0,694.2
22,64.5,293.0,695.6
23,64.5,293.0,697.0
24,64.4,293.0,698.3
25,64.4,293.0,699.6
26,64.3,293.0,700.7
27,64.3,293.0,702.0
28,64.2,293.0,703.4
29,64.2,293.0,704.8
30,64.1,293.0,706.0
31,64.1,293.0,707.4
32,64.0,293.0,708.9
33,64.0,293.0,710.2
34,63.9,293.0,711.6
35,63.9,293.0,713.1
36,63.8,293.0,714.5
37,63.8,293.0,715.8
38,63.7,293.0,717.3
39,63.6,293.0,718.7
40,63.6,293.0,720.1
41,63.5,293.0,721.5
42,63.5,293.0,722.9
43,63.4,293.0,724.1
44,63.4,293.0,725.5
45,63.3,293.0,726.8
46,63.3,293.0,728.0
47,63.2,293.0,729.3
48,63.2,293.0,730.6
49,63.1,293.0,731.7
50,63.1,293.0,732.9
51,63.0,293.0,734.1
52,63.0,293.0,735.2
53,62.9,293.0,736.3
54,62.9,293.0,737.4
55,62.8,293.0,738.4
56,62.7,293.0,739.4
57,62.7,293.0,740.4
58,62.6,293.0,741.5
59,62.6,293.0,742.4
60,62.5,293.0,743.3
61,62.5,293.0,744.3
62,62.4,293.0,745.2
63,62.4,293.0,746.1
64,62.3,293.0,747.0
65,62.3,293.0,747.8
66,62.2,293.0,748.6
67,62.2,293.0,749.5
68,62.1,293.0,750.3
69,62.1,293.0,751.1
70,62.0,293.0,751.9
71,62.0,293.0,752.6
72,61.9,293.1,753.4
73,61.9,293.1,754.1
74,61.8,293.1,754.8
75,61.8,293.1,755.5
76,61.7,293.1,756.2
77,61.7,293.1,756.9
78,61.6,293.1,757.6
79,61.6,293.1,758.3
80,61.5,293.1,758.9
81,61.5,293.1,759.5
82,61.5,293.1,760.2
83,61.4,293.2,760.8
84,61.4,293.2,761.4
85,61.3,293.2,762.0
86,61.3,293.2,762.6
87,61.2,293.2,763.2
88,61.2,293.2,763.7
89,61.1,293.3,764.3
90,61.1,293.3,764.9
91,61.0,293.3,765.4
92,61.0,293.3,765.9
93,60.9,293.4,766.4
94,60.9,293.4,767.0
95,60.8,293.4,767.5
96,60.8,293.4,768.0
97,60.8,293.5,768.5
98,60.7,293.5,769.0
99,60.7,293.5,769.4
100,60.6,293.6,769.9
101,60.6,293.6,770.4
102,60.5,293.6,770.8
103,60.5,293.7,771.3
104,60.4,293.7,771.7
105,60.4,293.8,772.2
106,60.3,293.8,772.6
107,60.3,293.9,773.1
108,60.3,293.9,773.5
109,60.2,294.0,773.9
110,60.2,294.0,774.3
111,60.1,294.1,774.7
112,60.1,294.1,775.1
113,60.0,294.2,775.5
114,60.0,294.2,775.9
115,60.0,294.3,776.3
116,59.9,294.4,776.6
117,59.9,294.4,777.0
118,59.8,294.5,777.4
119,59.8,294.6,777.8
120,59.7,294.6,778.1
121,59.7,294.7,778.5
122,59.7,294.8,778.8
123,59.6,294.9,779.2
124,59.6,294.9,779.5
125,59.5,295.0,779.8
126,59.5,295.1,780.2
127,59.4,295.2,780.5
128,59.4,295.3,780.8
129,59.4,295.4,781.1
130,59.3,295.5,781.5
131,59.3,295.6,781.8
132,59.2,295.7,782.1
133,59.2,295.8,782.4
134,59.1,295.9,782.7
135,59.1,296.0,783.0
136,59.1,296.1,783.3
