Time,Temperature (K),Mass (mg),Heat Flow Rate (W/g)
0.0052367877,300.00872799999996,5.0,0.23222709
0.60223061,301.003718,5.0,2.4535055
1.2044612,302.007435,5.0,2.4642224
1.801455,303.00242499999996,5.0,2.4749131
2.4036856,304.00614199999995,5.0,2.4856038
3.0006795,305.001131,5.0,2.4962945
3.60291,306.004851,5.0,2.5066404
4.2051406,307.008566,5.0,2.5173311
4.8021345,308.003558,5.0,2.5280218
5.4043651,309.007273,5.0,2.5387127
6.001359,310.00226399999997,5.0,2.5494034
6.6035895,311.00598399999996,5.0,2.5600941
7.200583,312.000971,5.0,2.5707848
7.802814,313.004691,5.0,2.5811307
8.4050446,314.008406,5.0,2.5918214
9.002038,315.00339699999995,5.0,2.6025121
9.604269,316.007113,5.0,2.6132028
10.201262,317.002104,5.0,2.6238935
10.803493,318.00582399999996,5.0,2.6345842
11.400487,319.000811,5.0,2.6452749
12.002718,320.00453,4.9999997,2.6474202
12.604948,321.008246,4.9999997,2.6481695
13.201942,322.00323699999996,4.9999997,2.6489437
13.804173,323.00695299999995,4.9999997,2.649718
14.401166,324.001944,4.9999997,2.6504922
15.003397,325.00566299999997,4.9999997,2.6512666
15.60039,326.00065099999995,4.9999997,2.6520407
16.202621,327.00437,4.9999997,2.6528149
16.804852,328.008086,4.9999997,2.6535642
17.401846,329.00307699999996,4.9999997,2.6543384
18.004076,330.00679199999996,4.9999997,2.6551127
18.60107,331.001784,4.9999994,2.6558869
19.2033,332.005503,4.9999994,2.656661
19.800295,333.00049099999995,4.9999994,2.6574354
20.402525,334.00421,4.9999994,2.6582096
21.004755,335.007925,4.9999994,2.6589587
21.601749,336.00291699999997,4.9999994,2.6597331
22.203979,337.00663199999997,4.9999991,2.6605072
22.800974,338.001624,4.9999991,2.6612813
23.403204,339.005339,4.9999991,2.6620555
24.000198,340.00033399999995,4.9999991,2.6628296
24.602428,341.00405,4.9999988,2.6636038
25.20466,342.00776499999995,4.9999988,2.6643779
25.801653,343.002753,4.9999988,2.665127
26.403885,344.00647599999996,4.9999985,2.6659012
27.000877,345.00146299999994,4.9999985,2.6666753
27.603109,346.005179,4.9999982,2.6674492
28.200102,347.00017399999996,4.9999982,2.6682234
28.802332,348.00388899999996,4.9999979,2.6689975
29.404564,349.007605,4.9999979,2.6697714
30.001556,350.002592,4.9999976,2.6705205
30.603788,351.00631599999997,4.9999972999999995,2.6712945
31.200781,352.001303,4.9999972999999995,2.6720686
31.803013,353.00501899999995,4.999997,2.6728425
32.400005,354.00001399999996,4.9999967000000005,2.6736164
33.002235,355.00372899999996,4.999996400000001,2.6743903
