Temperature (K),Time,Mass (mg),Heat Flow Rate (W/g)
860,560,0.92,0.0511
860.5,560.5,0.92,0.051
861,561,0.92,0.051
861.5,561.5,0.92,0.051
862,562,0.92,0.051
862.5,562.5,0.92,0.051
863,563,0.92,0.051
863.5,563.5,0.91,0.051
864,564,0.91,0.051
864.5,564.5,0.91,0.051
865,565,0.91,0.051
865.5,565.5,0.91,0.051
866,566,0.91,0.051
866.5,566.5,0.91,0.051
867,567,0.91,0.0509
867.5,567.5,0.91,0.0509
868,568,0.91,0.0509
868.5,568.5,0.91,0.0509
869,569,0.91,0.0509
869.5,569.5,0.91,0.0509
870,570,0.91,0.0509
870.5,570.5,0.91,0.0509
871,571,0.91,0.0509
871.5,571.5,0.91,0.0509
872,572,0.91,0.0509
872.5,572.5,0.91,0.0509
873,573,0.91,0.0509
873.5,573.5,0.9,0.0509
874,574,0.9,0.0508
874.5,574.5,0.9,0.0508
875,575,0.9,0.0508
875.5,575.5,0.9,0.0508
876,576,0.9,0.0508
876.5,576.5,0.9,0.0508
877,577,0.9,0.0508
877.5,577.5,0.9,0.0508
878,578,0.9,0.0508
878.5,578.5,0.9,0.0508
879,579,0.9,0.0508
879.5,579.5,0.9,0.0508
880,580,0.9,0.0508
880.5,580.5,0.9,0.0508
881,581,0.9,0.0508
881.5,581.5,0.9,0.0508
882,582,0.9,0.0507
882.5,582.5,0.9,0.0507
883,583,0.9,0.0507
883.5,583.5,0.9,0.0507
884,584,0.9,0.0507
884.5,584.5,0.89,0.0507
885,585,0.89,0.0507
885.5,585.5,0.89,0.0507
886,586,0.89,0.0507
886.5,586.5,0.89,0.0507
887,587,0.89,0.0507
887.5,587.5,0.89,0.0507
888,588,0.89,0.0507
888.5,588.5,0.89,0.0507
889,589,0.89,0.0507
889.5,589.5,0.89,0.0507
890,590,0.89,0.0507
890.5,590.5,0.89,0.0506
891,591,0.89,0.0506
891.5,591.5,0.89,0.0506
892,592,0.89,0.0506
892.5,592.5,0.89,0.0506
893,593,0.89,0.0506
893.5,593.5,0.89,0.0506
894,594,0.89,0.0506
894.5,594.5,0.89,0.0506
895,595,0.89,0.0506
895.5,595.5,0.88,0.0506
896,596,0.88,0.0506
896.5,596.5,0.88,0.0506
897,597,0.88,0.0506
897.5,597.5,0.88,0.0506
898,598,0.88,0.0506
898.5,598.5,0.88,0.0506
899,599,0.88,0.0506
899.5,599.5,0.88,0.0506
900,600,0.88,0.0505
900.5,600.5,0.88,0.0505
901,601,0.88,0.0505
901.5,601.5,0.88,0.0505
902,602,0.88,0.0505
902.5,602.5,0.88,0.0505
903,603,0.88,0.0504
903.5,603.5,0.88,0.0504
904,604,0.88,0.0504
904.5,604.5,0.88,0.0504
905,605,0.88,0.0504
905.5,605.5,0.88,0.0503
906,606,0.88,0.0503
906.5,606.5,0.88,0.0503
907,607,0.87,0.0503
907.5,607.5,0.87,0.0502
908,608,0.87,0.0502
908.5,608.5,0.87,0.0502
909,609,0.87,0.0502
909.5,609.5,0.87,0.0502
910,610,0.87,0.0501
910.5,610.5,0.87,0.0501
911,611,0.87,0.0501
911.5,611.5,0.87,0.0501
912,612,0.87,0.05
912.5,612.5,0.87,0.05
913,613,0.87,0.05
913.5,613.5,0.87,0.05
914,614,0.87,0.05
914.5,614.5,0.87,0.0499
915,615,0.87,0.0499
915.5,615.5,0.87,0.0499
916,616,0.87,0.0499
916.5,616.5,0.87,0.0498
917,617,0.87,0.0498
917.5,617.5,0.87,0.0498
918,618,0.87,0.0498
918.5,618.5,0.87,0.0498
919,619,0.87,0.0497
919.5,619.5,0.86,0.0497
920,620,0.86,0.0497
920.5,620.5,0.86,0.0497
921,621,0.86,0.0497
921.5,621.5,0.86,0.0496
922,622,0.86,0.0496
922.5,622.5,0.86,0.0496
923,623,0.86,0.0496
923.5,623.5,0.86,0.0496
924,624,0.86,0.0495
924.5,624.5,0.86,0.0495
925,625,0.86,0.0495
925.5,625.5,0.86,0.0495
926,626,0.86,0.0495
926.5,626.5,0.86,0.0494
927,627,0.86,0.0494
927.5,627.5,0.86,0.0494
928,628,0.86,0.0494
928.5,628.5,0.86,0.0494
929,629,0.86,0.0493
929.5,629.5,0.86,0.0493
930,630,0.86,0.0493
930.5,630.5,0.86,0.0493
931,631,0.86,0.0493
931.5,631.5,0.86,0.0492
932,632,0.86,0.0492
932.5,632.5,0.85,0.0492
933,633,0.85,0.0492
933.5,633.5,0.85,0.0492
934,634,0.85,0.0491
934.5,634.5,0.85,0.0491
935,635,0.85,0.0491
935.5,635.5,0.85,0.0491
936,636,0.85,0.0491
936.5,636.5,0.85,0.049
937,637,0.85,0.049
937.5,637.5,0.85,0.049
938,638,0.85,0.049
938.5,638.5,0.85,0.049
939,639,0.85,0.0489
939.5,639.5,0.85,0.0489
940,640,0.85,0.0489
940.5,640.5,0.85,0.0489
941,641,0.85,0.0489
941.5,641.5,0.85,0.0489
942,642,0.85,0.0488
942.5,642.5,0.85,0.0488
943,643,0.85,0.0488
943.5,643.5,0.85,0.0488
944,644,0.85,0.0488
944.5,644.5,0.85,0.0487
945,645,0.85,0.0487
945.5,645.5,0.85,0.0487
946,646,0.85,0.0487
946.5,646.5,0.85,0.0487
947,647,0.84,0.0487
947.5,647.5,0.84,0.0486
948,648,0.84,0.0486
948.5,648.5,0.84,0.0486
949,649,0.84,0.0486
949.5,649.5,0.84,0.0486
950,650,0.84,0.0486
950.5,650.5,0.84,0.0485
951,651,0.84,0.0485
951.5,651.5,0.84,0.0485
952,652,0.84,0.0485
952.5,652.5,0.84,0.0485
953,653,0.84,0.0485
953.5,653.5,0.84,0.0484
954,654,0.84,0.0484
954.5,654.5,0.84,0.0484
955,655,0.84,0.0484
955.5,655.5,0.84,0.0484
956,656,0.84,0.0484
956.5,656.5,0.84,0.0483
957,657,0.84,0.0483
957.5,657.5,0.84,0.0483
958,658,0.84,0.0483
958.5,658.5,0.84,0.0483
959,659,0.84,0.0483
959.5,659.5,0.84,0.0482
960,660,0.84,0.0482
960.5,660.5,0.84,0.0482
961,661,0.84,0.0482
961.5,661.5,0.84,0.0482
962,662,0.84,0.0482
962.5,662.5,0.83,0.0481
963,663,0.83,0.0481
963.5,663.5,0.83,0.0481
964,664,0.83,0.0481
964.5,664.5,0.83,0.0481
965,665,0.83,0.0481
965.5,665.5,0.83,0.048
966,666,0.83,0.048
966.5,666.5,0.83,0.048
967,667,0.83,0.048
967.5,667.5,0.83,0.048
968,668,0.83,0.048
968.5,668.5,0.83,0.048
969,669,0.83,0.0479
969.5,669.5,0.83,0.0479
970,670,0.83,0.0479
970.5,670.5,0.83,0.0479
971,671,0.83,0.0479
971.5,671.5,0.83,0.0479
972,672,0.83,0.0479
972.5,672.5,0.83,0.0478
973,673,0.83,0.0478
973.5,673.5,0.83,0.0478
974,674,0.83,0.0478
974.5,674.5,0.83,0.0478
975,675,0.83,0.0478
975.5,675.5,0.83,0.0478
976,676,0.83,0.0477
976.5,676.5,0.83,0.0477
977,677,0.83,0.0477
977.5,677.5,0.83,0.0477
978,678,0.83,0.0477
978.5,678.5,0.83,0.0477
979,679,0.83,0.0477
979.5,679.5,0.83,0.0476
980,680,0.82,0.0476
