Time (s),Mass (g),T Top (K),T Back (K)
0,21.4,297.8,293.0
1,21.4,375.9,293.0
2,21.4,454.1,293.0
3,21.4,481.5,293.0
4,21.4,508.8,293.0
5,21.4,526.8,293.0
6,21.4,544.8,293.0
7,21.4,558.2,293.1
8,21.4,571.5,293.1
9,21.4,582.1,293.3
10,21.4,592.7,293.5
11,21.4,601.3,293.9
12,21.4,610.0,294.3
13,21.4,617.3,295.0
14,21.4,624.6,295.7
15,21.4,631.0,296.7
16,21.4,637.3,297.7
17,21.4,642.8,299.0
18,21.4,648.3,300.3
19,21.4,653.1,301.9
20,21.4,658.0,303.4
21,21.4,662.3,305.3
22,21.4,666.6,307.1
23,21.3,670.4,309.1
24,21.3,674.2,311.2
25,21.3,677.6,313.4
26,21.3,680.9,315.6
27,21.2,683.8,318.0
28,21.2,686.6,320.4
29,21.2,689.0,323.0
30,21.1,691.4,325.6
31,21.1,693.5,328.3
32,21.1,695.5,331.0
33,21.0,697.2,333.8
34,21.0,699.0,336.6
35,20.9,700.5,339.5
36,20.9,702.0,342.5
37,20.8,703.4,345.4
38,20.8,704.7,348.4
39,20.7,706.0,351.4
40,20.7,707.3,354.5
41,20.6,708.5,357.5
42,20.6,709.7,360.6
43,20.5,710.9,363.7
44,20.5,712.1,366.8
45,20.4,713.2,369.8
46,20.4,714.4,372.9
47,20.3,715.5,376.0
48,20.2,716.6,379.1
49,20.2,717.7,382.2
50,20.1,718.8,385.2
51,20.1,719.8,388.3
52,20.0,720.9,391.4
53,20.0,721.9,394.4
54,19.9,723.0,397.4
55,19.9,724.0,400.4
56,19.8,725.0,403.4
57,19.7,725.9,406.4
58,19.7,726.9,409.3
59,19.6,727.9,412.3
60,19.6,728.8,415.2
61,19.5,729.8,418.0
62,19.5,730.7,420.9
63,19.4,731.6,423.7
64,19.3,732.5,426.5
65,19.3,733.3,429.2
66,19.2,734.2,431.9
67,19.2,735.1,434.5
68,19.1,735.9,437.1
69,19.0,736.7,439.6
70,19.0,737.6,442.1
71,18.9,738.4,444.6
72,18.9,739.2,447.0
73,18.8,739.9,449.4
74,18.8,740.7,451.8
75,18.7,741.5,454.2
76,18.6,742.2,456.5
77,18.6,743.0,458.8
78,18.5,743.7,461.1
79,18.5,744.4,463.3
80,18.4,745.2,465.6
81,18.3,745.9,467.8
82,18.3,746.6,470.0
83,18.2,747.2,472.1
84,18.1,747.9,474.3
85,18.1,748.6,476.4
86,18.0,749.3,478.5
87,18.0,749.9,480.6
88,17.9,750.6,482.7
89,17.8,751.2,484.7
90,17.8,751.8,486.8
91,17.7,752.4,488.8
92,17.6,753.1,490.8
93,17.6,753.7,492.8
94,17.5,754.3,494.8
95,17.5,754.9,496.7
96,17.4,755.4,498.7
97,17.3,756.0,500.6
98,17.3,756.6,502.5
99,17.2,757.2,504.4
100,17.1,757.7,506.3
101,17.1,758.3,508.2
102,17.0,758.8,510.1
103,16.9,759.3,511.9
104,16.9,759.9,513.8
105,16.8,760.4,515.6
106,16.7,760.9,517.4
107,16.6,761.4,519.2
108,16.6,761.9,521.0
109,16.5,762.4,522.8
110,16.4,762.9,524.6
111,16.4,763.4,526.4
112,16.3,763.9,528.1
113,16.2,764.4,529.9
114,16.2,764.9,531.6
115,16.1,765.3,533.3
116,16.0,765.8,535.0
117,15.9,766.3,536.8
118,15.9,766.7,538.5
119,15.8,767.2,540.1
120,15.7,767.6,541.8
121,15.6,768.1,543.5
122,15.6,768.5,545.2
123,15.5,768.9,546.8
124,15.4,769.4,548.5
125,15.3,769.8,550.1
126,15.3,770.2,551.8
127,15.2,770.6,553.4
128,15.1,771.0,555.0
129,15.0,771.4,556.6
130,15.0,771.8,558.2
131,14.9,772.2,559.8
132,14.8,772.6,561.4
133,14.7,773.0,563.0
134,14.6,773.4,564.6
135,14.6,773.8,566.1
136,14.5,774.2,567.7
137,14.4,774.5,569.2
138,14.3,774.9,570.8
139,14.2,775.3,572.3
140,14.1,775.6,573.9
141,14.1,776.0,575.4
142,14.0,776.3,576.9
143,13.9,776.7,578.4
144,13.8,777.0,579.9
145,13.7,777.4,581.4
146,13.6,777.7,582.9
147,13.5,778.1,584.4
148,13.5,778.4,585.9
149,13.4,778.7,587.4
150,13.3,779.1,588.8
151,13.2,779.4,590.3
152,13.1,779.7,591.7
153,13.0,780.0,593.2
154,12.9,780.3,594.6
