Time,Mass (g),T Back (K),T Top (K)
0,21.6,293.0,293.0
1,21.6,293.0,315.2
2,21.6,293.0,338.0
3,21.6,293.0,352.6
4,21.6,293.0,364.3
5,21.6,293.0,374.1
6,21.6,293.0,382.8
7,21.6,293.0,390.6
8,21.6,293.0,397.7
9,21.6,293.0,404.2
10,21.6,293.0,410.2
11,21.6,293.1,415.8
12,21.6,293.1,421.1
13,21.6,293.2,426.1
14,21.6,293.4,430.8
15,21.6,293.5,435.3
16,21.6,293.8,439.5
17,21.6,294.0,443.5
18,21.6,294.4,447.4
19,21.6,294.8,451.1
20,21.6,295.2,454.6
21,21.6,295.7,458.0
22,21.6,296.3,461.3
23,21.6,296.9,464.4
24,21.6,297.6,467.4
25,21.6,298.4,470.4
26,21.6,299.2,473.2
27,21.6,300.1,475.9
28,21.6,301.0,478.6
29,21.6,302.0,481.2
30,21.6,303.0,483.6
31,21.6,304.1,486.1
32,21.6,305.2,488.4
33,21.6,306.3,490.7
34,21.6,307.5,492.9
35,21.6,308.7,495.0
36,21.6,309.9,497.1
37,21.6,311.2,499.2
38,21.6,312.5,501.2
39,21.6,313.8,503.1
40,21.6,315.1,505.0
41,21.6,316.5,506.8
42,21.6,317.8,508.6
43,21.6,319.2,510.3
44,21.6,320.6,512.0
45,21.6,322.1,513.7
46,21.6,323.5,515.3
47,21.6,324.9,516.9
48,21.6,326.4,518.5
49,21.6,327.9,520.0
50,21.6,329.3,521.5
51,21.6,330.8,522.9
52,21.6,332.3,524.4
53,21.6,333.8,525.7
54,21.6,335.2,527.1
55,21.6,336.7,528.4
56,21.6,338.2,529.7
57,21.6,339.7,531.0
58,21.6,341.2,532.2
59,21.6,342.7,533.4
60,21.6,344.2,534.6
61,21.6,345.7,535.8
62,21.6,347.2,536.9
63,21.6,348.7,538.1
64,21.6,350.2,539.1
65,21.6,351.6,540.2
66,21.6,353.1,541.3
67,21.6,354.6,542.3
68,21.6,356.0,543.3
69,21.6,357.5,544.4
70,21.6,359.0,545.3
71,21.6,360.4,546.3
72,21.6,361.9,547.3
73,21.6,363.3,548.2
74,21.6,364.7,549.1
75,21.6,366.2,550.0
76,21.6,367.6,550.9
77,21.6,369.0,551.8
78,21.6,370.4,552.7
79,21.6,371.8,553.5
80,21.6,373.2,554.4
81,21.6,374.6,555.2
82,21.6,376.0,556.0
83,21.6,377.4,556.8
84,21.6,378.8,557.6
85,21.5,380.1,558.4
86,21.5,381.5,559.2
87,21.5,382.9,560.0
88,21.5,384.2,560.7
89,21.5,385.5,561.5
90,21.5,386.9,562.2
91,21.5,388.2,562.9
92,21.5,389.5,563.6
93,21.5,390.8,564.3
94,21.5,392.1,565.0
95,21.5,393.4,565.7
96,21.5,394.7,566.4
97,21.5,396.0,567.1
98,21.5,397.3,567.7
99,21.5,398.5,568.4
100,21.5,399.8,569.0
101,21.5,401.0,569.7
102,21.5,402.3,570.3
103,21.5,403.5,570.9
104,21.5,404.7,571.5
105,21.5,405.9,572.1
106,21.5,407.1,572.7
107,21.5,408.3,573.3
108,21.5,409.5,573.9
109,21.5,410.7,574.5
110,21.5,411.9,575.1
111,21.5,413.0,575.6
112,21.5,414.2,576.2
113,21.5,415.3,576.7
114,21.5,416.5,577.3
115,21.5,417.6,577.8
116,21.5,418.7,578.3
117,21.5,419.8,578.9
118,21.4,420.9,579.4
119,21.4,422.0,579.9
120,21.4,423.1,580.4
121,21.4,424.2,580.9
122,21.4,425.2,581.4
123,21.4,426.3,581.9
124,21.4,427.3,582.3
125,21.4,428.3,582.8
126,21.4,429.3,583.3
127,21.4,430.3,583.7
128,21.4,431.3,584.2
129,21.4,432.3,584.6
130,21.4,433.2,585.1
131,21.4,434.2,585.5
132,21.4,435.1,586.0
133,21.4,436.1,586.4
134,21.4,437.0,586.8
135,21.4,437.9,587.2
136,21.4,438.9,587.6
137,21.4,439.8,588.0
138,21.4,440.7,588.4
139,21.3,441.6,588.8
140,21.3,442.4,589.2
141,21.3,443.3,589.6
142,21.3,444.2,590.0
143,21.3,445.1,590.4
144,21.3,445.9,590.7
145,21.3,446.8,591.1
146,21.3,447.6,591.5
147,21.3,448.5,591.8
148,21.3,449.3,592.2
149,21.3,450.1,592.5
150,21.3,451.0,592.9
151,21.3,451.8,593.2
152,21.3,452.6,593.5
153,21.3,453.4,593.9
154,21.3,454.2,594.2
155,21.2,455.0,594.5
156,21.2,455.8,594.8
157,21.2,456.6,595.1
158,21.2,457.4,595.4
159,21.2,458.2,595.7
160,21.2,458.9,596.0
161,21.2,459.7,596.3
162,21.2,460.5,596.6
163,21.2,461.3,596.9
164,21.2,462.0,597.2
165,21.2,462.8,597.5
166,21.2,463.6,597.7
167,21.2,464.3,598.0
168,21.1,465.1,598.3
169,21.1,465.8,598.6
170,21.1,466.6,598.8
171,21.1,467.3,599.1
172,21.1,468.1,599.3
173,21.1,468.8,599.6
174,21.1,469.6,599.8
175,21.1,470.3,600.1
176,21.1,471.0,600.3
177,21.1,471.8,600.6
178,21.1,472.5,600.8
179,21.0,473.2,601.0
180,21.0,473.9,601.3
181,21.0,474.7,601.5
182,21.0,475.4,601.7
183,21.0,476.1,602.0
184,21.0,476.8,602.2
185,21.0,477.5,602.4
186,21.0,478.2,602.6
187,21.0,478.9,602.8
188,21.0,479.6,603.1
189,21.0,480.3,603.3
190,20.9,481.0,603.5
191,20.9,481.7,603.7
192,20.9,482.4,603.9
193,20.9,483.1,604.1
194,20.9,483.8,604.3
195,20.9,484.5,604.5
196,20.9,485.1,604.7
197,20.9,485.8,604.9
198,20.9,486.5,605.1
199,20.8,487.1,605.3
200,20.8,487.8,605.5
201,20.8,488.5,605.6
202,20.8,489.1,605.8
203,20.8,489.8,606.0
204,20.8,490.4,606.2
205,20.8,491.1,606.4
206,20.8,491.7,606.6
207,20.8,492.4,606.7
208,20.7,493.0,606.9
209,20.7,493.7,607.1
210,20.7,494.3,607.3
211,20.7,494.9,607.5
212,20.7,495.6,607.6
213,20.7,496.2,607.8
214,20.7,496.8,608.0
215,20.7,497.5,608.1
216,20.7,498.1,608.3
217,20.6,498.7,608.5
218,20.6,499.3,608.6
219,20.6,499.9,608.8
220,20.6,500.5,609.0
221,20.6,501.2,609.1
222,20.6,501.8,609.3
223,20.6,502.4,609.5
224,20.6,503.0,609.6
225,20.5,503.6,609.8
226,20.5,504.2,609.9
227,20.5,504.8,610.1
228,20.5,505.4,610.2
229,20.5,505.9,610.4
230,20.5,506.5,610.6
231,20.5,507.1,610.7
232,20.4,507.7,610.9
233,20.4,508.3,611.0
234,20.4,508.9,611.2
235,20.4,509.4,611.3
236,20.4,510.0,611.5
237,20.4,510.6,611.6
238,20.4,511.1,611.8
239,20.3,511.7,611.9
240,20.3,512.3,612.0
241,20.3,512.8,612.2
242,20.3,513.4,612.3
243,20.3,514.0,612.5
244,20.3,514.5,612.6
245,20.3,515.1,612.8
246,20.2,515.6,612.9
247,20.2,516.2,613.1
248,20.2,516.7,613.2
249,20.2,517.3,613.3
250,20.2,517.8,613.5
251,20.2,518.4,613.6
252,20.2,518.9,613.7
253,20.1,519.4,613.9
254,20.1,520.0,614.0
255,20.1,520.5,614.2
256,20.1,521.0,614.3
257,20.1,521.6,614.4
258,20.1,522.1,614.6
259,20.0,522.6,614.7
260,20.0,523.2,614.8
261,20.0,523.7,615.0
262,20.0,524.2,615.1
263,20.0,524.7,615.2
264,20.0,525.3,615.4
265,19.9,525.8,615.5
266,19.9,526.3,615.6
267,19.9,526.8,615.7
268,19.9,527.3,615.9
269,19.9,527.8,616.0
270,19.9,528.4,616.1
271,19.8,528.9,616.3
272,19.8,529.4,616.4
273,19.8,529.9,616.5
274,19.8,530.4,616.6
275,19.8,530.9,616.8
276,19.8,531.4,616.9
277,19.7,531.9,617.0
278,19.7,532.4,617.1
279,19.7,532.9,617.2
280,19.7,533.4,617.4
281,19.7,533.8,617.5
282,19.7,534.3,617.6
283,19.6,534.8,617.7
284,19.6,535.3,617.8
285,19.6,535.8,618.0
286,19.6,536.3,618.1
287,19.6,536.7,618.2
288,19.5,537.2,618.3
289,19.5,537.7,618.4
290,19.5,538.2,618.6
291,19.5,538.6,618.7
292,19.5,539.1,618.8
293,19.4,539.6,618.9
294,19.4,540.0,619.0
295,19.4,540.5,619.1
296,19.4,540.9,619.2
297,19.4,541.4,619.4
298,19.4,541.9,619.5
299,19.3,542.3,619.6
300,19.3,542.8,619.7
301,19.3,543.2,619.8
302,19.3,543.7,619.9
303,19.3,544.1,620.0
304,19.2,544.6,620.1
305,19.2,545.0,620.2
306,19.2,545.4,620.3
307,19.2,545.9,620.5
308,19.2,546.3,620.6
309,19.1,546.8,620.7
310,19.1,547.2,620.8
311,19.1,547.6,620.9
312,19.1,548.0,621.0
313,19.1,548.5,621.1
314,19.0,548.9,621.2
315,19.0,549.3,621.3
316,19.0,549.7,621.4
317,19.0,550.2,621.5
318,19.0,550.6,621.6
319,18.9,551.0,621.7
320,18.9,551.4,621.8
321,18.9,551.8,621.9
322,18.9,552.2,622.0
323,18.9,552.7,622.1
324,18.8,553.1,622.2
325,18.8,553.5,622.3
326,18.8,553.9,622.4
327,18.8,554.3,622.5
328,18.7,554.7,622.6
329,18.7,555.1,622.7
330,18.7,555.5,622.8
331,18.7,555.9,622.9
332,18.7,556.3,623.0
333,18.6,556.7,623.1
334,18.6,557.0,623.2
335,18.6,557.4,623.3
336,18.6,557.8,623.4
337,18.5,558.2,623.5
338,18.5,558.6,623.5
339,18.5,559.0,623.6
340,18.5,559.3,623.7
341,18.5,559.7,623.8
342,18.4,560.1,623.9
343,18.4,560.5,624.0
344,18.4,560.8,624.1
345,18.4,561.2,624.2
