Time (s),Mass (g),T Top (K),T Back (K)
0,64.35,320.1088,293
2.5,64.349508,602.3517,293
5,64.33941,684.4586,293
7.5,64.274157,734.3746,293
10,64.059063,760.519,293
12.5,63.76532,779.6056,293
15,63.468056,796.0216,293
17.5,63.176289,809.8127,293
20,62.891236,821.4835,293
22.5,62.612491,831.4476,293
25,62.33914,840.0298,293
27.5,62.070418,847.4954,293
30,61.805769,854.0655,293.0001
32.5,61.544732,859.892,293.0002
35,61.287014,865.1006,293.0004
37.5,61.032394,869.7834,293.001
40,60.780801,874.0294,293.0022
42.5,60.532166,877.9097,293.0044
45,60.286324,881.4664,293.008
47.5,60.04316,884.7337,293.0136
50,59.802746,887.7645,293.0221
52.5,59.564957,890.5807,293.0344
55,59.329687,893.2012,293.0515
57.5,59.096934,895.6543,293.0744
60,58.866622,897.9571,293.1045
62.5,58.638651,900.1182,293.1429
65,58.41304,902.1607,293.191
67.5,58.189672,904.0915,293.2501
70,57.96844,905.9146,293.3216
72.5,57.74945,907.6529,293.4066
75,57.53249,909.3032,293.5065
77.5,57.317525,910.8724,293.6225
80,57.104622,912.3761,293.7557
82.5,56.893564,913.8082,293.9074
85,56.684421,915.1818,294.0785
87.5,56.47712,916.4992,294.2699
90,56.271553,917.7613,294.4825
92.5,56.067764,918.9766,294.7172
95,55.865622,920.1432,294.9747
97.5,55.665173,921.2699,295.2555
100,55.466301,922.3537,295.5604
102.5,55.269018,923.4015,295.8896
105,55.073241,924.4121,296.2438
107.5,54.878965,925.3897,296.6231
110,54.686149,926.336,297.028
112.5,54.494724,927.2496,297.4585
115,54.304741,928.1383,297.9149
117.5,54.11604,928.9966,298.3973
120,53.928746,929.8325,298.9057
122.5,53.742662,930.6411,299.4401
125,53.557915,931.43,300.0006
127.5,53.374339,932.1933,300.5869
130,53.192018,932.9384,301.199
132.5,53.010831,933.6619,301.8368
135,52.830828,934.3664,302.5001
137.5,52.651922,935.0524,303.1886
140,52.474134,935.7211,303.9022
142.5,52.297409,936.3725,304.6406
145,52.12175,937.0085,305.4036
147.5,51.947105,937.6278,306.1908
150,51.773488,938.2333,307.0021
