Time,Temperature,Mass,,,,
[min],[K],[mg],,,,
0,316.497,5.1344,,,,
0.1,317.497,5.1324,,,,
0.2,318.497,5.1326,,,,
0.3,319.497,5.1322,,,,
0.4,320.497,5.1317,,,,
0.5,321.497,5.1319,,,,
0.6,322.497,5.1321,,,,
0.7,323.497,5.1324,,,,
0.8,324.497,5.1346,,,,
0.9,325.497,5.1385,,,,
1,326.497,5.1423,,,,
1.1,327.497,5.1479,,,,
1.2,328.497,5.1522,,,,
1.3,329.497,5.1559,,,,
1.4,330.497,5.1609,,,,
1.5,331.497,5.1663,,,,
1.6,332.497,5.1718,,,,
1.7,333.497,5.1765,,,,
1.8,334.497,5.1796,,,,
1.9,335.497,5.1833,,,,
2,336.497,5.1856,,,,
2.1,337.497,5.1888,,,,
2.2,338.497,5.1913,,,,
2.3,339.497,5.1929,,,,
2.4,340.497,5.1945,,,,
2.5,341.497,5.1951,,,,
2.6,342.497,5.1984,,,,
2.7,343.497,5.1984,,,,
2.8,344.497,5.1986,,,,
2.9,345.497,5.1999,,,,
3,346.497,5.1991,,,,
3.1,347.497,5.2041,,,,
3.2,348.497,5.1989,,,,
3.3,349.497,5.1977,,,,
3.4,350.497,5.1955,,,,
3.5,351.497,5.1959,,,,
3.6,352.497,5.1952,,,,
3.7,353.497,5.194,,,,
3.8,354.497,5.1923,,,,
3.9,355.497,5.1906,,,,
4,356.497,5.1909,,,,
4.1,357.497,5.1921,,,,
4.2,358.497,5.1918,,,,
4.3,359.497,5.1918,,,,
4.4,360.497,5.1914,,,,
4.5,361.497,5.1895,,,,
4.6,362.497,5.1889,,,,
4.7,363.497,5.1882,,,,
4.8,364.497,5.1883,,,,
4.9,365.497,5.189,,,,
5,366.497,5.1902,,,,
5.1,367.497,5.19,,,,
5.2,368.497,5.1882,,,,
5.3,369.497,5.1867,,,,
5.4,370.497,5.1878,,,,
5.5,371.497,5.1898,,,,
5.6,372.497,5.1897,,,,
5.7,373.497,5.19,,,,
5.8,374.497,5.1902,,,,
5.9,375.497,5.1899,,,,
6,376.497,5.1901,,,,
6.1,377.497,5.1906,,,,
6.2,378.497,5.1912,,,,
6.3,379.497,5.1921,,,,
6.4,380.497,5.195,,,,
6.5,381.497,5.1992,,,,
6.6,382.497,5.1989,,,,
6.7,383.497,5.1957,,,,
6.8,384.497,5.1938,,,,
6.9,385.497,5.1913,,,,
7,386.497,5.1916,,,,
7.1,387.497,5.1916,,,,
7.2,388.497,5.1924,,,,
7.3,389.497,5.1938,,,,
7.4,390.497,5.1958,,,,
7.5,391.497,5.196,,,,
7.6,392.497,5.1981,,,,
7.7,393.497,5.1971,,,,
7.8,394.497,5.1948,,,,
7.9,395.497,5.1937,,,,
8,396.497,5.193,,,,
8.1,397.497,5.192,,,,
8.2,398.497,5.1918,,,,
8.3,399.497,5.1916,,,,
8.4,400.497,5.191,,,,
8.5,401.497,5.1916,,,,
8.6,402.497,5.1935,,,,
8.7,403.497,5.1941,,,,
8.8,404.497,5.1937,,,,
8.9,405.497,5.1932,,,,
9,406.497,5.1928,,,,
9.1,407.497,5.1924,,,,
9.2,408.497,5.1923,,,,
9.3,409.497,5.1922,,,,
9.4,410.497,5.1911,,,,
9.5,411.497,5.1904,,,,
9.6,412.497,5.1905,,,,
9.7,413.497,5.1904,,,,
9.8,414.497,5.1897,,,,
9.9,415.497,5.1882,,,,
10,416.497,5.1896,,,,
10.1,417.497,5.1899,,,,
10.2,418.497,5.1892,,,,
10.3,419.497,5.1881,,,,
10.4,420.497,5.1881,,,,
10.5,421.497,5.1881,,,,
10.6,422.497,5.1881,,,,
10.7,423.497,5.1881,,,,
10.8,424.497,5.1881,,,,
10.9,425.497,5.1881,,,,
11,426.497,5.1881,,,,
11.1,427.497,5.1888,,,,
11.2,428.497,5.1917,,,,
11.3,429.497,5.1915,,,,
11.4,430.497,5.1903,,,,
11.5,431.497,5.1882,,,,
11.6,432.497,5.1869,,,,
11.7,433.497,5.1863,,,,
11.8,434.497,5.1855,,,,
11.9,435.497,5.1862,,,,
12,436.497,5.1853,,,,
12.1,437.497,5.185,,,,
12.2,438.497,5.1837,,,,
12.3,439.497,5.1834,,,,
12.4,440.497,5.1838,,,,
12.5,441.497,5.1855,,,,
12.6,442.497,5.186,,,,
12.7,443.497,5.185,,,,
12.8,444.497,5.1843,,,,
12.9,445.497,5.183,,,,
