Time,Temperature,Mass,
[s],[K],[mg],
0,316.205,5.3138,
0.1,317.205,5.3137,
0.2,318.205,5.3165,
0.3,319.205,5.3183,
0.4,320.205,5.3201,
0.5,321.205,5.3205,
0.6,322.205,5.3212,
0.7,323.205,5.3235,
0.8,324.205,5.3258,
0.9,325.205,5.33,
1,326.205,5.3342,
1.1,327.205,5.3404,
1.2,328.205,5.3451,
1.3,329.205,5.3508,
1.4,330.205,5.3573,
1.5,331.205,5.3628,
1.6,332.205,5.3698,
1.7,333.205,5.3752,
1.8,334.205,5.3794,
1.9,335.205,5.3831,
2,336.205,5.3867,
2.1,337.205,5.3899,
2.2,338.205,5.3924,
2.3,339.205,5.3943,
2.4,340.205,5.3949,
2.5,341.205,5.3949,
2.6,342.205,5.3949,
2.7,343.205,5.3949,
2.8,344.205,5.3964,
2.9,345.205,5.3982,
3,346.205,5.3997,
3.1,347.205,5.3994,
3.2,348.205,5.3969,
3.3,349.205,5.3948,
3.4,350.205,5.3922,
3.5,351.205,5.3911,
3.6,352.205,5.3937,
3.7,353.205,5.3935,
3.8,354.205,5.3917,
3.9,355.205,5.3897,
4,356.205,5.3886,
4.1,357.205,5.3885,
4.2,358.205,5.3884,
4.3,359.205,5.3892,
4.4,360.205,5.3897,
4.5,361.205,5.3887,
4.6,362.205,5.3878,
4.7,363.205,5.3878,
4.8,364.205,5.389,
4.9,365.205,5.3911,
5,366.205,5.3915,
5.1,367.205,5.391,
5.2,368.205,5.3891,
5.3,369.205,5.3869,
5.4,370.205,5.3874,
5.5,371.205,5.388,
5.6,372.205,5.3877,
5.7,373.205,5.387,
5.8,374.205,5.3867,
5.9,375.205,5.3878,
6,376.205,5.391,
6.1,377.205,5.3917,
6.2,378.205,5.3926,
6.3,379.205,5.3935,
6.4,380.205,5.3943,
6.5,381.205,5.3979,
6.6,382.205,5.3995,
6.7,383.205,5.3996,
6.8,384.205,5.3983,
6.9,385.205,5.3963,
7,386.205,5.3949,
7.1,387.205,5.3945,
7.2,388.205,5.3933,
7.3,389.205,5.3969,
7.4,390.205,5.3986,
7.5,391.205,5.3986,
7.6,392.205,5.3973,
7.7,393.205,5.3961,
7.8,394.205,5.3952,
7.9,395.205,5.3946,
8,396.205,5.3946,
8.1,397.205,5.394,
8.2,398.205,5.3945,
8.3,399.205,5.3952,
8.4,400.205,5.3947,
8.5,401.205,5.3941,
8.6,402.205,5.3934,
8.7,403.205,5.3934,
8.8,404.205,5.3934,
8.9,405.205,5.3942,
9,406.205,5.3951,
9.1,407.205,5.3956,
9.2,408.205,5.3955,
9.3,409.205,5.3953,
9.4,410.205,5.3943,
9.5,411.205,5.393,
9.6,412.205,5.3928,
9.7,413.205,5.3927,
9.8,414.205,5.3922,
9.9,415.205,5.3906,
10,416.205,5.3903,
10.1,417.205,5.3905,
10.2,418.205,5.3907,
10.3,419.205,5.3893,
10.4,420.205,5.3894,
10.5,421.205,5.3896,
10.6,422.205,5.3898,
10.7,423.205,5.39,
10.8,424.205,5.3901,
10.9,425.205,5.3901,
11,426.205,5.3901,
11.1,427.205,5.3902,
11.2,428.205,5.3903,
11.3,429.205,5.3909,
11.4,430.205,5.3913,
11.5,431.205,5.3902,
11.6,432.205,5.3892,
11.7,433.205,5.3884,
11.8,434.205,5.3874,
11.9,435.205,5.3879,
12,436.205,5.3888,
12.1,437.205,5.3895,
12.2,438.205,5.3897,
12.3,439.205,5.3899,
12.4,440.205,5.3883,
12.5,441.205,5.3879,
12.6,442.205,5.3874,
12.7,443.205,5.3862,
12.8,444.205,5.3855,
12.9,445.205,5.3842,
13,446.205,5.383,
13.1,447.205,5.3822,
13.2,448.205,5.3821,
13.3,449.205,5.382,
13.4,450.205,5.3821,
13.5,451.205,5.3823,
13.6,452.205,5.3826,
13.7,453.205,5.3826,
13.8,454.205,5.3826,
13.9,455.205,5.3816,
14,456.205,5.3805,
14.1,457.205,5.3805,
14.2,458.205,5.3805,
14.3,459.205,5.3812,
14.4,460.205,5.3815,
14.5,461.205,5.3818,
14.6,462.205,5.3811,
14.7,463.205,5.3804,
14.8,464.205,5.3812,
14.9,465.205,5.3817,
15,466.205,5.3822,
15.1,467.205,5.3823,
15.2,468.205,5.382,
15.3,469.205,5.3806,
15.4,470.205,5.3796,
15.5,471.205,5.3798,
15.6,472.205,5.3801,
15.7,473.205,5.3797,
15.8,474.205,5.3793,
15.9,475.205,5.3789,
16,476.205,5.3789,
16.1,477.205,5.3788,
16.2,478.205,5.3786,
16.3,479.205,5.3784,
16.4,480.205,5.3781,
16.5,481.205,5.3778,
16.6,482.205,5.3791,
16.7,483.205,5.3793,
16.8,484.205,5.3792,
16.9,485.205,5.3792,
17,486.205,5.3791,
17.1,487.205,5.3791,
17.2,488.205,5.3777,
17.3,489.205,5.377,
17.4,490.205,5.3764,
17.5,491.205,5.3762,
17.6,492.205,5.3762,
17.7,493.205,5.3764,
17.8,494.205,5.3767,
17.9,495.205,5.3769,
18,496.205,5.3769,
18.1,497.205,5.3768,
18.2,498.205,5.3768,
18.3,499.205,5.3768,
18.4,500.205,5.3776,
18.5,501.205,5.3776,
18.6,502.205,5.3771,
18.7,503.205,5.3768,
18.8,504.205,5.377,
18.9,505.205,5.3771,
19,506.205,5.3772,
19.1,507.205,5.3773,
19.2,508.205,5.3772,
19.3,509.205,5.3776,
19.4,510.205,5.3774,
19.5,511.205,5.3769,
19.6,512.205,5.3764,
19.7,513.205,5.3761,
19.8,514.205,5.3758,
19.9,515.205,5.3756,
20,516.205,5.3753,
20.1,517.205,5.3749,
20.2,518.205,5.3741,
20.3,519.205,5.374,
20.4,520.205,5.3739,
20.5,521.205,5.3738,
20.6,522.205,5.3736,
20.7,523.205,5.3732,
20.8,524.205,5.3715,
20.9,525.205,5.3711,
21,526.205,5.371,
21.1,527.205,5.3709,
21.2,528.205,5.3693,
21.3,529.205,5.3686,
21.4,530.205,5.3661,
21.5,531.205,5.3634,
21.6,532.205,5.3597,
21.7,533.205,5.3571,
21.8,534.205,5.3541,
21.9,535.205,5.3512,
22,536.205,5.3473,
22.1,537.205,5.3437,
22.2,538.205,5.3385,
22.3,539.205,5.3344,
22.4,540.205,5.3293,
22.5,541.205,5.3186,
22.6,542.205,5.3116,
22.7,543.205,5.3041,
22.8,544.205,5.2992,
22.9,545.205,5.2943,
23,546.205,5.2858,
23.1,547.205,5.2743,
23.2,548.205,5.2644,
23.3,549.205,5.2543,
23.4,550.205,5.2411,
23.5,551.205,5.2323,
23.6,552.205,5.2233,
23.7,553.205,5.2147,
23.8,554.205,5.2057,
23.9,555.205,5.1966,
24,556.205,5.1845,
24.1,557.205,5.1734,
24.2,558.205,5.1638,
24.3,559.205,5.1532,
24.4,560.205,5.1403,
24.5,561.205,5.1274,
24.6,562.205,5.112,
24.7,563.205,5.0966,
24.8,564.205,5.0795,
24.9,565.205,5.0598,
25,566.205,5.0373,
25.1,567.205,5.0155,
25.2,568.205,4.9948,
25.3,569.205,4.9695,
25.4,570.205,4.9409,
25.5,571.205,4.9046,
25.6,572.205,4.8637,
25.7,573.205,4.8218,
25.8,574.205,4.7808,
25.9,575.205,4.7288,
26,576.205,4.6758,
26.1,577.205,4.6105,
26.2,578.205,4.5389,
26.3,579.205,4.4679,
26.4,580.205,4.3943,
26.5,581.205,4.3252,
26.6,582.205,4.2528,
26.7,583.205,4.1758,
26.8,584.205,4.0958,
26.9,585.205,4.0115,
27,586.205,3.929,
27.1,587.205,3.845,
27.2,588.205,3.7527,
27.3,589.205,3.6758,
27.4,590.205,3.6021,
27.5,591.205,3.5245,
27.6,592.205,3.4478,
27.7,593.205,3.3647,
27.8,594.205,3.2716,
27.9,595.205,3.1902,
28,596.205,3.0951,
28.1,597.205,3.0055,
28.2,598.205,2.9105,
28.3,599.205,2.8069,
28.4,600.205,2.7012,
28.5,601.205,2.5876,
28.6,602.205,2.4669,
28.7,603.205,2.3492,
28.8,604.205,2.2287,
28.9,605.205,2.1114,
29,606.205,1.9968,
29.1,607.205,1.8881,
29.2,608.205,1.784,
29.3,609.205,1.6825,
29.4,610.205,1.585,
29.5,611.205,1.4973,
29.6,612.205,1.4119,
29.7,613.205,1.3289,
29.8,614.205,1.2538,
29.9,615.205,1.1809,
30,616.205,1.115,
30.1,617.205,1.0573,
30.2,618.205,0.9936,
30.3,619.205,0.9382,
30.4,620.205,0.8865,
30.5,621.205,0.8386,
30.6,622.205,0.7931,
30.7,623.205,0.7513,
30.8,624.205,0.7107,
30.9,625.205,0.6724,
31,626.205,0.6408,
31.1,627.205,0.6135,
31.2,628.205,0.5818,
31.3,629.205,0.5459,
31.4,630.205,0.522,
31.5,631.205,0.5005,
31.6,632.205,0.479,
31.7,633.205,0.4544,
31.8,634.205,0.4321,
31.9,635.205,0.4107,
32,636.205,0.39,
32.1,637.205,0.3696,
32.2,638.205,0.3531,
32.3,639.205,0.3393,
32.4,640.205,0.323,
32.5,641.205,0.3086,
32.6,642.205,0.2952,
32.7,643.205,0.2803,
32.8,644.205,0.2658,
32.9,645.205,0.2536,
33,646.205,0.2413,
33.1,647.205,0.2315,
33.2,648.205,0.2224,
33.3,649.205,0.212,
33.4,650.205,0.2007,
33.5,651.205,0.1909,
33.6,652.205,0.1803,
33.7,653.205,0.1714,
33.8,654.205,0.1649,
33.9,655.205,0.1581,
34,656.205,0.1508,
34.1,657.205,0.1436,
34.2,658.205,0.1355,
34.3,659.205,0.1282,
34.4,660.205,0.12,
34.5,661.205,0.1135,
34.6,662.205,0.1066,
34.7,663.205,0.1025,
34.8,664.205,0.0967,
34.9,665.205,0.0923,
35,666.205,0.0872,
35.1,667.205,0.0822,
35.2,668.205,0.0778,
35.3,669.205,0.0743,
35.4,670.205,0.0704,
35.5,671.205,0.0653,
35.6,672.205,0.0594,
35.7,673.205,0.0539,
35.8,674.205,0.0498,
35.9,675.205,0.0483,
36,676.205,0.0467,
36.1,677.205,0.0449,
36.2,678.205,0.0419,
36.3,679.205,0.0397,
36.4,680.205,0.0384,
36.5,681.205,0.0351,
36.6,682.205,0.0318,
36.7,683.205,0.0316,
36.8,684.205,0.0316,
36.9,685.205,0.0324,
37,686.205,0.0325,
37.1,687.205,0.0317,
37.2,688.205,0.0305,
37.3,689.205,0.0297,
37.4,690.205,0.0291,
37.5,691.205,0.0282,
37.6,692.205,0.0276,
37.7,693.205,0.0273,
37.8,694.205,0.0258,
37.9,695.205,0.0226,
38,696.205,0.0219,
38.1,697.205,0.0219,
38.2,698.205,0.0219,
38.3,699.205,0.0232,
38.4,700.205,0.024,
38.5,701.205,0.0244,
38.6,702.205,0.0248,
38.7,703.205,0.0253,
38.8,704.205,0.0256,
38.9,705.205,0.0256,
39,706.205,0.0255,
39.1,707.205,0.0241,
39.2,708.205,0.0235,
39.3,709.205,0.0235,
39.4,710.205,0.0235,
39.5,711.205,0.0235,
39.6,712.205,0.0235,
39.7,713.205,0.0235,
39.8,714.205,0.0235,
39.9,715.205,0.0235,
40,716.205,0.0235,
40.1,717.205,0.0235,
40.2,718.205,0.0235,
40.3,719.205,0.0229,
40.4,720.205,0.0206,
40.5,721.205,0.0197,
40.6,722.205,0.0196,
40.7,723.205,0.0196,
40.8,724.205,0.0195,
40.9,725.205,0.0195,
41,726.205,0.0194,
41.1,727.205,0.0194,
41.2,728.205,0.0193,
41.3,729.205,0.0193,
41.4,730.205,0.0192,
41.5,731.205,0.0192,
41.6,732.205,0.0194,
41.7,733.205,0.0208,
41.8,734.205,0.0209,
41.9,735.205,0.021,
42,736.205,0.0211,
42.1,737.205,0.0212,
42.2,738.205,0.0214,
42.3,739.205,0.0211,
42.4,740.205,0.0208,
42.5,741.205,0.0205,
42.6,742.205,0.0203,
42.7,743.205,0.0201,
42.8,744.205,0.02,
42.9,745.205,0.0198,
43,746.205,0.0196,
43.1,747.205,0.0194,
43.2,748.205,0.0193,
43.3,749.205,0.0191,
43.4,750.205,0.019,
